playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
Bismack Biyombo,32.1,20.2,49.1,62.6,1.7,10.504,3.08,17.586,0.533,2.261,45.188,1.818,1.131,1.059,0.007,0.0,0.0,0.0,1.882,32.1,20.2,49.1,62.6,1.7,10.504,3.08,17.586,0.533,2.261,45.188,1.818,1.131,1.059,0.007,0.0,0.0,0.0,1.882,32.1,20.2,49.1,62.6,1.7,10.504,3.08,17.586,0.533,2.261,45.188,1.818,1.131,1.059,0.007,0.0,0.0,0.0,1.882
Bobby Portis,36.4,51.3,27.7,23.6,0.0,10.657,19.124,24.238,0.383,6.512,10.502,8.273,1.18,0.0,0.267,0.0,0.0,0.0,0.0,36.4,51.3,27.7,23.6,0.0,10.657,19.124,24.238,0.383,6.512,10.502,8.273,1.18,0.0,0.267,0.0,0.0,0.0,0.0,36.4,51.3,27.7,23.6,0.0,10.657,19.124,24.238,0.383,6.512,10.502,8.273,1.18,0.0,0.267,0.0,0.0,0.0,0.0
Branden Carlson,39.8,41.28888888888889,23.72222222222222,38.86666666666667,14.422222222222224,10.612,13.117333333333333,24.03,0.435,3.650555555555556,19.813111111111112,3.5321111111111114,0.6785555555555555,0.207,0.07400000000000001,6.284111111111112,1.6076666666666666,1.565777777777778,15.689666666666666,57.7,67.0,47.9,63.4,39.5,11.086,20.715,29.297,0.5,6.343,34.467,6.57,2.344,0.834,0.169,23.59,3.411,3.313,42.66,358.2,371.6,213.5,349.8,129.8,95.508,118.056,216.27,3.915,32.855000000000004,178.318,31.789,6.106999999999999,1.863,0.666,56.557,14.469,14.092,141.207
Brandon Ingram,54.120000000000005,53.14,43.07,46.92,18.0,10.7839,19.1613,25.3431,0.41509999999999997,4.9896,33.6224,5.7774,2.1215,0.4003,0.33740000000000003,0.0,0.20459999999999998,0.1986,17.541,113.9,81.5,92.7,71.9,79.6,11.116,26.133,28.933,0.55,7.632,62.658,7.284,2.615,1.505,0.875,0.0,2.046,1.986,66.928,541.2,531.4,430.7,469.2,180.0,107.839,191.613,253.431,4.151,49.896,336.224,57.774,21.215,4.003,3.374,0.0,2.046,1.986,175.41
Brandon Miller,54.800000000000004,72.3,35.46666666666667,38.96666666666667,12.433333333333332,10.757333333333333,13.709333333333333,30.007,0.4776666666666667,7.215,13.680333333333335,6.601666666666667,1.5813333333333333,0.33499999999999996,0.464,0.0,0.0,0.0,13.562666666666667,74.4,83.2,80.4,66.9,24.4,10.914,15.507,30.487,0.517,10.098,21.795,9.337,1.913,1.005,1.302,0.0,0.0,0.0,26.666,164.4,216.9,106.4,116.9,37.3,32.272,41.128,90.021,1.433,21.645,41.041000000000004,19.805,4.744,1.005,1.3920000000000001,0.0,0.0,0.0,40.688
Brandon Williams,46.23333333333333,65.5,18.700000000000003,37.266666666666666,0.0,10.545,12.088,32.443000000000005,0.45533333333333337,4.789666666666666,78.83633333333334,5.585999999999999,1.486,0.0,0.18400000000000002,0.0,0.0,0.0,0.0,51.5,69.5,34.7,52.6,0.0,10.647,17.804,33.91,0.466,5.443,121.239,7.576,2.559,0.0,0.503,0.0,0.0,0.0,0.0,138.7,196.5,56.10000000000001,111.8,0.0,31.634999999999998,36.263999999999996,97.32900000000001,1.366,14.369,236.50900000000001,16.758,4.458,0.0,0.552,0.0,0.0,0.0,0.0
Brice Sensabaugh,67.15,80.45,53.599999999999994,40.95,19.85,10.8275,23.034,32.024,0.525,7.1735,23.7785,6.215,1.984,0.2785,0.7965,0.0,0.0,0.0,21.634,72.5,85.0,79.8,53.5,31.4,10.864,28.326,32.896,0.55,8.854,26.221,7.636,2.031,0.557,1.281,0.0,0.0,0.0,34.207,134.3,160.9,107.19999999999999,81.9,39.7,21.655,46.068,64.048,1.05,14.347,47.557,12.43,3.968,0.557,1.593,0.0,0.0,0.0,43.268
Bronny James,56.8,80.1,37.5,34.6,1.9,10.856,18.8,33.767,0.5,5.513,30.817,6.756,0.0,0.0,0.546,14.928,3.172,3.17,2.061,56.8,80.1,37.5,34.6,1.9,10.856,18.8,33.767,0.5,5.513,30.817,6.756,0.0,0.0,0.546,14.928,3.172,3.17,2.061,56.8,80.1,37.5,34.6,1.9,10.856,18.8,33.767,0.5,5.513,30.817,6.756,0.0,0.0,0.546,14.928,3.172,3.17,2.061
Brook Lopez,31.299999999999997,19.799999999999997,32.15,50.900000000000006,10.1,10.5805,12.1755,19.032,0.35,2.411,30.7015,2.0915,1.0274999999999999,0.566,0.035,14.6105,1.03,1.0245,11.0785,48.3,27.9,53.1,79.4,19.9,10.668,13.103,20.731,0.434,2.677,49.001,2.16,1.132,1.132,0.046,29.221,2.06,2.049,21.825,62.599999999999994,39.599999999999994,64.3,101.80000000000001,20.2,21.161,24.351,38.064,0.7,4.822,61.403,4.183,2.0549999999999997,1.132,0.07,29.221,2.06,2.049,22.157
Brooks Barnhizer,28.9,40.6,13.7,25.9,0.0,10.508,12.555,26.663,0.383,2.664,15.736,4.389,1.576,0.0,0.085,0.0,0.0,0.0,0.0,28.9,40.6,13.7,25.9,0.0,10.508,12.555,26.663,0.383,2.664,15.736,4.389,1.576,0.0,0.085,0.0,0.0,0.0,0.0,28.9,40.6,13.7,25.9,0.0,10.508,12.555,26.663,0.383,2.664,15.736,4.389,1.576,0.0,0.085,0.0,0.0,0.0,0.0
