58,Pascal Siakam,31,IND,PF,10,10,353,17.7,.523,.251,.412,3.9,19.1,10.8,29.6,1.6,1.0,10.3,29.8,0.1,0.4,0.4,.056,2.0,-0.3,1.6,0.3,,siakapa01
59,Rudy Gobert,33,MIN,C,11,11,352,16.4,.744,.000,.463,11.1,23.7,17.7,6.0,0.7,5.3,17.4,11.9,0.7,0.5,1.2,.159,-0.5,0.4,-0.1,0.2,,goberru01
60,Zach LaVine,30,SAC,SG,10,10,352,17.0,.663,.488,.288,0.6,10.7,5.5,9.5,0.7,0.3,9.1,23.8,0.6,0.0,0.6,.081,2.5,-2.6,-0.1,0.2,,lavinza01
61,CJ McCollum,34,WAS,SG,12,12,351,12.5,.523,.494,.250,2.3,9.2,5.8,16.9,1.1,0.7,8.8,24.0,0.1,-0.1,0.0,-0.002,-0.7,-3.2,-3.9,-0.2,,mccolcj01
62,Wendell Carter Jr.,26,ORL,C,12,12,350,14.5,.658,.361,.433,12.6,16.4,14.6,8.3,1.1,2.2,19.0,16.9,0.5,0.4,0.9,.127,-0.5,-0.4,-0.8,0.1,,cartewe01
63,Cedric Coward,22,MEM,SG,13,0,349,18.3,.632,.444,.381,6.3,17.3,11.7,18.0,1.6,1.3,9.3,19.2,0.8,0.3,1.1,.151,2.6,0.3,2.9,0.4,,cowarce01
64,Myles Turner,29,MIL,C,12,12,349,14.8,.557,.562,.240,5.1,18.6,12.0,9.0,2.2,6.1,11.9,18.7,0.1,0.5,0.6,.084,-0.8,1.0,0.2,0.2,,turnemy01
65,Jaden McDaniels,25,MIN,PF,11,11,349,17.6,.656,.279,.229,4.1,11.9,8.2,10.0,1.4,4.0,11.5,21.3,0.7,0.3,1.0,.137,0.7,0.1,0.8,0.2,,mcdanja02
66,Cason Wallace,22,OKC,SG,12,12,347,11.7,.538,.596,.124,3.6,8.4,6.1,11.9,3.8,1.2,10.5,13.0,0.2,0.8,1.0,.144,-2.4,3.4,1.0,0.2,,wallaca01
67,Immanuel Quickley,26,TOR,PG,11,11,346,15.9,.556,.504,.308,2.6,13.8,8.2,26.6,2.2,0.0,10.6,20.6,0.5,0.4,0.9,.121,0.7,0.3,1.0,0.3,,quickim01
68,Jake LaRavia,24,LAL,PF,12,5,344,13.6,.605,.432,.358,6.2,12.3,9.4,12.8,2.2,0.6,12.0,15.6,0.5,0.3,0.7,.103,-0.1,-0.2,-0.3,0.1,,laravja01
69,James Harden,36,LAC,PG,10,10,344,22.2,.637,.581,.419,1.4,17.1,9.4,41.8,1.3,0.9,17.9,28.9,0.9,0.1,1.0,.146,5.2,-1.5,3.8,0.5,,hardeja01
70,Kyshawn George,22,WAS,SF,11,11,340,14.0,.613,.454,.208,2.1,17.8,10.0,22.0,1.5,2.7,19.8,21.4,0.1,0.1,0.2,.024,-0.7,-0.4,-1.2,0.1,,georgky01
71,Ja Morant,26,MEM,PG,11,11,339,12.1,.469,.311,.337,1.5,11.5,6.4,43.0,1.7,0.3,16.6,32.5,-0.6,0.2,-0.4,-0.056,-3.1,-2.8,-5.9,-0.3,,moranja01
72,Nikola Vučević,35,CHI,C,11,11,339,17.6,.602,.328,.168,8.3,25.3,17.2,17.2,1.1,0.7,12.5,20.7,0.5,0.3,0.8,.120,1.7,-0.3,1.4,0.3,,vucevni01
73,Onyeka Okongwu,25,ATL,C,12,3,338,15.6,.586,.331,.373,7.6,22.3,15.2,11.7,1.3,2.8,10.4,19.2,0.4,0.6,1.0,.139,-1.2,0.4,-0.7,0.1,,okongon01
74,Gary Trent Jr.,27,MIL,SG,12,12,338,9.0,.529,.717,.160,0.3,6.7,3.6,10.4,2.0,0.3,7.3,15.6,0.1,0.2,0.3,.038,-3.1,-1.0,-4.1,-0.2,,trentga02
