id,firstName,lastName,multiplierBonus
5177530,Micah,Octave,1.5
5107170,Caden,Pierce,0
5105795,Kaleb,Banks,0
5174652,Blake,Muschalek,3
5176216,Blake,Anderson,0
4898233,Blake,Peters,1.2
5174655,Chaney,Johnson,0.5
5106287,CJ,Williams,3
5174660,Cooper,Josefsberg,3
5241741,CJ,Happy,3
5177528,CJ,Hines,1
5175939,Caleb,Johnson,0
4700870,Zach,Anderson,1.9
5239631,Zachary,Royster,3
5107069,Zach,Cleveland,0
5176138,Zach,Halligan,0
5239719,Langston,Bailey,0
4897677,Langston,Redfield,3
4897082,Chase,Tucker,3
4711304,Xavier,Booker,2.6
5108022,Xavier,Amos,3
4702218,Xavier,Lipscomb,1.5
5252550,Brennan,Ramirez,3
4870569,Duke,Brennan,0.6
5239563,Brennan,Walton,0
4601284,Latrell,Jossell,1.4
4702110,Collin,Moore,0.5
5105817,Carson,Cooper,1.7
4703879,Sin'Cere,McMahon,3
4873209,Patrick,Ngongba II,2.1
4901675,Patrick,Antonelli,3
5177124,Patrick,Haigh,0
5175920,Patrick,Tivnan Jr.,0
4711267,Jurian,Dixon,3
4611541,Jace,Howard,3
5177185,Trevor,Mullin,3
5108992,Micah,Handlogten,1.2
5239717,Jayden,Brown,0
5239713,Brandon,Jennings,2.8
5106240,Brandon,Mitchell-Day,0.2
4897670,Aboubacar,Traore,1.6
5106640,Jake,Shapiro,3
5175900,Jake,Fiegen,0.6
5241379,Jake,Nadauld,0
5107567,Kyle,Evans,2.1
4703885,Max,Klesmit,0.7
5175359,Josh,Townley-Thomas,3
5106245,Josh,Baldwin,3
5241492,Josh,Michigan,3
4898366,Josh,Ozabor,0
4700859,Josh,Smith,0
5142360,Braden,Pierce,3
5239719,Langston,Bailey,0
4711304,Xavier,Booker,2.6
5108022,Xavier,Amos,3
4702218,Xavier,Lipscomb,1.5
5107144,Efrem,Johnson,0.9
4702962,Justice,Ajogbor,1.1
5107385,Avaughn,Johnson,0
5105567,Andre,Johnson Jr.,0
5174972,AJ,LaBeau,0
4897192,AJ,Lopez,0.5
5241720,AJ,Rodriguez,0
4433174,Dylan,Cardwell,0.6
4432739,Dylan,Anderson,2.7
5176678,Dylan,Canoville,2.1
5241378,Dylan,Metoyer,0
4702739,Aly,Khalifa,0
5239715,Khalil,Williams,0
5107163,Elijah,Chol,1.1
5241959,Ryder,Elisaldez,3
5242637,Elijah,Espinosa,0
5108031,Eli,Yofan,0
4703415,Marcus,Fitzgerald Jr.,0
23574,Marcus,Watson Jr.,1.6
4611541,Jace,Howard,3
4593355,Noah,Waterman,1.7
4703073,Noah,Stansbury,0
4432398,Noah,Taitz,3
4702962,Justice,Ajogbor,1.1
5107385,Avaughn,Johnson,0
5105567,Andre,Johnson Jr.,0
5174972,AJ,LaBeau,0
4897192,AJ,Lopez,0.5
5241720,AJ,Rodriguez,0
5106640,Jake,Shapiro,3
5175900,Jake,Fiegen,0.6
5241379,Jake,Nadauld,0
4433184,Deivon,Smith,0.4
5061585,Isaiah,Evans,1.4
5144372,Isaiah,Brown,3
4702973,Isaiah,Gray,0.2
4592702,Isaiah,Ihnen,0.7
4897424,Ian,Burns,3
5175897,Ian,Imegwu,0
5106275,PJ,Haggerty,0
4702000,PJ,Carter,2.9
5107163,Elijah,Chol,1.1
5241959,Ryder,Elisaldez,3
5242637,Elijah,Espinosa,0
5108031,Eli,Yofan,0
5240393,Makhi,Myles,3
5176112,Myles,Che,1.3
5175898,Jacob,Beccles,1.9
5241489,Jacob,Hogarth,2.3
5177173,Jacob,Huggins,2.7
5095062,Jacob,McFarland,0
5178892,Tyler,Mack,2.5
4901961,Christian,Coleman,0.4
5106041,Christian,Fermin,1.4
4431996,Christian,Ings,0.7
5105975,Christian,Winborne,0
5239597,T.J.,Prosise,3
5176783,Traivar,Jackson,0
5108059,Tavari,Johnson,0.5
4898280,Terrance,Jones,3
4898331,TJ,Madlock,0.3
4873184,Aiden,Sherrell,2.6
4712866,Isaac,Traudt,2.3
5106285,Pop,Isaacs,0.1
5105863,Isaac,Gard,3
5175691,Isaac,Bonilla,3
5241754,Isaac,Celiscar,1.1
5174293,Tyler,Ringgold,2.7
5178892,Tyler,Mack,2.5
4703883,Tyler,McGhie,0
5241377,Tyler,Medaris,0
5241382,Tyler,Weaver,0
5061585,Isaiah,Evans,1.4
5144372,Isaiah,Brown,3
4702973,Isaiah,Gray,0.2
4592702,Isaiah,Ihnen,0.7
4705522,David,McDaniel,3
4701553,Sami,Osmani,3
5105780,Justin,Moore,0.7
5060702,Justin,Begg,3
5196370,Justin,Pippen,3
4433009,Justin,Hohn,1.1
5241491,Justin,Menard,3
4709142,Justin,Rochelin,2.3
5174791,Malik,Abdullahi,1.5
4702228,Aidan,McCool,3
5176423,Aidan,Burke,3
5242122,Aidan,Driggers,0
5239654,Aidan,Konop,0
4894462,Jaylen,Crocker-Johnson,0.8
4606895,Jason,Amador,0
5239718,Jason,Koval,0
5239721,Jason,Sepe,0
5175357,Brock,Vice,3
4703572,Kaden,Metheny,0.3
5107171,Deven,Austin,0
4895779,Austin,Ball,0
5257981,Austin,Brooks,0
5241338,Austin,Maurer,3
5107163,Elijah,Chol,1.1
5242637,Elijah,Espinosa,0
5061585,Isaiah,Evans,1.4
5144372,Isaiah,Brown,3
4702973,Isaiah,Gray,0.2
4592702,Isaiah,Ihnen,0.7
