gameId,gameDate,matchup,period,gameClockTime,eventNum,playerId,playerName,firstName,lastName,teamId,teamName,teamCity,teamAbbreviation,dunkScore,jumpSubscore,powerSubscore,styleSubscore,defensiveContestSubscore,maxBallHeight,ballSpeedThroughRim,playerVertical,hangTime,takeoffDistance,reverseDunk,dunk360,throughTheLegs,alleyOop,tipIn,selfOop,playerRotation,playerLateralSpeed,ballDistanceTraveled,ballReachBack,totalBallAcceleration,dunkingHand,jumpingFoot,passLength,catchingHand,catchDistance,lateralCatchDistance,passerId,passerName,passerFirstName,passerLastName,passReleasePoint,shooterId,shooterName,shooterFirstName,shooterLastName,shotReleasePoint,shotLength,defensiveContestLevel,possibleAttemptedCharge,videoAvailable
0012400041,10/13/2024 12:00:00 AM,POR @ SAC,3,6:55,443,1631165,Keon Ellis,Keon,Ellis,1610612758,Kings,Sacramento,SAC,37.6,51.0,9.9,26.2,0.0,10.57,4.025,27.555,0.433,4.545,False,False,False,False,False,False,51.389,6.358,1.613,0.0,0.025,both,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,12.568,False,True
0012400031,10/11/2024 12:00:00 AM,TOR @ WAS,4,11:49,577,1642367,Jonathan Mogbo,Jonathan,Mogbo,1610612761,Raptors,Toronto,TOR,37.6,25.9,44.3,54.0,0.0,10.354,7.167,22.737,0.417,0.704,False,False,False,False,False,False,107.471,2.042,1.195,0.773,0.028,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,15.369,False,True
0012400020,10/9/2024 12:00:00 AM,WAS @ NYK,1,10:17,21,1642259,Alexandre Sarr,Alexandre,Sarr,1610612764,Wizards,Washington,WAS,37.5,26.4,60.8,62.6,0.0,10.464,20.109,24.061,0.283,0.922,False,False,False,False,False,False,16.978,1.409,1.874,0.988,0.063,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400022,10/9/2024 12:00:00 AM,ORL @ SAS,3,8:51,397,1629048,Goga Bitadze,Goga,Bitadze,1610612753,Magic,Orlando,ORL,37.5,51.4,10.2,38.0,0.0,10.684,9.946,29.64,0.35,3.456,False,False,False,True,False,False,6.237,3.213,1.616,0.0,0.004,both,both,8.754,both,3.18,2.799,1641724,Jett Howard,Jett,Howard,"-397.128,-15.683,70.815",0,,,,,0.0,0.0,False,True
0012400063,10/17/2024 12:00:00 AM,SAS @ HOU,1,10:03,32,1630577,Julian Champagnie,Julian,Champagnie,1610612759,Spurs,San Antonio,SAS,37.4,42.3,34.0,0.0,0.0,10.502,19.085,27.627,0.367,2.181,False,False,False,False,False,False,9.587,2.268,2.4,0.333,0.184,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400059,10/16/2024 12:00:00 AM,MIN @ CHI,2,1:00,314,1630183,Jaden McDaniels,Jaden,McDaniels,1610612750,Timberwolves,Minnesota,MIN,37.3,33.9,15.4,0.0,23.2,10.465,11.456,25.757,0.317,1.134,False,False,False,False,False,False,13.162,2.199,2.101,0.213,0.004,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,25.427,False,True
0012400012,10/7/2024 12:00:00 AM,MEM @ DAL,2,4:33,324,203939,Dwight Powell,Dwight,Powell,1610612742,Mavericks,Dallas,DAL,37.3,55.2,17.1,23.1,0.0,10.595,14.723,25.984,0.4,6.461,False,False,False,False,False,False,23.224,7.843,1.068,0.0,0.139,both,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,5.422,False,True
0012400018,10/8/2024 12:00:00 AM,IND @ ATL,1,9:37,21,1630164,James Wiseman,James,Wiseman,1610612754,Pacers,Indiana,IND,37.2,15.9,15.0,24.3,0.0,10.577,13.868,17.43,0.3,3.329,False,False,False,False,False,False,24.9,1.951,1.308,0.0,0.098,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,46.679,False,True
0012400046,10/14/2024 12:00:00 AM,PHI @ ATL,4,10:30,547,1630231,KJ Martin,KJ,Martin,1610612755,76ers,Philadelphia,PHI,37.2,49.6,25.9,0.0,0.0,10.515,17.814,27.743,0.35,4.677,False,False,False,False,False,False,53.616,7.083,2.087,0.0,0.272,both,right,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400062,10/17/2024 12:00:00 AM,MIL @ DAL,1,6:37,67,1629655,Daniel Gafford,Daniel,Gafford,1610612742,Mavericks,Dallas,DAL,37.1,28.5,45.5,0.0,11.8,10.681,15.831,22.194,0.316,3.038,False,False,False,False,False,False,48.481,2.322,1.117,0.678,0.055,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,12.868,False,True
0012400027,10/10/2024 12:00:00 AM,CHA @ MEM,3,4:05,489,201959,Taj Gibson,Taj,Gibson,1610612766,Hornets,Charlotte,CHA,36.9,38.9,43.7,28.7,0.0,10.575,20.071,23.739,0.334,5.048,False,False,False,False,False,False,15.396,5.814,1.396,0.0,0.725,right,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.236,False,True
0012400013,10/7/2024 12:00:00 AM,OKC @ SAS,2,3:13,279,1631114,Jalen Williams,Jalen,Williams,1610612760,Thunder,Oklahoma City,OKC,36.7,58.6,15.3,24.8,0.0,10.547,15.942,28.825,0.383,5.807,False,False,False,False,False,False,5.638,7.461,1.39,0.0,0.043,both,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.002,False,True
0012400026,10/10/2024 12:00:00 AM,UTA @ DAL,3,2:20,485,1629655,Daniel Gafford,Daniel,Gafford,1610612742,Mavericks,Dallas,DAL,36.6,28.8,46.5,69.2,0.0,10.559,10.779,24.208,0.3,1.259,False,False,False,False,False,False,87.072,5.336,1.973,1.579,0.0,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400063,10/17/2024 12:00:00 AM,SAS @ HOU,4,11:48,540,1629646,Charles Bassey,Charles,Bassey,1610612759,Spurs,San Antonio,SAS,36.6,40.4,30.5,0.0,0.2,10.754,14.647,23.514,0.4,4.005,False,False,False,True,False,False,8.963,3.475,0.0,0.0,0.489,both,both,12.898,both,3.301,3.274,1630572,Sandro Mamukelashvili,Sandro,Mamukelashvili,"358.956,-61.489,112.673",0,,,,,0.0,0.21,False,True
0012400067,10/18/2024 12:00:00 AM,PHI @ ORL,1,9:53,29,1628976,Wendell Carter Jr.,Wendell,Carter Jr.,1610612753,Magic,Orlando,ORL,36.5,49.3,29.8,24.6,0.0,10.796,18.919,24.783,0.367,5.007,False,False,False,False,False,False,15.217,5.606,1.364,0.0,0.327,both,right,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400038,10/12/2024 12:00:00 AM,UTA @ SAS,4,5:52,616,1642271,Kyle Filipowski,Kyle,Filipowski,1610612762,Jazz,Utah,UTA,36.5,42.6,26.3,35.9,0.0,10.743,16.542,25.138,0.4,3.275,False,False,False,False,False,False,28.236,3.308,3.01,0.0,0.324,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.121,False,True
0012400045,10/14/2024 12:00:00 AM,MEM @ IND,3,2:44,472,1630164,James Wiseman,James,Wiseman,1610612754,Pacers,Indiana,IND,36.4,10.7,50.6,0.0,0.0,10.377,12.371,17.373,0.3,0.91,False,False,False,False,False,False,47.392,0.786,1.278,0.961,0.034,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,26.914,False,True
