GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK
Shot Type Detail,Running Bank shot,6,10,0.6,0,0,0.0,0.6,1,0.5,0.5,0.0,0.0,0.5,0.5,11,11,22,2,3,2,22,37,25,11,2,1,25,11
Shot Type Detail,Running Dunk Shot,2,3,0.667,0,0,0.0,0.667,0,1.0,0.0,0.0,0.0,1.0,0.0,20,22,15,2,3,2,15,1,1,22,2,1,1,22
Shot Type Detail,Running Finger Roll Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Running Hook Shot,2,2,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,20,25,1,2,3,2,1,1,30,1,2,1,30,1
Shot Type Detail,Running Jump Shot,4,15,0.267,0,1,0.0,0.267,4,0.75,0.25,0.0,0.0,0.75,0.25,13,9,35,2,2,2,35,45,21,16,2,1,21,16
Shot Type Detail,Running Layup Shot,4,6,0.667,0,0,0.0,0.667,1,1.0,0.0,0.0,0.0,1.0,0.0,13,14,15,2,3,2,15,37,1,22,2,1,1,22
Shot Type Detail,Running Reverse Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Running Slam Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Running Tip Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Slam Dunk Shot,4,4,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13,19,1,2,3,2,1,1,1,22,2,1,1,22
Shot Type Detail,Step Back Jump shot,1,4,0.25,0,0,0.0,0.25,0,0.0,1.0,0.0,0.0,0.0,1.0,28,19,36,2,3,2,36,1,30,1,2,1,30,1
Shot Type Detail,Tip Shot,13,28,0.464,0,0,0.0,0.464,0,0.0,1.0,0.0,0.0,0.0,1.0,8,7,32,2,3,2,32,1,30,1,2,1,30,1
Shot Type Detail,Turnaround Bank Hook Shot,1,2,0.5,0,0,0.0,0.5,0,1.0,0.0,0.0,0.0,1.0,0.0,28,25,26,2,3,2,26,1,1,22,2,1,1,22
Shot Type Detail,Turnaround Bank shot,17,29,0.586,0,0,0.0,0.586,1,0.059,0.941,0.0,0.0,0.059,0.941,5,6,23,2,3,2,23,37,29,9,2,1,29,9
Shot Type Detail,Turnaround Fadeaway shot,1,5,0.2,0,0,0.0,0.2,0,1.0,0.0,0.0,0.0,1.0,0.0,28,18,37,2,3,2,37,1,1,22,2,1,1,22
Shot Type Detail,Turnaround Hook Shot,0,2,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,25,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Turnaround Jump Shot,16,37,0.432,0,0,0.0,0.432,3,0.313,0.688,0.0,0.0,0.313,0.688,6,4,33,2,3,2,33,44,28,10,2,1,28,10
Assisted By,203937,"Anderson, Kyle",3,3,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,11,11,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,203382,"Baynes, Aron",3,3,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,11,11,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,201158,"Belinelli, Marco",16,16,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,8,8,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,2588,"Bonner, Matt",4,4,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,10,10,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,201948,"Daye, Austin",2,2,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13,13,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,2564,"Diaw, Boris",31,31,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,4,4,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,1938,"Ginobili, Manu",45,45,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,2,2,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,201980,"Green, Danny",43,43,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,3,3,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,202709,"Joseph, Cory",18,18,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,7,7,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,202695,"Leonard, Kawhi",27,27,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,5,5,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,201988,"Mills, Patty",5,5,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,9,9,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,2225,"Parker, Tony",94,94,1.0,2,2,1.0,1.011,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assisted By,201168,"Splitter, Tiago",19,19,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,6,6,1,2,2,2,2,1,1,1,2,1,1,1
