,Fadeaway Msde,Fadeaway/G,Fadeaway FG%,FGA,GP
2019LaMarcus Aldridge,54,0.666666667,0.593406593,91,81
2022Obi Toppin,54,0.75,0.870967742,62,72
2023Isaiah Jackson,54,0.857142857,0.870967742,62,63
2023Walker Kessler,54,0.72972973,0.981818182,55,74
2015Jarrett Jack,53,0.6625,0.602272727,88,80
2017Trevor Booker,53,0.746478873,0.350993377,151,71
2023James Harden,53,0.913793103,0.401515152,132,58
2023Jevon Carter,53,0.654320988,0.381294964,139,81
2023Kentavious Caldwell-Pope,53,0.697368421,0.481818182,110,76
2023Spencer Dinwiddie,53,0.670886076,0.323170732,164,79
2016Derrick Favors,52,0.838709677,0.962962963,54,62
2017Jonas Jerebko,52,0.666666667,0.333333333,156,78
2017Montrezl Harrell,52,0.896551724,0.825396825,63,58
2020Deandre Ayton,52,1.368421053,0.866666667,60,38
2020Lou Williams,52,0.8,0.43697479,119,65
2023Jimmy Butler,52,0.8125,0.47706422,109,64
2023Kristaps Porzingis,52,0.8,0.464285714,112,65
2014Tyson Chandler,51,0.927272727,0.962264151,53,55
2016Tim Duncan,51,0.836065574,0.662337662,77,61
2017Julius Randle,51,0.689189189,0.439655172,116,74
2017Maurice Harkless,51,0.662337662,0.485714286,105,77
2016Gorgui Dieng,50,0.609756098,0.549450549,91,82
2016Jared Sullinger,50,0.617283951,0.45045045,111,81
2017Derrick Rose,50,0.78125,0.324675325,154,64
2017Paul Millsap,50,0.724637681,0.632911392,79,69
2022Evan Mobley,50,0.724637681,0.819672131,61,69
2022Jakob Poeltl,50,0.735294118,0.806451613,62,68
2023Tyrese Maxey,50,0.833333333,0.364963504,137,60
2016Andrew Wiggins,49,0.604938272,0.39516129,124,81
2017Elfrid Payton,49,0.597560976,0.445454545,110,82
2017Michael Kidd-Gilchrist,49,0.604938272,0.411764706,119,81
2018Ben Simmons,49,0.604938272,0.859649123,57,81
2019Lou Williams,49,0.653333333,0.3828125,128,75
2022Ivica Zubac,49,0.644736842,0.875,56,76
2023Malik Monk,49,0.636363636,0.4375,112,77
2023Onyeka Okongwu,49,0.6125,0.924528302,53,80
2015Brandan Wright,48,0.64,0.96,50,75
2015Damian Lillard,48,0.585365854,0.578313253,83,82
2016Ed Davis,48,0.592592593,0.52173913,92,81
2016Elfrid Payton,48,0.657534247,0.440366972,109,73
2016Kenneth Faried,48,0.71641791,0.369230769,130,67
2016Trey Burke,48,0.75,0.648648649,74,64
2017Dewayne Dedmon,48,0.631578947,0.842105263,57,76
2017Jusuf Nurkic,48,0.738461538,0.396694215,121,65
2019Kyrie Irving,48,0.71641791,0.564705882,85,67
2019Nikola Jokic,48,0.6,0.657534247,73,80
2020Tristan Thompson,48,0.842105263,0.888888889,54,57
2021Montrezl Harrell,48,0.695652174,0.905660377,53,69
2021Nerlens Noel,48,0.75,0.774193548,62,64
2022Bam Adebayo,48,0.857142857,0.71641791,67,56
2022JaVale McGee,48,0.648648649,0.842105263,57,74
2022John Collins,48,0.888888889,0.905660377,53,54
2022Julius Randle,48,0.666666667,0.428571429,112,72
2022Mason Plumlee,48,0.657534247,0.857142857,56,73
2014Kenneth Faried,47,0.5875,0.839285714,56,80
2015Kyle Lowry,47,0.671428571,0.435185185,108,70
2017Aaron Gordon,47,0.5875,0.61038961,77,80
2017Dante Exum,47,0.712121212,0.288343558,163,66
2017Richaun Holmes,47,0.824561404,0.643835616,73,57
2017Rudy Gay,47,1.566666667,0.68115942,69,30
2022Aaron Gordon,47,0.626666667,0.854545455,55,75
2023Kendrick Nunn,47,0.671428571,0.412280702,114,70
2023Mike Conley,47,0.701492537,0.423423423,111,67
2016DeMar DeRozan,46,0.58974359,0.528735632,87,78
2016Russell Westbrook,46,0.575,0.340740741,135,80
2017Jonas Valanciunas,46,0.575,0.621621622,74,80
2017Tony Allen,46,0.647887324,0.333333333,138,71
2021Zion Williamson,46,0.754098361,0.867924528,53,61
2023Malik Beasley,46,0.567901235,0.302631579,152,81
