RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,LEBRON,O-LEBRON,D-LEBRON,LEBRON WAR,LEBRON Box Impact,O-LEBRON Box Impact,D-LEBRON Box Impact,LEBRON Vs Role Average,O-LEBRON Vs Role Average,D-LEBRON Vs Role Average,LEBRON_percentile,O-LEBRON_percentile,D-LEBRON_percentile,LEBRON WAR_percentile,LEBRON Box Impact_percentile,O-LEBRON Box Impact_percentile,D-LEBRON Box Impact_percentile,LEBRON Vs Role Average_percentile,O-LEBRON Vs Role Average_percentile,D-LEBRON Vs Role Average_percentile
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,1.5,0.23,1.26,5.77,0.94,-0.32,1.26,1.29,0.94,0.35,91.5,78,90.69,92.91,87.92,59.88,92.43,84.97,85.04,68.97
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,0.76,-0.68,1.43,5.23,-0.19,-0.77,0.58,0.58,0.01,0.57,84.7,42.87,92.72,91.45,56.59,38.39,79.76,71.02,52.27,78.32
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,0.61,-0.9,1.51,4.04,-0.02,-0.92,0.9,0.43,-0.61,1.04,83.17,34.17,93.74,86.88,60.42,32.87,87.05,66.91,24.92,90.52
78,2015-16,Ronnie Price,32,PHO,1211,Rotation,Primary Ball Handler,Point of Attack,-0.11,-1.14,1.03,1.78,-0.94,-1.18,0.24,0.33,-1.22,1.55,56.96,26.18,87.07,68.08,31.63,23.97,68.58,63.93,10.95,96.56
79,2016-17,Ronnie Price,33,PHO,134,Garbage Time,Shot Creator,Chaser,-0.05,-0.23,0.18,0.2,-0.12,-0.27,0.15,-0.17,-0.92,0.74,57.89,63.52,63.98,31.96,58.31,62.61,64.52,46.24,17.11,83.92
80,2016-17,Jose Calderon,35,LAL/ATL,539,Garbage Time,Primary Ball Handler,Point of Attack,-0.63,-0.63,0,0.6,-1.17,-0.76,-0.41,-0.5,-0.92,0.43,42.08,45.13,55.06,46.53,25.21,38.88,31.38,34.72,17.11,72.53
81,2015-16,Jose Calderon,34,NYK,2024,Starter,Primary Ball Handler,Point of Attack,-1.68,-0.84,-0.84,0.81,-0.39,-0.35,-0.04,-1.24,-0.92,-0.32,14.97,36.54,16.3,51.59,50.98,58.36,53.59,16.11,17.11,33.31
82,2017-18,Jose Calderon,36,CLE,914,Rotation,Primary Ball Handler,Point of Attack,-1.81,-1.36,-0.45,0.31,-1.44,-0.9,-0.55,-1.63,-1.57,-0.06,12.75,19.31,31.06,37.63,17.74,33.68,24.34,10.36,6.26,47.85
83,2018-19,Jose Calderon,37,DET,632,Rotation,Primary Ball Handler,Low Activity,-2.64,-2.3,-0.34,-0.11,-2.15,-2.02,-0.13,-1.74,-2.41,0.67,3.73,3.64,36.46,4.55,5.94,5.55,48.32,9.06,1.1,81.92
84,2016-17,Alan Anderson,34,LAC,308,Garbage Time,Movement Shooter,Chaser,-3.32,-1.95,-1.37,-0.2,-2.77,-1.69,-1.07,-1.94,-1.14,-0.81,0.9,7.3,6.3,3.45,1.66,10.55,8.55,6.69,12.37,14.47
85,2015-16,Alan Anderson,33,WAS,192,Garbage Time,Movement Shooter,Wing Stopper,-0.62,-0.53,-0.08,0.22,-0.65,-0.66,0.02,0.07,0.21,-0.14,42.4,50.07,50.41,33.23,41.79,43.35,57.53,55.25,63.15,42.96
86,2015-16,Chuck Hayes,32,HOU,24,Too Few Games,Low Minute,Anchor Big,-1.18,-0.62,-0.56,0.02,-0.95,-0.49,-0.46,-1.65,-0.18,-1.47,25.68,45.58,26.35,10.21,31.28,51,28.88,10.12,42.69,3.05
87,2016-17,John Lucas III,34,MIN,11,Too Few Games,Low Minute,Point of Attack,-0.68,-0.39,-0.29,0.01,-0.7,-0.38,-0.32,0.16,0.03,0.13,40.61,56.19,39.12,7.8,40.04,56.8,36.37,58.63,53.62,58.24
88,2015-16,Tim Duncan,39,SAS,1537,Starter,Post Scorer,Anchor Big,1.99,-0.5,2.49,4.44,2.48,-0.17,2.65,1.78,0.2,1.58,94.16,51.29,98.78,88.54,96.1,67.47,99.29,90.83,62.71,96.75
89,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,-0.4,-0.04,-0.36,0,-0.41,-0.05,-0.37,-0.24,0.21,-0.45,49.05,71.6,35.56,6.65,50.44,72.24,33.41,43.57,63.15,27.25
90,2018-19,Jahlil Okafor,23,NOP,935,Rotation,Post Scorer,Anchor Big,-0.6,-0.55,-0.05,1.08,-0.65,-0.76,0.11,-1.28,-0.39,-0.89,42.98,49.17,52.15,57.02,41.79,38.88,62.71,15.28,33.28,12.42
91,2019-20,Jahlil Okafor,24,NOP,467,Rotation,Post Scorer,Anchor Big,-0.59,-0.59,-0.01,0.54,-0.62,-0.78,0.15,-1.68,-0.79,-0.9,43.36,47.07,54.4,44.94,42.88,38,64.52,9.77,20.31,12.15
92,2015-16,Jahlil Okafor,20,PHI,1591,Starter,Post Scorer,Helper,-2.91,-2.08,-0.83,-0.67,-2.23,-1.28,-0.95,-2.36,-1.37,-0.99,2.27,5.86,16.54,1.25,4.99,20.5,10.7,3.52,8.51,10.09
93,2016-17,Jahlil Okafor,21,PHI,1134,Key Rotation,Post Scorer,Anchor Big,-1.72,-1.55,-0.17,0.46,-1.55,-1.42,-0.13,-1.89,-0.87,-1.03,14.24,14.3,45.87,42.64,15.39,16.6,48.32,7.26,18.36,9.07
94,2017-18,Jahlil Okafor,22,PHI/BRK,353,Rotation,Post Scorer,Anchor Big,-1.93,-2.13,0.2,0.09,-0.99,-1.41,0.42,-2.42,-1.84,-0.58,10.89,5.35,64.79,22.24,30.25,16.89,75.03,3.25,3.79,22.04
95,2020-21,Jahlil Okafor,25,DET,347,Rotation,Post Scorer,Anchor Big,-3.33,-2.38,-0.95,-0.2,-2.7,-1.92,-0.78,-3.74,-2,-1.73,0.87,2.96,13.74,3.45,2,6.82,15.35,0.32,2.89,1.4
96,2017-18,Emmanuel Mudiay,21,DEN/NYK,1244,Rotation,Slasher,Point of Attack,-3.19,-1.4,-1.78,-0.69,-1.47,-0.45,-1.03,-1.91,-0.52,-1.39,1.32,18.06,2.62,1.22,16.96,52.74,9.28,6.97,28.15,3.94
97,2018-19,Emmanuel Mudiay,22,NYK,1607,Starter,Slasher,Point of Attack,-2.81,-0.95,-1.86,-0.46,-2.04,-0.6,-1.44,-1.98,-0.44,-1.53,2.65,32.36,2.25,1.71,7.04,45.95,3.22,6.3,31.16,2.66
98,2021-22,Emmanuel Mudiay,25,SAC,11,Too Few Games,Low Minute,Point of Attack,-0.24,-0.2,-0.04,0.02,-0.25,-0.18,-0.07,0.33,0.2,0.13,53.77,64.93,52.52,10.21,54.94,67.11,51.84,63.93,62.71,58.24
