RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,LEBRON,O-LEBRON,D-LEBRON,LEBRON WAR,LEBRON Box Impact,O-LEBRON Box Impact,D-LEBRON Box Impact,LEBRON Vs Role Average,O-LEBRON Vs Role Average,D-LEBRON Vs Role Average,LEBRON_percentile,O-LEBRON_percentile,D-LEBRON_percentile,LEBRON WAR_percentile,LEBRON Box Impact_percentile,O-LEBRON Box Impact_percentile,D-LEBRON Box Impact_percentile,LEBRON Vs Role Average_percentile,O-LEBRON Vs Role Average_percentile,D-LEBRON Vs Role Average_percentile
4605,2025-26,Jimmy Butler,36,GSW,1182,Star,Shot Creator,Wing Stopper,2.75,2.91,-0.16,3.86,2.5,2.83,-0.33,1.49,1.86,-0.37,96.57,96.97,46.46,85.65,96.15,97.24,35.78,87.76,94.91,30.87
4606,2019-20,Jimmy Butler,30,MIA,1959,Star,Shot Creator,Helper,5.14,3.97,1.18,9.4,4.15,3.26,0.89,3.87,2.71,1.17,99.26,98.65,89.37,98.36,98.9,98.05,86.88,98.75,97.82,92.52
4607,2020-21,Jimmy Butler,31,MIA,1745,Star,Shot Creator,Helper,5.23,3.63,1.6,8.38,4.72,3.71,1,3.71,2.09,1.61,99.38,98.29,94.67,97.34,99.25,98.6,88.57,98.6,96.07,97.04
4608,2021-22,Jimmy Butler,32,MIA,1931,Star,Shot Creator,Wing Stopper,4.06,2.89,1.17,7.94,3.96,3.06,0.91,2.92,1.86,1.06,98.63,96.92,89.22,96.9,98.74,97.7,87.2,97.05,94.91,91.01
4609,2022-23,Jimmy Butler,33,MIA,2138,Star,Shot Creator,Wing Stopper,5.99,4.08,1.91,11.05,4.32,3.59,0.73,4.44,2.76,1.68,99.65,98.82,96.55,99,99.05,98.49,83.33,99.17,97.92,97.38
4610,2023-24,Jimmy Butler,34,MIA,2042,Star,Shot Creator,Wing Stopper,2.65,2.07,0.58,6.53,2.6,2.18,0.42,1.32,0.8,0.53,96.31,95.21,77.15,94.75,96.34,95.6,75.03,85.58,82.26,76.76
4611,2017-18,Jimmy Butler,28,MIN,2164,Star,Shot Creator,Wing Stopper,3.8,3.1,0.69,8.71,2.93,3.17,-0.23,2.73,2.14,0.59,98.37,97.26,79.86,97.77,97.06,97.88,41.5,96.36,96.39,79.13
4612,2018-19,Jimmy Butler,29,MIN/PHI,2185,Star,Shot Creator,Wing Stopper,1.88,1.95,-0.08,6.05,2.09,1.82,0.27,0.92,1.13,-0.21,93.64,94.62,50.41,93.55,94.9,94.33,69.82,78.49,88.05,38.66
4613,2015-16,Jimmy Butler,26,CHI,2474,Star,Shot Creator,Wing Stopper,2.15,1.91,0.24,7.43,2.23,2.1,0.13,1.38,1.2,0.18,94.71,94.41,66.13,96.19,95.4,95.31,63.61,86.29,89.08,60.9
4614,2016-17,Jimmy Butler,27,CHI,2809,Star,Shot Creator,Wing Stopper,3.97,3,0.97,11.61,3.56,3,0.56,3.23,2.32,0.91,98.57,97.12,86.1,99.26,98.34,97.58,79.23,97.75,97.02,88.27
4615,2017-18,Bojan Bogdanovic,28,IND,2464,Starter,Off Screen Shooter,Wing Stopper,-0.92,-0.31,-0.6,2.3,-0.52,0.29,-0.81,-0.94,-0.23,-0.7,33.12,60,24.46,73.49,46.64,80.55,14.44,22.41,40.23,18.06
4616,2018-19,Bojan Bogdanovic,29,IND,2573,Starter,Off Screen Shooter,Low Activity,-0.2,0.67,-0.87,3.64,0.3,0.48,-0.18,1.37,1.22,0.15,54.9,85.14,15.45,84.02,80.09,83.6,45.11,86.1,89.27,59.28
4617,2023-24,Bojan Bogdanovic,34,DET/NYK,1478,Rotation,Off Screen Shooter,Low Activity,-1.89,-0.26,-1.63,0.53,-1.78,-0.28,-1.5,-1.09,-0.19,-0.9,11.42,62.34,3.55,44.63,11.11,61.97,2.89,19.08,42.1,12.15
4618,2019-20,Bojan Bogdanovic,30,UTA,2083,Starter,Shot Creator,Low Activity,-0.34,1.04,-1.38,2.75,0.14,1.23,-1.09,-0.8,-0.22,-0.58,50.8,88.95,6.16,77.73,77.45,90.78,8.24,25.63,40.84,22.04
4619,2020-21,Bojan Bogdanovic,31,UTA,2216,Starter,Movement Shooter,Helper,-0.34,1.14,-1.48,2.93,1.17,1.3,-0.13,0.52,1.99,-1.47,50.8,90.03,4.93,79.23,89.86,91.25,48.32,69.47,95.55,3.05
4620,2021-22,Bojan Bogdanovic,32,UTA,2131,Starter,Off Screen Shooter,Low Activity,0.07,1.64,-1.56,3.39,0.85,1.84,-0.99,1.02,1.79,-0.78,74.75,93.38,4.11,82.6,87.2,94.4,9.94,80.43,94.45,15.4
4621,2015-16,Bojan Bogdanovic,26,BRK,2115,Starter,Shot Creator,Wing Stopper,-3.4,-1.18,-2.22,-1.57,-3.18,-1.09,-2.09,-4.17,-1.9,-2.27,0.69,24.66,0.85,0.2,0.52,26.93,0.49,0.08,3.35,0.19
4622,2016-17,Bojan Bogdanovic,27,BRK/WAS,2083,Starter,Off Screen Shooter,Helper,-1.59,-0.66,-0.93,1.01,-1.44,-0.03,-1.4,-1.53,-0.4,-1.13,16.59,43.79,14.22,55.69,17.74,72.94,3.84,11.53,32.84,7.06
4623,2022-23,Bojan Bogdanovic,33,DET,1893,Starter,Shot Creator,Helper,-0.61,0.87,-1.48,2.19,-1.28,0.68,-1.95,-1.86,-0.45,-1.41,42.72,87.44,4.93,72.22,21.89,86.02,0.81,7.68,30.72,3.72
4624,2016-17,Justin Harper,27,PHI,31,Too Few Games,Low Minute,Helper,-0.26,-0.09,-0.17,0.04,-0.19,-0.03,-0.17,-0.04,0.33,-0.37,53.3,69.92,45.87,13.64,56.59,72.94,45.68,50.88,69.04,30.87
4625,2015-16,Justin Harper,26,DET,35,Too Few Games,Low Minute,Mobile Big,-0.44,-0.5,0.06,0.04,-0.18,-0.3,0.12,-0.37,-0.06,-0.31,47.95,51.29,58.51,13.64,56.98,60.83,63.22,39.32,48.39,33.84
4626,2015-16,Kyle Singler,27,OKC,977,Rotation,Stationary Shooter,Helper,-1.91,-1.1,-0.8,0.24,-2.58,-1.86,-0.73,-1.25,-0.29,-0.96,11.15,27.52,17.48,34.21,2.59,7.53,17.2,15.86,37.54,10.49
4627,2016-17,Kyle Singler,28,OKC,385,Rotation,Stationary Shooter,Wing Stopper,-1.31,-1.84,0.53,0.26,-2.29,-2.08,-0.21,-0.23,-0.7,0.47,22.18,8.73,76,35.14,4.48,4.91,42.87,43.99,22.34,74.56
4628,2017-18,Kyle Singler,29,OKC,59,Garbage Time,Low Minute,Helper,-0.85,-0.55,-0.31,0.06,-0.99,-0.56,-0.43,-0.51,-0.17,-0.34,35.26,49.17,38.22,17.33,30.25,47.65,30.4,34.34,43.23,32.4
4629,2017-18,Shelvin Mack,27,ORL,1365,Key Rotation,Primary Ball Handler,Point of Attack,-0.92,-0.22,-0.7,1.27,-0.9,-0.3,-0.6,-0.74,-0.43,-0.31,33.12,64.05,20.62,60.41,33.25,60.83,22.11,27.22,31.6,33.84
4630,2015-16,Shelvin Mack,25,ATL/UTA,1058,Starter,Primary Ball Handler,Point of Attack,0.07,-0.13,0.2,1.68,-0.44,0.13,-0.57,0.51,-0.21,0.72,74.75,68.09,64.79,66.74,49.17,77.42,23.49,69.13,41.22,83.33
4631,2016-17,Shelvin Mack,26,UTA,1205,Key Rotation,Primary Ball Handler,Point of Attack,-2.03,-1.25,-0.78,0.24,-1.48,-0.98,-0.5,-1.9,-1.54,-0.36,9.46,22.39,18.04,34.21,16.72,30.67,26.95,7.14,6.6,31.26
4632,2018-19,Shelvin Mack,28,MEM/CHO,1247,Key Rotation,Primary Ball Handler,Point of Attack,-2.74,-1.51,-1.22,-0.3,-1.96,-1.2,-0.76,-2.53,-1.63,-0.9,3.04,15.34,8.78,2.69,8.45,23.31,16.11,2.64,5.59,12.15
4633,2019-20,Chandler Parsons,31,ATL,54,Too Few Games,Low Minute,Helper,-0.42,-0.34,-0.08,0.07,-0.31,-0.25,-0.06,-0.03,0.06,-0.09,48.56,58.6,50.41,18.92,53.43,63.54,52.42,51.17,55.09,46.01
4634,2016-17,Chandler Parsons,28,MEM,675,Rotation,Movement Shooter,Low Activity,-1.09,-1.16,0.07,0.55,-0.61,-0.81,0.21,0.55,-0.34,0.89,28.2,25.3,59.17,45.14,43.44,36.93,67.08,70.18,35.36,87.9
4635,2017-18,Chandler Parsons,29,MEM,691,Rotation,Secondary Ball Handler,Helper,-1.18,-0.33,-0.85,0.52,-1.12,-0.44,-0.68,-0.35,0.54,-0.89,25.68,59.04,16.05,44.36,26.41,53.25,19.18,39.91,76.12,12.42
4636,2018-19,Chandler Parsons,30,MEM,496,Rotation,Secondary Ball Handler,Low Activity,-2,-1.54,-0.45,0.12,-1.98,-1.62,-0.36,-0.12,-0.68,0.56,9.83,14.52,31.06,25.49,8.05,11.95,34.11,47.8,22.92,77.93
4637,2015-16,Chandler Parsons,27,DAL,1799,Starter,Movement Shooter,Wing Stopper,0.28,0.29,-0.01,3.12,0.28,0.41,-0.13,0.97,1.04,-0.07,78.19,79.45,54.4,80.87,79.77,82.5,48.32,79.57,86.63,47.17
4638,2015-16,Jon Leuer,26,PHO,1255,Rotation,Athletic Finisher,Helper,-0.73,-1.21,0.48,1.31,-0.19,-0.71,0.53,0.36,0.03,0.32,39.06,23.66,74.73,61.14,56.59,41.35,78.5,64.86,53.62,67.69
4639,2016-17,Jon Leuer,27,DET,1944,Key Rotation,Athletic Finisher,Helper,-0.08,-0.72,0.64,2.9,-0.62,-0.73,0.11,0.99,0.54,0.44,57.38,41.23,78.55,79.06,42.88,40.42,62.71,79.94,76.12,72.97
4640,2017-18,Jon Leuer,28,DET,136,Too Few Games,Athletic Finisher,Mobile Big,-0.92,-1.33,0.41,0.13,-1.02,-1.25,0.23,-0.25,-0.19,-0.06,33.12,20.11,72.39,26.32,29.4,21.46,68.11,43.28,42.1,47.85
4641,2018-19,Jon Leuer,29,DET,402,Garbage Time,Post Scorer,Anchor Big,-1.87,-2.08,0.2,0.13,-1.74,-2,0.25,-2.56,-1.91,-0.64,11.84,5.86,64.79,26.32,11.79,5.79,69.13,2.52,3.28,20.01
4642,2016-17,Davis Bertans,24,SAS,807,Rotation,Movement Shooter,Helper,-0.43,-0.66,0.23,1.01,-0.67,-0.53,-0.14,0.18,0.15,0.03,48.21,43.79,65.78,55.69,41.13,49.19,47.7,59.28,59.95,52.96
4643,2017-18,Davis Bertans,25,SAS,1086,Rotation,Movement Shooter,Helper,0.19,-0.05,0.24,1.82,0.06,0,0.06,1.01,0.81,0.21,76.78,71.26,66.13,68.5,76.21,73.93,59.73,80.25,82.53,62.46
4644,2018-19,Davis Bertans,26,SAS,1632,Key Rotation,Movement Shooter,Helper,1.08,-0.16,1.23,3.67,-0.42,-0.44,0.02,1.9,0.66,1.24,88,66.72,90.12,84.17,50.05,53.25,57.53,92.1,79.35,93.26
4645,2019-20,Davis Bertans,27,WAS,1583,Star,Off Screen Shooter,Helper,1.02,1.36,-0.34,3.5,-0.59,0.86,-1.45,1.44,1.79,-0.35,87.32,91.82,36.46,83.21,44.14,88,3.18,86.95,94.45,31.84
4646,2020-21,Davis Bertans,28,WAS,1464,Starter,Off Screen Shooter,Helper,0.02,0.7,-0.68,2.27,-1.03,-0.12,-0.92,-0.09,0.58,-0.67,73.83,85.48,21.34,73.17,29.05,69.62,11.31,49.14,77.15,19.03
4647,2023-24,Davis Bertans,31,OKC/CHO,674,Rotation,Off Screen Shooter,Helper,-1.12,-0.75,-0.37,0.57,-1.19,-0.58,-0.61,-0.91,-0.68,-0.23,27.43,40.15,34.99,45.57,24.45,46.78,21.6,23.09,22.92,37.68
4648,2021-22,Davis Bertans,29,WAS/DAL,806,Rotation,Off Screen Shooter,Low Activity,-0.5,0.21,-0.71,0.98,-0.89,-0.32,-0.57,0.44,0.36,0.08,46.07,77.62,20.16,55.11,33.68,59.88,23.49,67.26,70.04,55.89
4649,2022-23,Davis Bertans,30,DAL,492,Rotation,Off Screen Shooter,Helper,-0.98,-0.22,-0.76,0.46,-0.87,-0.06,-0.81,-0.54,0.16,-0.69,31.31,64.05,18.55,42.64,34.37,71.87,14.44,33.38,60.44,18.35
4650,2015-16,Andrew Goudelock,27,HOU,50,Too Few Games,Low Minute,Point of Attack,-1.03,-0.44,-0.59,0.04,-1.03,-0.49,-0.54,-0.08,0,-0.08,29.85,53.98,24.9,13.64,29.05,51,24.81,49.66,51.78,46.53
4651,2015-16,Lavoy Allen,26,IND,1599,Rotation,Roll + Cut Big,Anchor Big,-0.97,-1.33,0.37,1.41,-1.71,-1.72,0.01,-0.94,-0.4,-0.54,31.61,20.11,71.14,62.59,12.35,9.87,56.92,22.41,32.84,23.44
4652,2016-17,Lavoy Allen,27,IND,871,Rotation,Roll + Cut Big,Helper,-1.77,-1.35,-0.42,0.32,-2,-1.63,-0.38,-0.98,-0.36,-0.62,13.33,19.53,32.65,38.05,7.74,11.8,32.8,21.51,34.65,20.85
4653,2017-18,DeAndre Liggins,29,MIL/NOP,723,Rotation,Stationary Shooter,Chaser,-1.81,-2.78,0.97,0.25,-2.16,-2.59,0.44,-0.1,-1.53,1.42,12.75,1.05,86.1,34.66,5.77,1.12,75.73,48.65,6.67,95.51
4654,2016-17,DeAndre Liggins,28,CLE/DAL,776,Rotation,Stationary Shooter,Point of Attack,-1.59,-2.79,1.19,0.38,-1.55,-2.5,0.95,-0.02,-1.64,1.62,16.59,1.02,89.45,40.23,15.39,1.51,88.02,51.54,5.47,97.12
4655,2016-17,E'Twaun Moore,27,NOP,1820,Key Rotation,Movement Shooter,Chaser,-2.28,-0.96,-1.33,0.06,-2.07,-1.37,-0.7,-0.91,-0.14,-0.77,6.77,32.04,6.84,17.33,6.74,17.99,18.36,23.09,44.53,15.59
4656,2017-18,E'Twaun Moore,28,NOP,2586,Starter,Off Screen Shooter,Chaser,-1.83,-0.71,-1.12,0.85,-1.45,-0.74,-0.72,-1.3,-0.63,-0.67,12.48,41.71,10.31,52.51,17.48,39.93,17.59,14.95,24.39,19.03
4657,2018-19,E'Twaun Moore,29,NOP,1463,Key Rotation,Off Screen Shooter,Chaser,-2.76,-1.19,-1.57,-0.37,-2.36,-1.01,-1.35,-1.77,-0.64,-1.13,2.91,24.24,4.03,2.2,4.01,29.62,4.27,8.58,24.1,7.06
4658,2019-20,E'Twaun Moore,30,NOP,1020,Rotation,Off Screen Shooter,Chaser,-1.51,-0.26,-1.25,0.57,-1.66,-0.62,-1.03,-0.52,0.17,-0.68,18.41,62.34,8.11,45.57,13.33,45.07,9.28,34.02,61.17,18.7
4659,2020-21,E'Twaun Moore,31,PHO,389,Rotation,Secondary Ball Handler,Chaser,-1.86,-1.35,-0.51,0.13,-2.6,-1.82,-0.78,-0.56,-0.58,0.02,12.06,19.53,28.33,26.32,2.47,8.23,15.35,32.68,25.88,52.44
4660,2015-16,E'Twaun Moore,26,CHI,1263,Rotation,Secondary Ball Handler,Wing Stopper,-2.17,-1.34,-0.82,0.09,-2.02,-1.55,-0.47,-1.91,-1.03,-0.88,7.82,19.8,16.81,22.24,7.27,13.81,28.45,6.97,14.59,12.71
4661,2017-18,Isaiah Thomas,28,CLE/LAL,862,Starter,Primary Ball Handler,Point of Attack,-1.73,0.8,-2.54,0.34,-0.82,1.08,-1.89,-1.55,0.59,-2.14,14.04,86.73,0.32,38.86,35.91,89.78,0.95,11.24,77.51,0.3
4662,2020-21,Isaiah Thomas,31,NOP,48,Too Few Games,Low Minute,Point of Attack,-0.63,-0.46,-0.17,0.05,-0.6,-0.48,-0.12,0.02,0.03,-0.01,42.08,52.91,45.87,15.54,43.83,51.47,48.92,53.23,53.62,50.66
4663,2015-16,Isaiah Thomas,26,BOS,2644,Star,Primary Ball Handler,Point of Attack,2.51,3.4,-0.89,8.56,2.24,2.99,-0.74,2.94,3.32,-0.38,95.82,97.85,15.17,97.6,95.46,97.56,16.81,97.12,98.7,30.45
4664,2016-17,Isaiah Thomas,27,BOS,2570,Star,Primary Ball Handler,Point of Attack,2.84,5.02,-2.18,8.77,3.37,5.17,-1.8,2.98,4.73,-1.76,96.75,99.42,0.95,97.85,97.95,99.66,1.32,97.22,99.7,1.24
4665,2023-24,Isaiah Thomas,34,PHO,19,Too Few Games,Low Minute,Point of Attack,-0.94,-0.25,-0.69,0.02,-0.73,-0.13,-0.6,-0.34,0.21,-0.55,32.61,62.69,21.02,10.21,38.93,69.25,22.11,40.34,63.15,23.19
4666,2019-20,Isaiah Thomas,30,WAS,925,Key Rotation,Primary Ball Handler,Point of Attack,-3.15,-1.21,-1.94,-0.46,-1.95,-0.08,-1.86,-3,-1.39,-1.61,1.4,23.66,1.84,1.71,8.65,71.17,1.05,1.27,8.21,2.12
4667,2021-22,Isaiah Thomas,32,LAL/DAL/CHO,333,Garbage Time,Secondary Ball Handler,Point of Attack,-1.12,-0.1,-1.02,0.27,-0.89,0.05,-0.94,-0.3,0.55,-0.85,27.43,69.48,12.29,35.73,33.68,75.41,10.97,41.59,76.39,13.34
4668,2018-19,Isaiah Thomas,29,DEN,181,Garbage Time,Secondary Ball Handler,Low Activity,-1.53,-0.39,-1.14,0.1,-1.74,-0.61,-1.13,0.35,0.48,-0.13,18.06,56.19,10.02,23.68,11.79,45.51,7.38,64.61,74.22,43.52
4669,2017-18,Dwight Buycks,28,DET,427,Rotation,Shot Creator,Point of Attack,-1.44,-0.6,-0.84,0.25,-1.3,-0.33,-0.97,-2.01,-1.56,-0.45,19.52,46.5,16.3,34.66,21.26,59.33,10.43,6.03,6.38,27.25
4670,2017-18,Xavier Silas,30,BOS,7,Too Few Games,Low Minute,Chaser,-0.5,-0.09,-0.41,0.01,-0.59,-0.19,-0.4,0.33,0.29,0.04,46.07,69.92,33.21,7.8,44.14,66.6,31.75,63.93,67.23,53.67
4671,2017-18,Julyan Stone,29,CHO,175,Garbage Time,Stationary Shooter,Chaser,-1.44,-1.96,0.52,0.1,-0.9,-1.55,0.65,0.26,-0.7,0.97,19.52,7.18,75.8,23.68,33.25,13.81,81.38,61.9,22.34,89.37
4672,2019-20,Jeremy Pargo,33,GSW,44,Too Few Games,Low Minute,Chaser,-0.31,-0.54,0.23,0.06,-0.4,-0.52,0.12,0.65,-0.14,0.8,51.84,49.71,65.78,17.33,50.7,49.64,63.22,72.56,44.53,85.53
4673,2018-19,Brad Wanamaker,29,BOS,343,Garbage Time,Secondary Ball Handler,Point of Attack,-0.85,-0.24,-0.61,0.34,-1.2,-0.64,-0.56,0.34,0.63,-0.29,35.26,63.12,23.98,38.86,24.18,44.3,23.93,64.2,78.5,34.7
4674,2019-20,Brad Wanamaker,30,BOS,1369,Key Rotation,Primary Ball Handler,Point of Attack,-1.48,-0.68,-0.8,0.78,-0.68,-0.86,0.18,-1.33,-0.86,-0.47,18.89,42.87,17.48,50.8,40.68,34.88,65.91,14.51,18.57,26.42
4675,2021-22,Brad Wanamaker,32,IND/WAS,320,Garbage Time,Secondary Ball Handler,Point of Attack,-1.77,-1.62,-0.15,0.13,-1.74,-1.5,-0.23,-0.94,-0.97,0.02,13.33,12.73,46.99,26.32,11.79,14.59,41.5,22.41,16.11,52.44
4676,2020-21,Brad Wanamaker,31,GSW/CHO,1053,Rotation,Primary Ball Handler,Point of Attack,-1.29,-1.39,0.09,0.75,-1.53,-1.26,-0.27,-1.39,-1.65,0.26,22.55,18.4,60.02,50.02,15.82,21.06,39.3,13.57,5.35,64.59
4677,2015-16,Greg Smith,25,MIN,192,Garbage Time,Roll + Cut Big,Anchor Big,-1.68,-1.52,-0.16,0.08,-1.69,-1.63,-0.06,-1.66,-0.59,-1.07,14.97,15.1,46.46,20.62,12.62,11.8,52.42,10,25.61,8.12
4678,2019-20,Anthony Davis,26,LAL,2131,Star,Shot Creator,Helper,5.56,3.34,2.21,10.74,5.18,2.93,2.25,4.29,2.08,2.2,99.55,97.77,98.07,98.9,99.48,97.41,98.49,99.07,95.97,99.09
4679,2020-21,Anthony Davis,27,LAL,1162,Star,Shot Creator,Helper,3.37,2.03,1.34,4.28,3.16,1.53,1.63,1.85,0.5,1.35,97.76,95.01,91.74,87.81,97.6,92.6,96.12,91.57,74.93,94.77
4680,2021-22,Anthony Davis,28,LAL,1404,Star,Shot Creator,Mobile Big,2.83,1.05,1.79,4.71,2.71,1.45,1.26,1.31,0.01,1.3,96.7,89.05,95.84,89.61,96.56,92.23,92.43,85.38,52.27,94.25
4681,2022-23,Anthony Davis,29,LAL,1905,Star,Shot Creator,Anchor Big,5.28,3.1,2.19,9.08,4.16,2.38,1.77,3.18,1.78,1.4,99.41,97.26,97.99,98.09,98.92,96.07,96.89,97.66,94.36,95.29
4682,2023-24,Anthony Davis,30,LAL,2700,Star,Post Scorer,Anchor Big,4.77,2.04,2.72,11.9,4.06,1.97,2.09,3.71,1.73,1.98,99.15,95.06,99.2,99.34,98.8,94.84,98.16,98.6,94.03,98.56
4683,2015-16,Anthony Davis,22,NOP,2164,Star,Shot Creator,Anchor Big,3.25,1.74,1.51,8.07,2.99,1.69,1.3,1.63,1.02,0.61,97.5,93.84,93.74,97.05,97.19,93.58,93.04,89.52,86.39,79.94
4684,2016-17,Anthony Davis,23,NOP,2708,Star,Shot Creator,Anchor Big,3.35,2.35,1,10.13,3.42,1.62,1.8,1.8,1.66,0.14,97.69,96.09,86.54,98.73,98.05,93.14,97.02,91.05,93.45,58.94
4685,2017-18,Anthony Davis,24,NOP,2727,Star,Shot Creator,Anchor Big,4.23,2.99,1.24,11.71,4.55,2.72,1.84,2.49,2.03,0.46,98.8,97.07,90.32,99.31,99.15,96.97,97.12,95.33,95.72,73.97
4686,2018-19,Anthony Davis,25,NOP,1850,Star,Shot Creator,Anchor Big,6.77,4.41,2.35,10.6,5.43,3.58,1.85,5.1,3.59,1.51,99.88,99.09,98.51,98.82,99.55,98.46,97.16,99.53,98.92,96.19
4687,2024-25,Anthony Davis,31,LAL/DAL,1706,Star,Shot Creator,Mobile Big,3.94,2.38,1.56,6.81,4.09,2.51,1.59,1.91,1.13,0.78,98.52,96.21,94.28,95.18,98.84,96.48,95.6,92.18,88.05,85.04
4688,2025-26,Anthony Davis,32,DAL,626,Star,Shot Creator,Mobile Big,1.9,0.89,1.01,1.71,1.62,0.49,1.13,-0.03,-0.16,0.13,93.77,87.53,86.71,67.08,92.6,83.73,90.35,51.17,43.74,58.24
4689,2015-16,Michael Kidd-Gilchrist,22,CHO,205,Too Few Games,Athletic Finisher,Wing Stopper,-0.62,-0.56,-0.06,0.23,-0.75,-0.82,0.07,0.57,0.68,-0.11,42.4,48.68,51.59,33.84,38.48,36.58,60.34,70.79,79.81,44.72
4690,2016-17,Michael Kidd-Gilchrist,23,CHO,2350,Star,Athletic Finisher,Wing Stopper,1.3,-1.16,2.46,5.66,0.35,-1.24,1.59,2.51,0.11,2.4,90.07,25.3,98.75,92.6,81.01,21.8,95.6,95.45,57.53,99.32
4691,2017-18,Michael Kidd-Gilchrist,24,CHO,1850,Starter,Athletic Finisher,Wing Stopper,0.1,-0.91,1.01,2.98,-0.88,-1.43,0.56,1.14,0.22,0.92,75.53,33.78,86.71,79.72,34,16.42,79.23,82.63,63.74,88.46
4692,2018-19,Michael Kidd-Gilchrist,25,CHO,1179,Key Rotation,Athletic Finisher,Wing Stopper,-0.19,-1.14,0.95,1.67,-1.35,-1.52,0.17,1.08,0.26,0.82,55.13,26.18,85.7,66.59,20.03,14.29,65.52,81.48,65.64,86.17
4693,2019-20,Michael Kidd-Gilchrist,26,CHO/DAL,281,Garbage Time,Stationary Shooter,Helper,-0.34,-0.89,0.55,0.37,-0.94,-1.12,0.17,0.87,0.33,0.54,50.8,34.5,76.52,39.83,31.63,25.78,65.52,77.57,69.04,77.13
4694,2025-26,Bradley Beal,32,LAC,121,Too Few Games,Secondary Ball Handler,Chaser,-0.48,-0.21,-0.27,0.15,-0.59,-0.16,-0.42,0.37,0.39,-0.03,46.7,64.45,40.25,28.25,44.14,67.92,30.94,65.03,71.23,49.71
4695,2023-24,Bradley Beal,30,PHO,1767,Starter,Primary Ball Handler,Chaser,-0.15,0.29,-0.45,2.55,0.07,0.54,-0.47,0.24,0.18,0.07,56.1,79.45,31.06,75.8,76.4,84.39,28.45,61.27,61.54,55.37
4696,2024-25,Bradley Beal,31,PHO,1702,Starter,Primary Ball Handler,Point of Attack,-0.79,0.14,-0.93,1.77,-0.65,0.26,-0.91,-1.09,-0.13,-0.96,36.83,76.34,14.22,67.99,41.79,80.03,11.59,19.08,45.01,10.49
4697,2015-16,Bradley Beal,22,WAS,1708,Starter,Off Screen Shooter,Chaser,0.1,0.54,-0.45,2.75,-0.61,0.5,-1.11,1.16,0.98,0.18,75.53,83.28,31.06,77.73,43.44,83.92,7.77,83.01,85.78,60.9
4698,2016-17,Bradley Beal,23,WAS,2684,Star,Off Screen Shooter,Chaser,1.96,2.82,-0.85,7.63,1.09,2.51,-1.43,2.78,3.07,-0.29,94.04,96.83,16.05,96.5,89.18,96.48,3.35,96.53,98.32,34.7
4699,2017-18,Bradley Beal,24,WAS,2977,Star,Shot Creator,Chaser,0.65,1.87,-1.22,5.89,0.95,1.77,-0.82,0.14,0.9,-0.76,83.53,94.26,8.78,93.14,88,93.96,14.07,57.97,84.41,16.03
4700,2018-19,Bradley Beal,25,WAS,3028,Star,Primary Ball Handler,Chaser,1.13,2.33,-1.2,6.9,1.13,2.4,-1.27,1.45,2.22,-0.77,88.56,95.97,9.21,95.41,89.47,96.17,5.21,87.14,96.72,15.59
4701,2019-20,Bradley Beal,26,WAS,2053,Star,Primary Ball Handler,Chaser,1.79,3.83,-2.05,5.56,1.07,3.4,-2.33,2.18,3.65,-1.48,93.15,98.49,1.25,92.32,88.98,98.22,0.19,94.01,99.04,3
4702,2020-21,Bradley Beal,27,WAS,2147,Star,Off Screen Shooter,Chaser,2.23,3.49,-1.25,6.38,0.93,2.37,-1.44,2.65,3.37,-0.72,94.9,98.09,8.11,94.35,87.84,96.02,3.22,96.09,98.71,17.42
4703,2021-22,Bradley Beal,28,WAS,1439,Star,Shot Creator,Chaser,1.17,1.61,-0.44,3.31,0.06,1.19,-1.13,0.66,0.57,0.08,88.75,93.23,31.67,82.19,76.21,90.59,7.38,72.8,76.93,55.89
4704,2022-23,Bradley Beal,29,WAS,1673,Star,Shot Creator,Chaser,1.23,1.96,-0.73,3.88,0.77,1.61,-0.84,0.5,0.64,-0.14,89.4,94.67,19.57,85.82,86.36,93.09,13.39,68.77,78.79,42.96
4705,2019-20,Dion Waiters,28,MIA/LAL,207,Too Few Games,Primary Ball Handler,Chaser,-1.26,-0.61,-0.65,0.15,-1.37,-0.55,-0.82,-0.87,-0.79,-0.08,23.3,46.01,22.49,28.25,19.62,48.02,14.07,24.04,20.31,46.53
4706,2016-17,Dion Waiters,25,MIA,1384,Starter,Shot Creator,Wing Stopper,-0.21,-0.09,-0.13,1.94,-0.12,0.38,-0.5,-0.96,-0.77,-0.19,54.66,69.92,47.85,69.69,58.31,81.97,26.95,21.85,20.75,40
4707,2017-18,Dion Waiters,26,MIA,918,Starter,Shot Creator,Wing Stopper,-2.2,-1.16,-1.03,0.08,-0.85,-0.03,-0.82,-3.26,-2.13,-1.13,7.51,25.3,12.07,20.62,34.97,72.94,14.07,0.85,2.27,7.06
4708,2018-19,Dion Waiters,27,MIA,1138,Starter,Shot Creator,Chaser,-1.08,-0.43,-0.65,0.95,-0.78,-0.04,-0.74,-1.47,-1.25,-0.21,28.43,54.55,22.49,54.37,37.41,72.58,16.81,12.39,10.36,38.66
