RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Fouls Drawn / 75,Stable Fouls Drawn Per 75,Stable Shooting Fouls Drawn Per 75,Stable Non Shooting Fouls Drawn Per 75,Stable FTA Per 75,Drive Foul Drawn Rate,Isolation Foul Drawn Rate,Fouls Drawn / 75_percentile,Stable Fouls Drawn Per 75_percentile,Stable Shooting Fouls Drawn Per 75_percentile,Stable Non Shooting Fouls Drawn Per 75_percentile,Stable FTA Per 75_percentile,Drive Foul Drawn Rate_percentile,Isolation Foul Drawn Rate_percentile
1156,2025-26,Josh Hart,30,NYK,1964,Starter,Stationary Shooter,Wing Stopper,2.49,2.5,0,0.21,2.42,4.6,0,58.26,52.31,0,31.76,32.88,42.1,0
1157,2021-22,Josh Hart,26,NOP/POR,1791,Starter,Primary Ball Handler,Wing Stopper,3.59,3.55,0,0.24,4.31,6.72,18.75,80.64,82.23,0,39.8,82.11,58.74,95.89
1158,2018-19,Johnathan Motley,23,LAC,156,Garbage Time,Post Scorer,Anchor Big,5.29,4.57,0,0.6,6.88,10,0,95.3,92.91,0,95.5,97.11,78.87,0
1159,2019-20,Johnathan Motley,24,LAC,41,Garbage Time,Low Minute,Helper,4.21,3.51,0,0.42,4.19,0,0,88.08,81.36,0,84.37,80.4,0,0
1160,2017-18,Johnathan Motley,22,DAL,176,Garbage Time,Post Scorer,Anchor Big,5.04,4.4,0,0.44,5.12,5.26,0,94.06,91.74,0,86.87,90.18,46.94,0
1161,2020-21,Dwayne Bacon,25,ORL,1853,Key Rotation,Secondary Ball Handler,Chaser,2.54,2.55,0,0.2,3.49,9.42,11.9,59.7,54.24,0,29.7,66.12,76.33,86.64
1162,2017-18,Dwayne Bacon,22,CHO,713,Rotation,Secondary Ball Handler,Wing Stopper,1.28,1.45,0,0.29,1.52,2.97,0,26.8,21.46,0,55.27,9.16,31.58,0
1163,2018-19,Dwayne Bacon,23,CHO,759,Rotation,Secondary Ball Handler,Wing Stopper,2.05,2.13,0,0.19,2.39,6.57,12.5,45.76,39.35,0,27.4,32.17,57.34,87.46
1164,2019-20,Dwayne Bacon,24,CHO,687,Rotation,Slasher,Helper,2.27,2.34,0,0.2,2.96,7.77,9.09,52.12,46.71,0,29.7,49.84,66.22,79.44
1165,2024-25,PJ Dozier,28,MIN,35,Garbage Time,Low Minute,Chaser,2.88,2.86,0,0.33,3.96,25,0,67.25,64.89,0,67.25,76.28,97.82,0
1166,2018-19,PJ Dozier,22,BOS,51,Too Few Games,Low Minute,Helper,2.08,2.73,0,0.34,2.71,14.29,0,46.46,60.74,0,69.57,41.56,90.73,0
1167,2017-18,PJ Dozier,21,OKC,3,Too Few Games,Low Minute,Chaser,0,2.93,0,0.35,3.24,0,0,0,67.49,0,72.09,58.86,0,0
1168,2022-23,PJ Dozier,26,SAC,79,Garbage Time,Low Minute,Chaser,2.73,2.85,0,0.26,1.94,0,0,64.01,64.54,0,46.12,19.23,0,0
1169,2019-20,PJ Dozier,23,DEN,412,Rotation,Secondary Ball Handler,Point of Attack,2.73,2.76,0,0.27,2.75,5.69,0,64.01,61.58,0,49.23,42.97,50.69,0
1170,2020-21,PJ Dozier,24,DEN,1088,Key Rotation,Secondary Ball Handler,Chaser,2.44,2.46,0,0.16,2.36,5.76,3.33,56.99,51.01,0,20.95,31.13,51.27,68.66
1171,2021-22,PJ Dozier,25,DEN,340,Rotation,Movement Shooter,Chaser,1.98,2.17,0,0.17,1.86,11.11,0,43.99,40.64,0,22.89,17.01,83.11,0
1172,2017-18,Alec Peters,22,PHO,225,Garbage Time,Off Screen Shooter,Low Activity,1.61,1.98,0,0.28,2.12,16.67,0,34.26,34.72,0,52.44,24.67,93.65,0
1173,2017-18,Edmond Sumner,22,IND,2,Too Few Games,Low Minute,Chaser,18.75,3.42,0,0.35,3.28,0,0,99.99,79.97,0,72.09,60.23,0,0
1174,2018-19,Edmond Sumner,23,IND,210,Garbage Time,Secondary Ball Handler,Chaser,3.15,3.15,0,0.3,3.8,9.52,0,73,73.88,0,58.25,73.35,76.75,0
1175,2019-20,Edmond Sumner,24,IND,447,Rotation,Secondary Ball Handler,Chaser,2.26,2.37,0,0.17,2.54,3.33,10,51.84,47.74,0,22.89,36.26,33.71,81.71
1176,2020-21,Edmond Sumner,25,IND,861,Rotation,Stationary Shooter,Chaser,2.52,2.55,0,0.09,3.37,8,0,59.12,54.24,0,14.42,62.74,67.52,0
1177,2022-23,Edmond Sumner,27,BRK,736,Rotation,Stationary Shooter,Point of Attack,4.35,4.22,0,0.24,5.09,11.3,24,89.11,90.3,0,39.8,89.99,84.37,98.61
1178,2021-22,Wes Iwundu,27,ATL,82,Too Few Games,Low Minute,Helper,1.86,2.43,0,0.27,2.68,14.29,0,40.55,49.73,0,49.23,40.66,90.73,0
1179,2020-21,Wes Iwundu,26,DAL/NOP,535,Garbage Time,Stationary Shooter,Chaser,1.81,1.93,0,0.29,2.28,7.27,0,39.05,33.09,0,55.27,29.02,62.68,0
1180,2017-18,Wes Iwundu,23,ORL,1020,Rotation,Athletic Finisher,Chaser,1.78,1.86,0,0.15,1.89,3.96,7.69,38.25,30.82,0,19.41,17.88,37.86,75.94
1181,2018-19,Wes Iwundu,24,ORL,1233,Rotation,Athletic Finisher,Chaser,2.24,2.29,0,0.29,3.08,11.29,14.29,51.27,45.05,0,55.27,53.87,84.32,90.46
1182,2019-20,Wes Iwundu,25,ORL,953,Rotation,Movement Shooter,Chaser,2.28,2.35,0,0.27,3.72,16.09,0,52.45,47.1,0,49.23,71.58,93.28,0
1183,2019-20,Frank Mason III,25,MIL,118,Garbage Time,Primary Ball Handler,Point of Attack,3.74,3.51,0,0.35,4.25,7.02,0,82.73,81.36,0,72.09,81.24,60.55,0
1184,2020-21,Frank Mason III,26,ORL,79,Too Few Games,Low Minute,Point of Attack,1.89,2.39,0,0.25,3.31,7.14,0,41.45,48.46,0,43.11,61.3,61.29,0
1185,2017-18,Frank Mason III,23,SAC,984,Key Rotation,Slasher,Point of Attack,3.98,3.9,0,0.3,4.47,6.63,14.29,85.7,87.13,0,58.25,84.34,57.86,90.46
1186,2018-19,Frank Mason III,24,SAC,435,Rotation,Secondary Ball Handler,Point of Attack,3.96,3.83,0,0.56,4.33,3.57,12.5,85.55,86.04,0,94.13,82.53,35.08,87.46
1187,2018-19,Jonah Bolden,23,PHI,639,Rotation,Stationary Shooter,Helper,1.15,1.35,0,0.31,1.73,7.14,0,24.76,19.52,0,61.2,13.64,61.29,0
1188,2019-20,Jonah Bolden,24,PHI/PHO,47,Too Few Games,Low Minute,Anchor Big,2.97,3.06,0,0.41,3.26,100,0,69.53,71.6,0,83.21,59.47,99.8,0
1189,2017-18,Sindarius Thornwell,23,LAC,1156,Rotation,Athletic Finisher,Wing Stopper,2.34,2.35,0,0.28,2.86,9.88,0,54.23,47.1,0,52.44,46.62,78.55,0
1190,2018-19,Sindarius Thornwell,24,LAC,313,Garbage Time,Stationary Shooter,Chaser,2.05,2.2,0,0.36,3.7,8.57,0,45.76,41.49,0,74.39,71.02,71.35,0
1191,2019-20,Sindarius Thornwell,25,NOP,35,Too Few Games,Low Minute,Chaser,2.11,2.78,0,0.34,3.65,25,0,47.32,62.23,0,69.57,70.02,97.82,0
1192,2020-21,Sindarius Thornwell,26,NOP/ORL,217,Garbage Time,Stationary Shooter,Chaser,1.01,1.51,0,0.38,1.95,5,0,22.47,22.66,0,78.54,19.45,44.86,0
1193,2023-24,Dillon Brooks,28,HOU,2227,Starter,Movement Shooter,Wing Stopper,1.95,1.97,0,0.17,2.46,8.07,0,43.28,34.27,0,22.89,34.1,68.16,0
1194,2024-25,Dillon Brooks,29,HOU,2388,Starter,Movement Shooter,Wing Stopper,1.68,1.72,0,0.24,1.93,7.36,6.25,35.84,27.32,0,39.8,19.05,63.34,72.99
1195,2017-18,Dillon Brooks,22,MEM,2350,Starter,Secondary Ball Handler,Wing Stopper,2.9,2.9,0,0.18,2.75,6.7,3.45,67.88,66.26,0,25.1,42.97,58.67,68.82
1196,2018-19,Dillon Brooks,23,MEM,330,Rotation,Movement Shooter,Chaser,2.66,2.75,0,0.31,3.47,9.23,0,62.44,61.42,0,61.2,65.68,75.42,0
1197,2019-20,Dillon Brooks,24,MEM,2112,Starter,Secondary Ball Handler,Wing Stopper,2.97,2.97,0,0.24,3.4,6.85,7.55,69.53,68.72,0,39.8,63.79,59.51,75.86
1198,2020-21,Dillon Brooks,25,MEM,1997,Starter,Secondary Ball Handler,Wing Stopper,2.99,2.98,0,0.18,3.5,6.54,6.35,70.05,69.05,0,25.1,66.29,57.12,73.42
1199,2021-22,Dillon Brooks,26,MEM,885,Starter,Shot Creator,Wing Stopper,4.47,4.34,0,0.21,4.25,6.93,8.33,90.2,91.28,0,31.76,81.24,60.01,77.6
1200,2022-23,Dillon Brooks,27,MEM,2214,Starter,Secondary Ball Handler,Wing Stopper,2.14,2.17,0,0.18,2.54,5.87,9.59,48.04,40.64,0,25.1,36.26,51.95,80.95
1201,2025-26,Dillon Brooks,30,PHO,1680,Starter,Shot Creator,Wing Stopper,3.88,3.82,0,0.41,4.34,8.19,0,84.5,85.97,0,83.21,82.66,68.89,0
1202,2017-18,Tyler Dorsey,21,ATL,974,Rotation,Secondary Ball Handler,Low Activity,2.56,2.59,0,0.37,2.47,3.02,3.03,60.09,55.75,0,76.63,34.42,31.81,68.43
1203,2018-19,Tyler Dorsey,22,ATL/MEM,698,Garbage Time,Movement Shooter,Low Activity,2.55,2.59,0,0.5,3.16,7.82,14.29,59.9,55.75,0,91.11,56.49,66.59,90.46
1204,2022-23,Tyler Dorsey,26,DAL,8,Too Few Games,Low Minute,Helper,0,2.74,0,0.31,3.27,0,0,0,61.04,0,61.2,59.88,0,0
1205,2018-19,Jaron Blossomgame,25,CLE,439,Rotation,Stretch Big,Helper,1.46,1.72,0,0.23,1.55,0,0,30.67,27.32,0,37.19,9.7,0,0
1206,2024-25,Thomas Bryant,27,MIA/IND,963,Rotation,Stretch Big,Mobile Big,2.34,2.38,0,0.13,2.49,6.67,0,54.23,48.05,0,16.67,35.01,57.98,0
1207,2017-18,Thomas Bryant,20,LAL,72,Garbage Time,Low Minute,Anchor Big,4.47,3.74,0,0.45,3.83,0,0,90.2,84.97,0,87.77,74.06,0,0
1208,2023-24,Thomas Bryant,26,MIA,441,Rotation,Roll + Cut Big,Mobile Big,2.81,2.81,0,0.22,3.87,16.67,0,65.84,63.3,0,34.53,74.83,93.65,0
1209,2018-19,Thomas Bryant,21,WAS,1496,Rotation,Roll + Cut Big,Mobile Big,3.07,3.06,0,0.32,3.28,3.85,0,71.58,71.6,0,64.45,60.23,36.75,0
1210,2019-20,Thomas Bryant,22,WAS,1147,Key Rotation,Roll + Cut Big,Anchor Big,3.06,3.07,0,0.25,3.54,15.63,0,71.4,71.89,0,43.11,67.31,92.94,0
1211,2020-21,Thomas Bryant,23,WAS,271,Starter,Roll + Cut Big,Anchor Big,2.77,2.79,0,0.23,3.09,0,0,64.97,62.65,0,37.19,54.19,0,0
1212,2021-22,Thomas Bryant,24,WAS,439,Rotation,Roll + Cut Big,Anchor Big,3.25,3.22,0,0.29,3.39,10,0,75.01,75.5,0,55.27,63.42,78.87,0
1213,2025-26,Thomas Bryant,28,CLE,732,Rotation,Stretch Big,Mobile Big,3.19,3.15,0,0.27,3.3,0,0,73.74,73.88,0,49.23,60.96,0,0
1214,2022-23,Thomas Bryant,25,LAL/DEN,1081,Key Rotation,Roll + Cut Big,Anchor Big,3.26,3.24,0,0.23,4.14,11.11,0,75.17,76.17,0,37.19,79.62,83.11,0
1215,2021-22,Cameron Oliver,25,ATL,43,Too Few Games,Low Minute,Mobile Big,1.7,2.52,0,0.29,3.12,0,0,36.27,53.1,0,55.27,55.12,0,0
1216,2020-21,Cameron Oliver,24,HOU,87,Too Few Games,Low Minute,Mobile Big,1.22,1.99,0,0.4,2.49,0,0,25.8,35.04,0,81.63,35.01,0,0
1217,2023-24,Monte Morris,28,DET/MIN,476,Rotation,Secondary Ball Handler,Chaser,1.41,1.61,0,0.25,1.79,2.04,20,29.33,24.63,0,43.11,14.98,27.72,96.78
1218,2024-25,Monte Morris,29,PHO,571,Rotation,Secondary Ball Handler,Point of Attack,1.89,2.01,0,0.26,2.81,6.98,0,41.45,35.66,0,46.12,45.25,60.3,0
1219,2022-23,Monte Morris,27,WAS,1696,Starter,Primary Ball Handler,Point of Attack,1.56,1.63,0,0.27,1.77,3.94,10.53,32.97,25.15,0,49.23,14.51,37.63,83.28
1220,2017-18,Monte Morris,22,DEN,25,Too Few Games,Low Minute,Point of Attack,2.83,2.99,0,0.33,3.23,16.67,0,66.17,69.78,0,67.25,58.56,93.65,0
1221,2018-19,Monte Morris,23,DEN,1970,Key Rotation,Primary Ball Handler,Point of Attack,1.91,1.96,0,0.24,1.62,2.28,9.68,42.05,33.85,0,39.8,11.26,28.66,81.1
1222,2019-20,Monte Morris,24,DEN,1636,Key Rotation,Primary Ball Handler,Point of Attack,1.94,2,0,0.25,2.08,2.68,5,43.01,35.34,0,43.11,23.36,30.24,70.7
1223,2020-21,Monte Morris,25,DEN,1196,Key Rotation,Primary Ball Handler,Point of Attack,1.72,1.79,0,0.29,2.35,2.83,8.7,36.72,29.14,0,55.27,30.98,30.9,78.63
1224,2021-22,Monte Morris,26,DEN,2239,Starter,Primary Ball Handler,Point of Attack,1.43,1.48,0,0.17,1.47,2.58,2.7,29.83,21.91,0,22.89,8.11,29.88,68.29
1225,2017-18,Devin Robinson,22,WAS,13,Too Few Games,Low Minute,Chaser,5.56,3.42,0,0.34,2.93,0,0,96.23,79.97,0,69.57,48.99,0,0
1226,2018-19,Devin Robinson,23,WAS,95,Too Few Games,Low Minute,Helper,4.55,3.88,0,0.46,4.4,14.29,0,90.8,86.88,0,88.6,83.49,90.73,0
1227,2017-18,Damyean Dotson,23,NYK,474,Rotation,Off Screen Shooter,Low Activity,1.71,1.9,0,0.24,2.06,5.77,0,36.56,32.05,0,39.8,22.7,51.38,0
1228,2018-19,Damyean Dotson,24,NYK,2004,Starter,Off Screen Shooter,Chaser,1.56,1.62,0,0.23,1.86,4.66,2.78,32.97,24.93,0,37.19,17.01,42.47,68.32
1229,2019-20,Damyean Dotson,25,NYK,836,Rotation,Off Screen Shooter,Chaser,1.22,1.38,0,0.15,1.65,4.35,7.14,25.8,20.06,0,19.41,11.95,40.48,74.85
1230,2021-22,Damyean Dotson,27,NYK,21,Too Few Games,Low Minute,Chaser,0,2.43,0,0.31,2.82,0,0,0,49.73,0,61.2,45.49,0,0
1231,2020-21,Damyean Dotson,26,CLE,907,Rotation,Secondary Ball Handler,Chaser,1.47,1.59,0,0.15,1.65,5.39,0,30.92,24.21,0,19.41,11.95,48.2,0
1232,2017-18,Kobi Simmons,20,MEM,643,Key Rotation,Primary Ball Handler,Point of Attack,2.29,2.37,0,0.21,1.72,2.56,7.14,52.89,47.74,0,31.76,13.36,29.73,74.85
1233,2023-24,Kobi Simmons,26,TOR,67,Too Few Games,Low Minute,Point of Attack,1.11,2.05,0,0.24,1.96,0,0,24.06,36.86,0,39.8,19.74,0,0
1234,2022-23,Kobi Simmons,25,CHO,28,Too Few Games,Low Minute,Point of Attack,2.59,2.9,0,0.29,3.33,25,0,60.78,66.26,0,55.27,61.74,97.82,0
1235,2018-19,Kobi Simmons,21,CLE,2,Too Few Games,Low Minute,Point of Attack,0,3.07,0,0.38,3.38,0,0,0,71.89,0,78.54,63.11,0,0
1236,2020-21,Sterling Brown,25,HOU,1229,Key Rotation,Movement Shooter,Chaser,0.85,0.97,0,0.16,1.08,1.86,0,20.61,15.26,0,20.95,2.69,27.07,0
1237,2022-23,Sterling Brown,27,LAL,24,Too Few Games,Low Minute,Chaser,0,2.19,0,0.29,2.73,0,0,0,41.2,0,55.27,42.27,0,0
1238,2017-18,Sterling Brown,22,MIL,776,Rotation,Movement Shooter,Chaser,1.12,1.3,0,0.22,1.42,5.32,0,24.31,18.73,0,34.53,7.03,47.59,0
1239,2018-19,Sterling Brown,23,MIL,1034,Rotation,Movement Shooter,Low Activity,1.01,1.15,0,0.18,1.59,5.19,9.09,22.47,16.91,0,25.1,10.63,46.39,79.44
1240,2019-20,Sterling Brown,24,MIL,767,Rotation,Movement Shooter,Low Activity,1.62,1.76,0,0.18,1.97,6.9,0,34.49,28.36,0,25.1,20.08,59.77,0
1241,2021-22,Sterling Brown,26,DAL,628,Rotation,Stationary Shooter,Helper,0.71,0.96,0,0.2,1.21,1.35,0,19.44,15.2,0,29.7,4.03,25.91,0
1242,2023-24,Sasha Vezenkov,28,SAC,511,Rotation,Movement Shooter,Helper,1.2,1.41,0,0.12,1.42,4.17,0,25.51,20.67,0,15.66,7.03,39.12,0
1243,2019-20,Vlatko Cancar,22,DEN,45,Garbage Time,Low Minute,Helper,1.6,2.51,0,0.42,3.4,0,0,33.93,52.75,0,84.37,63.79,0,0
1244,2020-21,Vlatko Cancar,23,DEN,281,Garbage Time,Movement Shooter,Helper,1.49,1.8,0,0.28,2.02,11.11,0,31.42,29.4,0,52.44,21.33,83.11,0
1245,2021-22,Vlatko Cancar,24,DEN,176,Garbage Time,Athletic Finisher,Helper,3.23,3.14,0,0.28,3.02,11.76,0,74.52,73.58,0,52.44,51.85,85.41,0
1246,2022-23,Vlatko Cancar,25,DEN,889,Garbage Time,Stationary Shooter,Helper,1.92,2.01,0,0.15,1.89,5.88,0,42.24,35.66,0,19.41,17.88,51.99,0
1247,2024-25,Vlatko Cancar,27,DEN,136,Garbage Time,Stretch Big,Helper,1.06,1.69,0,0.2,1.35,0,0,23.25,26.59,0,29.7,5.91,0,0
1248,2017-18,Charles Cooke,23,NOP,38,Garbage Time,Low Minute,Chaser,1.85,2.67,0,0.4,2.89,0,0,40.26,58.48,0,81.63,47.4,0,0
1249,2019-20,Nigel Williams-Goss,25,UTA,50,Garbage Time,Low Minute,Point of Attack,1.4,2.41,0,0.41,2.73,0,0,29.18,48.94,0,83.21,42.27,0,0
1250,2018-19,Davon Reed,23,IND,47,Garbage Time,Low Minute,Chaser,0.71,2.17,0,0.34,2.26,0,0,19.44,40.64,0,69.57,28.51,0,0
1251,2017-18,Davon Reed,22,PHO,242,Garbage Time,Off Screen Shooter,Low Activity,1.49,1.86,0,0.21,2.22,9.68,0,31.42,30.82,0,31.76,27.46,77.51,0
1252,2021-22,Davon Reed,26,DEN,668,Rotation,Movement Shooter,Helper,0.72,0.95,0,0.15,1.16,1.82,0,19.52,15.14,0,19.41,3.5,26.91,0
1253,2022-23,Davon Reed,27,DEN/LAL,342,Garbage Time,Movement Shooter,Chaser,1.58,1.84,0,0.31,2.76,14.55,0,33.41,30.37,0,61.2,43.42,91.67,0
1254,2022-23,Chance Comanche,26,POR,21,Too Few Games,Low Minute,Helper,6.98,3.83,0,0.47,4.16,0,0,99,86.04,0,89.26,79.91,0,0
1255,2020-21,Luke Kornet,25,CHI/BOS,347,Garbage Time,Stretch Big,Anchor Big,1.05,1.39,0,0.16,1.2,0,0,23.09,20.22,0,20.95,3.91,0,0
1256,2021-22,Luke Kornet,26,CLE/MIL/BOS,103,Garbage Time,Athletic Finisher,Helper,1.72,2.26,0,0.33,2.66,0,0,36.72,43.82,0,67.25,39.97,0,0
1257,2022-23,Luke Kornet,27,BOS,804,Rotation,Roll + Cut Big,Anchor Big,1.73,1.83,0,0.22,1.96,0,0,37.01,30.07,0,34.53,19.74,0,0
1258,2023-24,Luke Kornet,28,BOS,983,Rotation,Roll + Cut Big,Anchor Big,2.64,2.65,0,0.19,2.21,0,0,62.02,57.83,0,27.4,27.14,0,0
1259,2024-25,Luke Kornet,29,BOS,1361,Rotation,Roll + Cut Big,Anchor Big,2.95,2.94,0,0.13,2.79,0,0,69.14,67.85,0,16.67,44.56,0,0
1260,2017-18,Luke Kornet,22,NYK,326,Rotation,Stretch Big,Anchor Big,1.92,2.14,0,0.24,1.72,0,0,42.24,39.7,0,39.8,13.36,0,0
1261,2018-19,Luke Kornet,23,NYK,784,Rotation,Stretch Big,Helper,2.35,2.43,0,0.34,2.26,10,0,54.58,49.73,0,69.57,28.51,78.87,0
1262,2025-26,Luke Kornet,30,SAS,1412,Key Rotation,Roll + Cut Big,Anchor Big,3.17,3.14,0,0.39,2.97,0,0,73.43,73.58,0,80.14,50.38,0,0
1263,2019-20,Luke Kornet,24,CHI,559,Rotation,Stretch Big,Mobile Big,1.9,2.06,0,0.23,2.05,0,0,41.74,37.17,0,37.19,22.35,0,0
1264,2017-18,Isaiah Hicks,23,NYK,239,Garbage Time,Post Scorer,Helper,2.31,2.47,0,0.22,2.95,0,0,53.52,51.4,0,34.53,49.52,0,0
1265,2018-19,Isaiah Hicks,24,NYK,32,Too Few Games,Low Minute,Anchor Big,5.77,3.89,0,0.44,4.03,0,0,96.79,87.03,0,86.87,77.6,0,0
1266,2017-18,Kadeem Allen,25,BOS,107,Garbage Time,Shot Creator,Point of Attack,2.4,2.65,0,0.42,3.24,10.53,0,55.86,57.83,0,84.37,58.86,81.37,0
1267,2018-19,Kadeem Allen,26,NYK,416,Key Rotation,Slasher,Point of Attack,4.1,3.95,0,0.41,4.56,8.21,23.08,87.1,87.64,0,83.21,85.41,69.07,98.21
1268,2019-20,Kadeem Allen,27,NYK,117,Garbage Time,Primary Ball Handler,Point of Attack,2.15,2.53,0,0.43,3.4,0,0,48.36,53.46,0,85.73,63.79,0,0
1269,2017-18,Jabari Bird,23,BOS,115,Garbage Time,Athletic Finisher,Chaser,2.22,2.56,0,0.34,3.75,0,0,50.7,54.65,0,69.57,72.17,0,0
1270,2017-18,Chris Boucher,25,GSW,1,Too Few Games,Low Minute,Helper,0,3.02,0,0.35,3.29,0,0,0,70.6,0,72.09,60.66,0,0
1271,2025-26,Chris Boucher,33,BOS,94,Rotation,Low Minute,Helper,1.62,2.22,0,0.33,2.69,0,0,34.49,42.34,0,67.25,41,0,0
1272,2018-19,Chris Boucher,26,TOR,163,Garbage Time,Stretch Big,Helper,3.18,3.15,0,0.46,3.28,0,0,73.58,73.88,0,88.6,60.23,0,0
1273,2019-20,Chris Boucher,27,TOR,819,Garbage Time,Stretch Big,Anchor Big,4.06,3.99,0,0.36,4.94,3.45,0,86.65,88.05,0,74.39,88.76,34.46,0
1274,2020-21,Chris Boucher,28,TOR,1453,Rotation,Stretch Big,Helper,3.59,3.56,0,0.24,4.78,13.56,0,80.64,82.4,0,39.8,87.49,89.8,0
1275,2021-22,Chris Boucher,29,TOR,1690,Key Rotation,Stretch Big,Helper,3.88,3.83,0,0.32,4.27,20.45,0,84.5,86.04,0,64.45,81.51,96.88,0
1276,2022-23,Chris Boucher,30,TOR,1523,Rotation,Stretch Big,Helper,3.4,3.38,0,0.42,4.1,17.39,0,77.58,79.09,0,84.37,78.89,94.75,0
1277,2023-24,Chris Boucher,31,TOR,705,Rotation,Stretch Big,Low Activity,4.59,4.39,0,0.13,4.69,8,0,91.19,91.66,0,16.67,86.74,67.52,0
1278,2024-25,Chris Boucher,32,TOR,862,Rotation,Stationary Shooter,Low Activity,2.98,2.96,0,0.23,3.71,10.71,0,69.8,68.45,0,37.19,71.19,82.01,0
1279,2019-20,Eric Mika,25,SAC,19,Too Few Games,Low Minute,Helper,1.92,2.87,0,0.35,3.5,0,0,42.24,65.21,0,72.09,66.29,0,0
1280,2017-18,Jacob Wiley,23,BRK,33,Too Few Games,Low Minute,Wing Stopper,1.06,2.43,0,0.32,3.02,0,0,23.25,49.73,0,64.45,51.85,0,0
1281,2017-18,Mike James,27,PHO/NOP,686,Key Rotation,Primary Ball Handler,Point of Attack,3.36,3.33,0,0.35,4.17,7.24,30.43,77.05,78.22,0,72.09,80.09,62.47,99.51
1282,2020-21,Mike James,30,BRK,236,Garbage Time,Shot Creator,Point of Attack,3.27,3.19,0,0.37,3.92,7.14,0,75.42,75,0,76.63,75.57,61.29,0
1283,2017-18,Milos Teodosic,30,LAC,1134,Key Rotation,Primary Ball Handler,Chaser,2.08,2.16,0,0.4,1.6,1.76,0,46.46,40.38,0,81.63,10.83,26.67,0
1284,2018-19,Milos Teodosic,31,LAC,150,Garbage Time,Secondary Ball Handler,Point of Attack,2.33,2.6,0,0.41,2.32,2.44,0,53.98,56.11,0,83.21,30.08,29.31,0
1285,2017-18,Tyler Cavanaugh,23,ATL,518,Rotation,Stretch Big,Helper,1.64,1.83,0,0.27,1.79,5.26,0,34.92,30.07,0,49.23,14.98,46.94,0
1286,2018-19,Tyler Cavanaugh,24,UTA,39,Garbage Time,Low Minute,Helper,0.85,2.31,0,0.34,2.91,33.33,0,20.61,45.73,0,69.57,48.16,98.7,0
1287,2022-23,Daniel Theis,30,IND,109,Too Few Games,Roll + Cut Big,Anchor Big,3.35,3.2,0,0.24,3.8,20,0,76.85,75.11,0,39.8,73.35,96.01,0
1288,2023-24,Daniel Theis,31,IND/LAC,1015,Rotation,Roll + Cut Big,Mobile Big,2.11,2.17,0,0.23,1.95,12.5,0,47.32,40.64,0,37.19,19.45,87.13,0
1289,2024-25,Daniel Theis,32,NOP,621,Rotation,Roll + Cut Big,Anchor Big,2.62,2.65,0,0.28,2.3,0,0,61.39,57.83,0,52.44,29.56,0,0
1290,2017-18,Daniel Theis,25,BOS,936,Rotation,Roll + Cut Big,Anchor Big,3.5,3.45,0,0.39,3.31,7.14,0,79.19,80.42,0,80.14,61.3,61.29,0
1291,2018-19,Daniel Theis,26,BOS,908,Rotation,Roll + Cut Big,Mobile Big,2.86,2.87,0,0.31,3.06,26.32,0,66.87,65.21,0,61.2,53.21,98.32,0
1292,2019-20,Daniel Theis,27,BOS,1566,Key Rotation,Roll + Cut Big,Anchor Big,3.27,3.26,0,0.38,2.73,7.14,0,75.42,76.7,0,78.54,42.27,61.29,0
1293,2021-22,Daniel Theis,29,HOU/BOS,977,Key Rotation,Stretch Big,Mobile Big,2.93,2.92,0,0.25,2.78,3.85,0,68.63,67.09,0,43.11,44.24,36.75,0
1294,2020-21,Daniel Theis,28,BOS/CHI,1601,Key Rotation,Stretch Big,Anchor Big,2.63,2.65,0,0.3,2.58,11.43,0,61.69,57.83,0,58.25,37.41,84.67,0
1295,2024-25,Maxi Kleber,33,DAL,637,Rotation,Stationary Shooter,Wing Stopper,1.67,1.79,0,0.17,1.48,7.02,0,35.55,29.14,0,22.89,8.35,60.55,0
1296,2025-26,Maxi Kleber,34,LAL,434,Rotation,Athletic Finisher,Mobile Big,1.93,2.08,0,0.24,2.46,10,0,42.76,37.79,0,39.8,34.1,78.87,0
1297,2017-18,Maxi Kleber,26,DAL,1206,Rotation,Stretch Big,Helper,2.01,2.06,0,0.18,1.97,4.17,0,44.67,37.17,0,25.1,20.08,39.12,0
1298,2018-19,Maxi Kleber,27,DAL,1502,Key Rotation,Stationary Shooter,Wing Stopper,1.82,1.88,0,0.29,1.93,7.14,0,39.38,31.51,0,55.27,19.05,61.29,0
1299,2019-20,Maxi Kleber,28,DAL,1890,Key Rotation,Stationary Shooter,Helper,1.85,1.89,0,0.25,1.87,10,0,40.26,31.76,0,43.11,17.25,78.87,0
1300,2020-21,Maxi Kleber,29,DAL,1341,Key Rotation,Stationary Shooter,Helper,1.21,1.31,0,0.24,1.17,2.94,0,25.63,18.96,0,39.8,3.64,31.34,0
1301,2021-22,Maxi Kleber,30,DAL,1450,Key Rotation,Stationary Shooter,Helper,2.33,2.37,0,0.36,1.82,8.33,0,53.98,47.74,0,74.39,15.78,69.62,0
1302,2022-23,Maxi Kleber,31,DAL,930,Key Rotation,Stationary Shooter,Mobile Big,1.65,1.75,0,0.26,1.72,16.67,0,35.14,28.13,0,46.12,13.36,93.65,0
