RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Post Up Shot Making,Post Up Impact Per 75 Possessions,Stable Post Up PPP,Post Up Shot Making Efficiency,Post Up Shooting Talent,Post Up Shot Quality,Post Up Shot Making_percentile,Post Up Impact Per 75 Possessions_percentile,Stable Post Up PPP_percentile,Post Up Shot Making Efficiency_percentile,Post Up Shooting Talent_percentile,Post Up Shot Quality_percentile
1609,2019-20,Collin Sexton,21,CLE,2143,Starter,Slasher,Chaser,-0.21,0,0.87,-0.61,-0.59,-1.24,22.96,12.81,8.43,36.09,53.5,5.76
1610,2020-21,Collin Sexton,22,CLE,2115,Starter,Slasher,Chaser,-0.15,0,0.87,-0.57,-0.51,0.85,32.79,12.81,8.43,40.38,62.19,83.94
1611,2021-22,Collin Sexton,23,CLE,316,Key Rotation,Slasher,Point of Attack,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
1612,2018-19,Landry Shamet,21,PHI/LAC,1802,Rotation,Off Screen Shooter,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1613,2019-20,Landry Shamet,22,LAC,1452,Key Rotation,Off Screen Shooter,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1614,2024-25,Landry Shamet,27,NYK,762,Rotation,Movement Shooter,Chaser,-0.05,0,0.87,-0.61,-0.44,0.34,53.13,12.81,8.43,36.09,68.09,66.43
1615,2025-26,Landry Shamet,28,NYK,1143,Key Rotation,Movement Shooter,Chaser,-0.27,0,0.87,-0.88,-0.62,0.5,16.54,12.81,8.43,16.88,51.2,73.64
1616,2021-22,Landry Shamet,24,PHO,1437,Rotation,Movement Shooter,Low Activity,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
1617,2022-23,Landry Shamet,25,PHO,807,Rotation,Movement Shooter,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
1618,2020-21,Landry Shamet,23,BRK,1403,Key Rotation,Movement Shooter,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1619,2023-24,Landry Shamet,26,WAS,726,Rotation,Off Screen Shooter,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
1620,2025-26,Anfernee Simons,26,BOS/CHI,1372,Key Rotation,Shot Creator,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1621,2018-19,Anfernee Simons,19,POR,140,Garbage Time,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1622,2019-20,Anfernee Simons,20,POR,1449,Rotation,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1623,2020-21,Anfernee Simons,21,POR,1104,Rotation,Secondary Ball Handler,Low Activity,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1624,2021-22,Anfernee Simons,22,POR,1681,Key Rotation,Shot Creator,Point of Attack,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
1625,2022-23,Anfernee Simons,23,POR,2171,Starter,Shot Creator,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
1626,2023-24,Anfernee Simons,24,POR,1582,Starter,Shot Creator,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
