RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Midrange Talent,Midrange Shot Making,Midrange Shot Creation,Midrange Pull Up Talent,Midrange Pull Up Shot Making,Midrange Pull Up Shot Making Efficiency,Stable Long Midrange FG%,Stable Short Midrange FG%,Midrange FGM Per 75,Midrange Pull Up FGM Per 75,Midrange Talent_percentile,Midrange Shot Making_percentile,Midrange Shot Creation_percentile,Midrange Pull Up Talent_percentile,Midrange Pull Up Shot Making_percentile,Midrange Pull Up Shot Making Efficiency_percentile,Stable Long Midrange FG%_percentile,Stable Short Midrange FG%_percentile,Midrange FGM Per 75_percentile,Midrange Pull Up FGM Per 75_percentile,Midrange Shot Making Efficiency,Midrange Pull Up FG%,Midrange Shot Making Efficiency_percentile,Midrange Pull Up FG%_percentile
3334,2023-24,Jarace Walker,20,IND,340,Rotation,Movement Shooter,Helper,-0.4,-0.1,-0.24,-0.36,-0.04,-0.36,42.62,42.06,1.35,1.04,55.3,48.33,54.87,59.41,58.99,59.72,89.44,61.48,54.76,79.7,-0.56,50,45.91,85.91
3335,2024-25,Jarace Walker,21,IND,1187,Rotation,Stationary Shooter,Helper,-0.3,-0.06,-0.4,-0.3,-0.04,-0.14,40.99,49.16,1.48,0.64,61.93,54.8,48.57,62.86,58.99,70.78,61.19,98.42,58.95,68.07,-0.16,44.68,68.44,75.07
3336,2025-26,Jarace Walker,22,IND,1924,Starter,Movement Shooter,Helper,-0.34,-0.39,0.09,-0.29,-0.34,-0.81,40.92,39.6,1.47,0.57,59.17,17.12,67.75,63.34,19.33,32.24,59.39,35.97,58.65,65.48,-0.86,38.27,28.53,54.19
3337,2023-24,Cason Wallace,20,OKC,1692,Key Rotation,Stationary Shooter,Point of Attack,-0.58,-0.26,-0.26,-0.53,-0.27,-0.69,41.99,41.24,0.82,0.5,39.4,27.68,54.16,45.97,25.51,39.54,80.9,53.36,36.07,62.95,-0.58,46,44.87,79.15
3338,2024-25,Cason Wallace,21,OKC,1876,Starter,Stationary Shooter,Point of Attack,-0.66,-0.47,-0.09,-0.65,-0.52,-1.26,40.79,44.13,1.02,0.25,30.37,12.48,60.73,32.55,9.35,12.67,56.64,81.43,43.27,49.82,-1.09,34.21,17.85,43.76
3339,2025-26,Cason Wallace,22,OKC,2046,Starter,Secondary Ball Handler,Point of Attack,-0.8,-0.65,-0.01,-0.74,-0.65,-1.59,41.09,38.44,0.58,0.19,17.2,6.17,63.72,22.61,5.8,5.38,63.31,26.84,27.52,45.55,-1.58,36.67,5.74,49.67
3340,2023-24,Keyonte George,20,UTA,2023,Starter,Primary Ball Handler,Point of Attack,0.15,0.16,0.51,0.31,0.3,0.16,39.65,43.49,2.1,0.81,80.62,79.09,81.38,84.12,83.63,80.53,32.61,75.24,74.98,73.61,0.01,39.82,74.91,58.77
3341,2024-25,Keyonte George,21,UTA,2108,Starter,Primary Ball Handler,Point of Attack,0.06,-0.01,0.54,0.16,0.05,-0.26,39.07,41.82,2.11,0.69,78.2,63.86,82.28,80.87,72.76,64.9,25.83,59.49,75.14,70.02,-0.28,35.09,62.36,45.71
3342,2025-26,Keyonte George,22,UTA,1786,Starter,Primary Ball Handler,Wing Stopper,0.83,0.67,0.64,0.69,0.47,-0.03,41.92,45.23,3.43,1.29,91.35,90.3,85.11,89.79,87.19,74.58,79.67,89.21,93.17,85.32,0.2,38.01,81.2,53.72
3343,2023-24,Jalen Hood-Schifino,20,LAL,109,Garbage Time,Shot Creator,Point of Attack,-0.11,-0.17,0.57,-0.13,-0.17,-1.5,40.45,42.01,1.61,0.97,71.92,38.56,83.12,71.78,37.99,6.95,48.47,61,62.75,78.06,-1.45,21.43,7.92,24.06
3344,2024-25,Jalen Hood-Schifino,21,LAL/PHI,315,Key Rotation,Secondary Ball Handler,Point of Attack,0.02,0.03,0.5,0.15,0.15,-0.21,41.13,45.91,2.07,1.96,76.95,70.1,81.15,80.62,78.65,67.31,64.08,92.16,74.4,94.26,-0.34,51.52,59.17,91.55
3345,2023-24,Maxwell Lewis,21,LAL,103,Garbage Time,Movement Shooter,Helper,-0.51,-0.09,-0.38,-0.52,-0.09,-1.15,42.19,42.5,0.33,0.33,46.11,50.1,49.07,46.87,50.01,16.16,84.45,65.52,20.78,54.81,-1.12,33.33,16.57,38.25
