Season,Player,NBA_ID,D-LEBRON,D_LEBRON_Rank,LEBRON,LEBRON_Rank,Minutes,O-LEBRON,O_LEBRON_Rank,player_name,year
2009-10,david west,2561,-1.58,399.5,-1.19,278.0,2949.0,0.4,105.5,david west,2010
2009-10,deandre jordan,201599,0.26,144.0,-2.16,381.0,1137.0,-2.42,405.0,deandre jordan,2010
2009-10,dejuan blair,201971,0.11,161.5,-0.17,147.0,1494.0,-0.28,171.5,dejuan blair,2010
2009-10,delonte west,2753,0.64,84.0,0.29,111.5,1500.0,-0.35,186.5,delonte west,2010
2009-10,demar derozan,201942,-0.49,272.5,-1.49,319.5,1664.0,-1.0,285.0,demar derozan,2010
2009-10,demarre carroll,201960,-0.04,189.5,-1.62,343.0,795.0,-1.57,346.5,demarre carroll,2010
2009-10,derek fisher,965,0.44,113.5,0.1,117.5,2227.0,-0.34,184.5,derek fisher,2010
2009-10,deron williams,101114,-0.12,211.0,4.0,6.0,2802.0,4.12,5.0,deron williams,2010
2009-10,derrick brown,201974,-0.32,241.0,-1.44,312.0,535.0,-1.12,299.0,derrick brown,2010
2009-10,derrick rose,201565,-1.11,358.5,-0.34,168.0,2871.0,0.76,76.0,derrick rose,2010
2009-10,desagana diop,2205,0.57,97.5,-0.87,228.0,262.0,-1.44,334.5,desagana diop,2010
2009-10,deshawn stevenson,2052,-0.32,241.0,-2.04,372.5,883.0,-1.72,362.5,deshawn stevenson,2010
2009-10,desmond mason,2046,0.11,161.5,-0.42,177.0,65.0,-0.53,213.5,desmond mason,2010
2009-10,devean george,1904,-0.33,244.0,-0.61,196.5,761.0,-0.28,171.5,devean george,2010
2009-10,devin brown,2484,0.19,153.0,-0.65,201.0,1060.0,-0.84,263.5,devin brown,2010
2009-10,devin harris,2734,-1.45,394.0,-0.42,177.0,2221.0,1.02,63.0,devin harris,2010
2009-10,dirk nowitzki,1717,0.97,59.5,2.53,28.0,3039.0,1.56,34.0,dirk nowitzki,2010
2009-10,dj mbenga,2788,0.98,58.0,-1.61,340.5,355.0,-2.6,408.0,dj mbenga,2010
2009-10,dj white,201591,-0.74,316.0,-1.15,272.0,102.0,-0.41,195.0,dj white,2010
2009-10,dominic mcguire,201187,0.04,173.0,-2.12,378.0,307.0,-2.16,390.0,dominic mcguire,2010
2009-10,donte greene,201590,0.27,141.5,-1.19,278.0,1630.0,-1.46,336.5,donte greene,2010
2009-10,dorell wright,2748,0.27,141.5,0.54,95.0,1496.0,0.27,114.0,dorell wright,2010
2009-10,dwayne jones,101204,-0.61,293.0,-1.12,268.0,7.0,-0.51,210.5,dwayne jones,2010
2009-10,dwight howard,2730,4.41,1.0,5.66,3.0,2843.0,1.25,48.0,dwight howard,2010
2009-10,dwyane wade,2548,0.6,90.5,6.36,2.0,2792.0,5.76,2.0,dwyane wade,2010
2009-10,earl barron,2853,-0.15,215.0,-0.29,163.0,232.0,-0.14,154.0,earl barron,2010
2009-10,earl boykins,1863,-2.3,423.0,-3.32,419.0,1117.0,-1.03,292.0,earl boykins,2010
2009-10,earl clark,201947,-0.88,334.0,-3.64,422.0,383.0,-2.76,418.0,earl clark,2010
2009-10,earl watson,2248,-0.14,214.0,-0.35,169.0,2322.0,-0.21,163.5,earl watson,2010
2009-10,eddy curry,2201,-0.11,207.0,-1.33,302.5,62.0,-1.23,310.0,eddy curry,2010
2009-10,eduardo najera,2059,0.43,115.0,-1.29,295.5,685.0,-1.72,362.5,eduardo najera,2010
2009-10,elton brand,1882,0.4,120.5,-0.16,144.5,2297.0,-0.56,217.0,elton brand,2010
2009-10,emeka okafor,2731,1.46,44.0,-0.17,147.0,2370.0,-1.63,356.0,emeka okafor,2010
2009-10,eric gordon,201569,-2.09,418.0,-0.95,240.0,2229.0,1.14,56.0,eric gordon,2010
2009-10,eric maynor,201953,-0.57,287.5,-1.46,316.0,1269.0,-0.89,273.5,eric maynor,2010
2009-10,erick dampier,956,2.17,15.0,0.49,99.0,1280.0,-1.68,360.5,erick dampier,2010
2009-10,ersan ilyasova,101141,1.27,49.0,1.21,57.0,1898.0,-0.06,145.0,ersan ilyasova,2010
2009-10,etan thomas,2041,-0.12,211.0,-3.06,413.0,321.0,-2.94,419.0,etan thomas,2010
2009-10,fabricio oberto,101177,0.48,107.0,-2.54,394.0,650.0,-3.02,421.0,fabricio oberto,2010
2009-10,flip murray,2436,-0.96,342.5,-1.12,268.0,1673.0,-0.16,155.5,flip murray,2010
2009-10,francisco elson,1922,-0.07,198.5,-0.71,207.0,66.0,-0.64,228.5,francisco elson,2010
2009-10,francisco garcia,101128,0.02,177.5,-0.29,163.0,575.0,-0.31,178.5,francisco garcia,2010
2009-10,garrett temple,202066,-0.23,226.0,-1.09,261.0,334.0,-0.86,267.0,garrett temple,2010
2009-10,george hill,201588,0.74,75.0,1.72,45.0,2276.0,0.98,67.0,george hill,2010
2009-10,gerald henderson,201945,0.34,129.0,-0.88,230.0,355.0,-1.21,308.0,gerald henderson,2010
2009-10,gerald wallace,2222,2.5,11.5,2.29,31.0,3119.0,-0.21,163.5,gerald wallace,2010
2009-10,gilbert arenas,2240,-0.63,296.0,1.43,53.0,1169.0,2.06,21.0,gilbert arenas,2010
2009-10,glen davis,201175,-1.53,396.0,-3.35,420.0,933.0,-1.82,369.5,glen davis,2010
2009-10,goran dragic,201609,-1.27,376.5,-0.94,238.0,1442.0,0.33,109.0,goran dragic,2010
2009-10,grant hill,255,0.36,126.5,-0.46,187.0,2430.0,-0.82,258.0,grant hill,2010
2009-10,greg oden,201141,2.3,14.0,1.95,36.0,502.0,-0.34,184.5,greg oden,2010
2009-10,hakim warrick,101124,-1.83,413.5,-2.95,412.0,1557.0,-1.11,297.0,hakim warrick,2010
2009-10,hamed haddadi,201632,0.6,90.5,-1.42,308.0,240.0,-2.02,380.5,hamed haddadi,2010
2009-10,hasheem thabeet,201934,2.78,7.0,0.43,103.5,883.0,-2.35,400.0,hasheem thabeet,2010
2009-10,hedo turkoglu,2045,-1.26,375.0,-0.68,204.0,2272.0,0.58,89.0,hedo turkoglu,2010
2009-10,ian mahinmi,101133,0.51,105.0,-0.51,192.5,165.0,-1.02,288.5,ian mahinmi,2010
2009-10,ime udoka,2137,0.56,100.0,-0.27,158.5,944.0,-0.83,261.0,ime udoka,2010
2009-10,j.j. barea,200826,-1.39,387.0,-1.51,325.0,1546.0,-0.12,152.0,j.j. barea,2010
2009-10,j.r. giddens,201592,-0.4,256.5,-1.83,359.5,239.0,-1.43,332.5,j.r. giddens,2010
2009-10,jamaal magloire,2048,0.78,73.0,-1.27,290.5,359.0,-2.05,385.0,jamaal magloire,2010
2009-10,jamaal tinsley,2224,-0.09,204.0,-0.9,235.0,589.0,-0.81,254.5,jamaal tinsley,2010
2009-10,jamal crawford,2037,-3.02,428.0,-0.38,172.5,2460.0,2.64,14.0,jamal crawford,2010
2009-10,jamario moon,200081,0.75,74.0,0.03,128.0,1052.0,-0.72,240.5,jamario moon,2010
2009-10,jameer nelson,2749,0.24,146.0,1.3,56.0,1860.0,1.06,59.5,jameer nelson,2010
2009-10,james harden,201935,0.35,128.0,0.96,66.5,1738.0,0.61,87.0,james harden,2010
2009-10,james johnson,201949,0.84,71.0,-2.17,382.0,757.0,-3.0,420.0,james johnson,2010
2009-10,james jones,2592,-0.35,248.0,-1.22,284.0,503.0,-0.87,269.0,james jones,2010
2009-10,james posey,1899,-0.06,195.0,0.04,126.5,1731.0,0.1,129.0,james posey,2010
2009-10,jannero pargo,2457,-1.4,389.5,-1.86,362.0,829.0,-0.46,200.5,jannero pargo,2010
2009-10,jared dudley,201162,-0.42,260.0,0.46,100.0,1991.0,0.88,70.0,jared dudley,2010
2009-10,jarrett jack,101127,-1.6,402.5,0.36,107.0,2243.0,1.96,23.0,jarrett jack,2010
2009-10,jarron collins,2260,0.39,123.0,-2.36,388.5,260.0,-2.75,417.0,jarron collins,2010
2009-10,jarvis hayes,2553,-1.63,404.0,-3.24,416.0,1032.0,-1.61,353.5,jarvis hayes,2010
2009-10,jason collins,2215,-0.59,290.5,-2.36,388.5,115.0,-1.78,366.5,jason collins,2010
2009-10,jason hart,2078,0.27,141.5,0.01,130.0,22.0,-0.26,168.0,jason hart,2010
2009-10,jason kapono,2574,-1.76,409.0,-2.64,402.0,976.0,-0.89,273.5,jason kapono,2010
2009-10,jason kidd,467,1.63,36.0,2.87,20.0,2881.0,1.24,50.0,jason kidd,2010
2009-10,jason maxiell,101131,-0.38,251.0,-0.76,212.5,1550.0,-0.37,189.0,jason maxiell,2010
2009-10,jason richardson,2202,-0.68,305.5,1.09,61.0,2485.0,1.76,30.0,jason richardson,2010
2009-10,jason smith,201160,0.22,149.0,-1.7,349.5,658.0,-1.92,376.0,jason smith,2010
2009-10,jason terry,1891,-0.65,300.0,0.5,97.5,2540.0,1.15,55.0,jason terry,2010
2009-10,jason thompson,201574,0.58,94.5,-0.85,226.0,2357.0,-1.43,332.5,jason thompson,2010
2009-10,jason williams,1715,-0.85,328.5,-0.12,140.5,1703.0,0.73,80.5,jason williams,2010
2009-10,javale mcgee,201580,1.71,29.0,0.06,123.5,968.0,-1.64,357.0,javale mcgee,2010
2009-10,jawad williams,101214,-1.6,402.5,-3.21,415.0,742.0,-1.61,353.5,jawad williams,2010
2009-10,jeff ayres,201965,0.66,81.5,-1.72,351.5,405.0,-2.38,401.0,jeff ayres,2010
2009-10,jeff foster,1902,0.23,147.0,-1.01,247.0,255.0,-1.24,311.5,jeff foster,2010
2009-10,jeff green,201145,-0.04,189.5,0.13,116.0,3043.0,0.17,126.0,jeff green,2010
2009-10,jeff teague,201952,-0.49,272.5,-1.43,310.0,718.0,-0.94,278.0,jeff teague,2010
2009-10,jermaine o'neal,979,1.35,46.0,0.55,94.0,1991.0,-0.8,251.5,jermaine o'neal,2010
2009-10,jermaine taylor,201966,-1.69,407.0,-2.57,396.5,303.0,-0.88,271.5,jermaine taylor,2010
