RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Transition Shot Creation,Avg Speed Offense,Avg Speed Defense,Movement Speed Rating,Offensive Transition Frequency Impact,Transition Frequency Impact,Perimeter Isolation Defense,Stable And 1s Per 75,Post Defense,Screen Assists Per 75 Possessions,Transition Shot Creation_percentile,Avg Speed Offense_percentile,Avg Speed Defense_percentile,Movement Speed Rating_percentile,Offensive Transition Frequency Impact_percentile,Transition Frequency Impact_percentile,Perimeter Isolation Defense_percentile,Stable And 1s Per 75_percentile,Post Defense_percentile,Screen Assists Per 75 Possessions_percentile,Finishing Talent,Screening Talent,Usage Rate,True Usage,Stable True Usage%,Defensive Playmaking,Finishing Talent_percentile,Screening Talent_percentile,Usage Rate_percentile,True Usage_percentile,Stable True Usage%_percentile,Defensive Playmaking_percentile
428,2021-22,Royce O'Neale,28,UTA,2406,Starter,Stationary Shooter,Wing Stopper,-0.78,4.58,3.84,0.03,-0.02,-0.29,1.04,0.15,-0.59,1.52,38.99,51.29,27.1,53.1,49.57,23.05,90.52,19.23,34.66,79.67,-0.65,0.27,9.9,19.44,19.56,3.19,34.73,72.6,3.23,24.18,8.38,66.39
429,2022-23,Royce O'Neale,29,BRK,2409,Starter,Movement Shooter,Helper,-0.75,4.58,3.66,-0.06,-0.14,0.62,0.48,0.12,-0.59,0.95,40.57,51.29,8.85,38.92,34.99,89.37,81.12,16.25,34.66,74.61,-1.41,0.45,13.6,25.73,25.93,3.1,3.67,78.99,17.72,49.86,39.2,62.36
430,2023-24,Cedi Osman,28,SAS,1269,Rotation,Movement Shooter,Helper,-0.22,4.73,4.01,0.09,-0.21,-0.87,-0.92,0.3,-1.13,0.45,63.74,71.77,58.63,62.17,29.08,4.84,22.29,51.93,8.88,60.38,-0.33,-0.4,15.1,24.91,24.83,2.77,56.99,38.05,28.32,46.17,33.12,47.03
431,2017-18,Cedi Osman,22,CLE,672,Rotation,Stationary Shooter,Chaser,-0.37,4.64,4.33,0.09,0.4,0.35,-0.2,0.3,-0.67,0.49,57.85,59.43,94.22,62.17,84.63,81.23,60.2,51.93,29.78,62.56,-0.49,-0.53,15.7,22.31,23.17,3.27,45.99,31.86,32.53,35.17,24.41,69.47
432,2018-19,Cedi Osman,23,CLE,2444,Starter,Secondary Ball Handler,Wing Stopper,-0.05,4.37,3.86,-0.26,-0.45,-0.8,0.16,0.37,-1.02,0.54,70.09,23.42,30.57,15.21,13.73,5.89,72.78,71.93,12.21,64.87,0.09,-0.82,18.6,29.41,29.62,2.19,76.17,19.8,56.45,63.07,56.79,27.62
433,2019-20,Cedi Osman,24,CLE,1910,Starter,Movement Shooter,Helper,-0.27,4.32,3.99,-0.32,-0.07,-0.49,0.06,0.28,-0.23,0.31,61.99,18.59,54.67,11.12,42.95,14.4,69.87,46.45,58.14,51.53,-0.36,-0.62,16.6,27.13,27.12,2.91,55.04,27.63,40.03,55.13,44.99,52.87
434,2020-21,Cedi Osman,25,CLE,1511,Key Rotation,Movement Shooter,Chaser,-0.19,4.5,3.88,-0.14,0.04,-0.82,-0.66,0.26,-0.38,0.39,65.09,39.16,33.94,27.86,58.88,5.52,35.79,41.45,48.96,56.59,-0.73,-0.98,20.4,34.43,34.27,2.82,28.42,15.19,68.26,77.53,73.92,48.95
435,2021-22,Cedi Osman,26,CLE,1462,Rotation,Movement Shooter,Chaser,-0.05,4.34,3.93,-0.3,-0.15,-0.46,-0.58,0.38,-1.04,0.38,70.09,20.46,43.39,12.45,34.11,15.5,39.78,74,11.48,56.02,-0.17,-0.68,21.1,32.75,32.62,3,65.4,25.1,71.94,72.86,68.31,57.02
436,2022-23,Cedi Osman,27,CLE,1548,Rotation,Movement Shooter,Low Activity,-0.37,4.25,3.94,-0.39,-0.31,0.17,-0.8,0.31,-0.95,0.49,57.85,13.52,45.28,7.43,21.7,72.51,27.99,54.78,15.04,62.56,-0.21,-0.93,18.2,27.17,27.14,2.46,63.32,16.47,53.4,55.31,45.16,35.13
437,2015-16,Luis Montero,22,POR,42,Garbage Time,Low Minute,Chaser,-0.79,4.58,3.9,0.04,-0.08,-0.09,-0.39,0.29,-0.5,0,38.53,51.29,37.29,54.52,41.73,35.75,51.01,49.24,40.79,0,-0.86,-0.36,25.7,35.07,35.55,1.84,18.23,40.12,88.78,78.89,77.35,20.09
438,2017-18,Luis Montero,24,DET,8,Too Few Games,Low Minute,Helper,-1.07,4.46,4.61,-0.08,-0.03,-0.06,-0.14,0.34,,4.41,23.1,33.83,98.82,36.16,48.26,38.16,62.89,63.4,,92.1,-0.83,-0.25,16.6,17.65,28.83,3.1,20.68,46.18,40.03,19.86,53.01,62.36
439,2015-16,Cristiano Felicio,23,CHI,321,Rotation,Roll + Cut Big,Anchor Big,-1.48,4.76,4.07,0.29,-0.06,0.04,-1.44,0.34,0.34,0,5.37,75.33,68.12,85.7,44.18,62.95,5.47,63.4,80.27,0,-0.49,-0.98,13.7,23.85,24.72,2.57,45.99,15.19,18.36,41.65,32.3,38.96
440,2016-17,Cristiano Felicio,24,CHI,1040,Rotation,Roll + Cut Big,Anchor Big,-0.99,4.52,4.08,0.05,0.02,-0.06,-1.42,0.33,-0.36,4.78,27.66,42.04,69.77,56.19,55.85,38.16,5.95,60.87,50.48,93.78,-0.03,0.1,12.4,19.36,19.77,2.56,71.31,65.45,10.7,24.01,9.12,38.54
441,2017-18,Cristiano Felicio,25,CHI,977,Rotation,Roll + Cut Big,Mobile Big,-1.39,4.77,4.24,0.3,0.16,-0.12,-1.07,0.4,0.75,5.23,8.01,76.44,89,86.46,70.37,33.25,15.9,77.3,88.36,95.43,-0.05,0.19,13.6,21.52,21.96,2.02,70.6,69.5,17.72,31.79,17.82,23.51
442,2018-19,Cristiano Felicio,26,CHI,746,Rotation,Roll + Cut Big,Mobile Big,-1.31,4.52,4.01,0.05,-0.09,0.15,-1.15,0.48,-0.64,5.78,10.85,42.04,58.63,56.19,40.36,71.21,13.12,87.3,31.5,96.95,-0.42,0.25,14.3,19.55,20,1.76,51.1,71.96,22.34,24.4,9.68,18.63
443,2019-20,Cristiano Felicio,27,CHI,386,Rotation,Athletic Finisher,Mobile Big,-1.26,4.38,4.08,-0.18,-0.1,-0.14,-0.27,0.32,0.23,6.7,13.23,24.73,69.77,23.23,39.26,31.77,56.84,58,77.29,98.79,-0.12,0.48,9.1,16.09,16.55,2.59,67.67,80.01,2.1,17.64,2.15,39.83
444,2020-21,Cristiano Felicio,28,CHI,84,Garbage Time,Low Minute,Anchor Big,,4.35,3.86,-0.19,0.03,-0.01,-1.02,0.27,0.47,7.96,,21.55,30.57,21.92,57.41,43.14,17.98,44.06,83.25,99.64,-0.45,0.82,12.4,20.13,23.59,3.07,48.97,88.21,10.7,26.28,26.66,60.69
445,2022-23,Boban Marjanovic,34,HOU,171,Garbage Time,Post Scorer,Helper,-0.72,3.89,3.52,-0.46,0.19,0.58,-1.19,0.79,-0.46,3.62,42.23,1.78,3.37,4.61,72.76,88.39,11.91,98.41,43.43,88.62,-0.03,-0.59,20.8,28.94,29.15,2.85,71.31,29.01,70.4,61.19,54.54,50.2
446,2023-24,Boban Marjanovic,35,HOU,71,Garbage Time,Low Minute,Anchor Big,-0.57,4.14,3.76,-0.4,-0.16,-0.5,-1.16,0.67,,9.13,49.84,7.59,16.81,6.87,33.37,14.04,12.8,96.38,,99.86,-0.23,-0.56,27,32.79,32.79,2.9,62.64,30.55,91.5,72.99,69.06,52.32
447,2017-18,Boban Marjanovic,29,DET/LAC,338,Garbage Time,Post Scorer,Anchor Big,-0.92,4.43,3.92,0.08,-0.44,-0.19,-0.44,0.67,0.39,5.92,31.33,30.37,40.93,60.64,14.15,28.55,48.22,96.38,81.39,97.35,0.45,-1.72,29.4,37.69,37.27,3.18,85.65,3.06,95.26,83.86,81.16,65.91
448,2018-19,Boban Marjanovic,30,LAC/PHI,681,Garbage Time,Post Scorer,Anchor Big,-0.88,4.34,3.83,-0.01,-0.66,-0.89,-1.16,0.72,0.74,4.67,33.42,20.46,25.62,46.28,6.03,4.58,12.8,97.45,88.21,93.33,0.95,0.51,23.3,32.07,31.82,2.89,92.25,81.1,81.36,70.99,65.61,51.96
449,2015-16,Boban Marjanovic,27,SAS,508,Garbage Time,Post Scorer,Helper,-0.98,4.11,4,-0.24,-1.1,-1.35,-1.86,0.68,-0.57,0,28.1,6.29,56.62,17.03,0.63,0.87,0.87,96.72,36.2,0,0.47,-2.25,22.8,30.02,31.74,2.62,86,0.82,79.33,64.9,65.3,40.82
450,2019-20,Boban Marjanovic,31,DAL,422,Garbage Time,Post Scorer,Anchor Big,-0.66,4.13,3.83,-0.22,-0.79,-1.12,-0.84,0.6,1.11,6.68,45.35,7.12,25.62,18.93,3.56,2.13,26.25,94.2,92.77,98.76,0.9,-0.63,26.9,34.15,33.84,2.53,91.74,27.08,91.35,76.57,72.58,37.66
451,2020-21,Boban Marjanovic,32,DAL,271,Garbage Time,Post Scorer,Anchor Big,-0.54,4.15,3.81,-0.2,-0.12,-0.17,-0.09,0.44,1.54,7.19,51.19,8.04,22.78,20.85,37.07,29.82,64.79,83.05,95.79,99.25,0.17,-0.44,24.6,32.14,32.41,2.58,78.54,35.95,85.95,71.22,67.47,39.44
452,2021-22,Boban Marjanovic,33,DAL,128,Garbage Time,Post Scorer,Anchor Big,-0.86,4.05,3.88,-0.3,-0.15,-0.3,-0.51,0.59,0.81,3.21,34.65,4.52,33.94,12.45,34.11,22.62,43.89,93.81,89.2,87.09,-0.15,-1.45,33.3,39.95,38.69,2.52,66.44,5.64,98.54,86.98,84.43,37.28
453,2016-17,Boban Marjanovic,28,DET,293,Garbage Time,Post Scorer,Anchor Big,-0.8,4.1,3.83,-0.25,-0.4,-0.45,-1.56,0.91,0.2,4.97,37.91,5.95,25.62,16.08,16.34,15.89,3.59,99.15,76.28,94.55,0.35,-1.9,25.3,32.69,32.71,3.44,83.43,2.02,88,72.58,68.7,75.99
