RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,3PT Shot Making,Midrange Shot Making,3PT Pull Up Talent,Midrange Pull Up Talent,Pull-Up Shooting Talent,Off-Ball Shot Making,Floater Talent,Putback Scoring Impact Per 75 Possessions,Passing Creation Quality,High Value Assists Per 75 Possessions,3PT Shot Making_percentile,Midrange Shot Making_percentile,3PT Pull Up Talent_percentile,Midrange Pull Up Talent_percentile,Pull-Up Shooting Talent_percentile,Off-Ball Shot Making_percentile,Floater Talent_percentile,Putback Scoring Impact Per 75 Possessions_percentile,Passing Creation Quality_percentile,High Value Assists Per 75 Possessions_percentile,Lob Passing Creation Rate,Perimeter Isolation Defense,Pickpocket Rating,Stable Recovered Blocks%,Passing Lane Defense,Off-Ball Chaser Defense,Ball Screen Navigation,Post Defense,Lob Passing Creation Rate_percentile,Perimeter Isolation Defense_percentile,Pickpocket Rating_percentile,Stable Recovered Blocks%_percentile,Passing Lane Defense_percentile,Off-Ball Chaser Defense_percentile,Ball Screen Navigation_percentile,Post Defense_percentile
1426,2018-19,Jalen Brunson,22,DAL,1591,Key Rotation,Primary Ball Handler,Point of Attack,-0.22,0.26,0.18,0.49,0.45,-0.17,0.73,0,0.01,4.4,25.84,82.45,84.24,87.15,87.07,31.51,89.95,21.65,67.87,83.34,0.37,1.11,0.25,56.73,2.05,-0.41,-0.51,-1.27,90.05,91.4,39.36,22.81,46.67,45.05,40.69,5.56
1427,2019-20,Jalen Brunson,23,DAL,1022,Rotation,Primary Ball Handler,Point of Attack,-0.07,0.62,-0.44,1.02,0.42,0.06,2.09,0,-0.35,6.47,43.94,89.61,56.04,93.2,86.61,69.38,97.55,21.65,32.78,94.9,0.31,-0.31,0.36,58.73,1.79,1.54,0.73,-0.95,86.17,54.82,55.88,83.67,41,96.09,80.01,15.04
1428,2020-21,Jalen Brunson,24,DAL,1697,Key Rotation,Primary Ball Handler,Point of Attack,0.14,1.07,-0.18,1.3,0.89,0.19,1.15,0,-1.38,4.5,76.86,94.05,73.12,94.91,92.28,77.26,93.58,21.65,4.38,84.16,0.3,-1.18,0.24,58.29,2.09,0.29,0.78,-0.54,85.48,12.18,37.9,65.97,47.81,68.73,81.22,37.98
1429,2021-22,Jalen Brunson,25,DAL,2524,Starter,Shot Creator,Chaser,-0.08,2.39,-0.39,2.87,2.09,-0.02,2.68,0,-0.59,5.35,42.24,98.48,60.32,98.95,97.55,54.05,98.61,21.65,21.39,89.8,0.47,-0.01,0.26,57.5,1.98,1.12,0.24,-0.38,93.92,67.68,40.87,41.23,45.06,90.73,66.68,48.96
1430,2018-19,Jevon Carter,23,MEM,577,Rotation,Secondary Ball Handler,Point of Attack,-0.19,-0.59,0.22,-0.52,-0.33,-0.22,-0.59,0,-0.46,3.79,29.04,7.71,85.22,46.87,60.58,26.5,40.96,21.65,26.74,77.67,0.04,1.26,0.91,57.58,3.96,-0.25,0.38,-0.03,15.06,93.03,93.94,43.69,86.85,50.71,71.3,68.03
1431,2021-22,Jevon Carter,26,BRK/MIL,905,Rotation,Secondary Ball Handler,Point of Attack,0.13,-0.09,0.47,-0.31,-0.03,-0.1,-0.21,0,-0.82,3.04,76.19,50.1,89.69,62.19,75.66,39.74,68.6,21.65,13.87,68.55,0.07,-0.47,0.44,58.2,3.57,0.77,-0.24,-0.81,31.08,46.53,66.22,63.14,81.3,83.2,50.28,21.87
1432,2022-23,Jevon Carter,27,MIL,1812,Key Rotation,Primary Ball Handler,Point of Attack,0.65,-0.22,0.76,-0.26,0.06,0.28,-0.35,0,-2.05,3.34,90.64,32.27,92.79,65.35,78.61,81.25,60.85,21.65,0.78,72.84,0.09,1.57,0.58,59.16,3.26,1.43,1.22,-0.52,40.28,95.46,80.06,91.21,76.17,94.9,88.86,39.46
1433,2019-20,Jevon Carter,24,PHO,945,Rotation,Secondary Ball Handler,Point of Attack,0.28,-0.09,0.07,-0.31,-0.07,0.08,-0.8,0.11,-1.25,2.95,82.63,50.1,81.65,62.19,74.34,70.89,22.49,89.79,5.92,67.26,0.06,0.08,0.68,58.88,4.41,-1.09,-0.53,-0.35,26.2,70.4,86.45,86.8,91.15,22.17,40,50.97
1434,2020-21,Jevon Carter,25,PHO,717,Rotation,Movement Shooter,Point of Attack,-0.12,0.08,-0.36,-0.26,-0.35,-0.09,-0.42,0,-0.59,3.48,36.92,74.13,62.76,65.35,59.11,41.27,56.11,21.65,21.39,74.37,0.08,-0.29,0.72,57.59,4.37,0.43,1.48,-0.99,35.93,55.82,88.33,43.92,90.87,73.28,92.2,13.32
1435,2023-24,Jevon Carter,28,CHI,1004,Rotation,Movement Shooter,Chaser,-0.57,-0.13,-0.39,-0.27,-0.52,-0.38,0.1,0,-0.49,2.49,8.02,43.56,60.32,64.68,45.24,15.51,79.4,21.65,25.28,59.64,0.03,-0.32,0.59,58.37,4.11,2.09,2.26,-1.03,8.63,54.22,80.87,70.47,88.55,99.02,98.03,11.84
1436,2024-25,Jevon Carter,29,CHI,321,Garbage Time,Movement Shooter,Point of Attack,-0.08,-0.11,0.68,-0.32,-0.06,-0.06,-0.4,0,0.11,3.83,42.24,46.39,92.06,61.59,74.7,45.88,57.57,21.65,74.15,78.11,0.14,0.03,0.32,58.45,3.13,0.36,0.28,-0.79,59.9,68.89,49.63,74.81,73.17,70.77,67.9,22.95
1437,2020-21,Wendell Carter Jr.,21,CHI/ORL,1375,Key Rotation,Roll + Cut Big,Anchor Big,-0.29,-1.03,-1,-1.01,-0.92,-0.48,-0.74,-0.03,-0.73,1.9,20.64,1.47,9.33,6.91,8.48,10.34,26.93,18.71,16.22,45.64,0.02,0.67,0.19,58.7,2.37,-1.81,-1.12,1.96,3.35,84.89,31.19,82.62,54.85,3.7,6,97.86
1438,2021-22,Wendell Carter Jr.,22,ORL,1852,Starter,Stretch Big,Helper,-0.39,0.21,-0.66,-0.22,-0.28,-0.37,-0.48,0.77,-0.87,2.76,14.96,80.86,29.99,67.25,64.05,16.12,51.29,99.77,12.7,64.3,0.13,1.93,0.2,58.61,1.87,-2.25,-1.23,0.79,56.04,97.3,32.45,80.49,42.68,0.69,3.45,88.98
1439,2022-23,Wendell Carter Jr.,23,ORL,1690,Starter,Stretch Big,Anchor Big,-0.07,-0.4,-0.86,-0.48,-0.6,0.06,-0.87,0.57,-0.6,2.23,43.94,16.44,21.28,50.69,36.48,69.38,18.94,99.2,21.01,54.52,0.17,0.7,0.17,59.79,1.79,-1.09,-1.14,2.51,69.53,85.47,29.18,96.3,41,22.17,5.4,99.3
1440,2023-24,Wendell Carter Jr.,24,ORL,1406,Star,Stretch Big,Anchor Big,-0.13,-0.47,-0.57,-0.8,-0.77,-0.22,-0.98,0.27,-0.19,2.17,35.69,12.48,40.81,17.45,17.92,26.5,15.1,95.82,44.63,52.97,0.05,-0.11,0.29,58.76,2.25,-1.95,-1.08,1.51,20.75,64.06,45.34,84.38,51.63,2.34,7.52,95.55
1441,2024-25,Wendell Carter Jr.,25,ORL,1758,Starter,Stretch Big,Mobile Big,-1.13,-0.55,-0.65,-0.98,-0.94,-1.13,-0.74,-0.11,0.36,2.3,0.67,9.11,31.03,7.84,7.7,0.57,26.93,11.09,83.04,55.92,0.18,0.12,0.56,58.74,2.46,-1.11,-0.79,2.34,72.17,71.62,78.5,83.95,57.45,21.46,25.82,98.99
1442,2025-26,Wendell Carter Jr.,26,ORL,2288,Starter,Stretch Big,Mobile Big,-0.71,-0.1,-0.82,-0.96,-0.92,-0.67,-0.77,0,-0.24,1.72,4.59,48.33,22.05,8.55,8.48,4.91,24.36,21.65,40.49,40.39,0.07,-0.04,0.56,61.01,0.38,-1.1,-1.1,1.04,31.08,66.58,78.5,99.45,18.71,21.79,6.86,91.95
1443,2018-19,Wendell Carter Jr.,19,CHI,1110,Key Rotation,Post Scorer,Mobile Big,-0.37,-0.7,-0.72,-1.13,-1.1,-0.05,-0.08,-0.33,-0.36,2.2,16.14,4.86,24.93,4.52,3.88,47.39,73.44,3.28,32.11,53.64,0.03,1.09,0.13,57.2,2.5,-1.37,-0.98,2.53,8.63,91.28,26.22,32.13,58.44,13.35,12.97,99.34
1444,2019-20,Wendell Carter Jr.,20,CHI,1256,Starter,Roll + Cut Big,Mobile Big,-0.33,-0.95,-0.58,-0.97,-0.91,-1.07,-1.06,0.14,-0.44,1.34,18.24,2.01,39.61,8.12,8.82,0.81,13.59,91.54,27.66,29.69,0.05,-0.69,0.26,59.19,2.24,-1.62,-0.97,-0.55,20.75,33.73,40.87,91.63,51.42,7.05,13.8,37.3
1445,2018-19,Hamidou Diallo,20,OKC,526,Rotation,Athletic Finisher,Wing Stopper,-0.22,-0.17,-0.96,-0.48,-0.5,-0.27,-0.32,-0.57,0.08,1.15,25.84,38.56,13.05,50.69,47.38,22.18,62.63,0.91,72.79,25.18,0.1,-0.5,0.81,57.4,2.29,-0.52,0.31,-0.83,44.41,44.62,91.71,38.21,52.55,41.41,69.2,20.72
1446,2019-20,Hamidou Diallo,21,OKC,896,Rotation,Athletic Finisher,Chaser,-0.27,-0.5,-0.49,-0.64,-0.66,-0.48,0.31,-0.02,-0.84,1.29,21.98,11.14,50.98,33.6,29.27,10.34,84.41,19.52,13.37,28.33,0.03,0.17,0.76,58.33,3.25,0.69,0.17,-0.72,8.63,73.14,89.7,67.97,75.99,80.96,64.64,26.74
1447,2023-24,Hamidou Diallo,25,WAS,5,Too Few Games,Low Minute,Point of Attack,,-0.01,-1.02,-1.58,-1.53,,-1.25,0,-0.06,6.82,,63.86,3.54,1.29,1.15,,3.4,21.65,60.94,96.05,0.19,-0.58,15,58.52,15,-1.07,0.69,,74.34,39.78,99.96,77.01,99.84,22.88,79.15,
1448,2020-21,Hamidou Diallo,22,OKC/DET,1226,Key Rotation,Athletic Finisher,Chaser,-0.22,-0.48,-0.34,-0.32,-0.19,-0.12,-0.08,-0.13,-0.72,2.6,25.84,12.04,64.01,61.59,69.11,36.88,73.44,9.82,16.49,61.55,0.05,0.41,0.54,58.13,3.03,0.38,1.66,-0.33,20.75,79.32,76.92,60.61,70.89,71.51,94.29,52.2
1449,2021-22,Hamidou Diallo,23,DET,1269,Key Rotation,Athletic Finisher,Helper,-0.62,0.13,-0.3,0.41,0.32,-0.58,0.04,0.21,-1.07,1.75,6.76,77.81,66.91,86.14,84.77,7.27,77.83,94.35,8.28,41.42,0.05,0.5,0.87,56.25,4.79,-0.38,0.13,0.04,20.75,81.5,93.13,18.34,93.9,46.25,63.42,70.46
1450,2022-23,Hamidou Diallo,24,DET,996,Rotation,Athletic Finisher,Helper,-0.15,-0.1,-0.49,-0.07,-0.15,0.29,-0.36,0.15,0.05,1.59,33.57,48.33,50.98,73.92,70.94,81.77,60.17,92,70.67,36.57,0.06,-0.8,0.97,59.03,4.74,-0.46,-0.06,-0.68,26.2,27.99,95.1,89.41,93.65,43.39,56.42,29.14
1451,2022-23,Donte DiVincenzo,26,GSW,1894,Key Rotation,Movement Shooter,Point of Attack,0.7,-0.56,-0.57,-0.97,-1.01,0.56,-0.66,-0.05,-0.12,4.19,91.33,8.73,40.81,8.12,5.35,88.7,34.09,16.79,52.74,81.68,0.1,1.13,0.58,58,4.58,0.35,-0.01,-1.03,44.41,91.64,80.06,55.68,92.48,70.49,58.23,11.84
1452,2018-19,Donte DiVincenzo,22,MIL,411,Rotation,Movement Shooter,Chaser,-0.53,-0.06,-0.38,-0.58,-0.66,-0.59,-0.5,0,-0.91,2.37,9.18,54.8,61.29,41.05,29.27,7.02,49.63,21.65,11.39,57.4,0.05,-0.61,0.51,57.52,2.47,0.1,0.18,-0.65,20.75,38.32,74.24,42.08,57.77,62.52,64.87,30.64
1453,2019-20,Donte DiVincenzo,23,MIL,1520,Key Rotation,Secondary Ball Handler,Chaser,-0.41,-0.01,-0.15,-0.31,-0.39,-0.46,-0.19,-0.2,0.2,3.19,13.95,63.86,74.19,62.19,56.14,11.39,69.23,6.16,78,70.93,0.06,-0.22,0.54,58.57,4.72,0.79,1.54,-1.3,26.2,59.41,76.92,79.29,93.52,83.69,92.96,5.01
1454,2020-21,Donte DiVincenzo,24,MIL,1814,Star,Movement Shooter,Chaser,0.08,-0.52,0.45,-0.95,-0.5,-0.36,-0.53,-0.2,0.72,3.72,72.78,10.32,89.49,8.84,47.38,16.72,46.97,6.16,90.37,76.92,0.12,-0.1,0.31,58.23,3.89,0.13,1.7,-2.41,52.13,64.44,48.32,63.83,86,63.51,94.65,0.04
1455,2024-25,Donte DiVincenzo,28,MIN,1606,Key Rotation,Movement Shooter,Chaser,1.16,-0.34,0.81,-0.65,-0.13,0.53,-0.5,-0.14,0.4,4.95,95.9,20.47,93.25,32.55,72,87.92,49.63,9.26,84.16,87.56,0.37,-0.53,0.62,58.78,4.59,0.72,0.29,-1.04,90.05,42.67,83.07,85.05,92.51,81.62,68.25,11.48
1456,2025-26,Donte DiVincenzo,29,MIN,2494,Starter,Movement Shooter,Chaser,0.64,-0.54,0.42,-0.82,-0.55,0.59,-0.56,0,1.53,3.96,90.44,9.49,88.9,15.89,41.99,89.37,43.69,21.65,97.57,79.54,0.32,-0.49,0.42,57.62,1.08,1.9,0.5,-1.55,86.92,45.34,64.03,44.82,31.19,98.4,74.72,1.92
1457,2023-24,Donte DiVincenzo,27,NYK,2360,Key Rotation,Movement Shooter,Chaser,1.38,0.06,0.65,-0.2,0.16,1.09,-0.17,-0.17,0.54,2.95,97.19,72.68,91.86,68.18,81.16,95.93,70.01,7.48,87.56,67.26,0.12,0.33,0.59,58.5,4.99,1.95,0.83,-0.21,52.13,77.57,80.87,76.25,94.75,98.66,82.41,59.33
1458,2021-22,Donte DiVincenzo,25,MIL/SAC,1005,Key Rotation,Secondary Ball Handler,Chaser,-0.47,-0.7,-0.14,-0.92,-0.84,-0.62,-0.58,0,0.76,4.53,11.52,4.86,74.58,10.17,12.39,6.16,41.91,21.65,90.94,84.34,0.06,-1.3,0.36,57.13,4.82,1.03,-0.5,-0.61,26.2,8.7,55.88,30.35,94.07,88.96,40.96,33.38
1459,2018-19,Trevon Duval,20,MIL,6,Too Few Games,Low Minute,Point of Attack,0.01,-0.01,-0.96,-0.63,-0.61,0.01,-1.22,0,-0.08,12.5,63.84,63.86,13.05,34.75,35.32,62.33,5.53,21.65,58.42,99.94,0.18,-0.66,0,57.28,0,-1.2,0.59,-0.23,72.17,35.79,0,33.78,0,18.43,77.18,58.14
1460,2018-19,Jacob Evans,21,GSW,204,Garbage Time,Slasher,Point of Attack,-0.03,-0.12,-0.96,-0.19,-0.26,-0.04,-0.61,0,0.07,2.67,51.8,44.96,13.05,68.74,65.23,49.42,38.98,21.65,72.2,62.62,0.09,-1.65,0.52,56.97,2.27,-0.07,0.62,-0.51,40.28,2.55,75.3,26.45,52.06,56.68,77.63,40.17
1461,2019-20,Jacob Evans,22,GSW/MIN,418,Rotation,Secondary Ball Handler,Point of Attack,-0.11,-0.4,-0.35,-0.16,-0.27,-0.11,-0.65,0,-0.54,2.4,38.07,16.44,63.39,70.33,64.59,38.18,35.02,21.65,23.27,58.02,0.24,-0.22,0.25,58.02,2.88,0.28,0.3,-0.72,80.72,59.41,39.36,56.25,67.56,68.44,68.71,26.74
1462,2019-20,Bruno Fernando,21,ATL,713,Rotation,Roll + Cut Big,Anchor Big,-0.37,-0.25,-0.79,-0.72,-0.87,-0.52,-0.6,0.17,-1,1.91,16.14,28.55,22.55,24.98,10.58,9.19,40.08,92.8,9.45,46.02,0.08,-0.37,0.25,58.06,2.06,-1.44,-0.94,0.96,35.93,52.01,39.36,57.51,46.98,11.44,15.52,91.22
1463,2020-21,Bruno Fernando,22,ATL,226,Garbage Time,Post Scorer,Anchor Big,-0.04,-0.22,-1,-0.79,-0.76,-0.12,-0.75,0,-0.31,0.78,49.8,32.27,9.33,18.3,18.75,36.88,25.91,21.65,35.21,19.91,0.08,-0.98,0.48,58.66,1.61,-1.79,-1.09,0.64,35.93,19.69,70.93,82.04,37.7,3.96,7.21,86.68
1464,2022-23,Bruno Fernando,24,HOU/ATL,405,Garbage Time,Roll + Cut Big,Anchor Big,-0.07,-0.3,-1.01,-0.78,-0.76,-0.3,-0.72,-0.19,-0.42,2.65,43.94,23.69,7.74,18.96,18.75,20.27,28.59,6.64,28.8,62.23,0.05,-0.42,0.18,56.12,1.36,-1.44,-1.23,-0.25,20.75,49.35,30.22,17.57,34.69,11.44,3.45,56.83
1465,2023-24,Bruno Fernando,25,ATL,682,Rotation,Roll + Cut Big,Mobile Big,-0.12,-0.27,-1.02,-0.78,-0.77,-0.39,-0.63,0.29,-0.54,1.76,36.92,26.66,3.54,18.96,17.92,14.89,36.95,96.15,23.27,41.61,0.04,-1.5,0.65,59.94,2.55,-1.53,-1,0.91,15.06,4.38,84.61,96.86,59.55,8.94,11.66,90.46
1466,2021-22,Bruno Fernando,23,BOS/HOU,153,Garbage Time,Roll + Cut Big,Helper,0.02,0,-1.02,-0.39,-0.43,0.02,-0.56,0,-0.11,1.36,65.69,65.88,3.54,57.46,53.06,64.46,43.69,21.65,54.04,30.3,0.1,-1.53,0.23,58.09,1.36,-2.1,-1.11,-0.67,44.41,3.89,36.54,58.54,34.69,1.38,6.42,29.78
1467,2024-25,Bruno Fernando,26,TOR,147,Garbage Time,Roll + Cut Big,Anchor Big,,-0.11,-1.03,-0.68,-0.69,-0.08,-0.66,0,-0.04,2.8,,46.39,1.93,29.5,26.07,42.62,34.09,21.65,63.27,64.99,0.11,-0.41,0,59.5,3.01,-1.64,-1.14,0.39,48.31,49.89,0,94.33,70.46,6.75,5.4,81.39
1468,2021-22,Melvin Frazier Jr.,25,OKC,120,Too Few Games,Stationary Shooter,Helper,-1.54,-0.67,-0.73,-1.01,-0.98,-1.42,-0.82,0,-0.46,0.31,0.13,5.6,24.37,6.91,6.16,0.03,21.41,21.65,26.74,17.69,0.12,-0.95,0.31,57.38,1.24,-0.92,-0.16,-0.6,52.13,20.87,48.32,36.57,33.26,28.11,52.83,34.04
1469,2018-19,Melvin Frazier Jr.,22,ORL,44,Garbage Time,Low Minute,Chaser,-0.05,-0.07,-0.62,-0.35,-0.34,-0.05,-0.52,0,-0.07,0.76,47.71,53.19,34.7,59.92,59.87,47.39,48.02,21.65,59.68,19.77,0.15,-0.58,0.8,57.28,3.19,-1.34,0.05,,63.57,39.78,91.4,33.78,74.77,14.16,60.61,
1470,2019-20,Melvin Frazier Jr.,23,ORL,126,Garbage Time,Stationary Shooter,Helper,0.08,-0.05,-0.39,-0.55,-0.44,0.04,-1.22,0,-0.22,1.12,72.78,56.77,60.32,43.91,52.32,67.32,5.53,21.65,42.17,24.67,0.11,-0.83,1.39,58.8,3.89,-0.36,0.18,,48.31,26.64,98.48,85.39,86,46.77,64.87,
1471,2018-19,Shai Gilgeous-Alexander,20,LAC,2174,Key Rotation,Slasher,Point of Attack,-0.16,0.46,-0.43,0.67,0.4,-0.39,-0.12,0.01,0.6,3.89,32.43,86.94,56.89,89.51,86.34,14.89,71.97,81.11,88.61,78.76,0.24,0.66,0.74,57.73,3.42,1.42,-0.93,-0.74,80.72,84.59,89.13,47.9,78.94,94.76,15.83,25.57
1472,2019-20,Shai Gilgeous-Alexander,21,OKC,2429,Star,Shot Creator,Chaser,-0.32,1.32,-0.24,1.94,1.19,-0.14,1.64,-0.07,0.32,3.03,18.82,95.75,70.09,97.43,94.36,34.48,96.29,14.77,81.99,68.42,0.22,-0.46,0.58,56.81,2.81,0.69,0.14,-2.78,78.47,47.12,80.06,23.96,65.9,80.96,63.78,0
1473,2020-21,Shai Gilgeous-Alexander,22,OKC,1180,Star,Shot Creator,Chaser,0.85,0.52,2.18,0.98,1.83,0.16,0.71,0.02,0.37,6.17,93.22,87.81,98.29,92.69,96.78,75.68,89.81,82.18,83.35,93.75,0.13,-0.16,0.28,55.97,2.61,-0.81,-0.59,0.02,56.04,61.94,43.79,16.82,60.97,31.65,37.32,69.95
1474,2021-22,Shai Gilgeous-Alexander,23,OKC,1942,Star,Shot Creator,Chaser,-0.39,-0.2,-0.11,0.51,0.1,0.2,-0.39,0.07,-0.39,5.46,14.96,34.96,75.52,87.53,79.72,77.87,58.21,87.07,30.26,90.59,0.14,-0.11,0.61,59.43,3.49,0.12,-0.28,-1.16,59.9,64.06,82.33,93.78,80.04,63.1,48.67,8.05
1475,2022-23,Shai Gilgeous-Alexander,24,OKC,2416,Star,Shot Creator,Chaser,-0.21,1.01,0.27,1.9,1.56,-0.27,-0.14,-0.02,-0.29,5,26.79,93.6,86.44,97.33,95.99,22.18,71.21,19.52,36.49,87.88,0.03,-0.1,0.76,59.4,4.45,-0.13,0.4,-0.38,8.63,64.44,89.7,93.46,91.53,55,71.89,48.96
1476,2023-24,Shai Gilgeous-Alexander,25,OKC,2553,Star,Shot Creator,Chaser,-0.28,2.48,0.35,2.99,2.39,-0.25,2.58,0.01,0.93,5.89,21.09,98.65,87.76,99.1,98.16,23.81,98.51,81.11,93.24,92.54,0.14,0.15,1.05,58.79,4.73,0.51,-0.39,0.14,59.9,72.42,96.1,85.21,93.61,75.81,44.83,74.08
1477,2024-25,Shai Gilgeous-Alexander,26,OKC,2598,Star,Shot Creator,Helper,0.6,3.47,1.67,3.95,3.7,0.27,2.26,0.19,-0.08,5.61,89.9,99.5,97.19,99.7,99.58,80.91,97.94,93.62,58.42,91.31,0.23,-0.41,0.82,57.71,3.93,-0.79,-0.52,-0.01,79.52,49.89,92.06,47.32,86.54,32.47,40.39,68.85
1478,2025-26,Shai Gilgeous-Alexander,27,OKC,2259,Star,Shot Creator,Low Activity,0.34,3.79,1.63,4.24,3.83,0.1,0.37,0,0.59,6.41,84.42,99.69,97.11,99.85,99.64,72.38,85.61,21.65,88.51,94.61,0.3,-0.25,0.79,58.21,0.71,0.12,-0.27,-0.99,85.48,57.81,90.9,63.33,24.38,63.1,49.09,13.32
1479,2021-22,Devonte' Graham,26,NOP,2162,Key Rotation,Primary Ball Handler,Chaser,-0.22,-0.59,-0.95,-0.58,-1,0.38,-0.32,-0.02,-1.27,4.59,25.84,7.71,14.88,41.05,5.7,84.8,62.63,19.52,5.71,84.9,0.19,-1.13,0.41,57.43,2.97,0.89,0.52,-1.51,74.34,13.73,62.72,38.84,69.44,86.12,75.35,2.14
1480,2022-23,Devonte' Graham,27,NOP/SAS,1338,Rotation,Secondary Ball Handler,Chaser,-0.01,-0.26,0.57,-0.59,-0.31,0.04,-0.51,0,-0.64,4.23,57.78,27.68,91.1,39.64,62.15,67.32,48.97,21.65,19.41,81.95,0.16,-0.61,0.38,57.8,2.93,1.26,0.3,-0.82,66.74,38.32,58.74,49.96,68.63,92.76,68.71,21.32
1481,2023-24,Devonte' Graham,28,SAS,313,Rotation,Secondary Ball Handler,Chaser,-0.16,-0.16,0.49,-0.56,-0.3,-0.21,-0.41,0,-0.39,5.22,32.43,39.74,90.01,43.06,62.8,27.41,56.91,21.65,30.26,89.18,0.37,-1.03,0.35,58.01,2.08,-0.04,0.65,-0.41,90.05,17.49,54.3,55.94,47.48,57.74,78.2,46.89
1482,2018-19,Devonte' Graham,23,CHO,676,Rotation,Shot Creator,Point of Attack,-0.47,-0.34,-0.07,-0.51,-0.57,-0.19,-0.21,0,0,5.27,11.52,20.47,77.32,47.82,39.91,29.38,68.6,21.65,67.15,89.39,0.43,-0.41,0.32,57.22,3.45,-0.23,2.52,-0.53,92.48,49.89,49.63,32.44,79.36,51.4,98.98,38.73
1483,2019-20,Devonte' Graham,24,CHO,2211,Starter,Primary Ball Handler,Chaser,0.99,-1.25,2.07,-1.26,-0.06,0.79,-0.72,-0.09,0.76,7.8,94.6,0.61,98.04,3.67,74.7,92.74,28.59,13.12,90.94,98.08,0.53,-0.47,0.4,58.54,2.89,-0.36,-0.27,-0.49,95.23,46.53,61.33,78.41,67.78,46.77,49.09,41.25
1484,2020-21,Devonte' Graham,25,CHO,1659,Star,Primary Ball Handler,Chaser,0.65,-0.33,0.21,-0.47,-0.47,1.06,-0.73,0,0.4,6.52,90.64,21.23,85,51.44,50.1,95.63,27.76,21.65,84.16,95.04,0.32,-0.37,0.25,57.9,3.1,1.14,1.05,-0.77,86.92,52.01,39.36,52.83,72.54,90.89,86.44,23.99
1485,2019-20,Devon Hall,24,OKC,81,Garbage Time,Low Minute,Chaser,-0.08,-0.23,-0.09,-0.49,-0.36,-0.04,-0.34,0,-0.36,4.92,42.24,31.02,76.3,49.64,58.36,49.42,61.44,21.65,32.11,87.39,0.13,-1.13,0.41,58.18,2.05,-1.14,0.3,-0.23,56.04,13.73,62.72,62.13,46.67,20.34,68.71,58.14
1486,2019-20,Kevin Hervey,23,OKC,52,Garbage Time,Low Minute,Helper,-0.12,0.04,-0.25,-0.56,-0.39,-0.12,-0.73,0,-0.1,2.52,36.92,71.05,69.53,43.06,56.14,36.88,27.76,21.65,55.56,60.14,0.14,-0.74,0.64,58.62,3.21,-1.45,-0.6,0.04,59.9,31.06,84.14,80.8,75.18,11.08,36.82,70.46
1487,2022-23,Aaron Holiday,26,ATL,845,Rotation,Secondary Ball Handler,Point of Attack,0.09,-0.53,-0.2,-0.58,-0.52,-0.06,-0.25,0,-0.87,3.41,73.61,9.87,72.17,41.05,45.24,45.88,66.76,21.65,12.7,73.51,0.14,0.63,0.94,57.93,3.62,0.92,1.1,-0.61,59.9,84.01,94.53,53.52,82.05,86.75,87.24,33.38
1488,2023-24,Aaron Holiday,27,HOU,1269,Rotation,Secondary Ball Handler,Point of Attack,0.06,0,-0.22,0,-0.13,-0.01,0.54,-0.11,-0.36,3.73,70.67,65.88,71.23,76.35,72,56.95,87.95,11.09,32.11,77.06,0.02,-0.32,0.6,58.73,2.76,0.13,0.16,-1.02,3.35,54.22,81.62,83.67,64.69,63.51,64.35,12.21
1489,2024-25,Aaron Holiday,28,HOU,792,Rotation,Secondary Ball Handler,Point of Attack,0.21,0.08,0.11,-0.09,-0.02,0.07,0.42,0,-0.42,3.1,79.92,74.13,82.58,73.31,76,70.12,86.32,21.65,28.8,69.62,0.26,-0.25,0.18,56.9,2.94,0.05,1.38,-0.97,82.58,57.81,30.22,25.26,68.78,60.88,91.13,14.31
1490,2025-26,Aaron Holiday,29,HOU,781,Rotation,Secondary Ball Handler,Point of Attack,0.17,-0.18,-0.28,-0.29,-0.33,0.2,0.22,0,-0.91,2.26,78.2,37.44,68.04,63.34,60.58,77.87,82.28,21.65,11.39,55.16,0.08,-0.62,0.65,57.5,0.61,0.54,2.42,-0.86,35.93,37.86,84.61,41.23,22.37,76.71,98.6,19.16
1491,2018-19,Aaron Holiday,22,IND,646,Rotation,Secondary Ball Handler,Point of Attack,-0.11,-0.13,0.27,0.05,0.05,0,0.38,0,-0.39,3.49,38.07,43.56,86.44,77.95,78.22,59.83,85.75,21.65,30.26,74.49,0.08,-0.75,0.28,57.51,2.72,0.23,1.96,-0.73,35.93,30.45,43.79,41.79,63.8,66.91,96.43,26.15
1492,2019-20,Aaron Holiday,23,IND,1617,Key Rotation,Primary Ball Handler,Point of Attack,0.15,-0.43,0.07,-0.17,-0.18,0.29,0.33,0,-1.42,4.39,77.33,14.63,81.65,69.7,69.63,81.77,84.92,21.65,4.23,83.21,0.18,-0.11,0.57,57.06,3.2,0.01,0.64,-0.1,72.17,64.06,79.36,28.4,75,59.52,78.04,65.04
1493,2020-21,Aaron Holiday,24,IND,1176,Rotation,Movement Shooter,Chaser,-0.17,-0.31,-0.25,-0.11,-0.22,-0.29,-0.09,0,0.81,3.48,31.27,22.91,69.53,72.61,67.4,20.87,73,21.65,91.67,74.37,0.23,-0.22,0.48,58.71,3.83,0.18,0.82,-1.46,79.52,59.41,70.93,83.24,85.16,65.17,82.17,2.76
