RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Playmaking Talent,Touches Per 75,Playmaking Talent_percentile,Touches Per 75_percentile
975,2023-24,Jonathan Isaac,26,ORL,914,Rotation,Stretch Big,Wing Stopper,-0.91,52.39,19.94,49.2
976,2024-25,Jonathan Isaac,27,ORL,1090,Rotation,Stretch Big,Helper,-0.97,54.27,15.29,53.1
977,2025-26,Jonathan Isaac,28,ORL,521,Rotation,Stretch Big,Helper,-1.02,43.12,11.9,29.66
978,2018-19,Dennis Smith Jr.,21,DAL/NYK,1508,Key Rotation,Primary Ball Handler,Point of Attack,0.89,91.56,90.13,97.51
979,2019-20,Dennis Smith Jr.,22,NYK,537,Rotation,Shot Creator,Point of Attack,0,97.64,74.79,99.16
980,2021-22,Dennis Smith Jr.,24,POR,638,Rotation,Shot Creator,Point of Attack,0.43,88.13,83.85,95.94
981,2023-24,Dennis Smith Jr.,26,BRK,1059,Rotation,Primary Ball Handler,Point of Attack,0.56,74.46,86.04,84.44
982,2022-23,Dennis Smith Jr.,25,CHO,1390,Key Rotation,Slasher,Point of Attack,0.92,75.39,90.46,85.68
983,2017-18,Dennis Smith Jr.,20,DAL,2049,Starter,Shot Creator,Point of Attack,1.32,99.31,93.88,99.32
984,2020-21,Dennis Smith Jr.,23,NYK/DET,420,Rotation,Primary Ball Handler,Point of Attack,0.76,87.42,88.89,95.57
985,2017-18,Frank Ntilikina,19,NYK,1706,Key Rotation,Primary Ball Handler,Point of Attack,-0.49,82.01,53.47,91.67
986,2018-19,Frank Ntilikina,20,NYK,904,Key Rotation,Primary Ball Handler,Point of Attack,-0.38,68.26,59.97,77.14
987,2019-20,Frank Ntilikina,21,NYK,1187,Key Rotation,Primary Ball Handler,Point of Attack,-0.27,88.74,65.11,96.24
988,2020-21,Frank Ntilikina,22,NYK,322,Garbage Time,Secondary Ball Handler,Point of Attack,-0.86,52.66,24.64,49.86
989,2023-24,Frank Ntilikina,25,CHO,43,Too Few Games,Low Minute,Chaser,-0.67,43.47,41.44,30.17
990,2021-22,Frank Ntilikina,23,DAL,685,Rotation,Stationary Shooter,Point of Attack,-0.65,63.66,43.15,71.02
991,2022-23,Frank Ntilikina,24,DAL,607,Rotation,Stationary Shooter,Point of Attack,-0.69,50.59,39.84,45.64
992,2022-23,Lauri Markkanen,25,UTA,2273,Star,Off Screen Shooter,Helper,-0.46,54.29,55.28,53.17
993,2023-24,Lauri Markkanen,26,UTA,1820,Star,Off Screen Shooter,Helper,-0.43,55.04,57.18,54.66
994,2024-25,Lauri Markkanen,27,UTA,1476,Starter,Off Screen Shooter,Wing Stopper,-0.47,52.91,54.76,50.5
995,2025-26,Lauri Markkanen,28,UTA,1443,Starter,Off Screen Shooter,Wing Stopper,-0.19,54.15,68.32,52.91
996,2017-18,Lauri Markkanen,20,CHI,2020,Starter,Movement Shooter,Helper,-0.74,88.51,35.71,96.14
