RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Offensive Rebounding Talent,Offensive Rebounding Chances Per 75 Possessions,Offensive Rebounding Crashing Skill,Offensive Rebounds Per Game,Stable Offensive Rebounds Per 75,Offensive Rebounding Conversion Skill,Adjusted Offensive Rebounding Success Rate,Percentage of Offensive Rebounds Contested,Defensive Rebounding Talent,Defensive Reb Per 75 Possessions,Offensive Rebounding Talent_percentile,Offensive Rebounding Chances Per 75 Possessions_percentile,Offensive Rebounding Crashing Skill_percentile,Offensive Rebounds Per Game_percentile,Stable Offensive Rebounds Per 75_percentile,Offensive Rebounding Conversion Skill_percentile,Adjusted Offensive Rebounding Success Rate_percentile,Percentage of Offensive Rebounds Contested_percentile,Defensive Rebounding Talent_percentile,Defensive Reb Per 75 Possessions_percentile,Defensive Rebounding Conversion Skill,Defensive Rebounding Crashing Skill,Defensive Rebounds Per Game,Stable Defensive Rebounds Per 75,Percentage of Defensive Rebounds Contested,Adjusted Defensive Rebounding Success Rate,Defensive Rebounding Conversion Skill_percentile,Defensive Rebounding Crashing Skill_percentile,Defensive Rebounds Per Game_percentile,Stable Defensive Rebounds Per 75_percentile,Percentage of Defensive Rebounds Contested_percentile,Adjusted Defensive Rebounding Success Rate_percentile
1797,2024-25,Duncan Robinson,30,MIA,1786,Key Rotation,Off Screen Shooter,Low Activity,-0.9,0.94,-0.58,0.24,0.41,-1.16,40.91,22.22,-1.12,3.16,29.21,19.7,22.22,28.55,2.56,6.59,54.09,27.64,24.2,30.05,-1.23,-0.21,2.01,3.22,16.78,67.73,9.26,34.51,49.98,12.64,44.74,61.48
1798,2025-26,Duncan Robinson,31,DET,2113,Starter,Off Screen Shooter,Low Activity,-0.64,0.73,-0.19,0.38,0.52,-0.69,67.44,17.24,-1.26,3.04,41.01,18.44,39.99,39.26,7.02,17.94,95.94,25.45,20.1,28,-0.43,-0.71,2.29,3.08,13.64,85.44,35.31,20.27,55.88,9.56,33.81,93.19
1799,2019-20,Daryl Macon,24,MIA,14,Too Few Games,Low Minute,Point of Attack,-2,0,-0.34,0,1.18,-0.04,0,0,-1.9,0,2.71,0,33.24,0,43.82,51.6,0,0,3.12,0,-0.28,0.57,0,4.07,0,0,43.15,74.98,0,34.29,0,0
1800,2018-19,Daryl Macon,23,DAL,90,Too Few Games,Low Minute,Low Activity,-1.49,2.43,-0.16,0.25,1.07,-0.42,40,0,-1.4,4.08,12.32,45.28,41.5,28.97,38.46,29.19,50.56,0,15.59,49.01,0.18,0.52,1.25,4.5,20,55.56,69.73,72.78,33.36,44.87,55.18,22.42
1801,2019-20,Kendrick Nunn,24,MIA,1962,Starter,Primary Ball Handler,Point of Attack,-0.86,1.62,-0.54,0.31,0.42,-1.41,26.92,61.9,-0.91,3,30.97,29.37,23.97,33.75,2.86,3.34,26.1,77.7,32.33,27.3,-0.9,0.71,2.37,3.05,16.98,66.53,17.47,81.55,57.82,8.95,45.44,55.34
1802,2020-21,Kendrick Nunn,25,MIA,1650,Starter,Primary Ball Handler,Point of Attack,-0.73,1.35,-0.26,0.38,0.51,-1.11,37.5,19.05,-0.53,3.59,36.43,24.58,36.99,39.26,6.58,7.42,43.51,26.29,47.17,38.48,-0.96,0.32,2.82,3.64,16.46,65.56,15.74,61.7,66.83,22.19,43.15,51.68
1803,2022-23,Kendrick Nunn,27,LAL/WAS,963,Rotation,Secondary Ball Handler,Point of Attack,-1.2,1.7,-0.56,0.21,0.6,-1.29,33.33,33.33,-0.79,3.49,18.94,30.8,23.05,26.35,11.22,4.66,33.9,36.79,37.25,36.31,-0.71,0.7,1.34,3.56,12.77,70.68,23.49,81.07,35.52,20.19,31.24,73.51
1804,2018-19,Yuta Watanabe,24,MEM,174,Garbage Time,Movement Shooter,Helper,-1.2,2.09,0.54,0.27,0.99,0.26,40,25,-0.93,5.64,18.94,38.29,72.69,30.95,34.12,69.49,50.56,29.23,31.56,72.13,0.48,0.58,1.8,5.54,25.93,69.23,79.8,75.51,45.15,67.57,74.91,67.46
1805,2019-20,Yuta Watanabe,25,MEM,105,Garbage Time,Athletic Finisher,Helper,-1.12,5.11,0.13,0.39,2.11,-0.27,58.33,42.86,-1.42,4.39,21.16,77.44,56.79,40.26,72.63,36.77,91.63,49.36,14.96,54.32,-0.15,-0.4,0.72,4.65,53.85,56.52,50.36,27.87,23.28,48.82,99.26,23.86
1806,2023-24,Yuta Watanabe,29,PHO/MEM,464,Rotation,Movement Shooter,Low Activity,-0.57,1.82,0.91,0.32,0.94,0.12,47.83,45.45,-1.04,3.43,43.99,33.17,82.22,34.43,31.26,62.91,75.01,52.96,27.26,34.87,-1.35,0.07,1.26,3.59,18.6,54.43,6.85,48.3,33.85,20.85,50.96,21.27
1807,2020-21,Yuta Watanabe,26,TOR,723,Rotation,Movement Shooter,Helper,0.31,3.64,0.96,0.72,1.8,1.24,52.17,63.89,0.39,6.19,75.96,64.27,83.15,62.05,66.08,92.17,85.52,80.29,78.99,78,0.07,0.54,2.46,6.12,23.58,65.43,64.69,73.78,59.64,76.18,67.79,50.98
1808,2021-22,Yuta Watanabe,27,TOR,445,Garbage Time,Stationary Shooter,Helper,-0.56,3.82,1.43,0.47,1.47,0.13,39.13,50,-0.05,5.99,44.48,66.62,90.69,46.32,56.01,63.55,48.63,58.42,65.62,75.99,-0.43,0.04,1.95,5.91,22.97,76.29,35.31,46.74,48.21,73.32,65.93,87.45
1809,2022-23,Yuta Watanabe,28,BRK,928,Rotation,Stationary Shooter,Helper,0.42,2.33,0.96,0.52,1.19,0.54,52.63,60,-0.34,4.37,78.4,43.3,83.15,50.28,44.31,78.98,86.2,74.45,54.55,53.97,-0.49,-0.1,1.91,4.4,18.92,59.68,32.34,39.18,47.51,42.43,51.97,29.76
1810,2018-19,Johnathan Williams,23,LAL,372,Rotation,Roll + Cut Big,Mobile Big,2.4,10.08,2.99,2,4.33,1.34,48,58.33,-0.43,4.92,97.76,96.41,99.05,92.41,96.23,93.2,75.37,72.15,51.22,62.98,-0.16,-0.43,2.13,4.95,21.57,63.75,49.78,27,52.15,56.06,61.06,43.69
1811,2019-20,Johnathan Williams,24,WAS,180,Garbage Time,Athletic Finisher,Mobile Big,0.07,10.71,2.07,1.6,4.19,1.52,48.98,66.67,-0.26,8.17,68.45,97.35,96.03,87.95,95.58,94.59,77.4,83.67,57.5,92.28,0.25,0.87,2.67,7.49,27.5,74.07,72.52,87.31,63.76,89.81,78.68,83.63
1812,2018-19,Joe Chealey,23,CHO,8,Too Few Games,Low Minute,Point of Attack,-2.02,0,-0.02,0,1.34,-0.03,0,0,-1.95,0,2.53,0,48.99,0,50.71,52.81,0,0,1.93,0,-0.18,-0.22,0,4.58,0,0,48.46,34.11,0,47.07,0,0
1813,2019-20,Joe Chealey,24,CHO,33,Too Few Games,Low Minute,Chaser,-1.85,0,0.07,0,0.91,-0.16,0,0,-1.84,0,5.27,0,54.04,0,29.77,42.48,0,0,4.46,0,-0.3,-0.35,0,3.14,0,0,42.18,29.26,0,10.8,0,0
1814,2018-19,Emanuel Terry,22,PHO/MIA,23,Too Few Games,Low Minute,Anchor Big,-1.83,7.65,-0.32,1,2.54,0,60,100,-1.77,6.12,5.63,88.76,34.24,73.87,79.65,56.28,92.42,97.85,5.87,77.37,0.14,0.27,1.33,5.49,50,57.14,68.13,59.01,35.03,66.89,98.35,24.64
1815,2021-22,Emanuel Terry,25,PHO,18,Too Few Games,Low Minute,Anchor Big,-1.85,24.38,-0.91,2.67,5.37,0.17,61.54,75,-1.78,13.46,5.27,99.93,10.66,96.85,99.07,65.57,93.41,93.39,5.66,99.84,0.26,0.19,2.33,7.38,57.14,100,73,54.66,56.92,88.95,99.35,96.24
1816,2019-20,Ryan Broekhoff,29,DAL,180,Garbage Time,Off Screen Shooter,Helper,-1,2.55,1,0.29,1.09,0.23,41.67,40,-0.63,7.56,25.14,47.4,84.03,32.06,39.29,68.03,56.36,45.41,43.03,89.27,0.31,0.65,2.24,7.03,26.32,77.55,74.92,78.8,54.82,86.34,75.68,88.84
1817,2018-19,Ryan Broekhoff,28,DAL,453,Rotation,Off Screen Shooter,Low Activity,-0.74,1.94,1.18,0.19,0.73,-0.33,34.78,37.5,-0.67,4.43,35.92,35.47,87.03,24.79,19.58,33.58,37.74,42.39,41.67,54.87,-0.77,0.81,1.31,4.51,20,72.37,21.51,85.14,34.71,45.26,55.18,79.29
1818,2018-19,DeVaughn Akoon-Purcell,25,DEN,22,Too Few Games,Low Minute,Point of Attack,-1.88,4.69,-0.14,0.14,1.55,-0.33,33.33,0,-1.8,4.59,4.8,74.39,42.57,22.18,59.19,33.58,33.9,0,5.27,57.72,-0.15,0.2,0.43,5.02,0,75,50.36,55.22,19.02,57.52,0,85.03
1819,2018-19,Zach Lofton,26,DET,4,Too Few Games,Low Minute,Helper,-2.06,0,0.01,0,1.45,-0.01,0,0,-1.98,0,1.75,0,50.72,0,55.15,55.21,0,0,1,0,-0.04,-0.01,0,4.86,0,0,58.26,43.84,0,53.94,0,0
1820,2019-20,Jordan McLaughlin,23,MIN,590,Rotation,Primary Ball Handler,Point of Attack,-0.91,1.53,-0.58,0.23,0.49,-0.63,26.92,28.57,-0.84,2.47,28.82,27.59,22.22,27.9,5.45,20.12,26.1,32.8,35.16,20.84,-1.35,0.16,1.4,2.69,26.19,66.67,6.85,52.99,36.51,3.93,75.42,55.56
1821,2020-21,Jordan McLaughlin,24,MIN,938,Rotation,Primary Ball Handler,Point of Attack,-0.53,2.1,-1.07,0.41,0.83,-1.18,39.62,28.57,-0.44,3.3,45.89,38.6,7.37,42.04,25,6.37,49.93,32.8,50.88,32.42,-0.65,0.04,1.71,3.4,19.54,73.73,25.71,46.74,43.08,16.28,54.19,82.89
1822,2021-22,Jordan McLaughlin,25,MIN,902,Rotation,Primary Ball Handler,Point of Attack,-0.78,1.79,0.09,0.35,0.89,-0.32,47.83,59.09,-1.01,2.82,34.21,32.6,55.11,37.27,28.61,34.18,75.01,73.48,28.31,24.86,-1.66,0.16,1.16,2.94,15.28,61.54,3.46,52.99,31.35,7.3,39.32,35.36
1823,2022-23,Jordan McLaughlin,26,MIN,678,Rotation,Primary Ball Handler,Point of Attack,-0.52,1.59,-1.12,0.35,0.82,-0.52,48.39,33.33,-0.91,2.4,46.45,28.84,6.2,37.27,24.37,24.82,76.08,36.79,32.33,20.16,-2.16,-0.04,1.09,2.58,14.89,62.67,0.85,41.99,30.01,3.03,38.13,39.52
1824,2023-24,Jordan McLaughlin,27,MIN,626,Rotation,Movement Shooter,Point of Attack,-0.59,1.59,-0.49,0.32,1.1,-0.05,69.23,16.67,-0.76,3.2,43.14,28.84,26.29,34.43,39.74,50.6,96.1,24.95,38.52,30.72,-0.52,-0.41,0.96,3.34,18.52,69.23,31,27.49,27.09,15.1,50.67,67.46
1825,2024-25,Jordan McLaughlin,28,SAC/SAS,314,Garbage Time,Secondary Ball Handler,Point of Attack,-1.2,2.24,-1.13,0.13,0.84,-0.36,31.58,16.67,-1.33,2.8,18.94,41.36,6.07,21.61,25.78,32.04,31.84,24.95,17.57,24.57,-1.92,-0.82,0.52,3.12,25,63.16,1.78,17.84,20.58,10.48,71.41,41.03
1826,2025-26,Jordan McLaughlin,29,SAS,282,Garbage Time,Secondary Ball Handler,Point of Attack,-0.96,1.3,-0.11,0.16,1.03,-0.49,70,14.29,-0.77,3.07,26.55,23.75,43.84,23.24,36.27,25.87,96.21,24.21,38.14,28.47,-1.05,0.06,0.55,3.35,4.17,109.09,13.31,47.85,20.81,15.28,20.69,98.71
1827,2019-20,Brandon Goodwin,24,ATL,430,Rotation,Primary Ball Handler,Point of Attack,-0.82,3.23,-0.63,0.32,0.97,-0.66,28.21,72.73,-0.11,5.02,32.58,58.77,19.7,34.43,32.87,18.94,27.48,91.93,63.14,64.38,-1.5,0.99,1.79,5.04,13.11,64.21,4.95,90.54,44.83,57.9,32.13,45.55
1828,2020-21,Brandon Goodwin,25,ATL,620,Rotation,Primary Ball Handler,Point of Attack,-1.34,2.25,-0.8,0.17,0.56,-1.8,21.62,12.5,-0.65,3.66,15.32,41.62,13.99,23.77,8.94,1.03,21.95,23.76,42.44,39.84,-0.48,0.68,1.3,3.78,9.84,69.32,32.75,80.22,34.59,26.22,25.05,68.14
1829,2021-22,Brandon Goodwin,26,CLE,502,Rotation,Primary Ball Handler,Point of Attack,-0.86,2.54,-1.28,0.39,1.13,0.34,42.42,28.57,-0.38,4.09,30.97,47.23,3.98,40.26,41.33,72.67,58.87,32.8,53.02,49.21,-0.23,1.19,1.47,4.2,18.87,71.62,45.91,94.08,38.15,37.46,51.86,77.21
1830,2018-19,Brandon Goodwin,23,DEN,57,Garbage Time,Low Minute,Point of Attack,-1.75,0.61,-0.25,0.06,1.04,-0.09,100,0,-1.64,1.27,7.32,17.96,37.41,19.38,36.81,47.06,98.11,0,9.24,16.51,-0.45,0.63,0.13,3.16,50,100,34.19,77.75,16.83,11.24,98.35,96.24
1831,2019-20,BJ Johnson,24,ORL,83,Garbage Time,Low Minute,Helper,-1.6,1.64,-0.33,0.3,1.33,0.27,75,66.67,-1.38,4.95,10.29,29.65,33.67,32.93,50.39,69.91,96.78,83.67,16.01,63.46,-0.01,-0.37,1.2,5.04,25,75,60.3,28.7,32.12,57.9,71.41,85.03
1832,2021-22,BJ Johnson,26,ORL,65,Too Few Games,Low Minute,Chaser,1.01,5.31,0.29,1.5,2.67,0.67,66.67,66.67,-0.18,5.31,88.76,78.48,63.62,86.39,81.3,82.79,95.04,83.67,60.52,68.23,0.17,0.09,2.25,5.27,22.22,60,69.32,49.25,55.1,62.93,63.09,30.35
1833,2018-19,BJ Johnson,23,ATL/SAC,49,Too Few Games,Low Minute,Point of Attack,-1.68,2.16,-0.37,0.29,1.49,-0.12,66.67,100,-1.53,4.25,8.66,39.71,32.02,32.06,56.86,44.97,95.04,97.85,11.87,51.73,-0.06,0.43,0.86,4.74,0,60,56.6,67.84,25.42,50.88,0,30.35
1834,2021-22,Chris Chiozza,26,GSW,372,Rotation,Secondary Ball Handler,Point of Attack,-1,1.53,-0.59,0.26,1,-0.24,60,44.44,-1.22,2.76,25.14,27.59,21.48,30.11,34.72,38.11,92.42,51.5,21.1,24.09,-0.99,0.83,0.79,3.08,22.22,67.5,14.99,85.85,24.31,9.56,63.09,60.49
1835,2018-19,Chris Chiozza,23,HOU,33,Too Few Games,Low Minute,Point of Attack,-1.82,3.08,-0.61,0.14,1.33,-0.08,33.33,0,-1.71,3.36,5.9,56.72,20.58,22.18,50.39,48.03,33.9,0,7.55,33.59,-0.26,0.3,0.43,4.51,0,60,44.23,60.67,19.02,45.26,0,30.35
1836,2019-20,Chris Chiozza,24,WAS/BRK,401,Garbage Time,Primary Ball Handler,Point of Attack,-1.22,1.99,-1.59,0.32,0.86,-0.67,42.86,22.22,-0.68,3.87,18.33,36.25,1.86,34.43,27,18.6,60.16,27.64,41.4,44.61,-0.2,0.66,1.57,4.02,9.09,59.46,47.49,79.19,40.12,32.8,23.92,29.27
1837,2020-21,Chris Chiozza,25,BRK,232,Garbage Time,Movement Shooter,Point of Attack,-1.17,1.57,-0.76,0.14,0.65,-0.62,30,33.33,-1.14,3.29,19.94,28.36,15.16,22.18,14.13,20.48,29.65,36.79,23.46,32.29,-1.05,0.56,0.95,3.65,14.29,72.41,13.31,74.42,26.87,22.55,35.49,79.42
1838,2018-19,Jemerrio Jones,23,LAL,143,Too Few Games,Stretch Big,Chaser,1.69,8.64,2.59,2.67,3.42,0.86,50,50,1.2,8.31,94.47,92.35,98.15,96.85,90.23,86.52,78.83,58.42,92.35,92.81,0.24,0.3,5.5,7.48,21.21,75,72.3,60.67,93.45,89.74,59.84,85.03
1839,2021-22,Jemerrio Jones,26,LAL,15,Too Few Games,Low Minute,Mobile Big,-1.98,10,0.09,1,2.36,-0.04,50,50,-1.87,2.42,3.1,96.23,55.11,73.87,77.32,51.6,78.83,58.42,3.66,20.33,-0.35,-0.03,0.5,4.59,0,20,39.33,42.49,19.71,47.19,0,16.25
1840,2023-24,Gabe Vincent,27,LAL,218,Garbage Time,Secondary Ball Handler,Point of Attack,-0.36,1.15,-0.46,0.36,0.83,0.07,66.67,50,-1.51,0.81,53.52,21.78,27.92,37.92,25,60.5,95.04,58.42,12.53,16.14,-1.38,-0.6,0.45,1.61,20,62.5,6.53,22.59,19.35,0.02,55.18,38.64
1841,2024-25,Gabe Vincent,28,LAL,1525,Key Rotation,Movement Shooter,Point of Attack,-0.64,1.21,0.09,0.28,0.52,-0.87,41.67,10,-1.77,1.74,41.01,22.62,55.11,31.57,7.02,12.24,56.36,23.15,5.87,17.15,-3.58,-0.84,1,1.85,18.06,54.96,0,17.5,27.48,0.12,49.4,21.91
1842,2025-26,Gabe Vincent,29,LAL/ATL,879,Rotation,Movement Shooter,Point of Attack,-0.2,0.74,0.15,0.32,0.75,-0.7,106.25,0,-1.81,1.52,59.81,18.45,57.67,34.43,20.72,17.6,99.6,0,5.04,16.79,-2.17,-0.79,0.7,1.71,16.22,80.43,0.78,18.39,22.91,0.08,42.3,91.21
1843,2019-20,Gabe Vincent,23,MIA,83,Garbage Time,Low Minute,Chaser,-1.61,1.32,0,0,0.56,-0.88,0,0,-1.56,2.16,10.09,24.06,50.01,0,8.94,12,0,0,11.19,18.54,-0.56,0.11,0.56,3.32,20,71.43,29.51,50.15,20.9,14.74,55.18,75.99
1844,2020-21,Gabe Vincent,24,MIA,655,Garbage Time,Secondary Ball Handler,Point of Attack,-0.71,1.46,-0.16,0.2,0.65,-0.49,41.67,50,-1.21,2.66,37.41,26.2,41.5,25.25,14.13,25.87,56.36,58.42,21.29,22.85,-1.74,-0.09,0.92,2.86,23.91,63.89,2.76,39.76,26.46,6.28,68.73,44.21
1845,2021-22,Gabe Vincent,25,MIA,1589,Key Rotation,Primary Ball Handler,Point of Attack,-0.55,1.55,-0.62,0.32,0.56,-0.92,35.48,36.36,-1.3,2.49,44.82,28,20.07,34.43,8.94,11.02,39.46,41.04,18.66,20.97,-1.96,-0.14,1.53,2.58,17.31,58.43,1.53,37.67,39.42,3.03,46.67,27.03
1846,2022-23,Gabe Vincent,26,MIA,1759,Key Rotation,Primary Ball Handler,Point of Attack,-0.44,1.24,-0.55,0.4,0.6,-0.9,46.55,29.63,-1.15,2.52,49.92,23.02,23.5,40.97,11.22,11.54,71.81,33.81,23.15,21.24,-1.71,-0.36,1.74,2.59,16.95,64.13,3.02,28.88,43.7,3.13,45.29,45.15
1847,2023-24,Kaiser Gates,27,NOP,7,Too Few Games,Low Minute,Chaser,-2.09,9.38,-0.2,0,1.39,-0.03,0,0,-1.93,4.41,1.07,94.81,39.5,0,52.83,52.81,0,0,2.41,54.55,-0.12,0.38,1,4.93,0,100,52.24,64.94,27.48,55.57,0,96.24
1848,2024-25,Drew Eubanks,27,UTA/LAC,746,Rotation,Roll + Cut Big,Anchor Big,-0.24,7.51,2.54,0.98,2.83,-0.02,39.47,61.67,0.08,8,58.47,88.23,98.02,73.42,83.55,53.86,49.56,77.43,70.73,91.76,-0.01,-0.95,2.72,7.8,28.31,66.14,60.3,15.86,64.9,91.79,80.71,53.96
1849,2023-24,Drew Eubanks,26,PHO,1169,Rotation,Roll + Cut Big,Mobile Big,0.66,8.13,2.3,1.37,3.21,-0.13,42.04,60.19,-0.01,6.97,83.51,90.38,97.12,84.28,88.42,44.16,57.83,75.52,67.44,85.06,-0.55,-0.4,2.92,6.88,29.22,68.01,29.78,27.87,68.79,84.9,83.02,62.68
1850,2021-22,Drew Eubanks,24,SAS/POR,1245,Rotation,Roll + Cut Big,Mobile Big,1.65,8.18,1.42,1.83,3.75,1.45,47.79,60,0.68,7.42,94.2,90.64,90.52,90.76,92.87,94.15,74.98,74.45,85.13,88.33,0.52,-1.13,3.55,7.33,28.17,67.02,80.94,13.28,78.64,88.59,80.36,58.44
1851,2022-23,Drew Eubanks,25,POR,1584,Rotation,Roll + Cut Big,Mobile Big,1.79,6.89,3.33,1.69,3.03,2.41,45.52,50.76,-0.23,6.63,95.08,85.8,99.44,89.3,86.44,99.05,68.92,62.98,58.65,82.28,-0.67,-1.57,3.67,6.58,22.03,65.6,25.05,7.73,80.12,81.72,62.52,51.9
1852,2025-26,Drew Eubanks,28,SAC,552,Rotation,Roll + Cut Big,Mobile Big,-1.26,5.07,0.59,0.93,2.5,0.51,52,38.46,-0.79,5.7,17.22,77.17,74.2,71.51,79.28,78,85.28,43.8,37.25,72.83,-0.62,-1.69,2.1,5.63,27.27,71.54,27.02,6.5,51.61,69.13,77.98,76.93
1853,2018-19,Drew Eubanks,21,SAS,113,Garbage Time,Post Scorer,Helper,-1.53,5.08,1.26,0.26,1.8,-0.31,37.5,66.67,-1.14,8.94,11.56,77.27,88.32,30.11,66.08,34.73,43.51,83.67,23.46,95.14,0.05,-0.26,1.22,7.76,39.29,75.68,63.62,32.78,32.62,91.57,96.37,86.67
1854,2019-20,Drew Eubanks,22,SAS,272,Garbage Time,Post Scorer,Anchor Big,-0.45,7.47,2.57,1.27,3.25,0.13,48.28,50,-0.52,7.18,49.52,88.03,98.14,82.28,88.91,63.55,75.91,58.42,47.51,86.81,0.01,-0.81,2.59,6.88,24.56,69.51,61.53,17.98,62.23,84.9,70.63,69.05
1855,2020-21,Drew Eubanks,23,SAS,755,Rotation,Roll + Cut Big,Anchor Big,0.38,8.28,1.87,1.37,3.44,0.73,44.31,60.81,0.15,7.95,77.45,91.09,94.83,84.28,90.42,84.18,65.09,76.25,72.93,91.51,-0.4,-0.59,3.09,7.77,29.34,67.89,36.74,22.78,72.12,91.67,83.14,62.21
1856,2020-21,Cam Reynolds,25,SAS/HOU,40,Too Few Games,Low Minute,Helper,-1.79,4.41,0.33,0.4,1.61,0.02,40,50,-1.74,2.65,6.41,72.35,65.08,40.97,60.93,57.57,50.56,58.42,6.56,22.72,-0.75,-0.25,0.6,4.09,0,50,22.03,33.18,21.26,34.9,0,17.87
1857,2018-19,Cam Reynolds,23,MIN,259,Garbage Time,Movement Shooter,Chaser,-1.2,1.82,0.05,0.21,0.72,-0.46,30.77,50,-1.19,3.82,18.94,33.17,53.18,26.35,18.92,27.33,30.7,58.42,21.88,43.62,0.12,0.39,1.42,4.06,14.81,69.23,67.1,65.69,36.95,33.99,37.83,67.46
1858,2019-20,Juan Toscano-Anderson,26,GSW,272,Garbage Time,Movement Shooter,Wing Stopper,-0.55,2.86,-0.2,0.69,1.27,-0.15,45,55.56,0.67,5.83,44.82,53.13,39.5,60.16,47.6,43.16,67.01,68.52,84.91,74.14,-0.11,-0.15,3.31,5.73,23.26,64.18,52.93,37.18,75.24,70.55,66.83,45.42
1859,2020-21,Juan Toscano-Anderson,27,GSW,1107,Key Rotation,Stationary Shooter,Helper,-0.47,2.93,0.27,0.55,0.95,-0.78,32.22,41.38,0.87,6.56,48.67,54.33,62.77,52.26,31.94,15,32.64,47.77,88.45,81.68,0.35,0.09,3.89,6.5,22.82,67.76,76.41,49.25,82.44,80.84,65.48,61.59
1860,2021-22,Juan Toscano-Anderson,28,GSW,994,Rotation,Stationary Shooter,Helper,-1.1,3,0.38,0.38,1.09,-0.23,36.84,50,-0.3,5.51,21.95,55.43,67.16,39.26,39.29,38.48,42.05,58.42,55.89,70.67,-0.42,0.08,2.03,5.5,14.86,61.92,35.75,48.74,50.2,67.04,38.06,36.75
1861,2023-24,Juan Toscano-Anderson,30,SAC,53,Garbage Time,Low Minute,Helper,-1.62,4.91,-0.37,0.36,2.22,-0.2,57.14,75,-1.48,6.58,9.8,76.11,32.02,37.92,75.03,40.24,90.64,93.39,13.36,81.87,0.11,1.29,0.91,5.81,0,125,66.49,95.57,26.31,71.58,0,99.13
1862,2022-23,Juan Toscano-Anderson,29,LAL/UTA,700,Rotation,Movement Shooter,Wing Stopper,-1.13,3.65,0.1,0.54,1.43,-0.74,41.79,50,-0.67,4.85,20.88,64.38,55.47,51.67,54.33,16.36,57.08,58.42,41.67,61.98,0.23,-0.04,1.85,4.86,16.67,64.43,71.76,41.99,46.39,53.94,43.62,46.54
1863,2021-22,Trayvon Palmer,27,DET,17,Too Few Games,Low Minute,Chaser,-0.25,0,-0.2,0,1.2,-0.03,0,0,0.24,4.41,58.03,0,39.5,0,44.82,52.81,0,0,75.41,54.55,-0.16,0.79,2,5.02,50,40,49.78,84.35,49.01,57.52,98.35,16.73
1864,2021-22,Haywood Highsmith,25,MIA,163,Garbage Time,Movement Shooter,Helper,-1.05,4.93,1.37,0.53,2.09,0.16,45.45,80,-1.31,3.53,23.67,76.23,89.9,50.93,72.26,65.04,68.45,96.12,18.37,37.02,-0.71,0.28,0.84,3.94,25,64,23.49,59.63,25.12,30.87,71.41,44.6
1865,2022-23,Haywood Highsmith,26,MIA,969,Rotation,Stationary Shooter,Point of Attack,0.75,5.01,2.43,1.06,2.18,0.44,46.72,45.61,0.89,5.05,85.13,76.79,97.63,76.6,74.05,75.78,72.25,53.49,88.72,64.89,0.74,0.71,2.43,5.05,20.61,69.31,86.33,81.55,58.9,58.24,57.73,68.05
1866,2023-24,Haywood Highsmith,27,MIA,1366,Key Rotation,Stationary Shooter,Point of Attack,0.44,3.36,1.29,0.98,1.79,0.68,56.03,49.23,-0.31,3.99,78.98,60.69,88.74,73.42,65.81,83,89.96,58.15,55.55,47,-0.38,-0.01,2.2,4.03,20.69,66.82,37.64,43.84,53.75,33.12,57.9,57.57
1867,2024-25,Haywood Highsmith,28,MIA,1818,Key Rotation,Stationary Shooter,Point of Attack,0.25,3.62,2.59,0.97,1.5,-0.08,42.86,51.39,-0.41,3.73,74.45,64.01,98.15,73.09,57.14,48.03,60.16,63.6,51.97,41.49,-0.13,0.34,2.43,3.76,17.22,66.42,51.41,62.86,58.9,25.63,46.39,54.97
1868,2018-19,Haywood Highsmith,22,PHI,40,Too Few Games,Low Minute,Chaser,-1.76,4.26,0.47,0,0.83,-0.13,0,0,-1.68,4.36,7.09,71.01,70.49,0,25,44.16,0,0,8.24,53.83,0.16,0.32,1,4.84,0,71.43,68.98,61.7,27.48,53.39,0,75.99
1869,2025-26,Haywood Highsmith,29,PHO,91,Too Few Games,Low Minute,Point of Attack,-1.37,0,1.15,0.86,2.26,0.47,0,0,-1.49,3.07,14.71,0,86.56,68.75,75.74,76.84,0,0,13.01,28.47,-0.98,-0.58,1,3.76,0,0,15.25,23,27.48,25.63,0,0
1870,2019-20,Alen Smailagic,19,GSW,139,Garbage Time,Versatile Big,Helper,-0.86,6.19,0.92,0.71,2.3,-0.16,43.48,60,-1.46,4.38,30.97,82.69,82.34,61.56,76.32,42.48,62.43,74.45,13.96,54.17,-0.18,-0.78,1.21,4.6,29.41,62.96,48.46,18.59,32.44,47.55,83.24,40.45
1871,2020-21,Alen Smailagic,20,GSW,84,Garbage Time,Low Minute,Anchor Big,-1.46,6.52,-0.11,0.4,2.1,-0.1,46.15,83.33,-1.52,4.05,12.93,84.3,43.84,40.97,72.41,46.4,70.57,97.15,12.23,48.39,-0.43,-0.58,0.67,4.48,30,76.92,35.31,23,22.07,44.31,84.3,88.07
1872,2018-19,Isaac Humphries,21,ATL,56,Too Few Games,Low Minute,Helper,-1.69,4.72,0.46,0.8,2,-0.36,57.14,25,-1.53,4.17,8.43,74.68,70.11,65.87,70.73,32.04,90.64,29.23,11.87,50.31,0.11,-0.4,1.4,4.65,14.29,58.33,66.49,27.87,36.51,48.82,35.49,26.77
1873,2018-19,Dairis Bertans,29,NOP,167,Garbage Time,Off Screen Shooter,Low Activity,-1.23,0.62,0.09,0.17,0.66,-0.24,66.67,0,-1.63,1.46,18.02,18.02,55.11,23.77,14.96,38.11,95.04,0,9.48,16.73,-1.54,-0.07,0.58,2.33,28.57,63.64,4.66,40.62,21.08,1.22,81.23,42.91
