RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Finishing Talent,Rim Shot Creation,Drives Per 75 Possessions,Rim Shot Making,Rim Shot Making Efficiency,Paint Shooting Talent,Rim Makes Consistency,Stable Rim FG%,Contact Finish Rate,Rim Attempt Consistency,Finishing Talent_percentile,Rim Shot Creation_percentile,Drives Per 75 Possessions_percentile,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Paint Shooting Talent_percentile,Rim Makes Consistency_percentile,Stable Rim FG%_percentile,Contact Finish Rate_percentile,Rim Attempt Consistency_percentile,Rim FG%,Drive Foul Drawn Rate,Rim FG%_percentile,Drive Foul Drawn Rate_percentile
319,2017-18,Rondae Hollis-Jefferson,23,BRK,1921,Starter,Shot Creator,Helper,0.23,0.11,6.61,0.05,-0.15,0.17,104,59.78,29.45,103.08,80.53,69.75,70.38,67.1,60.87,81.5,90.32,28.17,81.65,89.93,58.97,9.22,44.79,75.39
320,2018-19,Rondae Hollis-Jefferson,24,BRK,1234,Key Rotation,Athletic Finisher,Helper,-0.82,0.05,7.32,-1.34,-1.65,-0.86,101.69,54.25,18.68,101.43,21.45,67.05,74.03,0.98,4.67,11.19,71.37,15.4,46.96,73.16,51.85,11.02,28.86,82.91
321,2023-24,Terry Rozier,29,CHO/MIA,2040,Starter,Primary Ball Handler,Point of Attack,0.56,0.83,11.94,0.67,0.73,1.36,101.63,56.61,19.35,101.99,87.39,88.8,89.52,89.45,88,95.31,70.89,18.22,48.58,79.14,53.24,4.28,30.56,40.12
322,2024-25,Terry Rozier,30,MIA,1658,Key Rotation,Primary Ball Handler,Point of Attack,-0.86,0.58,8.58,-0.86,-1.55,-1,100.63,60.75,18.6,99.93,18.23,83.32,79.25,3.87,6.2,5.7,62.9,32.89,46.84,57.63,57.75,4.17,41.21,39.12
323,2015-16,Terry Rozier,21,BOS,311,Garbage Time,Secondary Ball Handler,Point of Attack,-0.43,0.82,8.74,-0.36,-1.52,-0.34,88.71,52.01,25,95.1,50.34,88.63,79.88,19.75,6.67,59.87,10.09,14.49,66.71,23.87,33.33,2.7,19.23,30.28
324,2016-17,Terry Rozier,22,BOS,1263,Rotation,Primary Ball Handler,Point of Attack,-0.72,0.73,7.36,-0.71,-1.76,-0.46,99.07,51.94,38.46,98.66,29.1,86.87,74.14,6.46,3.54,50.8,50.11,14.46,93.33,46.45,46.22,4.07,23.3,38.66
325,2017-18,Terry Rozier,23,BOS,2068,Key Rotation,Primary Ball Handler,Point of Attack,-0.79,0.54,8.58,-0.73,-1.39,-0.05,98.93,54.06,18.37,100.6,23.51,82.45,79.25,5.92,8.43,74.97,48.77,15.27,46.22,64.09,50,4.26,25,39.91
326,2018-19,Terry Rozier,24,BOS,1791,Key Rotation,Primary Ball Handler,Point of Attack,-0.53,0.14,7.98,-0.25,-0.54,-0.75,98.54,58.87,10,99,43.45,70.93,76.95,28.13,39.01,19.74,46.19,24.41,31.93,49.14,56.62,3.59,37.72,35.33
327,2019-20,Terry Rozier,25,CHO,2164,Starter,Primary Ball Handler,Point of Attack,-0.35,0.68,11.05,-0.4,-0.6,-0.3,102.48,54.29,29.41,102.51,55.75,85.82,87.06,17.36,35.89,62.8,77.72,15.46,81.21,84.55,51.44,3.48,28.5,34.68
328,2020-21,Terry Rozier,26,CHO,2383,Starter,Primary Ball Handler,Point of Attack,-0.15,0.52,10.97,-0.08,-0.21,0.44,102.98,59.91,32.79,102.74,66.44,81.75,86.81,47.68,57.85,86.9,82.05,28.65,86.77,86.45,58.63,4.07,43.76,38.66
329,2021-22,Terry Rozier,27,CHO,2458,Starter,Primary Ball Handler,Point of Attack,-0.07,0.5,10.69,0.03,-0.05,0.37,103.58,61.34,44.83,102.87,69.91,81.24,85.91,64.93,65.59,85.8,87.12,36.4,95.98,87.79,60.16,2.9,48.73,31.15
330,2022-23,Terry Rozier,28,CHO,2221,Starter,Primary Ball Handler,Point of Attack,-0.15,0.89,13.07,-0.27,-0.46,0.21,104.22,59.39,25,103.56,66.44,90.14,92.15,26.66,43.73,82.45,91.74,26.35,66.71,94.11,57.49,5.82,40.58,51.7
