RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Rim Shot Making,Rim Shot Making Efficiency,Rim Shot Attempts Per 75 Possessions,Stable Rim FG%,Stable Short Midrange FG%,Floater Talent,Paint Shooting Talent,Paint Shot Making,Paint Shot Making Efficiency,Short Mid Range FG%,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Rim Shot Attempts Per 75 Possessions_percentile,Stable Rim FG%_percentile,Stable Short Midrange FG%_percentile,Floater Talent_percentile,Paint Shooting Talent_percentile,Paint Shot Making_percentile,Paint Shot Making Efficiency_percentile,Short Mid Range FG%_percentile,Rim FG%,Rim FG%_percentile
1955,2021-22,Cam Reddish,22,ATL/NYK,1012,Key Rotation,Secondary Ball Handler,Chaser,0.23,0.37,3.65,59.44,40.96,0.04,-0.37,0.18,-1.07,38.57,77.99,79.52,57.79,26.57,50.59,77.83,57.63,78.32,16.52,55.39,55,33.68
1956,2022-23,Cam Reddish,23,NYK/POR,990,Key Rotation,Movement Shooter,Helper,0.16,0.12,3.85,64.47,45.48,-0.57,-0.26,0.31,-0.2,48.21,74.82,71.8,60.97,59.87,90.3,42.84,65.23,83.02,67.39,84.64,62.86,57.76
1957,2019-20,Ja Morant,20,MEM,2074,Starter,Slasher,Point of Attack,0.79,0.53,7.22,58.77,42.42,4.14,0.47,1.04,-0.14,43.37,91.19,83.77,93.97,23.98,64.89,99.71,87.37,94.21,70.4,71.01,57.92,41.78
1958,2020-21,Ja Morant,21,MEM,2053,Star,Slasher,Point of Attack,1.51,1.15,6.34,61.21,39.97,2.37,0.16,0.31,-0.6,39.12,96.97,94.5,88.97,35.49,40.33,98.16,81.16,83.02,42.82,57.17,60.61,49.92
1959,2021-22,Ja Morant,22,MEM,1889,Star,Slasher,Chaser,3.55,2.06,8.61,66.75,41.45,3.17,0.98,1.53,-0.11,41.18,99.74,99.34,97.53,77.6,55.68,99.09,93.04,96.89,71.86,63.93,66.96,72.86
1960,2022-23,Ja Morant,23,MEM,1948,Star,Slasher,Chaser,1.42,0.76,7.86,62.78,43,2.87,0.9,1.31,-0.38,42.76,96.48,88.52,96.08,45.84,70.74,98.78,92.42,95.77,57.33,68.78,62.09,55.03
1961,2023-24,Ja Morant,24,MEM,318,Star,Shot Creator,Chaser,1.55,0.79,6.63,66.03,44.61,2.51,0.83,1.52,-0.22,46.3,97.16,89.24,91.05,71.93,85.67,98.41,91.76,96.88,66.52,79.8,65.52,67.09
1962,2024-25,Ja Morant,25,MEM,1519,Star,Shot Creator,Point of Attack,1.38,0.99,5.96,63.64,45.01,2.04,0.89,1.27,-0.15,45.28,96.38,92.39,86.25,52.6,88.14,97.34,92.28,95.56,69.89,76.91,62.84,57.73
1963,2025-26,Ja Morant,26,MEM,568,Starter,Shot Creator,Chaser,0.31,-0.01,5.07,64.2,41.84,1.93,-0.34,-0.38,-1.57,39.67,81.09,67.17,77.53,57.48,59.65,97.02,59.87,17.35,5.14,58.61,61.45,52.67
1964,2019-20,De'Andre Hunter,22,ATL,2018,Starter,Movement Shooter,Wing Stopper,-0.86,-1.39,3.03,58.34,34.76,0.02,-0.9,-0.42,-1.45,30.09,3.87,8.43,48.01,22.62,15.17,77.17,9.12,14.91,7.07,35.2,56.07,36.44
1965,2020-21,De'Andre Hunter,23,ATL,678,Starter,Stationary Shooter,Wing Stopper,0.54,0.63,3.25,64.07,47.01,1.55,0.6,0.78,0.52,55.77,87.41,86.19,51.19,56.36,95.24,95.87,89.2,91.86,88.55,95.37,63.93,61.53
1966,2021-22,De'Andre Hunter,24,ATL,1577,Starter,Shot Creator,Wing Stopper,-0.46,-0.76,3.39,62.01,41.65,0.43,-0.3,0.14,-0.71,40.97,14.56,28.16,53.36,40.64,57.48,86.46,62.8,76.4,35.37,63.41,60.27,48.98
1967,2022-23,De'Andre Hunter,25,ATL,2126,Starter,Stationary Shooter,Wing Stopper,-0.27,-0.48,2.82,62.15,44.89,0.42,1,0.38,1.33,45.33,26.66,42.39,44.58,41.55,87.42,86.32,93.21,84.61,97.06,77.09,60.12,48.65
1968,2023-24,De'Andre Hunter,26,ATL,1681,Key Rotation,Shot Creator,Wing Stopper,-0.14,-0.35,2.78,64.61,45.98,0.44,0.09,0.14,0,47.59,39.72,49.95,43.98,60.85,92.41,86.63,79.43,76.4,75.85,83.21,63.57,60.16
1969,2025-26,De'Andre Hunter,28,CLE/SAC,1175,Key Rotation,Movement Shooter,Wing Stopper,-0.14,-0.35,2.32,65.42,46.8,-0.18,-0.08,0.07,-0.58,48.8,39.72,49.95,36.83,66.77,94.68,69.57,73.85,71.79,44.18,85.86,63.64,60.26
