RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Points Over Expectation / 75,Stable eFG%,Overall Shot Making Efficiency,Overall Shot Making,Self-Created Shot Making Efficiency,Overall Shot Creation,Role Adjusted Stable eFG%,Points Over Expectation / 75_percentile,Stable eFG%_percentile,Overall Shot Making Efficiency_percentile,Overall Shot Making_percentile,Self-Created Shot Making Efficiency_percentile,Overall Shot Creation_percentile,Role Adjusted Stable eFG%_percentile
1846,2022-23,Gabe Vincent,26,MIA,1759,Key Rotation,Primary Ball Handler,Point of Attack,-0.45,51.67,-0.63,-0.32,-0.05,-0.14,0.52,26.1,41.17,38.75,25.98,73.73,63.88,45.51
1847,2023-24,Kaiser Gates,27,NOP,7,Too Few Games,Low Minute,Chaser,0,53.89,-0.86,-0.07,,-1.37,0.46,36.38,67.1,26.79,52.99,,8.47,5.44
1848,2024-25,Drew Eubanks,27,UTA/LAC,746,Rotation,Roll + Cut Big,Anchor Big,-0.71,57.03,-0.28,-0.12,-0.24,-0.88,0.6,20.68,90.38,59.61,46.53,65.32,31.41,93.84
1849,2023-24,Drew Eubanks,26,PHO,1169,Rotation,Roll + Cut Big,Mobile Big,-0.26,58.21,-0.66,-0.28,-0.88,-1.07,0.6,30.4,94.19,37.36,29.72,27.22,21.71,93.84
1850,2021-22,Drew Eubanks,24,SAS/POR,1245,Rotation,Roll + Cut Big,Mobile Big,-0.04,57.76,0.03,0.05,-0.1,-0.99,0.61,35.6,92.83,72.81,70.62,71.85,25.65,95.26
1851,2022-23,Drew Eubanks,25,POR,1584,Rotation,Roll + Cut Big,Mobile Big,0.27,61.41,0.58,0.18,-0.04,-1.05,0.64,79.75,98.47,86.73,77.02,74.16,22.52,98.09
1852,2025-26,Drew Eubanks,28,SAC,552,Rotation,Roll + Cut Big,Mobile Big,0,57.2,-0.22,-0.07,-0.23,-1.28,0.61,36.38,91.15,62.52,52.99,65.8,11.84,95.26
1853,2018-19,Drew Eubanks,21,SAS,113,Garbage Time,Post Scorer,Helper,0,52.67,0.21,0.05,-0.14,-0.52,0.48,36.38,53.13,78.04,70.62,70.12,48.86,14.92
1854,2019-20,Drew Eubanks,22,SAS,272,Garbage Time,Post Scorer,Anchor Big,0.97,56.07,0.38,0.18,-0.05,-0.9,0.59,91.02,85.68,82.26,77.02,73.73,30.33,91.91
1855,2020-21,Drew Eubanks,23,SAS,755,Rotation,Roll + Cut Big,Anchor Big,-0.05,55.58,-0.51,-0.18,-1.4,-0.88,0.58,35.18,82.63,46.16,39.83,8.6,31.41,88.94
1856,2020-21,Cam Reynolds,25,SAS/HOU,40,Too Few Games,Low Minute,Helper,0,52.95,-0.66,-0.09,-0.44,-1.28,0.47,36.38,56.6,37.36,50.51,53.79,11.84,9.63
1857,2018-19,Cam Reynolds,23,MIN,259,Garbage Time,Movement Shooter,Chaser,-0.51,53.08,-0.09,0.02,-0.06,-1.33,0.53,24.73,58.25,68.44,68.17,73.31,9.75,54.54
1858,2019-20,Juan Toscano-Anderson,26,GSW,272,Garbage Time,Movement Shooter,Wing Stopper,-0.52,52.85,-0.83,-0.39,-0.44,-0.87,0.53,24.51,55.49,28.45,21.21,53.79,31.78,54.54
1859,2020-21,Juan Toscano-Anderson,27,GSW,1107,Key Rotation,Stationary Shooter,Helper,0.31,60.62,0.13,0.05,-0.43,-1.32,0.6,80.49,97.95,75.84,70.62,54.26,10.11,93.84
1860,2021-22,Juan Toscano-Anderson,28,GSW,994,Rotation,Stationary Shooter,Helper,-1.4,54.04,-1.08,-0.3,-0.69,-0.8,0.56,9.47,68.72,17.76,28.02,38.13,35.22,79.24
1861,2023-24,Juan Toscano-Anderson,30,SAC,53,Garbage Time,Low Minute,Helper,0,53.49,-1.08,-0.1,-1.05,-1.22,0.47,36.38,62.81,17.76,49.29,19.31,14.38,9.63
1862,2022-23,Juan Toscano-Anderson,29,LAL/UTA,700,Rotation,Movement Shooter,Wing Stopper,-1.69,51.83,-1.28,-0.41,-0.48,-0.69,0.53,6.41,43.22,11.6,19.85,51.33,40.93,54.54
1863,2021-22,Trayvon Palmer,27,DET,17,Too Few Games,Low Minute,Chaser,0,52.73,-0.3,-0.05,,-1.29,0.48,36.38,53.85,58.74,56.06,,11.42,14.92
1864,2021-22,Haywood Highsmith,25,MIA,163,Garbage Time,Movement Shooter,Helper,-0.06,51.38,-0.56,-0.11,-0.8,-1.2,0.47,34.88,37.96,42.89,47.64,31.46,15.52,9.63
1865,2022-23,Haywood Highsmith,26,MIA,969,Rotation,Stationary Shooter,Point of Attack,-1.83,53.22,-1.46,-0.56,-1.23,-1.21,0.54,5.31,59.9,8.05,11.55,12.78,14.99,63.82
1866,2023-24,Haywood Highsmith,27,MIA,1366,Key Rotation,Stationary Shooter,Point of Attack,0.24,56.92,-0.45,-0.21,-0.45,-1.42,0.55,79,89.85,50.07,36.68,53.08,6.99,72.35
1867,2024-25,Haywood Highsmith,28,MIA,1818,Key Rotation,Stationary Shooter,Point of Attack,-0.45,56.12,-0.49,-0.23,-0.3,-1.43,0.55,26.1,85.93,47.94,34.42,62.08,6.72,72.35
1868,2018-19,Haywood Highsmith,22,PHI,40,Too Few Games,Low Minute,Chaser,0,51.66,-0.23,-0.02,-0.23,-1.51,0.46,36.38,41.03,61.94,61.09,65.8,4.71,5.44
1869,2025-26,Haywood Highsmith,29,PHO,80,Too Few Games,Low Minute,Point of Attack,0,56.55,0.11,0.16,-0.29,-0.9,0.46,36.38,88.11,75.28,76.06,62.68,30.33,5.44
1870,2019-20,Alen Smailagic,19,GSW,139,Garbage Time,Versatile Big,Helper,1.95,53.13,-0.36,-0.07,-0.27,-0.21,0.49,97.63,58.71,55.32,52.99,63.58,61.14,21.64
1871,2020-21,Alen Smailagic,20,GSW,84,Garbage Time,Low Minute,Anchor Big,0,53.28,-0.53,-0.06,-0.64,-0.18,0.47,36.38,60.67,44.68,54.53,41.08,62.37,9.63
1872,2018-19,Isaac Humphries,21,ATL,56,Too Few Games,Low Minute,Helper,0,50.4,-0.78,-0.26,-0.25,-1.45,0.45,36.38,27.98,30.93,31.71,64.92,6.12,2.66
1873,2018-19,Dairis Bertans,29,NOP,167,Garbage Time,Off Screen Shooter,Low Activity,-1.64,48.9,-0.89,-0.34,-0.81,-1.21,0.44,7,14.71,25.33,24.5,30.82,14.99,0.91
1874,2019-20,Zylan Cheatham,24,NOP,51,Too Few Games,Low Minute,Mobile Big,0,53.61,-0.18,0,-0.1,-1.09,0.5,36.38,63.96,64.51,65.14,71.85,20.62,28.87
1875,2021-22,Zylan Cheatham,26,UTA,5,Too Few Games,Low Minute,Mobile Big,0,52.19,-0.48,-0.05,,-1.26,0.47,36.38,47.48,48.32,56.06,,12.76,9.63
1876,2019-20,Chris Clemons,22,HOU,291,Garbage Time,Shot Creator,Point of Attack,0,53.07,-0.18,-0.02,-0.08,0.18,0.53,36.38,58.08,64.51,61.09,72.57,74.07,54.54
1877,2019-20,Amir Coffey,22,LAC,159,Garbage Time,Secondary Ball Handler,Low Activity,0,51.94,-0.33,-0.05,-0.36,0.02,0.47,36.38,44.5,57.16,56.06,58.67,69.45,9.63
1878,2020-21,Amir Coffey,23,LAC,394,Garbage Time,Stationary Shooter,Chaser,0,54.3,-0.13,-0.04,-0.57,-0.72,0.53,36.38,71.06,66.57,57.66,45.52,39.57,54.54
1879,2021-22,Amir Coffey,24,LAC,1567,Key Rotation,Movement Shooter,Chaser,0.53,54.82,0.57,0.37,0.42,-0.5,0.55,84.84,76.18,86.54,82.95,85.94,49.66,72.35
1880,2022-23,Amir Coffey,25,LAC,625,Rotation,Slasher,Helper,-1.07,49.61,-1.17,-0.36,-1.06,-0.05,0.48,14.37,20.17,15.02,23.1,18.92,67.08,14.92
1881,2023-24,Amir Coffey,26,LAC,1460,Key Rotation,Stationary Shooter,Chaser,0.3,56.36,0.46,0.16,0.12,-0.77,0.56,80.33,87.11,84.4,76.06,79.39,36.82,79.24
1882,2024-25,Amir Coffey,27,LAC,1748,Key Rotation,Stationary Shooter,Chaser,0.32,56.15,0.58,0.35,-0.54,-0.58,0.56,80.71,86.13,86.73,82.26,47.47,46.04,79.24
1883,2025-26,Amir Coffey,28,MIL/PHO,443,Garbage Time,Stationary Shooter,Helper,0,55.44,0.18,0.03,0.2,-0.22,0.55,36.38,81.42,77.14,69.07,81.36,60.77,72.35
1884,2021-22,Jarron Cumberland,24,POR,12,Too Few Games,Low Minute,Chaser,0,52.97,-0.18,0,-0.26,-0.92,0.48,36.38,56.75,64.51,65.14,64.18,29.41,14.92
1885,2021-22,Javin DeLaurier,23,MIL,3,Too Few Games,Low Minute,Helper,0,53,,,,,0.48,36.38,57.12,,,,,14.92
1886,2020-21,Mamadi Diakite,24,MIL,141,Garbage Time,Shot Creator,Anchor Big,0.1,51.81,-0.83,-0.19,-0.6,-0.87,0.48,76.4,42.91,28.45,38.69,43.71,31.78,14.92
1887,2023-24,Mamadi Diakite,27,SAS/NYK,24,Too Few Games,Low Minute,Mobile Big,0,55.35,-0.64,-0.02,,-1.59,0.48,36.38,80.72,38.31,61.09,,3.06,14.92
1888,2021-22,Mamadi Diakite,25,OKC,188,Garbage Time,Athletic Finisher,Anchor Big,0.72,53.04,-0.82,-0.27,-0.74,-1.03,0.51,87.79,57.73,28.75,30.81,35.08,23.56,36.69
1889,2022-23,Mamadi Diakite,26,CLE,176,Garbage Time,Stretch Big,Helper,0,55,-0.43,-0.06,0.01,-1.36,0.51,36.38,77.8,51.4,54.53,75.76,8.69,36.69
1890,2020-21,CJ Elleby,20,POR,192,Garbage Time,Movement Shooter,Point of Attack,0,51.25,-0.75,-0.14,-0.4,-0.15,0.47,36.38,36.63,32.56,44.08,56.24,63.54,9.63
1891,2021-22,CJ Elleby,21,POR,1174,Rotation,Stationary Shooter,Helper,-1.83,48.26,-1.59,-0.69,-1.39,-0.71,0.49,5.31,10.35,5.67,7.26,8.75,40.05,21.64
1892,2019-20,Tacko Fall,24,BOS,33,Too Few Games,Low Minute,Helper,0,54.73,0,0.03,-0.12,-0.55,0.52,36.38,75.52,71.81,69.07,70.95,47.29,45.51
1893,2020-21,Tacko Fall,25,BOS,136,Garbage Time,Post Scorer,Helper,0,56.4,-0.25,-0.02,-0.15,-0.67,0.53,36.38,87.36,61.14,61.09,69.69,41.88,54.54
1894,2021-22,Tacko Fall,26,CLE,59,Garbage Time,Low Minute,Anchor Big,0,52.34,-0.5,-0.06,-0.53,-0.82,0.49,36.38,49.3,47.09,54.53,47.97,34.33,21.64
1895,2021-22,Jared Harper,24,NOP,43,Too Few Games,Low Minute,Chaser,0,54.24,0.16,0.1,0.07,0.5,0.49,36.38,70.59,76.62,73.58,77.65,81.46,21.64
1896,2019-20,Jared Harper,22,PHO,8,Too Few Games,Low Minute,Point of Attack,0,52.43,-0.35,-0.02,-0.15,-1,0.47,36.38,50.31,55.84,61.09,69.69,24.97,9.63
1897,2020-21,Jared Harper,23,NYK,16,Garbage Time,Low Minute,Point of Attack,0,52.91,-0.59,-0.02,-0.67,-0.47,0.47,36.38,56.08,41.31,61.09,39.39,50.94,9.63
1898,2019-20,Dewan Hernandez,23,TOR,28,Too Few Games,Low Minute,Helper,0,52.07,-0.3,-0.02,-0.24,-0.11,0.48,36.38,46.04,58.74,61.09,65.32,65.09,14.92
1899,2021-22,DaQuan Jeffries,24,MEM,9,Too Few Games,Low Minute,Chaser,0,52.97,-0.27,-0.01,,-1.27,0.48,36.38,56.75,60.33,63.22,,12.3,14.92
1900,2023-24,DaQuan Jeffries,26,NYK,46,Garbage Time,Low Minute,Mobile Big,0,53.88,-0.78,-0.04,-0.71,-1.15,0.46,36.38,67,30.93,57.66,36.82,17.86,5.44
1901,2019-20,DaQuan Jeffries,22,SAC,141,Garbage Time,Stationary Shooter,Low Activity,-1.1,53.56,-0.4,-0.09,0.07,-1.53,0.48,13.8,63.57,53.16,50.51,77.65,4.22,14.92
1902,2020-21,DaQuan Jeffries,23,SAC/HOU,493,Garbage Time,Movement Shooter,Helper,-0.4,52.47,-0.87,-0.3,-0.3,-1.08,0.53,27.14,50.87,26.3,28.02,62.08,21.11,54.54
1903,2024-25,DaQuan Jeffries,27,CHO,1071,Key Rotation,Movement Shooter,Helper,-1.59,51.6,-0.73,-0.33,-0.1,-1.05,0.53,7.48,40.32,33.67,25.2,71.85,22.52,54.54
1904,2024-25,Terance Mann,28,LAC/ATL,1414,Rotation,Movement Shooter,Chaser,-0.63,55.98,-0.16,-0.06,-0.23,-0.19,0.56,22.2,85.1,65.26,54.53,65.8,61.89,79.24
1905,2019-20,Terance Mann,23,LAC,362,Garbage Time,Shot Creator,Chaser,0,52.5,-0.19,-0.02,-0.05,-0.03,0.52,36.38,51.24,63.98,61.09,73.73,67.76,45.51
1906,2020-21,Terance Mann,24,LAC,1263,Rotation,Athletic Finisher,Point of Attack,0.12,55.47,-0.13,-0.05,-0.29,-0.11,0.54,76.82,81.61,66.57,56.06,62.68,65.09,63.82
1907,2021-22,Terance Mann,25,LAC,2317,Starter,Movement Shooter,Chaser,0.29,53.71,-0.46,-0.22,-0.68,0.15,0.53,80.13,64.96,49.37,35.57,38.92,73.14,54.54
1908,2022-23,Terance Mann,26,LAC,1872,Key Rotation,Movement Shooter,Point of Attack,0.46,58.11,-0.03,-0.01,-0.17,-0.25,0.57,83.5,93.87,70.65,63.22,68.76,59.6,84.8
1909,2023-24,Terance Mann,27,LAC,1873,Key Rotation,Stationary Shooter,Point of Attack,0.15,57.67,-0.65,-0.32,0.23,-0.7,0.57,77.32,92.65,37.85,25.98,82.12,40.42,84.8
1910,2025-26,Terance Mann,29,BRK,1529,Starter,Primary Ball Handler,Point of Attack,0,53.86,-0.25,-0.11,0.04,-0.14,0.53,36.38,66.84,61.14,47.64,76.81,63.88,54.54
1911,2022-23,Andrew Nembhard,23,IND,2074,Starter,Primary Ball Handler,Point of Attack,-1.07,52.11,-0.76,-0.42,-1.34,0.15,0.52,14.37,46.58,32.07,19.17,9.73,73.14,45.51
1912,2023-24,Andrew Nembhard,24,IND,1697,Key Rotation,Primary Ball Handler,Point of Attack,-0.76,55.48,-0.09,0,-0.51,0.32,0.55,19.81,81.71,68.44,65.14,49.29,77.82,72.35
1913,2024-25,Andrew Nembhard,25,IND,1881,Starter,Primary Ball Handler,Point of Attack,-0.54,51.47,-0.44,-0.22,0.41,0.26,0.52,24.09,38.87,50.71,35.57,85.8,76.3,45.51
1914,2025-26,Andrew Nembhard,26,IND,1786,Starter,Primary Ball Handler,Point of Attack,0,52.08,-0.37,-0.16,-0.38,1.06,0.52,36.38,46.2,54.78,41.78,57.44,91.46,45.51
1915,2021-22,Reggie Perry,21,POR/IND,187,Garbage Time,Roll + Cut Big,Helper,-3.17,52.86,-0.55,-0.22,-0.66,-0.16,0.5,0.77,55.56,43.38,35.57,39.94,63.12,28.87
1916,2020-21,Reggie Perry,20,BRK,211,Garbage Time,Roll + Cut Big,Anchor Big,-3.78,51.01,-1.69,-0.39,-1.12,-0.72,0.48,0.3,34.16,4.32,21.21,16.26,39.57,14.92
1917,2023-24,Jalen Pickett,24,DEN,122,Garbage Time,Secondary Ball Handler,Point of Attack,0,55.11,-0.54,-0.06,-1.59,0.13,0.47,36.38,78.92,44.11,54.53,5.31,72.51,9.63
1918,2024-25,Jalen Pickett,25,DEN,666,Rotation,Secondary Ball Handler,Point of Attack,-0.23,53.95,-0.35,-0.12,0.29,-0.48,0.52,31.14,67.77,55.84,46.53,83.41,50.66,45.51
1919,2025-26,Jalen Pickett,26,DEN,747,Rotation,Secondary Ball Handler,Chaser,0,53.8,-0.51,-0.19,-1.08,-0.24,0.52,36.38,66.09,46.16,38.69,18.18,60.12,45.51
1920,2021-22,Myles Powell,24,PHI,52,Garbage Time,Low Minute,Point of Attack,0,51.33,-0.58,-0.06,-0.82,0.85,0.47,36.38,37.47,41.92,54.53,30.31,88.28,9.63
1921,2019-20,Marial Shayok,24,PHI,28,Too Few Games,Low Minute,Helper,0,51.85,-0.43,-0.07,-0.69,-0.22,0.46,36.38,43.47,51.4,52.99,38.13,60.77,5.44
1922,2020-21,Max Strus,24,MIA,507,Garbage Time,Off Screen Shooter,Chaser,0.81,56.37,-0.02,0.02,-0.22,-1.56,0.55,88.94,87.19,71.06,68.17,66.28,3.56,72.35
1923,2021-22,Max Strus,25,MIA,1587,Key Rotation,Off Screen Shooter,Low Activity,1.39,58.36,1.6,1.07,-0.01,-1.41,0.58,94.75,94.69,97.57,93.6,75.09,7.28,88.94
1924,2022-23,Max Strus,26,MIA,2272,Key Rotation,Movement Shooter,Helper,0.01,53.78,-0.19,-0.04,-1.03,-1.22,0.54,74.5,65.89,63.98,57.66,20.11,14.38,63.82
1925,2019-20,Max Strus,23,CHI,6,Too Few Games,Low Minute,Chaser,0,53.21,-0.15,0,-0.12,-0.93,0.48,36.38,59.73,65.8,65.14,70.95,29.04,14.92
1926,2023-24,Max Strus,27,CLE,2239,Starter,Movement Shooter,Helper,-0.97,53.65,-0.7,-0.38,-2.03,-1.22,0.54,16.41,64.24,35.47,21.73,1.62,14.38,63.82
1927,2024-25,Max Strus,28,CLE,1273,Starter,Movement Shooter,Wing Stopper,0.84,57.55,0.36,0.29,-0.79,-1.51,0.57,89.34,92.31,81.73,80.69,32.08,4.71,84.8
1928,2021-22,Lindell Wigginton,23,MIL,199,Garbage Time,Secondary Ball Handler,Point of Attack,-1.72,52.28,-0.62,-0.15,-1,-0.51,0.48,6.16,48.49,39.45,42.8,21.28,49.32,14.92
1929,2022-23,Lindell Wigginton,24,MIL,87,Too Few Games,Low Minute,Point of Attack,0.05,55.28,-0.32,0.01,-0.4,0.1,0.5,75.31,80.3,57.76,66.93,56.24,71.69,28.87
1930,2023-24,Lindell Wigginton,25,MIL,8,Too Few Games,Low Minute,Helper,0,54.62,-0.7,-0.01,-0.72,-0.38,0.47,36.38,74.19,35.47,63.22,36.25,54.87,9.63
1931,2019-20,Justin Wright-Foreman,22,UTA,45,Too Few Games,Low Minute,Chaser,0,51.78,-0.34,-0.07,-0.29,0.38,0.46,36.38,42.63,56.63,52.99,62.68,79.14,5.44
1932,2021-22,Bol Bol,22,DEN,81,Garbage Time,Low Minute,Helper,0,53.54,-0.08,0.02,-0.35,-0.72,0.5,36.38,63.43,68.87,68.17,59.27,39.57,28.87
1933,2022-23,Bol Bol,23,ORL,1505,Key Rotation,Athletic Finisher,Helper,-0.7,56.95,0.62,0.35,1.02,-0.11,0.58,20.94,89.96,87.53,82.26,94.85,65.09,88.94
1934,2023-24,Bol Bol,24,PHO,469,Rotation,Stationary Shooter,Helper,1.22,61.08,1.17,0.33,-0.13,-1.05,0.61,93.55,98.16,94.76,81.71,70.61,22.52,95.26
1935,2024-25,Bol Bol,25,PHO,448,Rotation,Stationary Shooter,Helper,0.31,57.5,0.56,0.26,0.37,-1.36,0.58,80.49,92.18,86.24,79.99,85.08,8.69,88.94
1936,2019-20,Bol Bol,20,DEN,87,Too Few Games,Low Minute,Helper,-2.26,53.52,0.04,0.08,-0.21,-0.45,0.48,2.79,63.15,73.26,72.35,66.9,51.75,14.92
1937,2020-21,Bol Bol,21,DEN,160,Garbage Time,Movement Shooter,Helper,0,53.28,-0.19,-0.03,-0.28,-0.4,0.48,36.38,60.67,63.98,59.2,63.13,53.95,14.92
1938,2019-20,Zion Williamson,19,NOP,668,Starter,Post Scorer,Helper,-0.01,57.01,0.03,0.18,0.18,0.02,0.58,36.15,90.25,72.81,77.02,80.91,69.45,88.94
1939,2020-21,Zion Williamson,20,NOP,2026,Star,Shot Creator,Low Activity,2.16,60.42,1.78,2.28,2.13,0.86,0.61,98.22,97.69,98.28,98.71,99.47,88.41,95.26
1940,2022-23,Zion Williamson,22,NOP,956,Star,Shot Creator,Helper,1.84,59.61,1.53,1.97,1.88,1.27,0.6,97.24,96.64,97.12,97.57,99.04,94.1,93.84
1941,2023-24,Zion Williamson,23,NOP,2207,Star,Shot Creator,Helper,0.75,56.97,1.83,2.17,1.61,1.63,0.57,88.08,90.08,98.49,98.42,98.33,96.95,84.8
1942,2024-25,Zion Williamson,24,NOP,857,Key Rotation,Shot Creator,Wing Stopper,0.77,56.16,1.57,2,1.51,2.02,0.56,88.43,86.17,97.43,97.67,97.93,99.17,79.24
1943,2025-26,Zion Williamson,25,NOP,1841,Starter,Shot Creator,Helper,0,59.06,2.07,2.08,1.7,1.19,0.59,36.38,95.92,99.13,97.96,98.67,93.14,91.91
1944,2019-20,RJ Barrett,19,NYK,1704,Starter,Slasher,Chaser,-2.19,46.28,-1.97,-1.72,-2.21,0.69,0.46,3.15,3.07,1.75,0.1,0.81,85.2,5.44
1945,2020-21,RJ Barrett,20,NYK,2511,Starter,Slasher,Helper,-1,50.54,-0.52,-0.32,-0.87,0.55,0.49,16.04,29.43,45.44,25.98,27.62,82.63,21.64
1946,2021-22,RJ Barrett,21,NYK,2417,Starter,Secondary Ball Handler,Wing Stopper,-1.66,47.46,-1.14,-1.15,-1.52,0.93,0.47,6.81,6.35,15.77,1.24,6.48,89.5,9.63
1947,2022-23,RJ Barrett,22,NYK,2475,Starter,Secondary Ball Handler,Helper,-1.29,49.43,-0.82,-0.63,-0.45,0.58,0.49,10.93,18.71,28.75,8.88,53.08,83.24,21.64
1948,2023-24,RJ Barrett,23,NYK/TOR,1838,Starter,Slasher,Wing Stopper,-0.85,54.72,-0.05,0.26,0.02,0.41,0.54,18.15,75.3,69.96,79.99,76.07,79.94,63.82
1949,2024-25,RJ Barrett,24,TOR,1869,Starter,Primary Ball Handler,Helper,-1.15,52.57,-0.16,0.1,0.26,0.7,0.52,12.93,51.92,65.26,73.58,82.72,85.34,45.51
1950,2025-26,RJ Barrett,25,TOR,1697,Starter,Movement Shooter,Helper,0,55.02,-0.02,0.19,0.6,0.16,0.56,36.38,78.09,71.06,77.53,89.63,73.48,79.24
1951,2019-20,Cam Reddish,20,ATL,1551,Starter,Movement Shooter,Chaser,-1.78,47.77,-0.86,-0.54,-1.04,-0.18,0.48,5.64,7.58,26.79,12.33,19.69,62.37,14.92
1952,2020-21,Cam Reddish,21,ATL,750,Key Rotation,Movement Shooter,Wing Stopper,-1.38,47.53,-1.78,-1.24,-1.54,-0.35,0.49,9.69,6.67,3.33,0.8,6.06,55.87,21.64
1953,2023-24,Cam Reddish,24,LAL,984,Rotation,Stationary Shooter,Point of Attack,-1.1,50.51,-1.85,-0.79,-1.4,-0.98,0.51,13.8,29.02,2.71,4.97,8.6,26.17,36.69
1954,2024-25,Cam Reddish,25,LAL,589,Rotation,Stationary Shooter,Point of Attack,-1.3,51.82,-1.42,-0.51,-0.27,-1.34,0.53,10.74,43.08,8.83,13.88,63.58,9.24,54.54
1955,2021-22,Cam Reddish,22,ATL/NYK,1012,Key Rotation,Secondary Ball Handler,Chaser,-0.82,49.97,-0.3,-0.1,-0.53,0.16,0.51,18.68,23.67,58.74,49.29,47.97,73.48,36.69
1956,2022-23,Cam Reddish,23,NYK/POR,990,Key Rotation,Movement Shooter,Helper,-0.5,53,-0.7,-0.34,-0.41,-0.43,0.55,24.95,57.12,35.47,24.5,55.75,52.72,72.35
1957,2019-20,Ja Morant,20,MEM,2074,Starter,Slasher,Point of Attack,-0.36,51.27,0.29,0.43,0.17,1.51,0.51,28.07,36.83,80.06,84.48,80.55,96.27,36.69
1958,2020-21,Ja Morant,21,MEM,2053,Star,Slasher,Point of Attack,-1.21,49.63,-0.43,-0.22,0.03,1.44,0.49,12.13,20.3,51.4,35.57,76.36,95.63,21.64
1959,2021-22,Ja Morant,22,MEM,1889,Star,Slasher,Chaser,0.85,53.01,0.69,1.18,0.78,2.25,0.52,89.44,57.37,88.65,94.22,92.33,99.51,45.51
1960,2022-23,Ja Morant,23,MEM,1948,Star,Slasher,Chaser,-0.06,51.04,-0.13,0.19,-0.22,2.33,0.51,34.88,34.36,66.57,77.53,66.28,99.63,36.69
1961,2023-24,Ja Morant,24,MEM,318,Star,Shot Creator,Chaser,0.86,53.21,-0.33,0.18,0.21,1.72,0.52,89.63,59.73,57.16,77.02,81.72,97.47,45.51
1962,2024-25,Ja Morant,25,MEM,1519,Star,Shot Creator,Point of Attack,-0.26,51.04,-0.1,0.19,0.16,1.84,0.52,30.4,34.36,67.98,77.53,80.27,98.32,45.51
1963,2025-26,Ja Morant,26,MEM,568,Starter,Shot Creator,Chaser,0,48.19,-1.18,-0.96,-1.26,2,0.49,36.38,9.91,14.72,2.76,12.01,99.05,21.64
1964,2019-20,De'Andre Hunter,22,ATL,2018,Starter,Movement Shooter,Wing Stopper,-0.98,49.81,-0.97,-0.7,-1.54,-0.32,0.49,16.27,22.39,21.86,7.06,6.06,57.09,21.64
1965,2020-21,De'Andre Hunter,23,ATL,678,Starter,Stationary Shooter,Wing Stopper,0.69,54.36,0.36,0.5,0.95,-0.03,0.54,87.38,71.66,81.73,85.73,94.18,67.76,63.82
1966,2021-22,De'Andre Hunter,24,ATL,1577,Starter,Shot Creator,Wing Stopper,-0.52,51.21,-0.51,-0.3,-1.06,-0.13,0.51,24.51,36.15,46.16,28.02,18.92,64.36,36.69
1967,2022-23,De'Andre Hunter,25,ATL,2126,Starter,Stationary Shooter,Wing Stopper,-0.37,52.72,0.08,0.23,0.81,-0.08,0.53,27.9,53.83,74.38,79.16,92.66,66.14,54.54
1968,2023-24,De'Andre Hunter,26,ATL,1681,Key Rotation,Shot Creator,Wing Stopper,0.62,54.75,0.04,0.23,-0.22,-0.22,0.55,86.39,75.69,73.26,79.16,66.28,60.77,72.35
1969,2025-26,De'Andre Hunter,28,CLE/SAC,1175,Key Rotation,Movement Shooter,Wing Stopper,0,50.67,-0.98,-0.64,-0.23,-0.1,0.52,36.38,30.53,21.5,8.66,65.8,65.46,45.51
1970,2024-25,De'Andre Hunter,27,ATL/CLE,1740,Starter,Movement Shooter,Wing Stopper,0.88,56.62,0.86,0.87,0.97,-0.25,0.55,90.01,88.37,91.2,91.49,94.49,59.6,72.35
1971,2019-20,Coby White,19,CHI,1674,Starter,Primary Ball Handler,Low Activity,-1.05,48.81,-0.67,-0.46,-0.61,0.56,0.49,14.82,14.17,36.95,16.55,42.9,82.85,21.64
1972,2020-21,Coby White,20,CHI,2156,Starter,Primary Ball Handler,Point of Attack,-0.7,51.21,-0.27,-0.07,0.07,0.29,0.52,20.94,36.15,60.33,52.99,77.65,77.19,45.51
1973,2021-22,Coby White,21,CHI,1675,Key Rotation,Primary Ball Handler,Chaser,0.81,53.68,0.35,0.38,-0.42,-0.13,0.53,88.94,64.58,81.46,83.21,55.05,64.36,54.54
1974,2022-23,Coby White,22,CHI,1730,Key Rotation,Movement Shooter,Chaser,0.29,55.04,-0.03,0.03,-0.12,-0.45,0.55,80.13,78.34,70.65,69.07,70.95,51.75,72.35
1975,2023-24,Coby White,23,CHI,2881,Starter,Primary Ball Handler,Chaser,-0.4,53.61,-0.16,0.14,-0.35,0.52,0.53,27.14,63.96,65.26,75.2,59.27,81.9,54.54
1976,2024-25,Coby White,24,CHI,2450,Starter,Primary Ball Handler,Chaser,0.11,54.81,0.38,0.63,0.31,0.68,0.55,76.66,76.12,82.26,88.02,83.96,85.01,72.35
1977,2025-26,Coby White,25,CHI/CHO,1217,Starter,Shot Creator,Chaser,0,54.12,0.21,0.34,0.01,0.93,0.53,36.38,69.39,78.04,82,75.76,89.5,54.54
1978,2022-23,Jarrett Culver,23,ATL,137,Garbage Time,Athletic Finisher,Wing Stopper,-2.88,52.4,-0.87,-0.24,-0.34,-0.2,0.5,1.11,49.95,26.3,33.53,59.89,61.48,28.87
1979,2021-22,Jarrett Culver,22,MEM,338,Garbage Time,Secondary Ball Handler,Point of Attack,-0.45,48.57,-1.02,-0.26,-0.8,0.26,0.48,26.1,12.29,19.84,31.71,31.46,76.3,14.92
