player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,RequestedPlayType,QueryPlayType,stats_shot3Percent
LaMarcus,Aldridge,LaMarcus Aldridge,606284c35fe05a0e9f1649da,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,50,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Seth,Curry,Seth Curry,5fd979f65fe05a0e9f63ab76,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,48,0.01809954751131222,12,8,0.6666666666666666,221,3,8,11,0.2727272727272727,0.2727272727272727,3,7,10,0.3,0,1,1,2,0,2,1.0,0,1,4,0,6120261cea4488c9fd5c57c5,,ISO,ISO,0.0
Mohamed,Bamba,Mohamed Bamba,5bb2a653aeda719939f466a8,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,75,0.01694915254237288,13,10,0.7692307692307693,192,5,8,13,0.38461538461538464,0.38461538461538464,5,8,13,0.38461538461538464,0,0,0,0,0,0,,0,0,5,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Patrick,Williams,Patrick Williams,5fd438995fe05a0e9facb1bf,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,23,,6,5,0.8333333333333334,,2,2,4,0.5,0.5,2,2,4,0.5,0,0,0,1,2,3,0.3333333333333333,1,2,3,1,6120261cea4488c9fd5c57c5,,ISO,ISO,
Tyrese,Haliburton,Tyrese Haliburton,62071b7a07c7bd5c29bff53b,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,26,0.1244343891402715,55,52,0.9454545454545454,93,15,23,38,0.39473684210526316,0.4605263157894737,10,11,21,0.47619047619047616,5,12,17,17,4,21,0.8095238095238095,1,9,25,7,6120261cea4488c9fd5c57c5,,ISO,ISO,0.29411764705882354
Carsen,Edwards,Carsen Edwards,624a2c7427fee22f44f7ed48,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,4,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Cassius,Stanley,Cassius Stanley,615e4bcfe771e94fc0e9eb33,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,9,,2,4,2.0,,2,0,2,1.0,1.0,2,0,2,1.0,0,0,0,0,0,0,,0,0,2,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Tony,Bradley,Tony Bradley,615d0923e771e94fc00a6bba,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,58,,1,2,2.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Bruce,Brown,Bruce Brown,5fd6bffd5fe05a0e9f57ebed,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,81,0.01971830985915493,14,10,0.7142857142857143,209,3,7,10,0.3,0.3,3,7,10,0.3,0,0,0,4,0,4,1.0,0,2,5,2,6120261cea4488c9fd5c57c5,,ISO,ISO,
Tristan,Thompson,Tristan Thompson,62071b7a07c7bd5c29bff54e,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,4,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Rodney,McGruder,Rodney McGruder,5fd42b7d5fe05a0e9f828cbf,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,53,,5,0,0.0,,0,5,5,0.0,0.0,0,3,3,0.0,0,2,2,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,0.0
Jalen,Smith,Jalen Smith,62071b7a07c7bd5c29bff546,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,22,,1,2,2.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Marcus,Garrett,Marcus Garrett,615baa5fe771e94fc0c75d1f,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,15,,2,0,0.0,,0,2,2,0.0,0.0,0,2,2,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Terry,Taylor,Terry Taylor,615d00e0e771e94fc0d29289,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,35,,1,0,0.0,,0,0,0,,,0,0,0,,0,0,0,0,0,0,,0,0,0,1,6120261cea4488c9fd5c57c5,,ISO,ISO,
Julius,Randle,Julius Randle,5d9be6e17455336e875c33e5,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,75,0.20994794679005205,363,321,0.8842975206611571,134,117,172,289,0.40484429065743943,0.4290657439446367,103,139,242,0.4256198347107438,14,33,47,73,11,84,0.8690476190476191,10,42,154,37,6120261cea4488c9fd5c57c5,,ISO,ISO,0.2978723404255319
Gorgui,Dieng,Gorgui Dieng,615baae0e771e94fc0d00134,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,52,,2,0,0.0,,0,2,2,0.0,0.0,0,2,2,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Stanley,Johnson,Stanley Johnson,615d0923e771e94fc00a6bd5,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,4,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Jeff,Dowtin,Jeff Dowtin,65e7c2ab173dae1774fde285,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,4,,2,0,0.0,,0,2,2,0.0,0.0,0,0,0,,0,2,2,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,0.0
Elijah,Bryant,Elijah Bryant,609dd128e6c2413bc41a8c73,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,4,,5,10,2.0,,4,1,5,0.8,0.9,3,0,3,1.0,1,1,2,1,0,1,1.0,1,1,4,0,6120261cea4488c9fd5c57c5,,ISO,ISO,0.5
Georgios,Kalaitzakis,Georgios Kalaitzakis,615d0caee771e94fc01cac28,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,14,,8,5,0.625,,1,5,6,0.16666666666666666,0.16666666666666666,1,5,6,0.16666666666666666,0,0,0,3,0,3,1.0,1,2,2,1,6120261cea4488c9fd5c57c5,,ISO,ISO,
Mitchell,Robinson,Mitchell Robinson,5bb2a77eaeda719939f791fa,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,73,,1,2,2.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
