player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_possessions,stats_points,stats_ppp,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_ftPercent,stats_timePercent,stats_pppRank
Derrick,White,Derrick White,6207231107c7bd5c29e1e6a8,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,49,23,22,0.9565217391304348,6,13,19,0.3157894736842105,0.42105263157894735,2,3,5,0.4,4,10,14,0.2857142857142857,6,1,7,1,4,9,1,6120261cea4488c9fd5c57c5,,OffScreen,0.8571428571428571,0.04431599229287091,109
Justin,Holiday,Justin Holiday,5d97763a7455336e8792258b,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,51,82,102,1.2439024390243902,33,44,77,0.42857142857142855,0.6298701298701299,2,8,10,0.2,31,36,67,0.4626865671641791,5,1,6,0,2,35,3,6120261cea4488c9fd5c57c5,,OffScreen,0.8333333333333334,0.1527001862197393,16
Bobby,Portis,Bobby Portis,5fd589be5fe05a0e9f893fab,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,84,14,23,1.6428571428571428,7,5,12,0.5833333333333334,0.75,3,2,5,0.6,4,3,7,0.5714285714285714,5,2,7,1,3,9,0,6120261cea4488c9fd5c57c5,,OffScreen,0.7142857142857143,0.012142237640936688,4
Patty,Mills,Patty Mills,615a2ab8e771e94fc0ad82cf,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,89,95,93,0.9789473684210527,31,59,90,0.34444444444444444,0.48333333333333334,6,11,17,0.35294117647058826,25,48,73,0.3424657534246575,6,1,7,1,3,33,3,6120261cea4488c9fd5c57c5,,OffScreen,0.8571428571428571,0.10127931769722814,99
Alec,Burks,Alec Burks,5fd42b7d5fe05a0e9f828c77,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,84,8,7,0.875,3,5,8,0.375,0.4375,2,1,3,0.6666666666666666,1,4,5,0.2,0,0,0,0,0,3,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Jrue,Holiday,Jrue Holiday,5fd589be5fe05a0e9f893f97,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,82,16,14,0.875,5,6,11,0.45454545454545453,0.45454545454545453,5,1,6,0.8333333333333334,0,5,5,0.0,4,0,4,0,1,7,3,6120261cea4488c9fd5c57c5,,OffScreen,1.0,0.010437051532941943,146
Dru,Smith,Dru Smith,615baa5fe771e94fc0c75d66,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,3,1,2,2.0,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Hamidou,Diallo,Hamidou Diallo,604d73a85fe05a0e9f307ffc,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,62,10,5,0.5,1,5,6,0.16666666666666666,0.16666666666666666,1,5,6,0.16666666666666666,0,0,0,,3,3,6,0,3,3,1,6120261cea4488c9fd5c57c5,,OffScreen,0.5,0.01466275659824047,219
Gary,Trent Jr.,Gary Trent Jr.,605e8e8d5fe05a0e9f62a986,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,80,112,130,1.1607142857142858,46,53,99,0.46464646464646464,0.5707070707070707,25,28,53,0.4716981132075472,21,25,46,0.45652173913043476,17,1,18,1,9,54,5,6120261cea4488c9fd5c57c5,,OffScreen,0.9444444444444444,0.08098336948662328,30
Keifer,Sykes,Keifer Sykes,615d00e0e771e94fc0d29283,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,34,9,3,0.3333333333333333,1,7,8,0.125,0.1875,0,2,2,0.0,1,5,6,0.16666666666666666,0,0,0,0,0,1,1,6120261cea4488c9fd5c57c5,,OffScreen,,,
