player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Lindell,Wigginton,Lindell Wigginton,61e0e45edf8a6a3c112e2ee0,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,19,,4,8,2.0,,4,0,4,1.0,1.0,4,0,4,1.0,0,0,0,0,0,0,,0,0,4,0,6120261cea4488c9fd5c57c5,,Cut
Patty,Mills,Patty Mills,615a2ab8e771e94fc0ad82cf,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,89,,9,10,1.1111111111111112,,5,4,9,0.5555555555555556,0.5555555555555556,5,4,9,0.5555555555555556,0,0,0,0,0,0,,0,0,5,0,6120261cea4488c9fd5c57c5,,Cut
Brodric,Thomas,Brodric Thomas,6170b057e771e94fc0d09658,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,12,,6,11,1.8333333333333333,,4,0,4,1.0,1.0,4,0,4,1.0,0,0,0,3,0,3,1.0,1,2,5,1,6120261cea4488c9fd5c57c5,,Cut
Isaac,Bonga,Isaac Bonga,615ba9bde771e94fc0bc475f,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,21,,3,3,1.0,,1,1,2,0.5,0.5,1,1,2,0.5,0,0,0,1,1,2,0.5,0,1,2,0,6120261cea4488c9fd5c57c5,,Cut
Kristaps,Porzingis,Kristaps Porzingis,620f0a7507c7bd5c294eefd8,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,17,0.06764705882352941,23,32,1.391304347826087,107,13,5,18,0.7222222222222222,0.7222222222222222,13,5,18,0.7222222222222222,0,0,0,6,2,8,0.75,0,4,17,1,6120261cea4488c9fd5c57c5,,Cut
Isaiah,Livers,Isaiah Livers,615e4bcfe771e94fc0e9eaf2,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,19,,4,4,1.0,,1,1,2,0.5,0.5,1,1,2,0.5,0,0,0,2,0,2,1.0,0,1,2,1,6120261cea4488c9fd5c57c5,,Cut
Julius,Randle,Julius Randle,5d9be6e17455336e875c33e5,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,75,0.031231925968768073,54,74,1.3703703703703705,127,30,15,45,0.6666666666666666,0.6666666666666666,30,15,45,0.6666666666666666,0,0,0,14,4,18,0.7777777777777778,6,12,36,3,6120261cea4488c9fd5c57c5,,Cut
Corey,Kispert,Corey Kispert,615d0e4fe771e94fc0255ab8,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,81,0.061788617886178863,38,59,1.5526315789473684,25,28,6,34,0.8235294117647058,0.8235294117647058,28,6,34,0.8235294117647058,0,0,0,3,2,5,0.6,1,3,30,2,6120261cea4488c9fd5c57c5,,Cut
Darius,Garland,Darius Garland,5da12eb17455336e87bfe495,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,74,0.01416256157635468,23,31,1.3478260869565217,145,13,5,18,0.7222222222222222,0.7222222222222222,13,5,18,0.7222222222222222,0,0,0,5,0,5,1.0,1,3,15,3,6120261cea4488c9fd5c57c5,,Cut
Cory,Joseph,Cory Joseph,605e8fd05fe05a0e9f707462,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,69,0.037300177619893425,21,26,1.2380952380952381,237,11,8,19,0.5789473684210527,0.5789473684210527,11,8,19,0.5789473684210527,0,0,0,4,0,4,1.0,0,2,13,0,6120261cea4488c9fd5c57c5,,Cut
