player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Danilo,Gallinari,Danilo Gallinari,5fd42b555fe05a0e9f820882,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,75,0.05773955773955774,47,37,0.7872340425531915,224,13,28,41,0.3170731707317073,0.3780487804878049,8,17,25,0.32,5,11,16,0.3125,6,0,6,1.0,0,2,16,3,6120261cea4488c9fd5c57c5,,PandRBallHandler
Carsen,Edwards,Carsen Edwards,624a2c7427fee22f44f7ed48,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,4,0.4857142857142857,17,13,0.7647058823529411,239,5,9,14,0.35714285714285715,0.4642857142857143,2,3,5,0.4,3,6,9,0.3333333333333333,0,0,0,,0,0,5,3,6120261cea4488c9fd5c57c5,,PandRBallHandler
Admiral,Schofield,Admiral Schofield,615baa58e771e94fc0c6c473,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,40,,6,5,0.8333333333333334,,2,2,4,0.5,0.625,1,1,2,0.5,1,1,2,0.5,0,0,0,,0,0,2,2,6120261cea4488c9fd5c57c5,,PandRBallHandler
Tyrese,Haliburton,Tyrese Haliburton,62071b7a07c7bd5c29bff53b,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,26,0.45248868778280543,200,200,1.0,43,72,72,144,0.5,0.5694444444444444,52,50,102,0.5098039215686274,20,22,42,0.47619047619047616,36,6,42,0.8571428571428571,4,20,91,37,6120261cea4488c9fd5c57c5,,PandRBallHandler
Precious,Achiuwa,Precious Achiuwa,615ba9bde771e94fc0bc4749,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,84,,5,3,0.6,,1,2,3,0.3333333333333333,0.3333333333333333,1,1,2,0.5,0,1,1,0.0,1,1,2,0.5,0,1,2,1,6120261cea4488c9fd5c57c5,,PandRBallHandler
Cedi,Osman,Cedi Osman,55a494fe1e31501db44135c8,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,71,0.12211668928086838,90,75,0.8333333333333334,168,25,38,63,0.3968253968253968,0.5079365079365079,11,21,32,0.34375,14,17,31,0.45161290322580644,11,2,13,0.8461538461538461,1,5,31,21,6120261cea4488c9fd5c57c5,,PandRBallHandler
Jaden,Springer,Jaden Springer,615ba9bde771e94fc0bc4744,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,11,,5,4,0.8,,2,1,3,0.6666666666666666,0.6666666666666666,2,1,3,0.6666666666666666,0,0,0,,0,0,0,,0,0,2,2,6120261cea4488c9fd5c57c5,,PandRBallHandler
Jordan,Goodwin,Jordan Goodwin,615d0e4fe771e94fc0255ac3,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,5,,7,9,1.2857142857142858,,4,3,7,0.5714285714285714,0.6428571428571429,3,2,5,0.6,1,1,2,0.5,0,0,0,,0,0,4,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
Brodric,Thomas,Brodric Thomas,6170b057e771e94fc0d09658,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,12,,4,0,0.0,,0,2,2,0.0,0.0,0,1,1,0.0,0,1,1,0.0,0,0,0,,0,0,0,2,6120261cea4488c9fd5c57c5,,PandRBallHandler
Langston,Galloway,Langston Galloway,61bbfbc46bae4cab0f4a1b89,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,4,,1,3,3.0,,1,0,1,1.0,1.5,0,0,0,,1,0,1,1.0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
