player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_ftPercent
Isaac,Bonga,Isaac Bonga,615ba9bde771e94fc0bc475f,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,21,,6,8,1.3333333333333333,,2,2,4,0.5,0.625,1,0,1,1.0,1,2,3,0.3333333333333333,3,1,4,0,2,4,0,6120261cea4488c9fd5c57c5,,SpotUp,0.75
Clint,Capela,Clint Capela,5e3e22ba7455336e87ada266,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,79,,8,7,0.875,,1,2,3,0.3333333333333333,0.3333333333333333,1,2,3,0.3333333333333333,0,0,0,,5,1,6,0,3,4,2,6120261cea4488c9fd5c57c5,,SpotUp,0.8333333333333334
Patty,Mills,Patty Mills,615a2ab8e771e94fc0ad82cf,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,89,0.35181236673773986,330,398,1.206060606060606,42,135,180,315,0.42857142857142855,0.6111111111111112,20,25,45,0.4444444444444444,115,155,270,0.42592592592592593,13,1,14,4,7,139,11,6120261cea4488c9fd5c57c5,,SpotUp,0.9285714285714286
Alize,Johnson,Alize Johnson,615d0923e771e94fc00a6bd3,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,20,,5,2,0.4,,1,4,5,0.2,0.2,1,2,3,0.3333333333333333,0,2,2,0.0,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,SpotUp,
Jrue,Holiday,Jrue Holiday,5fd589be5fe05a0e9f893f97,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,82,0.11676451402478799,179,190,1.0614525139664805,165,66,86,152,0.4342105263157895,0.569078947368421,25,31,56,0.44642857142857145,41,55,96,0.4270833333333333,17,3,20,0,9,76,17,6120261cea4488c9fd5c57c5,,SpotUp,0.85
Justin,Robinson,Justin Robinson,61cd191ddf8a6a3c11f91de9,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,5,0.3333333333333333,12,6,0.5,522,2,10,12,0.16666666666666666,0.25,0,0,0,,2,10,12,0.16666666666666666,0,0,0,0,0,2,0,6120261cea4488c9fd5c57c5,,SpotUp,
George,Hill,George Hill,616f7fc1e771e94fc0768410,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,62,0.31266846361185985,116,99,0.853448275862069,403,34,71,105,0.3238095238095238,0.4666666666666667,4,15,19,0.21052631578947367,30,56,86,0.3488372093023256,1,1,2,0,1,35,10,6120261cea4488c9fd5c57c5,,SpotUp,0.5
Johnny,OBryant,Johnny OBryant,544580de300969b132fd50c7,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,2,,2,3,1.5,,1,1,2,0.5,0.75,0,0,0,,1,1,2,0.5,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,SpotUp,
Brad,Wanamaker,Brad Wanamaker,6160eec1e771e94fc07092e0,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,25,0.1694915254237288,20,21,1.05,175,8,11,19,0.42105263157894735,0.5526315789473685,3,4,7,0.42857142857142855,5,7,12,0.4166666666666667,0,0,0,0,0,8,1,6120261cea4488c9fd5c57c5,,SpotUp,
BJ,Johnson,BJ Johnson,61bd45669bc6b8713afdaa2f,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,4,,9,11,1.2222222222222223,,4,5,9,0.4444444444444444,0.6111111111111112,1,1,2,0.5,3,4,7,0.42857142857142855,0,0,0,0,0,4,0,6120261cea4488c9fd5c57c5,,SpotUp,
