player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Jaden,Springer,Jaden Springer,615ba9bde771e94fc0bc4744,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,11,,6,2,0.3333333333333333,,1,3,4,0.25,0.25,1,3,4,0.25,0,0,0,,0,0,0,,0,0,1,2,6120261cea4488c9fd5c57c5,,Transition
Sandro,Mamukelashvili,Sandro Mamukelashvili,615d0caee771e94fc01cac29,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,46,0.09473684210526316,18,21,1.1666666666666667,198,7,7,14,0.5,0.5,7,4,11,0.6363636363636364,0,3,3,0.0,7,0,7,1.0,1,3,10,1,6120261cea4488c9fd5c57c5,,Transition
Raul,Neto,Raul Neto,5fd6bffd5fe05a0e9f57ebde,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,74,0.10927152317880795,66,62,0.9393939393939394,419,24,26,50,0.48,0.48,24,19,43,0.5581395348837209,0,7,7,0.0,14,2,16,0.875,4,8,30,10,6120261cea4488c9fd5c57c5,,Transition
Cassius,Winston,Cassius Winston,5fd6bffd5fe05a0e9f57ebe8,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,7,,4,0,0.0,,0,3,3,0.0,0.0,0,1,1,0.0,0,2,2,0.0,0,0,0,,0,0,0,1,6120261cea4488c9fd5c57c5,,Transition
Bobby,Portis,Bobby Portis,5fd589be5fe05a0e9f893fab,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,84,0.15784908933217692,182,231,1.2692307692307692,103,88,69,157,0.5605095541401274,0.6687898089171974,54,25,79,0.6835443037974683,34,44,78,0.4358974358974359,21,5,26,0.8076923076923077,2,14,100,13,6120261cea4488c9fd5c57c5,,Transition
BJ,Johnson,BJ Johnson,61bd45669bc6b8713afdaa2f,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,4,,2,0,0.0,,0,2,2,0.0,0.0,0,2,2,0.0,0,0,0,,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,Transition
Malcolm,Hill,Malcolm Hill,61c530b5df8a6a3c11fa44bb,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,3,,1,2,2.0,,0,0,0,,,0,0,0,,0,0,0,,2,0,2,1.0,0,1,1,0,6120261cea4488c9fd5c57c5,,Transition
Justin,Robinson,Justin Robinson,61cd191ddf8a6a3c11f91de9,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,5,,5,15,3.0,,5,0,5,1.0,1.5,0,0,0,,5,0,5,1.0,0,0,0,,0,0,5,0,6120261cea4488c9fd5c57c5,,Transition
Marvin,Bagley III,Marvin Bagley III,620b0ef207c7bd5c29495f8b,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,18,0.102880658436214,25,34,1.36,56,14,6,20,0.7,0.7,14,3,17,0.8235294117647058,0,3,3,0.0,6,6,12,0.5,2,7,18,0,6120261cea4488c9fd5c57c5,,Transition
Isaiah,Stewart,Isaiah Stewart,5fd42b7d5fe05a0e9f828ccc,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,75,0.11609907120743033,75,112,1.4933333333333334,22,47,11,58,0.8103448275862069,0.8189655172413793,46,7,53,0.8679245283018868,1,4,5,0.2,17,6,23,0.7391304347826086,1,11,58,6,6120261cea4488c9fd5c57c5,,Transition
