provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_spread,away_spread,home_team,away_team,over_odds,under_odds,draw_odds,extra_outcomes,updated_at,period,event_date,question
draftkings,34093823,0QA331439920#588472636_13L84240Q1-446308922Q20,mlb,Cal Raleigh Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Cal Raleigh,0.5,,,SEA Mariners,ATL Braves,288,-288,,,2026-05-05T01:40:00.0000000Z,,2026-05-05T01:40:00.0000000Z,1+
draftkings,34093823,0QA331439920#588472783_13L84240Q1475630076Q20,mlb,Cal Raleigh Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Cal Raleigh,1.5,,,SEA Mariners,ATL Braves,2600,-2600,,,2026-05-05T01:40:00.0000000Z,,2026-05-05T01:40:00.0000000Z,2+
draftkings,34093815,0QA331455184#588538757_13L84240Q1-446308922Q20,mlb,Seiya Suzuki Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Seiya Suzuki,0.5,,,CHI Cubs,CIN Reds,298,-298,,,2026-05-04T23:40:00.0000000Z,,2026-05-04T23:40:00.0000000Z,1+
draftkings,34093815,0QA331455184#588538873_13L84240Q1475630076Q20,mlb,Seiya Suzuki Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Seiya Suzuki,1.5,,,CHI Cubs,CIN Reds,2600,-2600,,,2026-05-04T23:40:00.0000000Z,,2026-05-04T23:40:00.0000000Z,2+
draftkings,34093820,0QA331461390#588580826_13L84240Q1-446308922Q20,mlb,Hunter Goodman Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Hunter Goodman,0.5,,,COL Rockies,NY Mets,287,-287,,,2026-05-04T21:40:00.0000000Z,,2026-05-04T21:40:00.0000000Z,1+
draftkings,34093820,0QA331461390#588580907_13L84240Q1475630076Q20,mlb,Hunter Goodman Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Hunter Goodman,1.5,,,COL Rockies,NY Mets,2800,-2800,,,2026-05-04T21:40:00.0000000Z,,2026-05-04T21:40:00.0000000Z,2+
draftkings,34093819,0QA331449728#588514191_13L84240Q1-446308922Q20,mlb,Yordan Alvarez Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Yordan Alvarez,0.5,,,HOU Astros,LA Dodgers,289,-289,,,2026-05-05T00:10:00.0000000Z,,2026-05-05T00:10:00.0000000Z,1+
draftkings,34093819,0QA331449728#588514276_13L84240Q1475630076Q20,mlb,Yordan Alvarez Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Yordan Alvarez,1.5,,,HOU Astros,LA Dodgers,2800,-2800,,,2026-05-05T00:10:00.0000000Z,,2026-05-05T00:10:00.0000000Z,2+
draftkings,34093812,0QA331438143#588465820_13L84240Q1-446308922Q20,mlb,Kyle Schwarber Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Kyle Schwarber,0.5,,,MIA Marlins,PHI Phillies,283,-283,,,2026-05-04T22:40:00.0000000Z,,2026-05-04T22:40:00.0000000Z,1+
draftkings,34093812,0QA331438143#588465899_13L84240Q1475630076Q20,mlb,Kyle Schwarber Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Kyle Schwarber,1.5,,,MIA Marlins,PHI Phillies,2900,-2900,,,2026-05-04T22:40:00.0000000Z,,2026-05-04T22:40:00.0000000Z,2+
draftkings,34093819,0QA331450022#588514219_13L84240Q1-446308922Q20,mlb,Max Muncy (LAD) Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Max Muncy (LAD),0.5,,,HOU Astros,LA Dodgers,327,-327,,,2026-05-05T00:10:00.0000000Z,,2026-05-05T00:10:00.0000000Z,1+
draftkings,34093819,0QA331450022#588514316_13L84240Q1475630076Q20,mlb,Max Muncy (LAD) Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Max Muncy (LAD),1.5,,,HOU Astros,LA Dodgers,3000,-3000,,,2026-05-05T00:10:00.0000000Z,,2026-05-05T00:10:00.0000000Z,2+
draftkings,34093815,0QA331455313#588540061_13L84240Q1-446308922Q20,mlb,Ian Happ Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Ian Happ,0.5,,,CHI Cubs,CIN Reds,339,-339,,,2026-05-04T23:40:00.0000000Z,,2026-05-04T23:40:00.0000000Z,1+
draftkings,34093815,0QA331455313#588540085_13L84240Q1475630076Q20,mlb,Ian Happ Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Ian Happ,1.5,,,CHI Cubs,CIN Reds,3100,-3100,,,2026-05-04T23:40:00.0000000Z,,2026-05-04T23:40:00.0000000Z,2+
draftkings,34093823,0QA331439952#588473056_13L84240Q1-446308922Q20,mlb,Matt Olson Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Matt Olson,0.5,,,SEA Mariners,ATL Braves,328,-328,,,2026-05-05T01:40:00.0000000Z,,2026-05-05T01:40:00.0000000Z,1+
draftkings,34093823,0QA331439952#588473120_13L84240Q1475630076Q20,mlb,Matt Olson Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Matt Olson,1.5,,,SEA Mariners,ATL Braves,3100,-3100,,,2026-05-05T01:40:00.0000000Z,,2026-05-05T01:40:00.0000000Z,2+
draftkings,34093821,0QA331441333#588477580_13L84240Q1-446308922Q20,mlb,Mike Trout Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Mike Trout,0.5,,,LA Angels,CHI White Sox,313,-313,,,2026-05-05T01:38:00.0000000Z,,2026-05-05T01:38:00.0000000Z,1+
