Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
2025-26,203939,Dwight Powell,1610612742,DAL,F-C,34.0,20,17,0.405,1.7,2.55,0.667,0.638,0.028
2025-26,203903,Jordan Clarkson,1610612752,NYK,G,33.0,27,21,0.337,1.41,2.52,0.559,0.627,-0.068
2025-26,1628998,Cody Martin,1610612754,IND,F,30.0,4,3,0.476,1.25,2.5,0.5,0.619,-0.119
2025-26,1631245,Quenton Jackson,1610612754,IND,G,27.0,8,7,0.308,1.38,2.5,0.55,0.609,-0.059
2025-26,1630208,Nick Richards,1610612756,PHX,C,28.0,24,19,0.472,1.75,2.46,0.712,0.641,0.071
2025-26,1631243,Mouhamed Gueye,1610612737,ATL,F,23.0,29,23,0.338,1.31,2.45,0.535,0.651,-0.116
2025-26,1641765,Olivier-Maxence Prosper,1610612763,MEM,F,23.0,11,9,0.365,1.45,2.45,0.593,0.621,-0.029
2025-26,1629723,John Konchar,1610612763,MEM,G,29.0,20,19,0.426,1.7,2.45,0.694,0.641,0.053
2025-26,1630228,Jonathan Kuminga,1610612744,GSW,F,23.0,18,16,0.277,1.67,2.44,0.682,0.651,0.031
2025-26,1630592,Jalen Wilson,1610612751,BKN,F,25.0,18,17,0.44,1.61,2.44,0.659,0.645,0.014
2025-26,1631121,Bryce McGowens,1610612740,NOP,G,23.0,16,13,0.379,1.94,2.44,0.795,0.649,0.145
2025-26,1629726,Garrison Mathews,1610612754,IND,G,29.0,12,12,0.426,1.67,2.42,0.69,0.6,0.09
2025-26,1631321,Sidy Cissoko,1610612757,POR,G,21.0,22,18,0.368,1.64,2.41,0.679,0.627,0.053
2025-26,1627780,Gary Payton II,1610612744,GSW,G,33.0,25,23,0.423,1.16,2.4,0.483,0.624,-0.14
2025-26,1630631,Jose Alvarado,1610612740,NOP,G,27.0,28,23,0.309,1.86,2.39,0.776,0.634,0.143
2025-26,1641729,Brice Sensabaugh,1610612762,UTA,F,22.0,25,21,0.391,1.44,2.36,0.61,0.633,-0.022
2025-26,1628370,Malik Monk,1610612758,SAC,G,27.0,23,19,0.305,1.7,2.35,0.722,0.609,0.113
2025-26,1629012,Collin Sexton,1610612766,CHA,G,26.0,21,20,0.32,1.48,2.33,0.633,0.626,0.007
2025-26,1630574,Ariel Hukporti,1610612752,NYK,C,23.0,15,12,0.427,1.07,2.33,0.457,0.644,-0.187
2025-26,1642275,Tidjane Salaün,1610612766,CHA,F,20.0,15,11,0.38,1.2,2.33,0.514,0.59,-0.076
2025-26,1630557,Corey Kispert,1610612764,WAS,F,26.0,17,15,0.307,1.29,2.29,0.564,0.622,-0.058
2025-26,1628396,Tony Bradley,1610612754,IND,C-F,27.0,19,17,0.402,1.32,2.26,0.581,0.661,-0.08
2025-26,1628418,Thomas Bryant,1610612739,CLE,C-F,28.0,19,16,0.398,1.42,2.26,0.628,0.623,0.005
2025-26,1642873,Amari Williams,1610612738,BOS,F-C,23.0,4,2,0.5,1.0,2.25,0.444,0.628,-0.184
2025-26,201144,Mike Conley,1610612750,MIN,G,38.0,24,21,0.297,1.46,2.25,0.648,0.615,0.033
2025-26,1626172,Kevon Looney,1610612740,NOP,F,29.0,12,11,0.329,1.92,2.25,0.852,0.696,0.156
2025-26,1642450,Daniss Jenkins,1610612765,DET,G,24.0,21,16,0.367,1.86,2.24,0.83,0.636,0.194
2025-26,203991,Clint Capela,1610612745,HOU,C,31.0,23,18,0.386,1.13,2.22,0.51,0.625,-0.116
2025-26,1630611,Gui Santos,1610612744,GSW,F,23.0,19,17,0.488,1.16,2.21,0.524,0.606,-0.082
2025-26,1641871,Duop Reath,1610612757,POR,C,29.0,20,15,0.454,1.05,2.2,0.477,0.598,-0.121
2025-26,203967,Dario Šarić,1610612758,SAC,F-C,31.0,5,4,0.458,1.6,2.2,0.727,0.61,0.117
2025-26,1630598,Aaron Wiggins,1610612760,OKC,G,26.0,16,14,0.257,1.19,2.19,0.543,0.624,-0.081
2025-26,1628467,Maxi Kleber,1610612747,LAL,F,33.0,12,10,0.342,1.33,2.17,0.615,0.636,-0.021
2025-26,1642962,Drake Powell,1610612751,BKN,G-F,20.0,18,17,0.386,1.67,2.17,0.769,0.642,0.127
2025-26,202691,Klay Thompson,1610612742,DAL,G,35.0,27,25,0.335,1.11,2.15,0.517,0.611,-0.094
2025-26,1642914,Javon Small,1610612763,MEM,G,23.0,7,6,0.455,1.29,2.14,0.6,0.568,0.032
2025-26,1629020,Jarred Vanderbilt,1610612747,LAL,F,26.0,17,15,0.409,1.35,2.12,0.639,0.641,-0.003
2025-26,1631248,Baylor Scheierman,1610612738,BOS,G,25.0,23,19,0.403,1.17,2.09,0.563,0.597,-0.034
2025-26,1642864,Hugo González,1610612738,BOS,G,19.0,23,17,0.425,1.13,2.09,0.542,0.619,-0.077
2025-26,1641722,Jordan Hawkins,1610612740,NOP,G,23.0,22,19,0.374,1.55,2.09,0.739,0.634,0.105
2025-26,1626204,Larry Nance Jr.,1610612739,CLE,F-C,32.0,15,13,0.348,1.47,2.07,0.71,0.645,0.065
2025-26,1630538,Bones Hyland,1610612750,MIN,G,25.0,17,12,0.365,1.35,2.06,0.657,0.625,0.032
2025-26,1642262,Cody Williams,1610612762,UTA,F,21.0,13,10,0.4,1.0,2.0,0.5,0.663,-0.163
2025-26,1642920,Kobe Sanders,1610612746,LAC,G,23.0,20,17,0.301,1.3,2.0,0.65,0.632,0.018
2025-26,1642844,Dylan Harper,1610612759,SAS,G,19.0,17,12,0.309,1.06,2.0,0.529,0.593,-0.063
2025-26,1630702,Jaden Hardy,1610612742,DAL,G,23.0,18,17,0.48,1.22,2.0,0.611,0.625,-0.014
2025-26,1629634,Brandon Clarke,1610612763,MEM,F,29.0,2,2,0.571,1.0,2.0,0.5,0.637,-0.137
2025-26,1641711,Gradey Dick,1610612761,TOR,G-F,22.0,28,25,0.359,1.43,2.0,0.714,0.624,0.091
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,G,24.0,9,9,0.474,1.33,2.0,0.667,0.6,0.067
2025-26,1641989,Elijah Harkless,1610612762,UTA,G,25.0,6,5,0.387,1.17,2.0,0.583,0.634,-0.051
2025-26,1628420,Monte Morris,1610612754,IND,G,30.0,5,4,0.345,1.2,2.0,0.6,0.681,-0.081
2025-26,1628988,Aaron Holiday,1610612745,HOU,G,29.0,19,14,0.292,1.42,2.0,0.711,0.64,0.07
2025-26,1642383,Walter Clayton Jr.,1610612762,UTA,G,22.0,23,19,0.289,1.48,2.0,0.739,0.62,0.119
2025-26,1642382,Branden Carlson,1610612760,OKC,C,26.0,16,11,0.305,1.06,2.0,0.531,0.605,-0.074
2025-26,1642261,Dalton Knecht,1610612747,LAL,F,24.0,20,16,0.333,1.25,2.0,0.625,0.629,-0.004
2025-26,1630182,Josh Green,1610612766,CHA,G,25.0,4,2,0.348,1.0,2.0,0.5,0.646,-0.146
2025-26,1629646,Charles Bassey,1610612763,MEM,C-F,25.0,2,2,0.444,1.0,2.0,0.5,0.647,-0.147
2025-26,1631132,Christian Koloko,1610612747,LAL,C,25.0,2,2,0.667,2.0,2.0,1.0,0.78,0.22
2025-26,203552,Seth Curry,1610612744,GSW,G,35.0,2,1,0.333,1.5,2.0,0.75,0.597,0.153
2025-26,203484,Kentavious Caldwell-Pope,1610612763,MEM,G,32.0,28,23,0.313,1.5,1.96,0.764,0.637,0.127
2025-26,1631172,Ousmane Dieng,1610612760,OKC,F,22.0,17,13,0.314,1.24,1.94,0.636,0.598,0.038
2025-26,101108,Chris Paul,1610612746,LAC,G,40.0,16,13,0.383,1.25,1.94,0.645,0.606,0.039
2025-26,1642862,Liam McNeeley,1610612766,CHA,F,20.0,17,15,0.384,1.18,1.94,0.606,0.666,-0.06
2025-26,1629013,Landry Shamet,1610612752,NYK,G,28.0,14,10,0.205,1.07,1.93,0.556,0.591,-0.035
2025-26,1631207,Dalen Terry,1610612741,CHI,F,23.0,12,11,0.319,0.92,1.92,0.478,0.609,-0.131
2025-26,1642277,Johnny Furphy,1610612754,IND,G,21.0,9,8,0.378,0.89,1.89,0.471,0.598,-0.128
2025-26,1642349,Ajay Mitchell,1610612760,OKC,G,23.0,28,24,0.255,0.93,1.89,0.491,0.605,-0.115
2025-26,1627936,Alex Caruso,1610612760,OKC,G,31.0,19,15,0.277,1.11,1.89,0.583,0.64,-0.057
2025-26,1630175,Cole Anthony,1610612749,MIL,G,25.0,24,19,0.273,1.21,1.88,0.644,0.624,0.02
2025-26,1641715,Cam Whitmore,1610612764,WAS,F,21.0,21,16,0.345,1.33,1.86,0.718,0.639,0.079
2025-26,1629026,Kenrich Williams,1610612760,OKC,G-F,31.0,7,7,0.565,1.29,1.86,0.692,0.679,0.013
