Season,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
2013-14,Players,200755,JJ Redick,JJ,1610612746,LAC,30.0,9,2,7,0.222,19.018333333333334,1,7,0.143,1,7,0.143,3,3,1.0,0,1,1,3,1,0,0,1,1,0,6,2,10.7,0,0,11.0,241,236,187,277,233,245,191,297,106,90,166,125,149,1,252,246,278,102,157,193,128,264,97,276,215,163,238,180,12,231
2013-14,Players,2747,JR Smith,JR,1610612752,NYK,28.0,25,7,18,0.28,81.16833333333334,10,36,0.278,7,23,0.304,7,8,0.875,1,8,9,5,4,4,1,1,8,3,34,3,63.3,0,0,65.0,72,97,370,222,44,75,36,256,15,10,118,61,72,95,157,79,102,67,48,13,59,264,323,136,55,157,65,180,12,57
2013-14,Players,201580,JaVale McGee,JaVale,1610612743,DEN,26.0,2,1,1,0.5,2.72,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,0,9,1.2,0,0,1.0,355,284,17,42,357,305,278,305,177,250,177,233,243,233,252,246,278,246,234,193,128,1,1,202,321,105,347,180,12,346
2013-14,Players,203109,Jae Crowder,Jae,1610612742,DAL,23.0,13,3,10,0.231,5.138333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,4,1.2,0,0,1.0,206,205,231,273,329,305,353,305,177,250,177,233,243,233,252,246,278,246,234,193,128,1,1,276,321,151,347,180,12,346
2013-14,Players,203479,Jamaal Franklin,Jamaal,1610612763,MEM,22.0,1,0,1,0.0,1.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4,0.0,0,0,0.0,389,355,17,355,378,305,353,305,177,250,177,233,243,233,252,309,330,246,234,193,128,1,1,276,321,272,364,180,12,365
2013-14,Players,2037,Jamal Crawford,Jamal,1610612746,LAC,34.0,22,9,13,0.409,67.015,11,34,0.324,2,14,0.143,7,8,0.875,2,1,3,9,2,1,0,0,9,5,31,30,49.1,1,0,47.0,105,59,282,115,76,61,45,241,84,34,166,61,72,95,107,246,212,26,100,99,128,1,347,83,63,42,94,122,12,90
2013-14,Players,2749,Jameer Nelson,Jameer,1610612753,ORL,32.0,28,6,22,0.214,81.46166666666667,10,33,0.303,4,20,0.2,3,3,1.0,0,5,5,18,4,2,0,2,10,5,27,-21,62.0,4,0,58.0,45,124,405,282,43,75,48,248,45,16,145,125,149,1,252,123,170,5,48,49,128,344,377,83,73,387,70,63,12,67
2013-14,Players,202341,James Anderson,James,1610612755,PHI,25.0,25,10,15,0.4,72.28666666666666,5,11,0.455,3,6,0.5,4,4,1.0,2,10,12,3,4,1,0,1,4,1,17,19,34.9,0,0,37.0,72,46,317,117,62,139,160,137,60,99,28,100,123,1,107,55,70,102,48,99,128,264,226,202,131,72,133,180,12,121
2013-14,Players,201935,James Harden,James,1610612745,HOU,24.0,28,13,15,0.464,79.74166666666666,25,50,0.5,9,18,0.5,29,36,0.806,2,14,16,16,10,3,0,3,11,21,88,57,130.2,7,0,135.0,45,18,317,87,45,9,21,83,9,25,28,2,2,119,107,26,43,9,6,21,128,383,388,4,4,10,6,37,12,5
2013-14,Players,201949,James Johnson,James,1610612763,MEM,27.0,15,5,10,0.333,26.266666666666666,3,4,0.75,1,1,1.0,4,4,1.0,1,5,6,1,1,3,1,1,4,3,11,-3,30.7,1,0,27.0,187,147,231,171,211,177,232,32,106,196,1,100,123,1,157,123,147,179,157,21,59,264,226,136,165,254,154,122,12,162
