Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
2025-26,1631342,Daeqwon Plowden,1610612758,SAC,1,0,1,14.0,2,14,10,0.2,1.05,0.21,0.143,0,0,2,0.0,0.0,1.0
2025-26,1631207,Dalen Terry,1610612741,CHI,16,7,9,173.0,51,292,157,12.0,2.47,2.27,0.175,4,0,13,0.5,0.0,0.462
2025-26,1642261,Dalton Knecht,1610612747,LAL,21,15,6,306.0,127,361,216,13.8,2.29,1.36,0.352,9,0,12,0.444,0.0,0.833
2025-26,1629655,Daniel Gafford,1610612742,DAL,17,5,12,372.0,145,445,273,13.5,1.82,0.57,0.326,31,14,86,0.806,0.571,1.14
2025-26,1642450,Daniss Jenkins,1610612765,DET,21,16,5,362.0,168,790,353,60.8,4.62,4.33,0.213,6,0,12,0.667,0.0,1.167
2025-26,1642874,Danny Wolf,1610612751,BKN,12,4,8,211.0,105,395,244,20.3,3.08,2.31,0.266,8,3,14,0.25,0.0,0.643
2025-26,203967,Dario Šarić,1610612758,SAC,3,1,2,28.0,5,27,16,0.6,1.23,0.41,0.185,0,0,3,0.0,0.0,0.0
2025-26,1629636,Darius Garland,1610612739,CLE,12,5,7,360.0,185,777,312,61.9,4.78,4.48,0.238,3,0,8,0.0,0.0,0.0
2025-26,1642357,David Jones Garcia,1610612759,SAS,10,6,4,67.0,32,131,53,9.1,4.17,3.38,0.244,1,0,2,0.0,0.0,1.0
2025-26,1630558,Davion Mitchell,1610612748,MIA,24,14,10,730.0,248,1713,676,96.7,3.39,3.24,0.145,7,0,6,0.571,0.0,0.333
2025-26,1630549,Day'Ron Sharpe,1610612751,BKN,25,7,18,400.0,174,706,476,24.5,2.08,1.0,0.246,56,12,117,0.321,0.75,1.017
