Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,DEF_WS_RAW,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK
2025-26,1630175,Cole Anthony,Cole,1610612749,MIL,25.0,24,10,14,0.417,15.8,111.6,2.3,0.132,0.211,0.7,0.281,0.3,0.267,6.6,4.1,6.0,15.7,0.058,0.05823854384624999,45,176,413,310,304,207,240,198,186,237,81,193,130,211,155,243,188,234
2025-26,1631221,Collin Gillespie,Collin,1610612756,PHX,26.0,25,14,11,0.56,27.1,110.9,2.8,0.111,0.173,1.2,0.195,0.3,0.157,11.9,7.1,7.7,28.6,0.102,0.10192317785701129,11,73,349,212,141,192,185,268,274,72,239,210,229,430,301,332,371,86
2025-26,1642867,Collin Murray-Boyles,Collin,1610612761,TOR,20.0,21,11,10,0.524,17.6,109.1,1.5,0.087,0.133,0.6,0.191,0.3,0.25,7.0,5.1,4.5,15.7,0.076,0.07583246297994821,164,145,312,241,273,141,329,363,374,263,246,193,138,226,208,172,189,161
2025-26,1629012,Collin Sexton,Collin,1610612766,CHA,26.0,21,6,15,0.286,25.2,114.0,1.8,0.069,0.107,0.7,0.192,0.2,0.077,10.3,8.8,9.2,27.7,0.073,0.07321622427688655,164,270,433,380,172,279,296,431,435,219,243,303,352,358,384,391,356,170
2025-26,1642843,Cooper Flagg,Cooper,1610612742,DAL,18.0,24,9,15,0.375,33.7,114.6,5.1,0.142,0.222,1.3,0.239,0.7,0.163,12.3,9.8,11.1,39.3,0.091,0.09104871092639562,45,188,433,325,32,301,45,168,168,53,145,91,219,440,432,468,491,114
2025-26,1630557,Corey Kispert,Corey,1610612764,WAS,26.0,17,2,15,0.118,19.9,115.6,2.1,0.091,0.147,0.5,0.148,0.2,0.083,8.2,6.6,6.7,22.4,0.05,0.04976361184068559,254,412,433,465,242,331,256,345,342,323,341,314,338,284,279,280,291,270
2025-26,1641854,Craig Porter Jr.,Craig,1610612739,CLE,25.0,22,13,9,0.591,17.2,109.7,1.8,0.103,0.165,1.0,0.263,0.6,0.341,6.5,5.2,4.8,16.1,0.071,0.07136749817921925,127,100,275,176,281,164,292,296,295,127,105,99,87,205,209,192,198,179
2025-26,1642938,Curtis Jones,Curtis,1610612743,DEN,24.0,2,2,0,1.0,1.6,33.3,0.5,0.143,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.037,0.03680453182745802,470,412,1,1,496,1,448,164,115,452,452,416,416,1,21,1,3,331
2025-26,1626156,D'Angelo Russell,D'Angelo,1610612742,DAL,29.0,21,7,14,0.333,20.3,109.6,2.2,0.094,0.151,0.4,0.161,0.1,0.043,8.7,7.3,6.6,22.3,0.085,0.08454276655914994,164,244,413,346,237,157,243,337,326,340,316,377,396,299,316,274,289,129
2025-26,1641747,DaRon Holmes II,DaRon,1610612743,DEN,23.0,2,2,0,1.0,2.2,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.003,0.0027772670254994332,470,412,1,1,494,430,483,483,483,452,452,416,416,15,1,18,3,464
2025-26,1631342,Daeqwon Plowden,Daeqwon,1610612758,SAC,27.0,1,0,1,0.0,14.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,6.0,16.0,-0.103,-0.10347486627792574,492,475,20,475,334,494,483,483,483,452,452,416,416,223,52,244,193,498
2025-26,1631207,Dalen Terry,Dalen,1610612741,CHI,23.0,13,5,8,0.385,11.1,101.6,1.2,0.096,0.155,0.8,0.289,0.3,0.211,3.2,3.6,3.1,8.6,0.073,0.07286541945126265,328,313,251,321,374,46,369,326,313,153,73,220,174,83,130,107,86,170
2025-26,1642261,Dalton Knecht,Dalton,1610612747,LAL,24.0,20,14,6,0.7,15.1,115.1,1.4,0.09,0.148,0.4,0.13,0.4,0.233,7.4,5.0,4.1,14.8,0.039,0.03886238611592014,191,73,173,101,311,316,347,351,339,367,376,189,158,235,192,155,176,319
2025-26,1629655,Daniel Gafford,Daniel,1610612742,DAL,27.0,15,4,11,0.267,22.9,106.8,4.1,0.16,0.247,0.9,0.28,1.4,0.525,7.9,7.2,6.5,25.7,0.112,0.11228376725609993,296,339,349,392,204,101,94,117,125,135,82,20,34,269,310,269,332,61
2025-26,1642450,Daniss Jenkins,Daniss,1610612765,DET,24.0,19,15,4,0.789,17.9,109.1,1.3,0.07,0.108,1.0,0.241,0.1,0.026,7.8,5.8,6.5,18.5,0.078,0.07807353437950469,217,43,109,45,271,142,362,427,434,102,140,408,409,262,236,268,230,155
2025-26,1642874,Danny Wolf,Danny,1610612751,BKN,21.0,9,3,6,0.333,15.7,101.0,3.1,0.193,0.304,0.1,0.053,0.2,0.105,8.3,5.7,6.6,16.4,0.104,0.10448630272937462,381,377,173,346,307,42,165,66,64,443,448,276,293,289,229,270,203,81
2025-26,203967,Dario Šarić,Dario,1610612758,SAC,31.0,3,1,2,0.333,9.2,105.4,1.3,0.138,0.222,0.0,0.0,0.0,0.0,4.3,5.0,2.0,11.3,0.047,0.04663540859638055,458,444,57,346,399,81,353,174,166,452,452,416,416,120,192,52,128,288
2025-26,1629636,Darius Garland,Darius,1610612739,CLE,25.0,9,4,5,0.444,28.3,119.2,2.2,0.078,0.124,0.7,0.143,0.1,0.037,9.4,8.7,12.0,33.8,0.039,0.03916935524853053,381,339,144,295,120,420,246,401,396,237,351,364,402,325,372,483,431,319
2025-26,1642357,David Jones Garcia,David,1610612759,SAS,24.0,10,6,4,0.6,6.7,101.3,0.8,0.131,0.19,0.6,0.273,0.1,0.333,2.1,1.1,2.1,7.0,0.047,0.04673154251780488,372,270,109,156,434,44,426,200,229,270,89,374,91,50,28,64,64,288
2025-26,1630558,Davion Mitchell,Davion,1610612748,MIA,27.0,24,14,10,0.583,30.4,111.8,2.3,0.067,0.105,1.3,0.229,0.0,0.016,9.3,10.4,8.9,34.7,0.106,0.10556512452185035,45,73,312,184,85,215,237,439,438,64,163,413,414,323,454,374,450,78
2025-26,1630549,Day'Ron Sharpe,Day'Ron,1610612751,BKN,24.0,22,6,16,0.273,16.2,112.4,3.3,0.221,0.343,0.8,0.316,0.5,0.545,8.1,4.5,6.0,16.8,0.055,0.054911285295182105,127,270,451,388,299,231,142,33,31,168,50,119,27,277,167,242,211,242
2025-26,1628368,De'Aaron Fox,De'Aaron,1610612759,SAS,27.0,16,11,5,0.688,32.7,114.7,2.9,0.084,0.127,1.4,0.268,0.3,0.077,9.6,8.7,8.6,34.1,0.09,0.09010677426875667,275,145,144,108,54,306,181,375,391,49,97,248,352,332,375,366,439,118
2025-26,1629631,De'Andre Hunter,De'Andre,1610612739,CLE,28.0,21,12,9,0.571,28.8,115.8,3.7,0.124,0.189,0.8,0.15,0.1,0.044,10.2,9.8,10.1,31.0,0.069,0.06857182018621633,164,125,275,198,112,334,118,222,236,197,338,337,394,352,426,434,401,193
2025-26,1629001,De'Anthony Melton,De'Anthony,1610612744,GSW,27.0,2,1,1,0.5,19.2,107.9,1.0,0.043,0.083,2.0,0.5,0.5,0.333,11.0,8.5,6.5,22.0,0.083,0.08331623528044599,470,444,20,248,250,118,391,474,461,5,7,127,91,396,365,264,285,138
2025-26,201599,DeAndre Jordan,DeAndre,1610612740,NOP,37.0,2,0,2,0.0,11.7,130.2,3.0,0.222,0.429,0.0,0.0,0.0,0.0,2.0,7.0,5.0,11.0,-0.018,-0.01763207308890452,470,475,57,475,366,483,171,30,5,452,452,416,416,40,292,196,119,485
2025-26,201942,DeMar DeRozan,DeMar,1610612758,SAC,36.0,25,6,19,0.24,32.6,120.5,2.6,0.08,0.125,1.3,0.204,0.2,0.083,11.9,12.2,9.8,38.2,0.033,0.033275449362787375,11,270,482,410,55,437,210,394,395,60,204,292,338,430,489,417,487,352
2025-26,1629731,Dean Wade,Dean,1610612739,CLE,29.0,23,13,10,0.565,22.2,109.9,2.9,0.123,0.185,0.8,0.194,0.6,0.21,8.2,6.3,6.5,21.9,0.092,0.09194822303691567,99,100,312,204,211,170,183,226,248,187,241,114,175,283,256,267,283,112
2025-26,1629028,Deandre Ayton,Deandre,1610612747,LAL,27.0,22,15,7,0.682,29.3,116.4,6.0,0.202,0.306,0.7,0.147,1.0,0.442,12.5,8.5,10.5,30.2,0.065,0.06463102533003609,127,43,216,110,98,356,29,51,62,210,344,39,63,451,360,447,388,207
2025-26,1630166,Deni Avdija,Deni,1610612757,POR,24.0,25,9,16,0.36,34.2,116.9,6.0,0.172,0.273,0.7,0.121,0.7,0.189,15.0,11.2,11.2,37.8,0.07,0.07019244750501316,11,188,451,334,24,376,30,101,99,236,391,89,194,494,469,470,485,188
2025-26,203471,Dennis Schröder,Dennis,1610612758,SAC,32.0,18,5,13,0.278,29.2,119.1,3.2,0.109,0.172,0.8,0.176,0.2,0.118,10.7,10.5,9.4,35.2,0.042,0.04177525912568095,232,313,393,386,105,415,156,277,277,160,279,276,282,384,457,401,459,307
2025-26,1641726,Dereck Lively II,Dereck,1610612742,DAL,21.0,7,3,4,0.429,16.5,102.3,3.3,0.183,0.261,0.6,0.182,1.6,0.5,5.7,4.4,5.6,15.4,0.107,0.10691438995191963,414,377,109,301,295,53,149,86,107,283,267,14,39,176,165,225,183,77
2025-26,1642852,Derik Queen,Derik,1610612740,NOP,20.0,26,4,22,0.154,25.3,120.8,4.7,0.187,0.305,1.0,0.227,0.8,0.417,9.7,8.7,8.3,28.8,0.024,0.02427572608450976,1,339,497,448,170,443,66,75,63,101,166,73,68,333,379,360,374,404
2025-26,1627884,Derrick Jones Jr.,Derrick,1610612746,LAC,28.0,13,4,9,0.308,24.9,122.6,1.5,0.062,0.097,0.8,0.216,1.2,0.357,12.2,9.2,9.9,26.8,0.011,0.011027373905524928,328,339,275,364,176,458,324,451,452,153,182,31,82,436,403,421,345,445
2025-26,1628401,Derrick White,Derrick,1610612738,BOS,31.0,24,14,10,0.583,33.0,111.8,3.2,0.092,0.146,1.4,0.25,1.3,0.319,10.7,11.4,9.0,26.8,0.116,0.11609713916116217,45,73,312,184,46,216,160,343,346,42,117,28,108,384,477,378,346,56
2025-26,1630217,Desmond Bane,Desmond,1610612753,ORL,27.0,25,15,10,0.6,33.2,110.5,3.2,0.091,0.135,0.8,0.135,0.3,0.096,11.0,7.9,10.2,35.5,0.129,0.12874977676432484,11,43,312,156,42,182,162,350,371,201,368,210,307,398,334,437,462,47
2025-26,1626164,Devin Booker,Devin,1610612756,PHX,29.0,22,13,9,0.591,34.7,112.4,3.3,0.094,0.149,0.9,0.122,0.4,0.125,15.6,10.5,9.4,34.0,0.116,0.11589668081965641,127,100,275,176,16,232,142,336,335,142,390,182,269,497,458,396,433,56
2025-26,1642269,Devin Carter,Devin,1610612758,SAC,23.0,9,1,8,0.111,9.5,105.2,1.0,0.106,0.153,0.7,0.375,0.1,0.25,4.1,1.7,3.4,9.8,0.054,0.05443432538781839,381,444,251,466,393,78,391,285,322,237,23,364,138,111,47,122,99,247
2025-26,1630170,Devin Vassell,Devin,1610612759,SAS,25.0,24,17,7,0.708,32.4,113.0,3.3,0.1,0.15,1.0,0.177,0.5,0.139,12.2,9.7,8.2,34.0,0.103,0.10276071597303349,45,16,216,92,57,245,140,314,334,97,278,148,251,437,423,357,433,84
2025-26,1628415,Dillon Brooks,Dillon,1610612756,PHX,29.0,19,11,8,0.579,31.1,116.2,2.3,0.076,0.122,1.4,0.206,0.1,0.05,13.9,9.9,9.1,34.5,0.071,0.07101349474396228,217,145,251,192,70,350,239,408,403,41,199,373,385,482,437,386,448,179
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,29.0,11,2,9,0.182,33.2,124.9,8.9,0.286,0.419,1.2,0.2,0.2,0.154,13.8,9.6,12.5,41.1,-0.007,-0.007325851459460474,357,412,275,435,43,472,4,4,6,77,210,309,234,479,420,486,497,475
2025-26,1631230,Dominick Barlow,Dominick,1610612755,PHI,22.0,14,8,6,0.571,26.3,109.7,3.4,0.122,0.189,0.8,0.164,1.1,0.375,8.8,7.2,7.8,26.1,0.108,0.10844054853297583,314,222,173,198,150,161,133,229,234,184,312,37,77,304,313,334,337,74
2025-26,1642270,Donovan Clingan,Donovan,1610612757,POR,21.0,21,9,12,0.429,25.2,113.1,5.6,0.219,0.328,0.6,0.135,1.4,0.638,11.8,6.4,9.2,24.3,0.079,0.07922573954782286,164,188,377,301,171,249,36,35,40,263,366,19,12,426,263,391,315,151
2025-26,1628378,Donovan Mitchell,Donovan,1610612739,CLE,29.0,23,13,10,0.565,34.3,111.3,3.9,0.109,0.166,1.4,0.235,0.3,0.092,12.5,9.5,11.3,33.5,0.126,0.12616115531277475,99,100,312,204,23,202,111,276,290,45,151,224,319,449,416,473,427,49
2025-26,1628978,Donte DiVincenzo,Donte,1610612750,MIN,28.0,24,15,9,0.625,31.1,112.3,3.2,0.096,0.15,1.1,0.228,0.4,0.116,11.3,9.4,9.0,33.5,0.104,0.10354211204116104,45,43,275,138,69,229,160,328,328,89,164,160,284,413,411,382,428,81
2025-26,203926,Doug McDermott,Doug,1610612758,SAC,33.0,2,0,2,0.0,5.5,92.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.0,4.0,0.057,0.056684696122393706,470,475,57,475,448,21,483,483,483,452,452,416,416,65,1,18,28,237
2025-26,1642962,Drake Powell,Drake,1610612751,BKN,20.0,16,5,11,0.313,19.2,114.8,1.5,0.082,0.136,0.8,0.295,0.1,0.091,8.3,6.2,6.6,21.3,0.051,0.050542922064754664,275,313,349,362,252,308,331,382,369,174,69,348,321,287,250,272,270,263
2025-26,203110,Draymond Green,Draymond,1610612744,GSW,35.0,20,10,10,0.5,28.1,105.7,5.3,0.175,0.266,0.8,0.143,0.9,0.34,10.6,8.0,8.6,27.6,0.148,0.14769600375158962,191,176,312,248,125,87,39,97,106,202,351,60,88,378,336,369,355,18
2025-26,1629234,Drew Eubanks,Drew,1610612758,SAC,28.0,25,6,19,0.24,14.4,115.3,2.0,0.137,0.225,0.5,0.174,0.7,0.459,6.1,5.9,4.4,16.2,0.037,0.03678168461532886,11,270,482,410,324,322,264,177,162,315,286,89,55,189,240,170,200,331
2025-26,1641809,Drew Peterson,Drew,1610612766,CHA,26.0,4,0,4,0.0,13.3,117.4,1.3,0.111,0.179,0.8,0.3,0.3,0.333,3.8,4.0,3.5,16.0,0.025,0.02475657913993255,446,475,109,475,340,395,364,269,259,202,64,248,91,100,144,123,193,398
2025-26,1631166,Drew Timme,Drew,1610612747,LAL,25.0,2,1,1,0.5,3.9,100.0,0.5,0.25,0.333,0.5,0.333,0.0,0.0,2.0,1.0,1.0,4.0,0.026,0.026145201689717682,470,444,20,248,468,33,448,12,33,299,35,416,416,40,21,18,28,393
2025-26,1630696,Dru Smith,Dru,1610612748,MIA,27.0,25,14,11,0.56,16.8,107.5,1.7,0.082,0.137,1.4,0.462,0.3,0.154,7.4,6.2,5.7,16.6,0.081,0.08050731532266346,11,73,349,212,291,112,304,385,362,38,11,210,234,240,254,232,208,148
2025-26,1629130,Duncan Robinson,Duncan,1610612765,DET,31.0,22,18,4,0.818,31.8,110.4,2.6,0.076,0.117,1.0,0.182,0.3,0.078,11.4,10.3,9.6,28.8,0.123,0.12267130410543753,127,9,109,38,64,181,207,409,412,102,267,216,351,414,446,409,376,53
2025-26,1641871,Duop Reath,Duop,1610612757,POR,29.0,20,9,11,0.45,8.4,113.9,0.7,0.075,0.125,0.2,0.125,0.2,0.2,4.1,3.2,3.2,8.2,0.025,0.025203905075450127,191,188,349,294,412,273,431,417,394,430,384,334,180,110,111,111,83,398
2025-26,203939,Dwight Powell,Dwight,1610612742,DAL,34.0,20,7,13,0.35,10.9,105.9,1.3,0.103,0.161,0.5,0.256,0.2,0.25,4.3,3.3,3.0,12.1,0.059,0.0591875044263442,191,244,393,340,376,92,364,297,302,299,110,292,138,116,114,99,143,230
2025-26,1642928,Dylan Cardwell,Dylan,1610612758,SAC,23.0,3,1,2,0.333,10.8,131.9,1.0,0.115,0.273,0.7,0.286,1.0,0.75,3.7,5.0,3.7,12.7,-0.024,-0.023820845895087022,458,444,57,346,377,487,391,253,101,237,75,42,6,96,192,134,152,486
2025-26,1642844,Dylan Harper,Dylan,1610612759,SAS,19.0,14,11,3,0.786,21.7,115.8,2.1,0.104,0.146,0.9,0.25,0.0,0.0,7.6,4.8,5.9,22.1,0.05,0.05049341296167754,314,145,82,46,217,333,251,291,348,137,117,416,416,247,183,240,287,270
2025-26,1630700,Dyson Daniels,Dyson,1610612737,ATL,22.0,25,14,11,0.56,33.9,113.5,4.0,0.116,0.184,2.2,0.309,0.3,0.095,12.5,11.6,10.1,37.7,0.103,0.10289918295281396,11,73,349,212,29,262,98,252,250,3,56,210,309,450,479,432,483,84
2025-26,1630604,E.J. Liddell,E.J.,1610612751,BKN,24.0,7,1,6,0.143,4.6,82.4,0.9,0.162,0.222,0.0,0.0,0.0,0.0,0.7,1.6,0.6,4.0,0.056,0.056392880572111205,414,444,173,451,458,8,420,115,166,452,452,416,416,13,45,13,28,238
2025-26,1642856,Egor Dëmin,Egor,1610612751,BKN,19.0,21,6,15,0.286,23.0,117.4,2.7,0.122,0.193,0.8,0.227,0.3,0.137,9.9,6.8,8.4,25.3,0.045,0.04455687923312514,164,270,433,380,202,394,196,230,224,177,167,193,254,344,285,362,326,296
2025-26,1641989,Elijah Harkless,Elijah,1610612762,UTA,25.0,7,2,5,0.286,9.4,105.6,0.6,0.067,0.098,0.6,0.333,0.0,0.0,3.3,2.7,2.7,9.1,0.049,0.04949547892483741,414,412,144,380,394,86,445,440,450,283,35,416,416,87,86,88,93,278
2025-26,1641801,Emanuel Miller,Emanuel,1610612741,CHI,25.0,5,0,5,0.0,6.6,116.9,0.4,0.083,0.105,0.4,0.333,0.0,0.0,2.4,2.2,1.4,7.6,0.013,0.013393880198017735,435,475,144,475,438,375,459,377,439,350,35,416,416,61,65,36,75,439
2025-26,201569,Eric Gordon,Eric,1610612755,PHI,36.0,5,3,2,0.6,11.3,123.2,0.2,0.019,0.032,0.6,0.25,0.0,0.0,4.4,3.8,4.4,15.2,0.003,0.0030745900160638177,435,377,57,156,369,463,477,482,482,270,117,416,416,122,137,165,182,464
2025-26,1630679,Ethan Thompson,Ethan,1610612754,IND,26.0,4,2,2,0.5,18.1,106.8,1.0,0.061,0.095,0.8,0.188,0.5,0.286,3.8,5.8,2.8,18.0,0.084,0.08422222579472399,446,412,57,248,268,102,391,454,453,202,255,127,118,100,235,90,220,131
2025-26,1630596,Evan Mobley,Evan,1610612739,CLE,24.0,24,13,11,0.542,34.1,110.6,6.7,0.186,0.284,1.0,0.166,1.7,0.436,12.3,10.0,11.0,33.8,0.132,0.13191391779337353,45,100,349,228,27,186,19,79,86,102,311,8,64,440,438,465,432,40
2025-26,1630532,Franz Wagner,Franz,1610612753,ORL,24.0,24,14,10,0.583,33.4,111.4,4.6,0.135,0.206,1.2,0.189,0.4,0.103,12.5,8.9,10.4,35.6,0.122,0.12230371265874694,45,73,312,184,41,206,67,182,199,80,252,174,295,446,389,444,464,54
2025-26,1641713,GG Jackson,GG,1610612763,MEM,20.0,8,4,4,0.5,6.8,109.1,1.4,0.204,0.333,0.5,0.364,0.1,0.25,2.1,3.1,3.1,8.3,0.03,0.030427833350929603,398,339,109,248,433,142,351,50,33,299,27,348,138,51,110,110,84,366
2025-26,1629216,Gabe Vincent,Gabe,1610612747,LAL,29.0,13,9,4,0.692,21.7,122.7,0.6,0.028,0.044,0.5,0.158,0.1,0.048,7.9,6.7,7.7,20.0,0.009,0.008638393657221478,328,188,109,107,218,459,441,480,479,327,320,396,389,268,281,330,255,448
2025-26,202066,Garrett Temple,Garrett,1610612761,TOR,39.0,5,3,2,0.6,3.7,128.6,0.4,0.118,0.25,0.4,0.286,0.2,0.25,3.6,2.8,1.0,3.6,-0.005,-0.00507739862918114,435,377,57,156,474,482,459,239,115,350,75,292,138,95,92,18,25,474
2025-26,1629726,Garrison Mathews,Garrison,1610612754,IND,29.0,9,4,5,0.444,13.7,106.3,0.8,0.057,0.095,0.3,0.115,0.2,0.133,4.4,4.9,4.0,13.1,0.071,0.07072537843932508,381,339,144,295,337,97,428,457,454,368,399,276,259,125,188,145,156,179
2025-26,203914,Gary Harris,Gary,1610612749,MIL,31.0,17,6,11,0.353,14.5,114.5,1.2,0.084,0.136,0.7,0.279,0.2,0.188,6.5,3.4,3.1,11.3,0.038,0.03845266158833286,254,270,349,339,323,298,379,374,365,225,85,314,196,206,118,106,127,325
2025-26,1627780,Gary Payton II,Gary,1610612744,GSW,33.0,24,12,12,0.5,12.3,109.3,2.2,0.16,0.275,0.6,0.238,0.3,0.171,5.3,5.4,3.0,12.7,0.054,0.05380930337940861,45,125,377,248,354,150,250,118,95,257,147,248,208,160,215,99,152,247
2025-26,1629018,Gary Trent Jr.,Gary,1610612749,MIL,26.0,26,11,15,0.423,27.7,119.3,1.2,0.043,0.068,0.8,0.196,0.1,0.029,11.5,8.6,8.0,28.0,0.038,0.03799087390500863,1,145,433,305,133,422,374,470,471,178,236,396,406,421,370,341,364,325
2025-26,203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,31.0,17,9,8,0.529,29.1,115.5,6.8,0.231,0.355,0.9,0.184,0.9,0.333,11.1,9.1,7.3,30.4,0.071,0.07126641818314597,254,188,251,236,106,329,18,24,25,131,263,53,91,400,399,311,390,179
2025-26,1629048,Goga Bitadze,Goga,1610612753,ORL,26.0,24,15,9,0.625,16.9,107.4,3.5,0.196,0.298,0.6,0.208,1.3,0.596,5.6,4.1,5.8,18.3,0.082,0.08240523410666363,45,43,275,138,288,108,127,60,70,257,193,27,18,174,153,235,224,143
2025-26,1641711,Gradey Dick,Gradey,1610612761,TOR,22.0,26,15,11,0.577,15.8,105.6,1.6,0.094,0.149,0.6,0.193,0.1,0.069,5.0,6.3,3.0,15.2,0.084,0.0843974169600591,1,43,349,194,306,85,319,335,337,266,242,396,365,147,261,99,180,131
2025-26,1628960,Grayson Allen,Grayson,1610612756,PHX,30.0,17,9,8,0.529,30.8,116.0,2.2,0.075,0.123,1.6,0.233,0.2,0.095,13.7,9.7,10.8,34.4,0.071,0.07108242801238858,254,188,251,236,76,346,244,412,400,24,158,270,309,476,422,462,444,179
2025-26,1627824,Guerschon Yabusele,Guerschon,1610612752,NYK,29.0,23,17,6,0.739,10.0,108.1,1.5,0.144,0.227,0.1,0.083,0.2,0.16,4.4,3.6,2.3,9.2,0.047,0.046921435817988064,99,16,173,73,387,124,330,161,158,434,434,319,222,124,129,73,94,288
2025-26,1630611,Gui Santos,Gui,1610612744,GSW,23.0,18,9,9,0.5,9.3,111.6,1.1,0.104,0.179,0.3,0.147,0.1,0.154,3.8,4.0,2.5,10.4,0.032,0.032435988954273964,232,188,275,248,398,208,389,288,258,393,343,364,234,103,144,79,108,356
2025-26,203084,Harrison Barnes,Harrison,1610612759,SAS,33.0,24,17,7,0.708,31.1,116.4,2.5,0.078,0.114,1.0,0.198,0.2,0.054,10.3,8.8,8.1,32.7,0.068,0.06816179942222624,45,16,216,92,68,355,218,398,416,97,229,320,380,358,385,346,420,197
2025-26,1631127,Harrison Ingram,Harrison,1610612759,SAS,23.0,3,2,1,0.667,3.6,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.7,3.3,0.036,0.03609117596435678,458,412,20,112,475,18,483,483,483,452,452,416,416,24,12,14,20,337
2025-26,1630529,Herbert Jones,Herbert,1610612740,NOP,27.0,18,3,15,0.167,29.1,118.1,2.8,0.11,0.164,1.5,0.245,0.3,0.167,11.0,8.8,11.6,32.1,0.049,0.04939648980700703,232,377,433,438,107,404,187,275,298,28,137,193,210,396,382,479,412,278
2025-26,1642864,Hugo González,Hugo,1610612738,BOS,19.0,20,12,8,0.6,11.5,108.7,1.4,0.124,0.203,0.7,0.264,0.2,0.111,2.6,3.6,2.7,10.9,0.051,0.051196065588828964,191,125,251,156,367,134,347,223,208,227,102,334,289,66,126,85,116,263
2025-26,1630621,Hunter Dickinson,Hunter,1610612740,NOP,25.0,1,0,1,0.0,4.7,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,8.0,8.0,-0.075,-0.07486280737941052,492,475,20,475,457,497,483,483,483,452,452,42,1,312,1,342,80,496
2025-26,1642282,Hunter Sallis,Hunter,1610612755,PHI,22.0,6,3,3,0.5,4.2,114.3,0.2,0.034,0.059,0.0,0.0,0.2,0.5,2.2,2.0,2.3,5.3,0.012,0.012392061855221173,423,377,82,248,465,288,480,477,476,452,452,320,39,53,52,70,46,442
2025-26,1641816,Hunter Tyson,Hunter,1610612743,DEN,25.0,9,8,1,0.889,3.9,98.7,1.2,0.22,0.344,0.1,0.143,0.0,0.0,1.7,1.8,1.1,4.0,0.029,0.0290169219215685,381,222,20,34,470,30,370,34,30,443,351,416,416,32,49,29,28,375
2025-26,1630193,Immanuel Quickley,Immanuel,1610612761,TOR,26.0,25,15,10,0.6,32.2,111.6,3.8,0.113,0.177,1.2,0.211,0.0,0.014,11.3,9.8,8.9,33.4,0.116,0.11610730070107364,11,43,312,156,60,209,113,259,261,72,188,415,415,411,433,375,425,56
2025-26,1642403,Isaac Jones,Isaac,1610612765,DET,25.0,4,2,2,0.5,4.6,122.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.3,2.3,4.0,0.002,0.002276877608782636,446,412,57,248,459,455,483,483,483,452,452,416,416,93,33,66,28,467
2025-26,1630171,Isaac Okoro,Isaac,1610612741,CHI,24.0,15,8,7,0.533,24.8,120.3,1.5,0.056,0.082,0.4,0.113,0.7,0.238,9.1,9.2,7.9,27.2,0.027,0.02690622160435429,296,222,216,233,182,433,326,459,465,350,403,91,151,318,402,338,350,389
2025-26,1642268,Isaiah Collier,Isaiah,1610612762,UTA,21.0,15,5,10,0.333,20.4,125.3,1.7,0.085,0.141,0.5,0.127,0.3,0.185,10.7,8.0,6.9,22.7,-0.007,-0.006845237702080908,296,313,312,346,235,476,302,371,355,325,382,193,198,389,338,289,294,475
2025-26,1642384,Isaiah Crawford,Isaiah,1610612745,HOU,24.0,2,1,1,0.5,2.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027,0.027198069558051624,470,444,20,248,493,6,483,483,483,452,452,416,416,1,1,1,3,389
2025-26,1628392,Isaiah Hartenstein,Isaiah,1610612760,OKC,27.0,19,18,1,0.947,27.8,102.2,7.4,0.256,0.367,1.3,0.188,0.8,0.268,9.1,6.8,5.5,19.9,0.172,0.17248911049213503,217,9,20,24,131,52,10,11,18,62,255,70,129,316,288,223,254,8
2025-26,1630543,Isaiah Jackson,Isaiah,1610612754,IND,23.0,24,6,18,0.25,18.9,117.0,3.3,0.171,0.285,0.9,0.276,0.8,0.422,7.0,6.8,7.1,23.1,0.038,0.03847421418012573,45,270,474,398,257,380,148,103,84,146,88,69,65,223,286,297,302,325
