Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
2025-26,203939,Dwight Powell,1610612742,DAL,34.0,6-10,82,240,Stanford,Canada,2014,2,45,20,2.4,2.1,0.9,5.9,0.077,0.103,0.075,0.717,0.101
2025-26,1642928,Dylan Cardwell,1610612758,SAC,23.0,6-10,82,255,Auburn,USA,Undrafted,Undrafted,Undrafted,3,1.7,1.7,0.0,-11.6,0.054,0.115,0.106,0.363,0.0
2025-26,1642844,Dylan Harper,1610612759,SAS,19.0,6-5,77,215,Rutgers,USA,2025,1,2,12,12.8,3.1,3.8,5.6,0.045,0.101,0.255,0.537,0.26
2025-26,1630700,Dyson Daniels,1610612737,ATL,22.0,6-7,79,199,None,Australia,2022,1,8,25,10.7,6.2,5.8,4.6,0.064,0.116,0.159,0.499,0.214
2025-26,1630604,E.J. Liddell,1610612751,BKN,24.0,6-6,78,240,Ohio State,USA,2022,2,41,7,2.0,1.3,0.0,26.5,0.075,0.162,0.153,0.526,0.0
2025-26,1642856,Egor Dëmin,1610612751,BKN,19.0,6-8,80,200,Brigham Young,Russia,2025,1,8,21,8.3,3.3,3.7,-7.3,0.022,0.122,0.176,0.517,0.243
2025-26,1641989,Elijah Harkless,1610612762,UTA,25.0,6-3,75,195,UNLV,USA,Undrafted,Undrafted,Undrafted,7,2.4,0.9,0.7,14.9,0.038,0.067,0.116,0.568,0.096
2025-26,1641801,Emanuel Miller,1610612741,CHI,25.0,6-5,77,215,TCU,Canada,Undrafted,Undrafted,Undrafted,5,3.0,0.6,0.8,-28.0,0.026,0.083,0.169,0.54,0.211
2025-26,201569,Eric Gordon,1610612755,PHI,36.0,6-3,75,215,Indiana,USA,2008,1,7,5,4.2,0.4,0.6,-18.3,0.016,0.019,0.11,0.808,0.07
2025-26,1630679,Ethan Thompson,1610612754,IND,26.0,6-4,76,195,Oregon State,Puerto Rico,Undrafted,Undrafted,Undrafted,3,4.3,0.7,1.3,25.5,0.0,0.049,0.08,0.813,0.111
2025-26,1630596,Evan Mobley,1610612739,CLE,24.0,6-11,83,215,Southern California,USA,2021,1,3,24,18.9,9.1,4.0,5.8,0.069,0.186,0.225,0.577,0.174
2025-26,1630532,Franz Wagner,1610612753,ORL,24.0,6-10,82,220,Michigan,Germany,2021,1,8,24,22.7,6.1,3.7,2.7,0.042,0.135,0.251,0.6,0.173
2025-26,1641713,GG Jackson,1610612763,MEM,20.0,6-9,81,210,South Carolina,USA,2023,2,45,8,2.5,1.8,0.3,-21.4,0.041,0.204,0.238,0.313,0.074
2025-26,1629216,Gabe Vincent,1610612747,LAL,29.0,6-2,74,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,12,5.1,1.0,1.7,1.7,0.017,0.03,0.101,0.534,0.093
2025-26,202066,Garrett Temple,1610612761,TOR,39.0,6-5,77,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,4,1.0,0.5,0.3,-47.9,0.0,0.143,0.128,0.515,0.091
2025-26,1629726,Garrison Mathews,1610612754,IND,29.0,6-5,77,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,8,4.5,0.9,0.5,-1.3,0.009,0.06,0.122,0.597,0.049
2025-26,203914,Gary Harris,1610612749,MIL,31.0,6-4,76,210,Michigan State,USA,2014,1,19,16,2.3,1.4,1.2,-12.3,0.019,0.091,0.078,0.567,0.124
2025-26,1627780,Gary Payton II,1610612744,GSW,33.0,6-2,74,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,24,4.0,3.0,1.6,2.2,0.065,0.16,0.149,0.531,0.191
2025-26,1629018,Gary Trent Jr.,1610612749,MIL,26.0,6-5,77,204,Duke,USA,2018,2,37,25,9.6,1.3,1.8,-9.5,0.004,0.043,0.149,0.543,0.089
2025-26,203507,Giannis Antetokounmpo,1610612749,MIL,31.0,6-11,83,243,None,Greece,2013,1,15,17,28.9,10.1,6.1,8.2,0.121,0.231,0.36,0.669,0.364
2025-26,1629048,Goga Bitadze,1610612753,ORL,26.0,6-11,83,250,None,Georgia,2019,1,18,23,6.3,5.2,1.4,8.8,0.1,0.196,0.111,0.769,0.112
2025-26,1641711,Gradey Dick,1610612761,TOR,22.0,6-7,79,200,Kansas,USA,2023,1,13,25,6.5,2.0,0.7,11.1,0.022,0.093,0.159,0.552,0.053
2025-26,1628960,Grayson Allen,1610612756,PHX,30.0,6-3,75,198,Duke,USA,2018,1,21,15,17.3,2.9,3.9,0.7,0.014,0.078,0.206,0.611,0.187
2025-26,1627824,Guerschon Yabusele,1610612752,NYK,29.0,6-7,79,265,None,France,2016,1,16,22,3.2,2.2,0.4,2.7,0.068,0.14,0.139,0.519,0.054
2025-26,1630611,Gui Santos,1610612744,GSW,23.0,6-7,79,185,None,Brazil,2022,2,55,18,3.4,1.9,0.6,-8.2,0.078,0.104,0.179,0.507,0.111
2025-26,203084,Harrison Barnes,1610612759,SAS,33.0,6-7,79,225,North Carolina,USA,2012,1,7,22,12.9,3.5,2.3,2.8,0.029,0.081,0.157,0.641,0.101
2025-26,1631127,Harrison Ingram,1610612759,SAS,23.0,6-5,77,230,North Carolina,USA,2024,2,48,3,1.7,1.0,0.0,46.5,0.25,0.0,0.088,0.833,0.0
2025-26,1630529,Herbert Jones,1610612740,NOP,27.0,6-7,79,206,Alabama,USA,2021,2,35,16,9.5,3.8,2.3,-11.9,0.029,0.109,0.15,0.503,0.107
2025-26,1642864,Hugo González,1610612738,BOS,19.0,6-6,78,200,None,Spain,2025,1,28,19,3.4,2.0,0.5,12.3,0.054,0.122,0.131,0.6,0.058
2025-26,1630621,Hunter Dickinson,1610612740,NOP,25.0,7-1,85,255,Kansas,USA,Undrafted,Undrafted,Undrafted,1,2.0,0.0,0.0,-120.0,0.0,0.0,0.333,0.5,0.0
2025-26,1642282,Hunter Sallis,1610612755,PHI,22.0,6-4,76,185,Wake Forest,USA,Undrafted,Undrafted,Undrafted,6,1.2,0.2,0.7,-28.6,0.0,0.034,0.172,0.595,0.25
2025-26,1641816,Hunter Tyson,1610612743,DEN,25.0,6-8,80,215,Clemson,USA,2023,2,37,8,0.3,1.5,0.4,-23.3,0.027,0.262,0.137,0.101,0.167
2025-26,1630193,Immanuel Quickley,1610612761,TOR,26.0,6-2,74,190,Kentucky,USA,2020,1,25,25,16.5,4.2,6.2,2.5,0.012,0.113,0.203,0.591,0.269
2025-26,1642403,Isaac Jones,1610612765,DET,25.0,6-8,80,245,Washington State,USA,Undrafted,Undrafted,Undrafted,4,1.3,0.5,0.3,-46.5,0.095,0.0,0.119,0.512,0.1
2025-26,1630171,Isaac Okoro,1610612741,CHI,24.0,6-4,76,225,Auburn,USA,2020,1,5,15,8.2,2.7,1.6,-9.7,0.045,0.056,0.136,0.576,0.087
2025-26,1642268,Isaiah Collier,1610612762,UTA,21.0,6-4,76,210,Southern California,USA,2024,1,29,15,7.4,1.9,5.1,-19.0,0.009,0.085,0.16,0.612,0.362
2025-26,1642384,Isaiah Crawford,1610612745,HOU,24.0,6-6,78,220,Louisiana Tech,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.0,0.0,13.9,0.0,0.0,0.1,0.0,0.0
2025-26,1628392,Isaiah Hartenstein,1610612760,OKC,27.0,7-0,84,250,None,Germany,2017,2,43,19,12.2,10.7,3.4,16.2,0.119,0.256,0.165,0.678,0.165
2025-26,1630543,Isaiah Jackson,1610612754,IND,23.0,6-8,80,205,Kentucky,USA,2021,1,22,23,8.1,5.6,0.9,-7.7,0.113,0.166,0.153,0.661,0.067
2025-26,1630198,Isaiah Joe,1610612760,OKC,26.0,6-4,76,165,Arkansas,USA,2020,2,49,17,12.9,2.8,1.5,15.7,0.022,0.09,0.189,0.667,0.093
2025-26,1630587,Isaiah Livers,1610612756,PHX,27.0,6-6,78,232,Michigan,USA,2021,2,42,13,2.5,2.2,0.4,18.9,0.046,0.119,0.088,0.506,0.037
2025-26,1630191,Isaiah Stewart,1610612765,DET,24.0,6-8,80,250,Washington,USA,2020,1,16,21,10.0,6.0,1.1,-0.6,0.075,0.169,0.165,0.63,0.07
2025-26,1627826,Ivica Zubac,1610612746,LAC,28.0,7-0,84,240,None,Croatia,2016,2,32,24,15.9,11.6,2.6,-2.1,0.112,0.25,0.194,0.618,0.125
2025-26,1631120,JD Davison,1610612745,HOU,23.0,6-1,73,195,Alabama,USA,2022,2,53,11,1.8,0.4,0.9,-19.4,0.015,0.043,0.116,0.559,0.204
2025-26,1629630,Ja Morant,1610612763,MEM,26.0,6-2,74,174,Murray State,USA,2019,1,2,12,17.9,3.5,7.6,-6.9,0.016,0.103,0.309,0.477,0.417
2025-26,1642266,Ja'Kobe Walter,1610612761,TOR,21.0,6-4,76,180,Baylor,USA,2024,1,19,22,5.2,2.1,0.8,-7.8,0.046,0.078,0.136,0.548,0.07
2025-26,1631095,Jabari Smith Jr.,1610612745,HOU,22.0,6-11,83,220,Auburn,USA,2022,1,3,20,15.3,6.4,1.9,14.0,0.041,0.145,0.176,0.575,0.073
2025-26,1631133,Jabari Walker,1610612755,PHI,23.0,6-7,79,237,Colorado,USA,2022,2,57,22,4.6,3.5,0.6,-1.4,0.084,0.177,0.134,0.564,0.057
2025-26,1631210,Jacob Toppin,1610612737,ATL,25.0,6-9,81,200,Kentucky,USA,Undrafted,Undrafted,Undrafted,5,1.6,0.2,0.2,31.3,0.0,0.067,0.14,0.667,0.091
2025-26,1630702,Jaden Hardy,1610612742,DAL,23.0,6-3,75,198,None,USA,2022,2,37,20,6.0,1.2,0.5,6.5,0.018,0.08,0.23,0.568,0.063
2025-26,1631093,Jaden Ivey,1610612765,DET,23.0,6-3,75,195,Purdue,USA,2022,1,5,9,7.6,2.7,1.1,9.4,0.044,0.134,0.214,0.586,0.114
2025-26,1630183,Jaden McDaniels,1610612750,MIN,25.0,6-9,81,185,Washington,USA,2020,1,28,22,16.0,4.7,2.5,7.9,0.042,0.101,0.193,0.635,0.111
2025-26,1630256,Jae'Sean Tate,1610612745,HOU,30.0,6-4,76,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,14,2.9,1.6,0.5,-10.9,0.07,0.114,0.13,0.623,0.09
2025-26,1642942,Jahmai Mashack,1610612763,MEM,23.0,6-4,76,203,Tennessee,USA,2025,2,59,2,3.0,1.0,0.0,4.7,0.0,0.222,0.227,0.6,0.0
2025-26,1642443,Jahmir Young,1610612748,MIA,25.0,6-0,72,185,Maryland,USA,Undrafted,Undrafted,Undrafted,5,2.0,0.4,0.8,-25.7,0.0,0.074,0.191,0.455,0.2
2025-26,1643141,Jahmyl Telfort,1610612746,LAC,24.0,6-7,79,,None,Canada,Undrafted,Undrafted,Undrafted,8,0.1,0.4,0.1,-8.9,0.0,0.088,0.093,0.087,0.05
2025-26,1631170,Jaime Jaquez Jr.,1610612748,MIA,24.0,6-6,78,225,UCLA,USA,2023,1,18,23,15.8,6.0,5.1,7.7,0.044,0.123,0.216,0.571,0.246
2025-26,1631222,Jake LaRavia,1610612747,LAL,24.0,6-7,79,235,Wake Forest,USA,2022,1,19,23,8.9,3.8,1.8,-1.1,0.045,0.109,0.147,0.561,0.096
2025-26,1627751,Jakob Poeltl,1610612761,TOR,30.0,7-0,84,253,Utah,Austria,2016,1,9,18,10.2,7.9,2.2,1.9,0.109,0.193,0.14,0.688,0.112
2025-26,1628973,Jalen Brunson,1610612752,NYK,29.0,6-2,74,190,Villanova,USA,2018,2,33,21,28.0,3.1,6.4,12.5,0.013,0.075,0.306,0.59,0.289
2025-26,1631105,Jalen Duren,1610612765,DET,22.0,6-10,82,250,Memphis,USA,2022,1,13,21,18.8,11.5,1.8,14.5,0.142,0.233,0.221,0.699,0.091
2025-26,1630224,Jalen Green,1610612756,PHX,23.0,6-4,76,186,None,USA,2021,1,2,2,15.5,2.0,2.0,61.2,0.074,0.067,0.37,0.615,0.174
2025-26,1630552,Jalen Johnson,1610612737,ATL,23.0,6-8,80,219,Duke,USA,2021,1,20,22,23.4,10.5,7.9,2.1,0.038,0.244,0.253,0.633,0.326
2025-26,1629618,Jalen Pickett,1610612743,DEN,26.0,6-2,74,202,Penn State,USA,2023,2,32,10,2.3,1.1,1.0,-9.1,0.038,0.098,0.126,0.592,0.189
2025-26,1630188,Jalen Smith,1610612741,CHI,25.0,6-8,80,215,Maryland,USA,2020,1,10,18,10.0,5.8,1.2,-1.2,0.099,0.216,0.21,0.608,0.101
2025-26,1630591,Jalen Suggs,1610612753,ORL,24.0,6-5,77,205,Gonzaga,USA,2021,1,5,19,14.6,3.8,4.7,9.4,0.032,0.113,0.238,0.591,0.266
2025-26,1631114,Jalen Williams,1610612760,OKC,24.0,6-5,77,211,Santa Clara,USA,2022,1,12,5,17.8,5.2,6.4,19.4,0.016,0.149,0.265,0.536,0.302
2025-26,1630592,Jalen Wilson,1610612751,BKN,25.0,6-6,78,220,Kansas,USA,2023,2,51,18,5.0,1.0,0.6,-16.4,0.007,0.068,0.156,0.51,0.07
2025-26,1631288,Jamal Cain,1610612753,ORL,26.0,6-7,79,191,Oakland,USA,Undrafted,Undrafted,Undrafted,5,1.6,0.8,0.4,22.9,0.059,0.077,0.139,0.45,0.08
2025-26,1627750,Jamal Murray,1610612743,DEN,28.0,6-4,76,215,Kentucky,Canada,2016,1,7,22,25.0,4.5,6.8,10.1,0.014,0.113,0.26,0.635,0.279
2025-26,1642347,Jamal Shead,1610612761,TOR,23.0,6-1,73,200,Houston,USA,2024,2,45,25,5.8,1.8,5.1,5.2,0.022,0.072,0.144,0.506,0.328
2025-26,1631123,Jamaree Bouyea,1610612756,PHX,26.0,6-2,74,180,San Francisco,USA,Undrafted,Undrafted,Undrafted,7,7.7,1.1,1.4,7.4,0.022,0.082,0.169,0.755,0.139
2025-26,201935,James Harden,1610612746,LAC,36.0,6-5,77,220,Arizona State,USA,2009,1,3,23,26.8,5.4,8.3,-4.1,0.016,0.141,0.298,0.629,0.364
2025-26,1630164,James Wiseman,1610612754,IND,24.0,6-11,83,240,Memphis,USA,2020,1,2,1,4.0,4.0,0.0,-39.3,0.143,0.0,0.122,0.667,0.0
2025-26,1642364,Jamir Watkins,1610612764,WAS,24.0,6-6,78,210,Florida State,USA,2025,2,43,7,2.1,1.6,0.4,-25.0,0.03,0.129,0.083,0.588,0.073
2025-26,1642419,Jamison Battle,1610612761,TOR,24.0,6-7,79,220,Ohio State,USA,Undrafted,Undrafted,Undrafted,17,3.9,1.4,0.2,13.2,0.026,0.133,0.138,0.855,0.039
2025-26,1641716,Jarace Walker,1610612754,IND,22.0,6-7,79,235,Houston,USA,2023,1,8,23,9.7,5.0,2.2,-11.9,0.019,0.159,0.187,0.471,0.122
2025-26,1642272,Jared McCain,1610612755,PHI,21.0,6-3,75,195,Duke,USA,2024,1,16,14,7.5,1.9,1.7,2.4,0.008,0.088,0.193,0.488,0.133
2025-26,1628991,Jaren Jackson Jr.,1610612763,MEM,26.0,6-10,82,242,Michigan State,USA,2018,1,4,22,17.0,5.0,1.9,-7.5,0.027,0.133,0.238,0.563,0.107
2025-26,1629020,Jarred Vanderbilt,1610612747,LAL,26.0,6-8,80,214,Kentucky,USA,2018,2,41,15,4.3,5.2,1.5,-0.8,0.077,0.229,0.129,0.539,0.115
2025-26,1628386,Jarrett Allen,1610612739,CLE,27.0,6-9,81,243,Texas,USA,2017,1,22,15,14.3,7.6,1.8,8.1,0.089,0.186,0.2,0.625,0.094
2025-26,1642859,Jase Richardson,1610612753,ORL,20.0,6-1,73,180,Michigan State,USA,2025,1,25,14,3.4,0.9,0.9,11.5,0.04,0.103,0.174,0.619,0.181
2025-26,1642914,Javon Small,1610612763,MEM,22.0,6-1,73,190,West Virginia,USA,2025,2,48,8,4.3,1.0,2.8,0.8,0.01,0.061,0.161,0.525,0.301
2025-26,1631451,Javonte Cooke,1610612757,POR,26.0,6-6,78,185,Winston-Salem,USA,Undrafted,Undrafted,Undrafted,4,1.8,0.5,1.0,-11.7,0.027,0.032,0.187,0.318,0.211
2025-26,1629750,Javonte Green,1610612765,DET,32.0,6-5,77,205,Radford,USA,Undrafted,Undrafted,Undrafted,24,6.6,2.7,0.8,3.6,0.035,0.1,0.142,0.558,0.06
2025-26,1629637,Jaxson Hayes,1610612747,LAL,25.0,7-0,84,220,Texas,USA,2019,1,8,20,5.4,4.0,1.0,-1.5,0.075,0.158,0.1,0.725,0.084
2025-26,1630643,Jay Huff,1610612754,IND,28.0,7-1,85,240,Virginia,USA,Undrafted,Undrafted,Undrafted,23,7.7,3.5,1.3,-4.2,0.053,0.112,0.165,0.569,0.112
2025-26,1627759,Jaylen Brown,1610612738,BOS,29.0,6-6,78,223,California,USA,2016,1,3,23,29.1,6.2,4.9,5.7,0.034,0.143,0.352,0.589,0.242
2025-26,1641740,Jaylen Clark,1610612750,MIN,24.0,6-5,77,205,UCLA,USA,2023,2,53,21,4.9,2.3,0.4,7.4,0.064,0.075,0.123,0.552,0.041
2025-26,1642377,Jaylen Wells,1610612763,MEM,22.0,6-7,79,,Washington State,USA,2024,2,39,24,12.2,3.5,1.7,-0.2,0.037,0.089,0.172,0.575,0.089
2025-26,1631119,Jaylin Williams,1610612760,OKC,23.0,6-9,81,240,Arkansas,USA,2022,2,34,23,5.6,4.7,2.4,18.7,0.026,0.199,0.154,0.503,0.169
2025-26,1642281,Jaylon Tyson,1610612739,CLE,23.0,6-6,78,215,California,USA,2024,1,20,20,13.0,5.4,1.9,4.6,0.068,0.116,0.158,0.651,0.093
2025-26,201145,Jeff Green,1610612745,HOU,39.0,6-8,80,235,Georgetown,USA,2007,1,5,10,2.1,0.4,0.1,-35.9,0.023,0.063,0.147,0.656,0.04
2025-26,203924,Jerami Grant,1610612757,POR,31.0,6-7,79,213,Syracuse,USA,2014,2,39,23,19.5,3.9,2.7,-4.1,0.033,0.093,0.234,0.611,0.14
2025-26,1642847,Jeremiah Fears,1610612740,NOP,19.0,6-3,75,190,Oklahoma,USA,2025,1,7,24,15.8,3.4,3.0,-15.9,0.022,0.107,0.249,0.531,0.173
2025-26,1630526,Jeremiah Robinson-Earl,1610612754,IND,25.0,6-9,81,240,Villanova,USA,2021,2,32,17,4.6,5.2,0.7,-11.0,0.095,0.186,0.13,0.443,0.056
2025-26,1631110,Jeremy Sochan,1610612759,SAS,22.0,6-8,80,230,Baylor,Poland,2022,1,9,16,6.4,3.6,1.5,-9.2,0.078,0.138,0.155,0.566,0.13
2025-26,1630579,Jericho Sims,1610612749,MIL,27.0,6-10,82,250,Texas,USA,2021,2,58,19,2.7,3.7,0.7,-23.4,0.091,0.171,0.07,0.848,0.072
2025-26,1641724,Jett Howard,1610612753,ORL,22.0,6-8,80,215,Michigan,USA,2023,1,11,16,5.3,1.1,0.7,3.9,0.022,0.089,0.182,0.574,0.095
2025-26,1628975,Jevon Carter,1610612741,CHI,30.0,6-0,72,200,West Virginia,USA,2018,2,32,14,6.9,1.4,1.2,-13.3,0.021,0.074,0.179,0.597,0.124
2025-26,202710,Jimmy Butler III,1610612744,GSW,36.0,6-6,78,230,Marquette,USA,2011,1,30,21,19.5,5.7,5.0,8.2,0.072,0.107,0.221,0.653,0.255
2025-26,1642866,Joan Beringer,1610612750,MIN,19.0,6-11,83,230,None,France,2025,1,17,9,2.0,1.3,0.0,-2.2,0.05,0.217,0.144,0.731,0.0
2025-26,1629111,Jock Landale,1610612763,MEM,30.0,6-11,83,255,St. Mary's,Australia,Undrafted,Undrafted,Undrafted,24,10.9,5.4,1.5,-10.4,0.099,0.149,0.188,0.613,0.111
2025-26,204060,Joe Ingles,1610612750,MIN,38.0,6-8,80,220,None,Australia,Undrafted,Undrafted,Undrafted,7,0.0,0.0,0.9,-0.8,0.0,0.0,0.033,0.0,0.261
2025-26,203954,Joel Embiid,1610612755,PHI,31.0,7-0,84,280,Kansas,Cameroon,2014,1,3,9,18.2,5.6,3.0,1.3,0.051,0.158,0.327,0.518,0.189
2025-26,1628381,John Collins,1610612746,LAC,28.0,6-9,81,226,Wake Forest,USA,2017,1,19,24,12.2,4.8,0.7,-4.6,0.05,0.128,0.185,0.58,0.037
2025-26,1629723,John Konchar,1610612763,MEM,29.0,6-5,77,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,22,3.0,2.7,1.2,2.4,0.036,0.146,0.085,0.61,0.129
2025-26,1641780,Johni Broome,1610612755,PHI,23.0,6-10,82,235,Auburn,USA,2025,2,35,6,1.7,2.2,0.7,-29.4,0.122,0.189,0.242,0.23,0.167
2025-26,1642277,Johnny Furphy,1610612754,IND,20.0,6-8,80,200,Kansas,Australia,2024,2,35,5,2.0,1.8,0.2,-11.0,0.015,0.127,0.084,0.5,0.019
2025-26,1630548,Johnny Juzang,1610612750,MIN,24.0,6-7,79,226,UCLA,USA,Undrafted,Undrafted,Undrafted,8,1.1,0.4,0.1,20.9,0.048,0.087,0.193,0.455,0.056
2025-26,202685,Jonas Valančiūnas,1610612743,DEN,33.0,6-11,83,265,None,Lithuania,2011,1,5,23,8.2,4.6,1.2,-0.7,0.112,0.247,0.265,0.613,0.16
2025-26,1628371,Jonathan Isaac,1610612753,ORL,28.0,6-10,82,230,Florida State,USA,2017,1,6,21,3.0,3.1,0.1,-4.3,0.065,0.209,0.127,0.519,0.015
2025-26,1630228,Jonathan Kuminga,1610612744,GSW,23.0,6-7,79,225,None,DRC,2021,1,7,17,12.4,6.3,2.6,-4.5,0.061,0.185,0.237,0.526,0.161
2025-26,1642367,Jonathan Mogbo,1610612761,TOR,24.0,6-9,81,225,San Francisco,USA,2024,2,31,10,1.0,1.4,0.6,-5.8,0.093,0.2,0.094,0.455,0.176
2025-26,203903,Jordan Clarkson,1610612752,NYK,33.0,6-5,77,194,Missouri,USA,2014,2,46,23,9.8,2.0,1.7,4.4,0.043,0.053,0.215,0.531,0.127
2025-26,1630692,Jordan Goodwin,1610612756,PHX,27.0,6-3,75,215,St. Louis,USA,Undrafted,Undrafted,Undrafted,20,8.5,4.3,2.1,7.6,0.084,0.129,0.181,0.524,0.142
2025-26,1641722,Jordan Hawkins,1610612740,NOP,23.0,6-5,77,190,Connecticut,USA,2023,1,14,20,5.5,1.8,1.0,-8.3,0.025,0.083,0.174,0.453,0.087
2025-26,1629162,Jordan McLaughlin,1610612759,SAS,29.0,5-11,71,185,Southern California,USA,Undrafted,Undrafted,Undrafted,8,3.5,0.8,1.3,-4.8,0.038,0.043,0.141,0.553,0.175
2025-26,1641757,Jordan Miller,1610612746,LAC,25.0,6-5,77,194,Miami,USA,2023,2,48,4,8.5,2.3,0.8,-6.4,0.063,0.122,0.231,0.7,0.094
2025-26,1629673,Jordan Poole,1610612740,NOP,26.0,6-4,76,194,Michigan,USA,2019,1,28,7,17.3,1.7,3.4,-21.9,0.012,0.048,0.235,0.535,0.189
2025-26,1641775,Jordan Walsh,1610612738,BOS,21.0,6-6,78,205,Arkansas,USA,2023,2,38,20,7.1,4.8,1.1,13.7,0.08,0.144,0.115,0.69,0.065
2025-26,1630631,Jose Alvarado,1610612740,NOP,27.0,6-0,72,179,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,23,9.1,2.8,2.9,-4.3,0.019,0.104,0.171,0.581,0.197
2025-26,1630581,Josh Giddey,1610612741,CHI,23.0,6-7,79,216,None,Australia,2021,1,6,21,20.3,9.5,8.9,-3.3,0.036,0.214,0.251,0.582,0.395
2025-26,1628404,Josh Hart,1610612752,NYK,30.0,6-5,77,215,Villanova,USA,2017,1,30,22,12.0,7.9,5.0,8.7,0.058,0.207,0.165,0.615,0.226
2025-26,1631169,Josh Minott,1610612738,BOS,23.0,6-8,80,205,Memphis,USA,2022,2,45,23,7.3,4.7,1.3,6.9,0.08,0.148,0.139,0.653,0.095
2025-26,1629006,Josh Okogie,1610612745,HOU,27.0,6-4,76,213,Georgia Tech,Nigeria,2018,1,20,21,6.5,2.9,1.0,10.8,0.061,0.076,0.126,0.587,0.056
2025-26,201950,Jrue Holiday,1610612757,POR,35.0,6-4,76,220,UCLA,USA,2009,1,17,12,16.7,5.3,8.3,2.4,0.037,0.116,0.208,0.565,0.346
2025-26,1630577,Julian Champagnie,1610612759,SAS,24.0,6-7,79,217,St. John's,USA,Undrafted,Undrafted,Undrafted,22,10.9,5.3,1.4,3.6,0.031,0.146,0.147,0.586,0.062
2025-26,1641763,Julian Phillips,1610612741,CHI,22.0,6-6,78,198,Tennessee,USA,2023,2,35,21,3.0,1.4,0.3,4.4,0.072,0.057,0.111,0.538,0.04
2025-26,1631124,Julian Strawther,1610612743,DEN,23.0,6-6,78,205,Gonzaga,USA,2023,1,29,9,3.7,1.6,0.4,-2.7,0.0,0.159,0.221,0.462,0.103
2025-26,203944,Julius Randle,1610612750,MIN,31.0,6-9,81,250,Kentucky,USA,2014,1,7,23,23.0,7.3,5.9,8.0,0.048,0.163,0.261,0.615,0.257
2025-26,1630551,Justin Champagnie,1610612764,WAS,24.0,6-6,78,206,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,20,4.7,3.8,0.9,-20.8,0.116,0.173,0.137,0.562,0.095
2025-26,1642348,Justin Edwards,1610612755,PHI,21.0,6-7,79,203,Kentucky,USA,Undrafted,Undrafted,Undrafted,20,6.2,1.9,1.4,-10.3,0.032,0.074,0.154,0.545,0.117
2025-26,203994,Jusuf Nurkić,1610612762,UTA,31.0,6-11,83,290,None,Bosnia and Herzegovina,2014,1,16,22,8.2,9.2,3.7,-10.5,0.084,0.273,0.177,0.487,0.226
2025-26,1642354,KJ Simpson,1610612766,CHA,23.0,6-2,74,189,Colorado,USA,2024,2,42,11,5.8,2.2,2.4,-7.4,0.023,0.127,0.216,0.456,0.255
2025-26,1626157,Karl-Anthony Towns,1610612752,NYK,30.0,7-0,84,248,Kentucky,USA,2015,1,1,22,22.5,11.9,3.4,9.6,0.09,0.264,0.262,0.601,0.145
2025-26,1631255,Karlo Matković,1610612740,NOP,24.0,6-10,82,231,None,Bosnia and Herzegovina,2022,2,52,14,5.0,2.9,0.8,-3.1,0.047,0.191,0.137,0.737,0.097
2025-26,1642857,Kasparas Jakučionis,1610612748,MIA,19.0,6-5,77,200,Illinois-Urbana-Champaign,Lithuania,2025,1,20,1,0.0,0.0,0.0,-66.7,0.0,0.0,0.667,0.0,0.0
2025-26,202695,Kawhi Leonard,1610612746,LAC,34.0,6-6,78,225,San Diego State,USA,2011,1,15,14,25.4,5.5,3.0,-4.4,0.021,0.163,0.301,0.614,0.157
2025-26,1630811,Keaton Wallace,1610612737,ATL,26.0,6-3,75,185,Texas-San Antonio,USA,Undrafted,Undrafted,Undrafted,23,4.3,1.5,2.8,-6.3,0.003,0.098,0.141,0.53,0.285
2025-26,1631099,Keegan Murray,1610612758,SAC,25.0,6-8,80,225,Iowa,USA,2022,1,4,8,16.4,7.1,1.6,-5.2,0.042,0.138,0.178,0.531,0.06
2025-26,1642276,Kel'el Ware,1610612748,MIA,21.0,7-0,84,230,Indiana,USA,2024,1,15,24,11.6,10.3,0.6,-1.3,0.119,0.238,0.166,0.624,0.032
2025-26,1629640,Keldon Johnson,1610612759,SAS,26.0,6-6,78,220,Kentucky,USA,2019,1,29,22,13.0,6.5,1.8,2.6,0.077,0.179,0.183,0.652,0.108
2025-26,203482,Kelly Olynyk,1610612759,SAS,34.0,7-0,84,240,Gonzaga,Canada,2013,1,13,12,4.2,2.6,1.6,2.2,0.074,0.153,0.16,0.633,0.2
