Season,PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2024-25,1630205,Lamar Stevens,1610612763,MEM,27.0,17,10,0.381,12,24,0.5,0.5,0.381,12,24,0.5,0.0,0,0,
2024-25,1631098,Johnny Davis,1610612764,WAS,23.0,34,14,0.308,12,24,0.5,0.5,0.308,12,24,0.5,0.0,0,0,
2024-25,201587,Nicolas Batum,1610612746,LAC,36.0,78,20,0.101,11,24,0.458,0.5,0.08,9,19,0.474,0.021,2,5,0.4
2024-25,1628467,Maxi Kleber,1610612747,LAL,33.0,34,16,0.25,9,24,0.375,0.375,0.24,9,23,0.391,0.01,0,1,0.0
2024-25,1642382,Branden Carlson,1610612760,OKC,25.0,32,10,0.237,16,23,0.696,0.696,0.227,16,22,0.727,0.01,0,1,0.0
2024-25,1641723,Kobe Bufkin,1610612737,ATL,21.0,10,10,0.489,13,23,0.565,0.587,0.447,12,21,0.571,0.043,1,2,0.5
2024-25,1629629,Cam Reddish,1610612747,LAL,25.0,33,17,0.245,12,23,0.522,0.522,0.234,12,22,0.545,0.011,0,1,0.0
2024-25,1628975,Jevon Carter,1610612741,CHI,29.0,36,17,0.158,11,23,0.478,0.543,0.103,8,15,0.533,0.055,3,8,0.375
2024-25,200768,Kyle Lowry,1610612755,PHI,39.0,35,16,0.197,5,23,0.217,0.261,0.12,3,14,0.214,0.077,2,9,0.222
2024-25,202693,Markieff Morris,1610612747,LAL,35.0,15,9,0.314,8,22,0.364,0.364,0.3,8,21,0.381,0.014,0,1,0.0
2024-25,203926,Doug McDermott,1610612758,SAC,33.0,42,13,0.179,9,21,0.429,0.571,0.043,3,5,0.6,0.137,6,16,0.375
2024-25,1642278,Tyler Kolek,1610612752,NYK,24.0,41,15,0.256,6,21,0.286,0.286,0.232,6,19,0.316,0.024,0,2,0.0
