Season,PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2013-14,201973,Jonas Jerebko,1610612765,DET,27.0,64,42,0.38,33,76,0.434,0.586,0.115,10,23,0.435,0.265,23,53,0.434
2013-14,101249,John Lucas III,1610612762,UTA,31.0,42,31,0.409,30,76,0.395,0.513,0.118,12,22,0.545,0.29,18,54,0.333
2013-14,101187,Alan Anderson,1610612751,BKN,31.0,77,48,0.166,33,75,0.44,0.593,0.031,10,14,0.714,0.135,23,61,0.377
2013-14,2754,Tony Allen,1610612763,MEM,32.0,55,39,0.199,31,75,0.413,0.447,0.128,26,48,0.542,0.072,5,27,0.185
2013-14,201936,Tyreke Evans,1610612740,NOP,24.0,72,45,0.095,28,75,0.373,0.453,0.044,16,35,0.457,0.051,12,40,0.3
2013-14,201979,Nick Calathes,1610612763,MEM,25.0,71,40,0.259,30,74,0.405,0.5,0.122,16,35,0.457,0.136,14,39,0.359
2013-14,202682,Derrick Williams,1610612758,SAC,23.0,77,44,0.163,32,73,0.438,0.527,0.06,19,27,0.704,0.103,13,46,0.283
2013-14,201166,Aaron Brooks,1610612743,DEN,29.0,72,50,0.134,30,73,0.411,0.589,0.018,4,10,0.4,0.116,26,63,0.413
2013-14,203133,Robbie Hummel,1610612750,MIN,25.0,53,33,0.427,26,73,0.356,0.473,0.129,9,22,0.409,0.298,17,51,0.333
2013-14,203124,Kyle O'Quinn,1610612753,ORL,24.0,69,42,0.206,37,72,0.514,0.514,0.203,37,71,0.521,0.003,0,1,0.0
2013-14,200770,Jordan Farmar,1610612747,LAL,27.0,41,33,0.203,35,71,0.493,0.69,0.046,7,16,0.438,0.158,28,55,0.509
2013-14,203085,Austin Rivers,1610612740,NOP,21.0,69,40,0.167,33,71,0.465,0.641,0.038,8,16,0.5,0.13,25,55,0.455
2013-14,203489,Nate Wolters,1610612749,MIL,23.0,57,33,0.202,27,71,0.38,0.465,0.085,15,30,0.5,0.117,12,41,0.293
2013-14,201957,Byron Mullens,1610612755,PHI,25.0,45,30,0.461,25,71,0.352,0.5,0.039,4,6,0.667,0.422,21,65,0.323
2013-14,203187,Chris Johnson,1610612738,BOS,24.0,40,34,0.35,27,70,0.386,0.557,0.025,3,5,0.6,0.325,24,65,0.369
2013-14,202337,Luke Babbitt,1610612740,NOP,25.0,27,22,0.479,26,70,0.371,0.536,0.034,3,5,0.6,0.445,23,65,0.354
2013-14,202390,Gary Neal,1610612766,CHA,29.0,51,39,0.15,32,67,0.478,0.649,0.034,9,15,0.6,0.116,23,52,0.442
2013-14,203492,Ray McCallum,1610612758,SAC,23.0,45,26,0.242,25,67,0.373,0.478,0.119,11,33,0.333,0.123,14,34,0.412
2013-14,203113,Quincy Miller,1610612743,DEN,21.0,52,34,0.279,22,67,0.328,0.455,0.05,5,12,0.417,0.229,17,55,0.309
2013-14,201949,James Johnson,1610612763,MEM,27.0,52,35,0.233,22,67,0.328,0.448,0.042,6,12,0.5,0.192,16,55,0.291
2013-14,201950,Jrue Holiday,1610612740,NOP,24.0,34,29,0.155,35,66,0.53,0.659,0.071,18,30,0.6,0.085,17,36,0.472
2013-14,201563,Michael Beasley,1610612748,MIA,25.0,55,39,0.196,31,66,0.47,0.576,0.089,17,30,0.567,0.107,14,36,0.389
2013-14,201577,Robin Lopez,1610612757,POR,26.0,82,45,0.107,31,66,0.47,0.47,0.107,31,66,0.47,0.0,0,0,
2013-14,202344,Trevor Booker,1610612764,WAS,26.0,71,42,0.173,30,66,0.455,0.455,0.17,30,65,0.462,0.003,0,1,0.0
2013-14,2548,Dwyane Wade,1610612748,MIA,32.0,54,39,0.088,35,65,0.538,0.569,0.071,31,52,0.596,0.018,4,13,0.308
2013-14,2585,Zaza Pachulia,1610612749,MIL,30.0,52,35,0.21,33,65,0.508,0.508,0.21,33,65,0.508,0.0,0,0,
2013-14,202702,Kenneth Faried,1610612743,DEN,24.0,80,41,0.084,32,63,0.508,0.508,0.082,32,62,0.516,0.001,0,1,0.0
2013-14,202333,Xavier Henry,1610612747,LAL,23.0,43,29,0.197,27,62,0.435,0.548,0.083,13,26,0.5,0.114,14,36,0.389
2013-14,201941,Jordan Hill,1610612747,LAL,26.0,72,29,0.124,26,61,0.426,0.426,0.122,26,60,0.433,0.002,0,1,0.0
2013-14,203144,Alexey Shved,1610612750,MIN,25.0,63,34,0.275,24,61,0.393,0.541,0.059,6,13,0.462,0.216,18,48,0.375
2013-14,1740,Rashard Lewis,1610612748,MIA,34.0,60,32,0.265,24,61,0.393,0.566,0.022,3,5,0.6,0.243,21,56,0.375
2013-14,202720,Jon Leuer,1610612763,MEM,25.0,49,32,0.261,27,59,0.458,0.593,0.111,11,25,0.44,0.15,16,34,0.471
2013-14,1882,Elton Brand,1610612737,ATL,35.0,72,33,0.184,32,58,0.552,0.552,0.184,32,58,0.552,0.0,0,0,
2013-14,101138,Brandon Bass,1610612738,BOS,29.0,82,36,0.086,31,58,0.534,0.534,0.081,31,55,0.564,0.004,0,3,0.0
2013-14,2566,Travis Outlaw,1610612758,SAC,29.0,63,33,0.185,26,58,0.448,0.603,0.051,8,16,0.5,0.134,18,42,0.429
2013-14,202328,Greg Monroe,1610612765,DET,24.0,82,41,0.064,26,58,0.448,0.448,0.064,26,58,0.448,0.0,0,0,
2013-14,203461,Anthony Bennett,1610612739,CLE,21.0,52,31,0.276,18,58,0.31,0.397,0.1,8,21,0.381,0.176,10,37,0.27
2013-14,202324,Derrick Favors,1610612762,UTA,22.0,73,38,0.084,20,57,0.351,0.351,0.084,20,57,0.351,0.0,0,0,
2013-14,201581,JJ Hickson,1610612743,DEN,25.0,69,39,0.095,22,56,0.393,0.393,0.088,22,52,0.423,0.007,0,4,0.0
2013-14,2555,Nick Collison,1610612760,OKC,33.0,81,41,0.259,19,56,0.339,0.375,0.185,15,40,0.375,0.074,4,16,0.25
2013-14,203117,Doron Lamb,1610612753,ORL,22.0,53,30,0.357,25,55,0.455,0.636,0.052,5,8,0.625,0.305,20,47,0.426
2013-14,202685,Jonas Valanciunas,1610612761,TOR,22.0,80,39,0.091,24,55,0.436,0.436,0.091,24,55,0.436,0.0,0,0,
2013-14,201962,Toney Douglas,1610612748,MIA,28.0,51,27,0.311,18,55,0.327,0.445,0.045,5,8,0.625,0.266,13,47,0.277
2013-14,202690,Jimmer Fredette,1610612741,CHI,25.0,49,28,0.249,31,54,0.574,0.769,0.069,10,15,0.667,0.18,21,39,0.538
2013-14,202684,Tristan Thompson,1610612739,CLE,23.0,82,34,0.082,29,54,0.537,0.537,0.082,29,54,0.537,0.0,0,0,
2013-14,202709,Cory Joseph,1610612759,SAS,22.0,68,34,0.219,26,54,0.481,0.593,0.101,14,25,0.56,0.117,12,29,0.414
2013-14,201576,Anthony Randolph,1610612743,DEN,24.0,43,26,0.329,21,54,0.389,0.491,0.091,10,15,0.667,0.238,11,39,0.282
2013-14,2734,Devin Harris,1610612742,DAL,31.0,40,25,0.223,22,53,0.415,0.585,0.029,4,7,0.571,0.193,18,46,0.391
2013-14,203080,Thomas Robinson,1610612757,POR,23.0,70,36,0.202,21,53,0.396,0.396,0.198,21,52,0.404,0.004,0,1,0.0
2013-14,200779,Steve Novak,1610612761,TOR,31.0,54,30,0.363,21,53,0.396,0.585,0.007,1,1,1.0,0.356,20,52,0.385
2013-14,200765,Rajon Rondo,1610612738,BOS,28.0,30,23,0.161,22,52,0.423,0.529,0.056,11,18,0.611,0.105,11,34,0.324
2013-14,202379,Jeremy Evans,1610612762,UTA,26.0,66,35,0.165,24,51,0.471,0.471,0.165,24,51,0.471,0.0,0,0,
2013-14,203493,Reggie Bullock Jr.,1610612746,LAC,23.0,43,25,0.429,16,51,0.314,0.451,0.059,2,7,0.286,0.37,14,44,0.318
2013-14,2222,Gerald Wallace,1610612738,BOS,31.0,58,30,0.235,23,50,0.46,0.59,0.056,10,12,0.833,0.178,13,38,0.342
2013-14,2400,Drew Gooden,1610612764,WAS,32.0,21,19,0.383,26,49,0.531,0.592,0.289,20,37,0.541,0.094,6,12,0.5
2013-14,2757,Beno Udrih,1610612763,MEM,31.0,41,25,0.287,19,49,0.388,0.52,0.117,6,20,0.3,0.17,13,29,0.448
2013-14,201574,Jason Thompson,1610612758,SAC,27.0,81,41,0.106,23,48,0.479,0.479,0.106,23,48,0.479,0.0,0,0,
2013-14,201604,Chris Douglas-Roberts,1610612766,CHA,27.0,48,24,0.203,23,48,0.479,0.698,0.013,2,3,0.667,0.191,21,45,0.467
2013-14,203543,Vitor Faverani,1610612738,BOS,26.0,37,24,0.359,17,47,0.362,0.479,0.092,6,12,0.5,0.267,11,35,0.314
2013-14,203092,Tyler Zeller,1610612739,CLE,24.0,70,29,0.173,27,45,0.6,0.6,0.173,27,45,0.6,0.0,0,0,
2013-14,1891,Jason Terry,1610612751,BKN,36.0,34,22,0.324,18,45,0.4,0.567,0.05,3,7,0.429,0.273,15,38,0.395
2013-14,201585,Kosta Koufos,1610612763,MEM,25.0,80,33,0.104,21,44,0.477,0.477,0.104,21,44,0.477,0.0,0,0,
2013-14,203121,Darius Miller,1610612740,NOP,24.0,45,21,0.275,20,44,0.455,0.602,0.069,7,11,0.636,0.206,13,33,0.394
2013-14,203103,Perry Jones III,1610612760,OKC,22.0,62,28,0.254,17,44,0.386,0.534,0.064,4,11,0.364,0.191,13,33,0.394
2013-14,202087,Alonzo Gee,1610612739,CLE,27.0,65,27,0.199,16,44,0.364,0.477,0.068,6,15,0.4,0.131,10,29,0.345
2013-14,201601,Luc Mbah a Moute,1610612750,MIN,27.0,64,27,0.249,17,42,0.405,0.44,0.172,14,29,0.483,0.077,3,13,0.231
2013-14,202389,Timofey Mozgov,1610612743,DEN,27.0,82,30,0.085,16,42,0.381,0.417,0.049,13,24,0.542,0.036,3,18,0.167
2013-14,203156,Henry Sims,1610612755,PHI,24.0,46,26,0.162,20,41,0.488,0.488,0.162,20,41,0.488,0.0,0,0,
2013-14,203135,Robert Sacre,1610612747,LAL,25.0,65,32,0.151,18,41,0.439,0.439,0.151,18,41,0.439,0.0,0,0,
2013-14,1897,Metta World Peace,1610612752,NYK,34.0,29,20,0.311,16,41,0.39,0.537,0.061,4,8,0.5,0.25,12,33,0.364
2013-14,201599,DeAndre Jordan,1610612746,LAC,25.0,82,34,0.083,37,40,0.925,0.925,0.083,37,40,0.925,0.0,0,0,
2013-14,203083,Andre Drummond,1610612765,DET,20.0,81,31,0.054,33,39,0.846,0.846,0.054,33,39,0.846,0.0,0,0,
2013-14,2199,Tyson Chandler,1610612752,NYK,31.0,55,23,0.129,28,39,0.718,0.718,0.129,28,39,0.718,0.0,0,0,
