Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
2025-26,1630230,Naji Marshall,1610612742,DAL,27.0,25,27.5,3.28,1.8,1.48,1.8,0.0,0.32,0.72,0.2,0.44,0.64,0.313,0.688,0.08,0.52,0.6,0.6,0.32,0.133,0.867,1.0,0.533
2025-26,1629675,Naz Reid,1610612750,MIN,26.0,23,25.7,5.43,3.3,2.13,1.74,0.13,0.61,1.57,0.17,0.22,0.39,0.444,0.556,0.13,0.91,1.04,1.0,0.52,0.125,0.875,0.958,0.5
2025-26,1629674,Neemias Queta,1610612738,BOS,26.0,22,24.2,7.27,5.86,1.41,1.55,0.0,4.0,9.77,0.18,0.18,0.36,0.5,0.5,0.68,1.82,2.5,2.5,1.32,0.273,0.727,1.0,0.527
2025-26,1629651,Nic Claxton,1610612751,BKN,26.0,23,30.2,7.52,5.13,2.39,1.65,0.0,4.09,10.13,0.26,0.22,0.48,0.545,0.455,0.91,1.04,1.96,1.96,1.61,0.467,0.533,1.0,0.822
2025-26,1630208,Nick Richards,1610612756,PHX,28.0,22,9.8,2.59,1.91,0.68,0.45,0.0,1.09,2.82,0.05,0.05,0.09,0.5,0.5,0.23,0.41,0.64,0.64,0.55,0.357,0.643,1.0,0.857
2025-26,1641733,Nick Smith Jr.,1610612747,LAL,21.0,9,14.8,2.0,0.89,1.11,0.56,0.0,0.33,0.67,0.11,0.33,0.44,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1629638,Nickeil Alexander-Walker,1610612737,ATL,27.0,23,32.7,3.35,2.39,0.96,2.96,0.09,0.57,1.17,0.52,0.43,0.96,0.545,0.455,0.04,0.61,0.65,0.65,0.22,0.067,0.933,1.0,0.333
2025-26,201587,Nicolas Batum,1610612746,LAC,36.0,23,19.9,3.65,2.13,1.52,1.3,0.0,0.13,0.26,0.17,0.39,0.57,0.308,0.692,0.04,0.17,0.22,0.22,0.13,0.2,0.8,1.0,0.6
2025-26,1628502,Nigel Hayes-Davis,1610612756,PHX,30.0,13,10.8,1.15,0.92,0.23,1.31,0.0,0.38,1.08,0.23,0.15,0.38,0.6,0.4,0.0,0.08,0.08,0.08,0.08,0.0,1.0,1.0,1.0
2025-26,203999,Nikola Jokić,1610612743,DEN,30.0,23,34.9,5.83,3.87,1.96,2.91,0.0,3.91,9.0,0.52,0.35,0.87,0.6,0.4,0.74,1.65,2.39,2.39,1.87,0.309,0.691,1.0,0.782
2025-26,1631107,Nikola Jović,1610612748,MIA,22.0,17,20.3,4.94,2.88,2.06,1.24,0.0,0.29,0.71,0.18,0.06,0.24,0.75,0.25,0.12,0.47,0.59,0.59,0.35,0.2,0.8,1.0,0.6
2025-26,202696,Nikola Vučević,1610612741,CHI,35.0,22,30.4,9.09,5.73,3.36,2.09,0.0,2.45,5.09,0.18,0.18,0.36,0.5,0.5,0.77,1.5,2.27,2.18,1.68,0.34,0.66,0.96,0.74
2025-26,1642363,Nique Clifford,1610612758,SAC,23.0,19,16.3,3.37,2.05,1.32,1.16,0.21,0.21,0.58,0.05,0.16,0.21,0.25,0.75,0.05,0.11,0.16,0.16,0.05,0.333,0.667,1.0,0.333
2025-26,1642855,Noa Essengue,1610612741,CHI,18.0,1,3.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
2025-26,1641730,Noah Clowney,1610612751,BKN,21.0,23,28.1,5.83,3.78,2.04,1.57,0.04,0.26,0.57,0.13,0.26,0.39,0.333,0.667,0.0,0.61,0.61,0.61,0.22,0.0,1.0,1.0,0.357
2025-26,1642869,Noah Penda,1610612753,ORL,20.0,11,10.0,2.73,2.09,0.64,0.82,0.0,0.36,0.82,0.0,0.45,0.45,0.0,1.0,0.36,0.18,0.55,0.55,0.45,0.667,0.333,1.0,0.833
2025-26,1642849,Nolan Traore,1610612751,BKN,19.0,4,8.8,1.5,1.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0
2025-26,1626181,Norman Powell,1610612748,MIA,32.0,19,30.5,2.95,1.42,1.53,2.53,0.0,0.0,0.0,0.16,0.26,0.42,0.375,0.625,0.0,0.53,0.53,0.53,0.42,0.0,1.0,1.0,0.8
2025-26,1628384,OG Anunoby,1610612752,NYK,28.0,14,30.3,5.36,2.79,2.57,3.0,0.21,0.21,0.5,0.43,0.57,1.0,0.429,0.571,0.07,1.07,1.14,1.14,0.57,0.063,0.938,1.0,0.5
