Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2025-26,1626172,Kevon Looney,1610612740,NOP,F,29.0,12,9,0.415,0.92,2.83,0.324,0.365,-0.041
2025-26,1641738,Kobe Brown,1610612746,LAC,F,25.0,18,16,0.515,1.39,2.83,0.49,0.367,0.123
2025-26,1642874,Danny Wolf,1610612751,BKN,F,21.0,11,10,0.388,0.82,2.82,0.29,0.369,-0.079
2025-26,1627741,Buddy Hield,1610612744,GSW,G,33.0,28,28,0.335,1.07,2.82,0.38,0.365,0.015
2025-26,1642461,Spencer Jones,1610612743,DEN,F,24.0,21,20,0.413,0.95,2.81,0.339,0.338,0.001
2025-26,1641842,Ronald Holland II,1610612765,DET,F,20.0,28,26,0.363,1.0,2.79,0.359,0.365,-0.006
2025-26,1642879,Ben Saraf,1610612751,BKN,G,19.0,12,10,0.398,0.92,2.75,0.333,0.378,-0.045
2025-26,1641854,Craig Porter Jr.,1610612739,CLE,G,25.0,24,23,0.351,0.79,2.75,0.288,0.357,-0.069
2025-26,1630679,Ethan Thompson,1610612754,IND,G,26.0,8,8,0.4,0.88,2.75,0.318,0.346,-0.028
2025-26,1629750,Javonte Green,1610612765,DET,G,32.0,27,24,0.372,1.0,2.74,0.365,0.383,-0.019
2025-26,1630214,Xavier Tillman,1610612738,BOS,F,26.0,11,7,0.484,0.91,2.73,0.333,0.359,-0.026
2025-26,1630557,Corey Kispert,1610612764,WAS,F,26.0,17,16,0.362,0.82,2.71,0.304,0.358,-0.054
2025-26,1629640,Keldon Johnson,1610612759,SAS,F-G,26.0,27,25,0.351,0.89,2.7,0.329,0.357,-0.028
2025-26,1630172,Patrick Williams,1610612741,CHI,F,24.0,26,22,0.355,1.38,2.69,0.514,0.349,0.165
2025-26,203903,Jordan Clarkson,1610612752,NYK,G,33.0,27,27,0.356,1.15,2.67,0.431,0.346,0.085
2025-26,1642844,Dylan Harper,1610612759,SAS,G,19.0,17,17,0.409,1.06,2.65,0.4,0.355,0.045
2025-26,203484,Kentavious Caldwell-Pope,1610612763,MEM,G,32.0,28,28,0.42,1.18,2.64,0.446,0.355,0.091
2025-26,1629111,Jock Landale,1610612763,MEM,C,30.0,28,24,0.294,0.96,2.64,0.365,0.358,0.007
2025-26,1642364,Jamir Watkins,1610612764,WAS,F,24.0,8,7,0.368,0.88,2.63,0.333,0.345,-0.012
