Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
2025-26,1641710,Anthony Black,1610612753,ORL,25,15,10,28.2,28.2,10603.1,2.0,1.0,1.0,4.44,4.53,4.35
2025-26,203076,Anthony Davis,1610612742,DAL,10,5,5,29.3,29.3,9294.7,1.8,0.9,0.8,3.8,3.87,3.72
2025-26,1630162,Anthony Edwards,1610612750,MIN,20,13,7,34.4,34.4,11715.6,2.2,1.2,1.0,4.07,4.41,3.72
2025-26,1630264,Anthony Gill,1610612764,WAS,9,0,9,3.6,3.6,1396.4,0.3,0.1,0.1,4.49,4.93,4.13
2025-26,1641810,Antonio Reeves,1610612766,CHA,6,1,5,8.8,8.8,3237.3,0.6,0.3,0.3,4.37,4.47,4.26
2025-26,1630574,Ariel Hukporti,1610612752,NYK,16,12,4,7.9,7.9,3039.5,0.6,0.3,0.3,4.59,4.59,4.58
2025-26,1642854,Asa Newell,1610612737,ATL,15,11,4,8.5,8.5,3394.7,0.6,0.3,0.3,4.7,5.15,4.38
2025-26,1641709,Ausar Thompson,1610612765,DET,19,14,5,27.8,27.8,10450.9,2.0,1.0,1.0,4.42,4.53,4.31
2025-26,1630559,Austin Reaves,1610612747,LAL,21,15,6,36.9,36.9,12608.8,2.4,1.3,1.1,4.05,4.46,3.63
2025-26,1630245,Ayo Dosunmu,1610612741,CHI,20,8,12,27.8,27.8,10537.4,2.0,1.1,0.9,4.52,4.93,4.13
2025-26,1628389,Bam Adebayo,1610612748,MIA,17,9,8,30.8,30.8,11092.8,2.1,1.1,1.0,4.31,4.9,3.84
2025-26,1631248,Baylor Scheierman,1610612738,BOS,21,14,7,11.9,11.9,4379.9,0.8,0.4,0.4,4.34,4.29,4.39
2025-26,1642879,Ben Saraf,1610612751,BKN,12,3,9,16.9,16.9,6490.3,1.2,0.7,0.6,4.53,4.7,4.27
2025-26,1641767,Ben Sheppard,1610612754,IND,22,4,18,24.9,24.9,10185.9,1.9,1.0,0.9,4.84,5.06,4.61
2025-26,1631097,Bennedict Mathurin,1610612754,IND,13,5,8,32.9,32.9,12267.1,2.3,1.3,1.1,4.45,4.75,4.15
2025-26,1641731,Bilal Coulibaly,1610612764,WAS,12,2,10,27.1,27.1,10347.8,2.0,1.0,1.0,4.56,4.9,4.26
2025-26,202687,Bismack Biyombo,1610612759,SAS,8,5,3,7.2,7.2,2636.5,0.5,0.3,0.2,4.33,4.4,4.25
2025-26,1631104,Blake Wesley,1610612757,POR,6,4,2,16.3,16.3,6862.3,1.3,0.7,0.6,4.91,5.29,4.57
2025-26,1626171,Bobby Portis,1610612749,MIL,25,11,14,21.9,21.9,7951.0,1.5,0.8,0.7,4.32,4.54,4.11
2025-26,1641752,Bobi Klintman,1610612765,DET,6,5,1,8.8,8.8,3632.0,0.7,0.4,0.3,4.85,5.04,4.67
2025-26,203992,Bogdan Bogdanović,1610612746,LAC,11,2,9,25.3,25.3,9084.1,1.7,0.9,0.8,4.2,4.51,3.94
2025-26,1630538,Bones Hyland,1610612750,MIN,15,10,5,9.0,9.0,3485.4,0.7,0.3,0.3,4.59,4.86,4.33
2025-26,203078,Bradley Beal,1610612746,LAC,6,2,4,20.2,20.2,7286.3,1.4,0.7,0.7,4.4,4.45,4.34
2025-26,1642382,Branden Carlson,1610612760,OKC,17,16,1,10.0,10.0,3671.0,0.7,0.4,0.3,4.35,4.56,4.14
2025-26,1641764,Brandin Podziemski,1610612744,GSW,25,13,12,27.7,27.7,10625.9,2.0,1.1,0.9,4.54,4.84,4.19
2025-26,1627742,Brandon Ingram,1610612761,TOR,26,15,11,34.1,34.1,11767.1,2.2,1.2,1.1,4.11,4.38,3.84
2025-26,1641706,Brandon Miller,1610612766,CHA,8,4,4,26.1,26.1,9755.1,1.8,1.0,0.8,4.4,4.81,3.97
2025-26,1630314,Brandon Williams,1610612742,DAL,23,8,15,21.6,21.6,8663.0,1.6,0.9,0.7,4.72,5.09,4.33
2025-26,1641729,Brice Sensabaugh,1610612762,UTA,22,7,15,15.6,15.6,5730.3,1.1,0.6,0.5,4.3,4.53,4.06
2025-26,1642355,Bronny James,1610612747,LAL,14,8,6,8.9,8.9,3256.7,0.6,0.3,0.3,4.29,4.54,4.02
2025-26,201572,Brook Lopez,1610612746,LAC,19,5,14,14.1,14.1,4752.6,0.9,0.5,0.4,3.98,4.02,3.93
2025-26,1642964,Brooks Barnhizer,1610612760,OKC,17,16,1,7.7,7.7,2997.8,0.6,0.3,0.3,4.61,4.69,4.42
2025-26,1628971,Bruce Brown,1610612743,DEN,23,17,6,23.5,23.5,8187.0,1.6,0.8,0.7,4.12,4.2,4.03
2025-26,1631121,Bryce McGowens,1610612740,NOP,15,1,14,17.4,17.4,6844.5,1.3,0.7,0.6,4.62,5.07,4.24
2025-26,1642267,Bub Carrington,1610612764,WAS,22,3,19,25.7,25.7,9831.1,1.9,1.0,0.9,4.59,4.85,4.34
2025-26,1627741,Buddy Hield,1610612744,GSW,25,13,12,18.8,18.8,7742.8,1.5,0.8,0.7,4.86,5.02,4.68
2025-26,203468,CJ McCollum,1610612764,WAS,22,3,19,30.0,30.0,11764.0,2.2,1.2,1.0,4.74,5.26,4.24
2025-26,1630595,Cade Cunningham,1610612765,DET,20,15,5,36.3,36.3,13354.1,2.5,1.4,1.1,4.36,4.95,3.77
2025-26,1631216,Caleb Houstan,1610612737,ATL,8,5,3,5.4,5.4,2070.9,0.4,0.2,0.2,4.39,4.98,4.07
2025-26,1631126,Caleb Love,1610612757,POR,16,5,11,18.0,18.0,6921.6,1.3,0.7,0.6,4.62,4.87,4.36
2025-26,1628997,Caleb Martin,1610612742,DAL,22,8,14,9.1,9.1,3609.4,0.7,0.4,0.3,4.59,4.89,4.28
2025-26,1642353,Cam Christie,1610612746,LAC,16,3,13,11.5,11.5,4497.3,0.9,0.4,0.4,4.6,4.82,4.38
2025-26,1642285,Cam Spencer,1610612763,MEM,24,11,13,21.2,21.2,8242.8,1.6,0.9,0.7,4.59,5.16,4.04
2025-26,1630560,Cam Thomas,1610612751,BKN,8,1,7,28.3,28.3,10538.5,2.0,1.1,0.9,4.44,4.65,4.2
2025-26,1641715,Cam Whitmore,1610612764,WAS,21,3,18,16.9,16.9,6140.7,1.2,0.6,0.5,4.34,4.73,4.01
2025-26,1629661,Cameron Johnson,1610612743,DEN,22,16,6,30.0,30.0,10539.4,2.0,1.1,0.9,4.2,4.45,3.94
2025-26,1627747,Caris LeVert,1610612765,DET,18,14,4,20.4,20.4,7589.6,1.4,0.8,0.7,4.37,4.67,4.06
2025-26,1642868,Carter Bryant,1610612759,SAS,18,14,4,7.9,7.9,3076.7,0.6,0.3,0.3,4.58,4.72,4.44
