Sport,Slate_Date,Lineup_Rank,Name,Adjusted_FP,Adjusted_Rating,Multiplier_Factor,Team,Opponent,Is_Home,Game_Key,Position,Salary,Base_FP,Multiplier_Bonus,Real_Rating,Multiplier_Status,Matched_Real_Name,Matched_Real_Team,Matched_Real_ID,Rotowire_Site,Rotowire_Coverage_Games,Rotowire_Selected_Slates_Count,Rotowire_Selected_Slates,Source_Slate_ID,Source_Contest_Type,Source_Slate_Start_Date,Source_Coverage_Games
golf,2026-08-16,34,Ben Griffin,26.30,143.81,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9200,26.30,0.0000,143.81,ok,Ben Griffin,,54591,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,35,Alex Noren,26.27,51.04,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8500,26.27,0.0000,51.04,ok,Alex Noren,,27349,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,36,Eric Cole,26.18,126.73,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7500,26.18,0.0000,126.73,ok,Eric Cole,,47591,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,37,Bud Cauley,26.16,85.44,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8000,23.78,0.1000,77.67,ok,Bud Cauley,,34021,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,38,Robert MacIntyre,26.12,109.06,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,10400,26.12,0.0000,109.06,ok,Robert MacIntyre,,52215,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,39,Nick Taylor,26.11,105.06,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,6800,23.74,0.1000,95.51,ok,Nick Taylor,,25493,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,40,Kurt Kitayama,26.07,104.27,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9000,26.07,0.0000,104.27,ok,Kurt Kitayama,,48117,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,41,Hideki Matsuyama,25.96,112.79,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,11600,25.96,0.0000,112.79,ok,Hideki Matsuyama,,32839,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,42,Maverick McNealy,25.89,113.01,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9000,25.89,0.0000,113.01,ok,Maverick McNealy,,46442,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,43,J.J. Spaun,25.88,126.17,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9400,25.88,0.0000,126.17,ok,J.J. Spaun,,39324,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,44,Min Woo Lee,25.68,78.60,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9600,25.68,0.0000,78.60,ok,Min Woo Lee,,37378,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
