id,Name,firstName,lastName,normalized_name
20766,Padraig Harrington,Padraig,Harrington,padraig harrington
34362,Laurie Canter,Laurie,Canter,laurie canter
30927,Brendon Todd,Brendon,Todd,brendon todd
51003,Marco Penge,Marco,Penge,marco penge
46435,Austin Cook,Austin,Cook,austin cook
25632,Jimmy Walker,Jimmy,Walker,jimmy walker
54901,Theo Humphrey,Theo,Humphrey,theo humphrey
24924,Bill Haas,Bill,Haas,bill haas
24490,George McNeill,George,McNeill,george mcneill
57625,Trent Phillips,Trent,Phillips,trent phillips
60165,Jose Luis Ballester,Jose Luis,Ballester,jose luis ballester
34360,Patrick Reed,Patrick,Reed,patrick reed
45486,Joaquin Niemann,Joaquin,Niemann,joaquin niemann
45609,Tyler Duncan,Tyler,Duncan,tyler duncan
68384,Michael La Sasso,Michael,La Sasso,michael la sasso
50992,Brett White,Brett,White,brett white
50497,Adrien Dumont de Chassart,Adrien,Dumont de Chassart,adrien dumont de chassart
46441,Robby Shelton,Robby,Shelton,robby shelton
55454,Carl Yuan,Carl,Yuan,carl yuan
48084,Wesley Bryan,Wesley,Bryan,wesley bryan
50286,A.J. Ewart,A.J.,Ewart,a j ewart
61520,Santiago de la Fuente,Santiago,de la Fuente,santiago de la fuente
65110,Brendan Valdes,Brendan,Valdes,brendan valdes
58601,Davis Shore,Davis,Shore,davis shore
30925,Dustin Johnson,Dustin,Johnson,dustin johnson
63807,Neal Shipley,Neal,Shipley,neal shipley
24980,Scott Gutschewski,Scott,Gutschewski,scott gutschewski
23983,Luke Donald,Luke,Donald,luke donald
27974,Sung Kang,Sung,Kang,sung kang
56349,Chris Korte,Chris,Korte,chris korte
54303,Charles Reiter,Charles,Reiter,charles reiter
51491,Brandon Matthews,Brandon,Matthews,brandon matthews
46464,Jordan Smith,Jordan,Smith,jordan smith
33122,Russell Knox,Russell,Knox,russell knox
58132,Kieron van Wyk,Kieron,van Wyk,kieron van wyk
28723,John Parry,John,Parry,john parry
21209,Sergio Garcia,Sergio,Garcia,sergio garcia
54185,Elvis Smylie,Elvis,Smylie,elvis smylie
49228,Keita Nakajima,Keita,Nakajima,keita nakajima
68084,Noah Kent,Noah,Kent,noah kent
30750,Tommy Gainey,Tommy,Gainey,tommy gainey
36689,Brooks Koepka,Brooks,Koepka,brooks koepka
54218,Yuta Sugiura,Yuta,Sugiura,yuta sugiura
65469,Riley Lewis,Riley,Lewis,riley lewis
57869,Ben James,Ben,James,ben james
63455,Ross Steelman,Ross,Steelman,ross steelman
64576,Nick Gabrelcik,Nick,Gabrelcik,nick gabrelcik
61148,Kota Kaneko,Kota,Kaneko,kota kaneko
1810,Phil Mickelson,Phil,Mickelson,phil mickelson
35296,Haotong Li,Haotong,Li,haotong li
35891,Cameron Smith,Cameron,Smith,cameron smith
57321,Matthew Anderson,Matthew,Anderson,matthew anderson
31109,Richard Lee,Richard,Lee,richard lee
28420,Ryan Brehm,Ryan,Brehm,ryan brehm
39262,Alvaro Ortiz,Alvaro,Ortiz,alvaro ortiz
55955,Matthew Jordan,Matthew,Jordan,matthew jordan
49120,Kensei Hirata,Kensei,Hirata,kensei hirata
59409,Ashton McCulloch,Ashton,McCulloch,ashton mcculloch
59164,James Piot,James,Piot,james piot
31560,Brian Stuard,Brian,Stuard,brian stuard
39954,Cody Gribble,Cody,Gribble,cody gribble
60511,Austin Duncan,Austin,Duncan,austin duncan
68352,Jackson Byrd,Jackson,Byrd,jackson byrd
64052,Angel Ayora,Angel,Ayora,angel ayora
67304,Nathan Franks,Nathan,Franks,nathan franks
68272,Tyler Mawhinney,Tyler,Mawhinney,tyler mawhinney
55930,Fred Biondi,Fred,Biondi,fred biondi
45836,Richard Bland,Richard,Bland,richard bland
54954,Jesse Droemer,Jesse,Droemer,jesse droemer
25444,Justin Hicks,Justin,Hicks,justin hicks
55649,Cougar Collins,Cougar,Collins,cougar collins
50188,S.H. Kim,S.H.,Kim,s h kim
33667,Carlos Ortiz,Carlos,Ortiz,carlos ortiz
55460,Sam Choi,Sam,Choi,sam choi
67198,Sebastian Moss,Sebastian,Moss,sebastian moss
32366,Kevin Chappell,Kevin,Chappell,kevin chappell
33486,Roger Sloan,Roger,Sloan,roger sloan
34697,Yi Cao,Yi,Cao,yi cao
52374,Brandon Wu,Brandon,Wu,brandon wu
52703,Matthew Scobie,Matthew,Scobie,matthew scobie
50823,Tom McKibbin,Tom,McKibbin,tom mckibbin
65955,Matthew Watkins,Matthew,Watkins,matthew watkins
34431,Robert Streb,Robert,Streb,robert streb
49575,Derek Bard,Derek,Bard,derek bard
51680,Alistair Docherty,Alistair,Docherty,alistair docherty
58186,George Duangmanee,George,Duangmanee,george duangmanee
26758,David Hearn,David,Hearn,david hearn
35314,Andy Sullivan,Andy,Sullivan,andy sullivan
