NBA_ID,Season,Player,3-Point Shot Rating
101161,2015-16,Amir Johnson,66.07493214916668
101161,2016-17,Amir Johnson,76.60864012476334
101161,2017-18,Amir Johnson,71.4415644321046
101161,2018-19,Amir Johnson,72.12499468901837
101162,2013-14,Marcin Gortat,25.0
101162,2014-15,Marcin Gortat,25.0
101162,2015-16,Marcin Gortat,25.0
101162,2016-17,Marcin Gortat,25.0
101162,2017-18,Marcin Gortat,25.0
101162,2018-19,Marcin Gortat,25.0
101179,2013-14,Ronnie Price,69.39681225943237
101179,2014-15,Ronnie Price,76.25498297630183
101179,2015-16,Ronnie Price,78.31609954965775
101179,2016-17,Ronnie Price,61.81430553110805
101181,2013-14,Jose Calderon,91.54684102382775
101181,2014-15,Jose Calderon,84.20408037176087
101181,2015-16,Jose Calderon,83.2900695556967
101181,2016-17,Jose Calderon,63.651850264547015
101181,2017-18,Jose Calderon,84.38656598321974
101181,2018-19,Jose Calderon,71.24706229036462
101183,2013-14,Shavlik Randolph,25.0
101183,2014-15,Shavlik Randolph,25.0
101187,2013-14,Alan Anderson,80.84225274950661
101187,2014-15,Alan Anderson,80.27155451553061
101187,2015-16,Alan Anderson,68.22618866718507
101187,2016-17,Alan Anderson,71.06903160173258
101198,2013-14,Will Bynum,74.71293802022684
101198,2014-15,Will Bynum,48.72597052665843
101236,2013-14,Chuck Hayes,25.0
101236,2014-15,Chuck Hayes,25.0
101236,2015-16,Chuck Hayes,25.0
101249,2013-14,John Lucas III,75.76592589463532
101249,2014-15,John Lucas III,63.757484220830634
101249,2016-17,John Lucas III,25.0
200745,2013-14,Andrea Bargnani,76.10523555415098
200745,2014-15,Andrea Bargnani,76.62459561232644
200745,2015-16,Andrea Bargnani,67.21216021882947
200746,2013-14,LaMarcus Aldridge,25.0
200746,2014-15,LaMarcus Aldridge,76.27518496064113
200746,2015-16,LaMarcus Aldridge,25.0
200746,2016-17,LaMarcus Aldridge,76.63055164363004
200746,2017-18,LaMarcus Aldridge,70.41078336072209
200746,2018-19,LaMarcus Aldridge,69.60454156987298
200746,2019-20,LaMarcus Aldridge,79.82331600726873
200746,2020-21,LaMarcus Aldridge,78.93037959860499
200746,2021-22,LaMarcus Aldridge,69.71474060355985
200748,2014-15,Tyrus Thomas,25.0
200751,2013-14,Randy Foye,89.43541397651896
200751,2014-15,Randy Foye,86.14223016377001
200751,2015-16,Randy Foye,70.64096000776534
200751,2016-17,Randy Foye,77.62272415287937
200752,2013-14,Rudy Gay,79.0743599353028
200752,2014-15,Rudy Gay,82.08585446649381
200752,2015-16,Rudy Gay,75.34444839842898
200752,2016-17,Rudy Gay,80.77772070049944
200752,2017-18,Rudy Gay,74.00609335050359
200752,2018-19,Rudy Gay,82.29455186325706
200752,2019-20,Rudy Gay,75.8053628582315
200752,2020-21,Rudy Gay,83.114996845366
200752,2021-22,Rudy Gay,78.97542711532503
200752,2022-23,Rudy Gay,66.74481508139274
200755,2013-14,JJ Redick,88.34333187188912
200755,2014-15,JJ Redick,92.63154131575348
200755,2015-16,JJ Redick,93.35008924936768
200755,2016-17,JJ Redick,93.7792123327531
200755,2017-18,JJ Redick,92.87080701277945
200755,2018-19,JJ Redick,91.88265705725786
200755,2019-20,JJ Redick,96.64427787036455
200755,2020-21,JJ Redick,84.2247760261801
200756,2013-14,Hilton Armstrong,25.0
200757,2013-14,Thabo Sefolosha,77.89210362779154
200757,2014-15,Thabo Sefolosha,75.50148994619506
200757,2015-16,Thabo Sefolosha,70.93945343218742
200757,2016-17,Thabo Sefolosha,73.31732167238097
200757,2017-18,Thabo Sefolosha,76.84148558524085
200757,2018-19,Thabo Sefolosha,80.34800825553134
200757,2019-20,Thabo Sefolosha,59.956372235939384
200758,2013-14,Ronnie Brewer,51.971648156951034
200761,2013-14,Shawne Williams,81.32013670996382
200761,2014-15,Shawne Williams,80.54999733608697
200765,2013-14,Rajon Rondo,78.05670796146455
200765,2014-15,Rajon Rondo,74.48831688700056
200765,2015-16,Rajon Rondo,77.43115235891455
200765,2016-17,Rajon Rondo,77.29126385146579
200765,2017-18,Rajon Rondo,73.00003805153595
200765,2018-19,Rajon Rondo,79.61197320368571
200765,2019-20,Rajon Rondo,76.661913470764
200765,2020-21,Rajon Rondo,83.12547096444781
200765,2021-22,Rajon Rondo,77.95261619976232
200768,2013-14,Kyle Lowry,90.13839176517669
200768,2014-15,Kyle Lowry,85.74465709836818
200768,2015-16,Kyle Lowry,91.03865985575779
200768,2016-17,Kyle Lowry,95.0007764919604
200768,2017-18,Kyle Lowry,95.29669696138345
200768,2018-19,Kyle Lowry,82.1016129655239
200768,2019-20,Kyle Lowry,84.64291006153204
200768,2020-21,Kyle Lowry,90.15984179538454
200768,2021-22,Kyle Lowry,87.63944426341476
200768,2022-23,Kyle Lowry,81.6257709484581
200768,2023-24,Kyle Lowry,85.46588657568033
200768,2024-25,Kyle Lowry,78.22240618156438
