NBA_ID,Season,Player,Post Hook Rating
101133,2014-15,Ian Mahinmi,86.20991841064274
101133,2015-16,Ian Mahinmi,83.62801340657526
101133,2016-17,Ian Mahinmi,80.34050409393708
101133,2017-18,Ian Mahinmi,71.94123553373272
101133,2018-19,Ian Mahinmi,72.04812838785364
101133,2019-20,Ian Mahinmi,72.65320532666328
101135,2013-14,David Lee,98.1849883466194
101135,2014-15,David Lee,81.86924847377458
101135,2015-16,David Lee,76.0140218174326
101135,2016-17,David Lee,69.95107177088326
101138,2013-14,Brandon Bass,71.73013672668922
101138,2014-15,Brandon Bass,67.2119722768395
101138,2015-16,Brandon Bass,61.45556791542248
101138,2016-17,Brandon Bass,54.03065535312662
101139,2013-14,CJ Miles,70.82486724594266
101139,2014-15,CJ Miles,34.931344357611096
101139,2015-16,CJ Miles,62.35337990426381
101139,2016-17,CJ Miles,67.71852762140603
101139,2017-18,CJ Miles,42.327484488054466
101139,2018-19,CJ Miles,56.26289822683537
101139,2019-20,CJ Miles,27.996582504730032
101139,2021-22,CJ Miles,27.99013516552826
101141,2013-14,Ersan Ilyasova,65.53209727685797
101141,2014-15,Ersan Ilyasova,73.0493512286929
101141,2015-16,Ersan Ilyasova,55.69290300798626
101141,2016-17,Ersan Ilyasova,39.67529369335861
101141,2017-18,Ersan Ilyasova,65.5966719094287
101141,2018-19,Ersan Ilyasova,54.32634670642425
101141,2019-20,Ersan Ilyasova,44.76410372179227
101141,2020-21,Ersan Ilyasova,27.99605130885869
101142,2013-14,Ronny Turiaf,73.28121531478646
101142,2014-15,Ronny Turiaf,26.0
101145,2013-14,Monta Ellis,64.51401224736085
101145,2014-15,Monta Ellis,55.56063003237435
101145,2015-16,Monta Ellis,40.602807383659595
101145,2016-17,Monta Ellis,47.40562293557535
101150,2013-14,Lou Williams,43.88975310851897
101150,2014-15,Lou Williams,43.88975310851897
101150,2015-16,Lou Williams,46.19136882559161
101150,2016-17,Lou Williams,44.754973817983334
101150,2017-18,Lou Williams,61.526388150010085
101150,2018-19,Lou Williams,71.04275995421332
101150,2019-20,Lou Williams,35.0
101150,2020-21,Lou Williams,71.09410206041262
101150,2021-22,Lou Williams,44.754973817983334
101154,2013-14,Andray Blatche,71.7749363178441
101155,2013-14,Ryan Gomes,27.33762134302476
101161,2013-14,Amir Johnson,95.15069509666515
101161,2014-15,Amir Johnson,94.93737934838565
101161,2015-16,Amir Johnson,90.61647422736922
101161,2016-17,Amir Johnson,78.41979203508757
101161,2017-18,Amir Johnson,73.37475679089403
101161,2018-19,Amir Johnson,71.16507196533875
101162,2013-14,Marcin Gortat,98.37158961170223
101162,2014-15,Marcin Gortat,95.60523707008755
101162,2015-16,Marcin Gortat,93.50461476725043
101162,2016-17,Marcin Gortat,97.04547468022854
101162,2017-18,Marcin Gortat,87.49792356963255
101162,2018-19,Marcin Gortat,68.07537474087519
101179,2013-14,Ronnie Price,43.69358722475859
101179,2014-15,Ronnie Price,43.69358722475859
101179,2015-16,Ronnie Price,44.858841102778655
101179,2016-17,Ronnie Price,27.99550389326609
101181,2013-14,Jose Calderon,43.69358722475859
101181,2014-15,Jose Calderon,43.88975310851897
101181,2015-16,Jose Calderon,44.754973817983334
101181,2016-17,Jose Calderon,28.003700034732553
101181,2017-18,Jose Calderon,71.16165746330645
101181,2018-19,Jose Calderon,44.754973817983334
101183,2013-14,Shavlik Randolph,25.3404450280007
101183,2014-15,Shavlik Randolph,25.354689532129658
101187,2013-14,Alan Anderson,55.27033566295793
101187,2014-15,Alan Anderson,44.44808082212492
101187,2015-16,Alan Anderson,28.72238035874288
101187,2016-17,Alan Anderson,41.00638255664359
101198,2013-14,Will Bynum,34.72221714612877
101198,2014-15,Will Bynum,26.0
101236,2013-14,Chuck Hayes,68.33902747951072
101236,2014-15,Chuck Hayes,47.31093647234299
101236,2015-16,Chuck Hayes,27.99101914033706
101249,2013-14,John Lucas III,70.81115714624791
101249,2014-15,John Lucas III,26.0
101249,2016-17,John Lucas III,27.99047983460508
200745,2013-14,Andrea Bargnani,72.43479223270964
200745,2014-15,Andrea Bargnani,69.0107766132067
200745,2015-16,Andrea Bargnani,51.436650065021304
200746,2013-14,LaMarcus Aldridge,88.59533294096454
200746,2014-15,LaMarcus Aldridge,92.98493020252326
200746,2015-16,LaMarcus Aldridge,95.89958446645038
200746,2016-17,LaMarcus Aldridge,94.83361153109378
200746,2017-18,LaMarcus Aldridge,98.72643577018425
200746,2018-19,LaMarcus Aldridge,99.72167991623193
200746,2019-20,LaMarcus Aldridge,89.95381492313574
200746,2020-21,LaMarcus Aldridge,78.35747912747964
200746,2021-22,LaMarcus Aldridge,83.91009117957297
200748,2014-15,Tyrus Thomas,26.0
200751,2013-14,Randy Foye,70.75215492909173
200751,2014-15,Randy Foye,34.791926216622876
200751,2015-16,Randy Foye,38.50639378348673
200751,2016-17,Randy Foye,71.11961912272321
200752,2013-14,Rudy Gay,71.39423373177893
200752,2014-15,Rudy Gay,83.34395252264154
200752,2015-16,Rudy Gay,78.07928888601029
200752,2016-17,Rudy Gay,86.66323406386236
200752,2017-18,Rudy Gay,76.91765148522232
200752,2018-19,Rudy Gay,69.85780848287698
200752,2019-20,Rudy Gay,47.92621311143103
200752,2020-21,Rudy Gay,74.08775607041254
200752,2021-22,Rudy Gay,67.04773081931353
200752,2022-23,Rudy Gay,43.7359483693616
200755,2013-14,JJ Redick,43.88975310851897
200755,2014-15,JJ Redick,43.69358722475859
200755,2015-16,JJ Redick,55.922922489153606
200755,2016-17,JJ Redick,35.06538862792012
200755,2017-18,JJ Redick,44.754973817983334
200755,2018-19,JJ Redick,44.754973817983334
200755,2019-20,JJ Redick,44.754973817983334
200755,2020-21,JJ Redick,35.0
200756,2013-14,Hilton Armstrong,27.33762134302476
200757,2013-14,Thabo Sefolosha,65.32914621606916
200757,2014-15,Thabo Sefolosha,56.2070343794922
200757,2015-16,Thabo Sefolosha,60.857002837144925
200757,2016-17,Thabo Sefolosha,55.06019225589048
200757,2017-18,Thabo Sefolosha,48.754876277303424
200757,2018-19,Thabo Sefolosha,56.67294318687101
200757,2019-20,Thabo Sefolosha,25.440236091821124
200758,2013-14,Ronnie Brewer,26.0
200761,2013-14,Shawne Williams,34.72221714612877
200761,2014-15,Shawne Williams,55.7848659456254
200765,2013-14,Rajon Rondo,53.82397103395957
200765,2014-15,Rajon Rondo,64.89582635350098
200765,2015-16,Rajon Rondo,65.15914659532976
200765,2016-17,Rajon Rondo,58.786543620702545
