NBA_ID,Season,Player,SHOT_TENDENCY,TOUCHES_TENDENCY,SHOT_CLOSE_TENDENCY,SHOT_UNDER_BASKET_TENDENCY,SHOT_MID-RANGE_TENDENCY,SHOT_THREE_TENDENCY,DRIVING_LAYUP_TENDENCY,STANDING_DUNK_TENDENCY,DRIVING_DUNK_TENDENCY,PUTBACK_TENDENCY,CRASH_TENDENCY,DRIVE_TENDENCY,POST_UP_TENDENCY,SHOOT_FROM_POST_TENDENCY,ROLL_VS._POP_TENDENCY,PASS_INTERCEPTION_TENDENCY,TAKE_CHARGE_TENDENCY,ON-BALL_STEAL_TENDENCY,CONTEST_SHOT_TENDENCY,BLOCK_SHOT_TENDENCY,FOUL_TENDENCY
203102,2013-14,Arnett Moultrie,0.19444122336570516,0.17780113059863747,0.22093090488580513,0.3485255854293148,0.7550592656837236,0.17927235831279895,0.17912860664056834,0.42354730757529657,0.3099739809193408,0.3225509583206571,0.6888039964736997,0.19308394954327968,0.49639802869981153,0.6172633715031164,0.9918328996819891,0.30521827117664063,0.3333,0.49954341208870845,0.3333,0.7118422959849253,0.7831569792723583
203103,2013-14,Perry Jones,0.2805334106392231,0.2467459052036527,0.3476149176062445,0.3428592078635444,0.3915293437409656,0.368147557617046,0.358974916630419,0.9173258290234256,0.6559699335067939,0.36381198661393366,0.41669115486335584,0.32573582717123384,0.6539353529497028,0.7111175532685896,0.4545677941601619,0.30521827117664063,0.3333,0.24943470068125814,0.3333,0.6884331062472822,0.4899043339614436
203103,2014-15,Perry Jones,0.41938686766197997,0.3797144513697637,0.7982075744434808,0.31078346342873664,0.37705984388551606,0.4077692419191187,0.4784833985790924,0.9431092181320353,0.3099739809193408,0.23167021600243382,0.19494563620334998,0.4439248948818326,0.7840266705319612,0.829395564574576,0.6200491471523562,0.30521827117664063,0.3333,0.7188723003333817,0.3333,0.420097115523989,0.4686476300913176
203104,2013-14,Marquis Teague,0.38894767357588056,0.5301492969995651,0.6396357328707719,0.7010696733159872,0.4152067071407921,0.2944847079286853,0.5671306365086269,,0.3099739809193408,,0.1618792242139289,0.6378135421197623,0.29920278301203074,0.3433396144368749,0.9625614339404452,0.30521827117664063,0.3333,0.39721698796927085,0.3333,0.45677634439773873,0.7681548050442093
203104,2017-18,Marquis Teague,0.22777214088998404,0.22741701695897953,0.32135732870771894,0.2805290546400694,0.7948829141370338,0.31122626467604,0.6948673336233144,0.2444478247642227,0.3099739809193408,0.23167021600243382,0.23469732588892153,0.8242714223575468,0.29920278301203074,0.3433396144368749,0.7864989881468633,0.7382191384793293,0.33430036999663637,0.6386432816350196,0.7737975109317188,0.18439628931729235,0.33877373532395993
203105,2014-15,Festus Ezeli,0.35429772430787065,0.5066676329902885,0.872217403873952,0.8453310205261636,0.2186036426712923,0.17927235831279895,0.17912860664056834,0.8198205050197749,0.5325238508239376,0.7989047763918466,0.7875404055245372,0.1657314774539655,0.8594723873025076,0.8705609508624438,0.9918328996819891,0.30521827117664063,0.3333,0.23893317872155384,0.3333,0.9424554283229454,0.9423829540513118
203105,2015-16,Festus Ezeli,0.40066676329902884,0.5379040440643571,0.8687481931193987,0.938710610002891,0.16831454177507948,0.17927235831279895,0.17912860664056834,0.8967143291755401,0.9478895634576467,0.75,0.9006024096385542,0.19308394954327968,0.9120887085084795,0.8971590085519641,0.821335646140503,0.2334778837814397,0.33430036999663637,0.4025438469343383,0.21910528086108305,0.9432526453109147,0.8333091752427888
203106,2013-14,Jeffery Taylor,0.6408175097840266,0.5918973764313669,0.3232292570106967,0.7639491182422665,0.5529777392309916,0.44749239020147846,0.6172248803827751,0.8878156373592941,0.7346053772766695,0.3489580164283541,0.46924772259770786,0.6184573002754821,0.49639802869981153,0.3433396144368749,0.4480919340849956,0.30521827117664063,0.3333,0.27464849978257716,0.3333,0.3399405710972605,0.7026380634874619
203106,2014-15,Jeffery Taylor,0.37844615161617623,0.43115668937527174,0.3629950852847644,0.4538594969644406,0.43068806013298644,0.3862081461081316,0.5926489778164419,0.6769850927897779,0.5325238508239376,0.3489580164283541,0.46924772259770786,0.5771349862258953,0.29920278301203074,0.3433396144368749,0.49514310494362535,0.30521827117664063,0.3333,0.6579214378895493,0.3333,0.22584432526453108,0.567763443977388
203107,2016-17,Tomas Satoransky,0.2153935352949703,0.2309682562690245,0.5196588609424689,0.32171147730557964,0.35024573576178086,0.30767502536599506,0.534942728722633,0.3683373897170672,0.5325238508239376,0.3489580164283541,0.46924772259770786,0.5656082354646947,0.49639802869981153,0.6172633715031164,0.5549291702804279,0.8022549869904597,0.7257820383451059,0.7959849253515002,0.4310713084426505,0.35181185679083926,0.5125380489926076
