NBA_ID,Season,Player,RotationRole,MIN,Post Hook,Post Hook Aggregate Z,Post Hook Rating,MissingMetricCount,MissingMetrics,Hook_Shot_FGM Raw,Hook_Shot_FGM Z,Hook_Shot_FGM MatchedBy,Hook_Shot_PG Raw,Hook_Shot_PG Z,Hook_Shot_PG MatchedBy,Hook_Shot_FG% Raw,Hook_Shot_FG% Z,Hook_Shot_FG% MatchedBy,Post Up Shot Making Raw,Post Up Shot Making Z,Post Up Shot Making MatchedBy,Post Up Impact Per 75 Possessions Raw,Post Up Impact Per 75 Possessions Z,Post Up Impact Per 75 Possessions MatchedBy,POST_TOUCHES Raw,POST_TOUCHES Z,POST_TOUCHES MatchedBy,Post Up Shot Making Efficiency Raw,Post Up Shot Making Efficiency Z,Post Up Shot Making Efficiency MatchedBy,Stable Post Up PPP Raw,Stable Post Up PPP Z,Stable Post Up PPP MatchedBy
1737,2013-14,Nazr Mohammed,Garbage Time,560.0,-1.240731006901649,-1.1717231469200826,29.49174852686919,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,3.0,-1.2112567314265443,season+player,0.0375,-1.2965489116595283,season+player,0.375,-1.2111373948566218,season+player,,,,,,,0.3,-1.2504809551884075,season+player,,,,,,
1737,2014-15,Nazr Mohammed,Garbage Time,128.79999999999998,-1.7330552244845787,-1.8044085374284415,25.354689532129658,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-1.4049600609707085,season+player,0.0,-1.470051465090468,season+player,0.0,-2.4850122371579504,season+player,,,,,,,0.3,-1.2504809551884075,season+player,,,,,,
1737,2015-16,Nazr Mohammed,Too Few Games,19.5,-0.920651918317197,-0.7603898102241237,32.92130127701651,1,Hook_Shot_FG%,0.0,-1.4049600609707085,season+player,0.0,-1.470051465090468,season+player,,,season+player,0.02,0.0003519337347520558,season+player,0.0,0.0006922555214619146,season+player,0.4,-1.1854216971004095,season+player,-0.3,0.003623945304553813,season+player,0.87,-1.1490561284963914,season+player
1740,2013-14,Rashard Lewis,Rotation,972.0,-0.16643372196270506,0.2088552869026953,56.35655231287459,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,4.0,-0.14668895491182313,season+player,0.06666666666666667,-0.16160248121324183,season+player,0.36363636363636365,-0.2497396628051469,season+player,,,,,,,0.7,0.00975607716358485,season+player,,,,,,
1882,2013-14,Elton Brand,Rotation,1416.1999999999998,-0.6419722631613816,-0.40225884661924644,37.553120904473495,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,0.0,-1.4850122371579506,season+player,,,,,,,1.7,0.6603486580435659,season+player,,,,,,
1882,2014-15,Elton Brand,Rotation,486.0,-0.7265492986757791,-0.5109487156758145,35.00296441558854,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,0.0,-1.4850122371579506,season+player,,,,,,,0.4,-0.18542169710040943,season+player,,,,,,
1882,2015-16,Elton Brand,Garbage Time,224.39999999999998,-1.2748198635649772,-1.2155307046630415,29.12649651169967,1,Hook_Shot_FG%,0.0,-1.4049600609707085,season+player,0.0,-1.470051465090468,season+player,,,season+player,-0.09,-1.174149353630079,season+player,0.0,0.0079662635392848,season+player,0.9,0.031387858745401995,season+player,-0.6,-1.2931619800923233,season+player,0.87,-1.1490561284963914,season+player
1889,2013-14,Andre Miller,Rotation,980.1999999999999,0.41392340450542786,0.9546716860968898,72.7434100271012,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,1.0,-0.34039228445598707,season+player,0.017241379310344827,-0.3902801761567025,season+player,1.0,1.9119873423122598,season+player,,,,,,,1.6,0.5952893999555678,season+player,,,,,,
1889,2014-15,Andre Miller,Rotation,1255.5,-0.14145741928818634,0.24095231005679407,57.15328236956405,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,1.0,-0.34039228445598707,season+player,0.012345679012345678,-0.4129312828909815,season+player,0.5,0.21348755257715446,season+player,,,,,,,1.0,0.2049338514275792,season+player,,,,,,
1889,2015-16,Andre Miller,Garbage Time,460.20000000000005,-0.43875800277887866,-0.14110839109587162,43.68041256936258,0,,1.0,-1.340392284455987,season+player,0.02564102564102564,-1.351417240522304,season+player,1.0,0.879896574932102,season+player,0.11,0.08067313778800295,season+player,0.0,0.016337230306501183,season+player,0.5,-1.1203624390124114,season+player,-0.03,0.28391953637083145,season+player,0.87,-1.1490561284963914,season+player
1890,2013-14,Shawn Marion,Starter,2409.2,0.2917210116302884,0.7976295055662519,70.25730070204743,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,14.0,0.49898881023538993,season+player,0.18421052631578946,0.38224177983344604,season+player,0.4375,0.0011750788602663171,season+player,,,,,,,1.1,0.26999310951557737,season+player,,,,,,
1890,2014-15,Shawn Marion,Rotation,1100.1000000000001,0.4353179932795007,0.9821658520750441,73.17866571568055,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,6.0,-0.017553401882380516,season+player,0.10526315789473684,0.01697324629462582,season+player,0.8571428571428571,1.4267016881022294,season+player,,,,,,,0.8,0.07481533525158302,season+player,,,,,,
1891,2013-14,Jason Terry,Rotation,570.5,-0.43832105967276946,-0.14054687591980358,43.69358722475859,5,Hook_Shot_FG% | Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,,,season+player,,,,,,,0.0,-0.4456587294524018,season+player,,,,,,
1891,2014-15,Jason Terry,Rotation,1640.1000000000001,-0.43832105967276946,-0.14054687591980358,43.69358722475859,5,Hook_Shot_FG% | Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,,,season+player,,,,,,,0.0,-0.4456587294524018,season+player,,,,,,
1891,2015-16,Jason Terry,Rotation,1260.0,-0.41239567255409265,-0.1072301852361943,44.754973817983334,3,Hook_Shot_FG% | Post Up Shot Making | Post Up Shot Making Efficiency,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,,,season+player,,,season+player,0.0,0.035500283151893054,season+player,0.0,-0.4456587294524018,season+player,,,season+player,0.87,-0.1490561284963914,season+player
1891,2016-17,Jason Terry,Rotation,1361.6,-0.41239567255409265,-0.1072301852361943,44.754973817983334,3,Hook_Shot_FG% | Post Up Shot Making | Post Up Shot Making Efficiency,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,,,season+player,,,season+player,0.0,0.035500283151893054,season+player,0.0,-0.4456587294524018,season+player,,,season+player,0.87,-0.1490561284963914,season+player
1891,2017-18,Jason Terry,Rotation,816.0,-0.7266476147923014,-0.5110750616249953,35.0,2,Post Up Shot Making | Post Up Shot Making Efficiency,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,0.0,-1.4850122371579506,season+player,,,season+player,0.0,0.035500283151893054,season+player,0.0,-0.4456587294524018,season+player,,,season+player,0.87,-0.1490561284963914,season+player
1897,2013-14,Metta World Peace,Rotation,388.6,-0.3732618015847714,-0.05693928433782821,46.62929380282667,5,Hook_Shot_FG% | Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,,,season+player,,,,,,,1.0,0.2049338514275792,season+player,,,,,,
1897,2015-16,Metta World Peace,Rotation,591.5,-0.7961472545117589,-0.6003889834791207,34.255331919407084,1,Hook_Shot_FG%,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,,,season+player,-0.66,-1.1700804932137634,season+player,-0.66,-3.0,season+player,1.5,0.5302301418675697,season+player,-1.67,-2.0016143203485464,season+player,0.76,-2.8334017706900982,season+player
1897,2016-17,Metta World Peace,Garbage Time,160.0,-0.9163078392418954,-0.7548072382766176,32.967846799266795,1,Hook_Shot_FG%,0.0,-1.4049600609707085,season+player,0.0,-1.470051465090468,season+player,,,season+player,0.02,0.002887661413350202,season+player,0.0,0.005680045304302888,season+player,0.6,-1.0553031809244133,season+player,-0.37,0.011852070214601185,season+player,0.87,-1.1490561284963914,season+player
1905,2013-14,Andrei Kirilenko,Rotation,859.5000000000001,-0.7005255954405798,-0.47750567904302427,35.78762795063007,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,0.0,-1.4850122371579506,season+player,,,,,,,0.8,0.07481533525158302,season+player,,,,,,
1905,2014-15,Andrei Kirilenko,Too Few Games,36.4,-1.4318151338639697,-1.4172851793560357,26.22293689050413,5,Hook_Shot_FG% | Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-1.4049600609707085,season+player,0.0,-1.470051465090468,season+player,,,season+player,,,,,,,0.1,-1.3805994713644036,season+player,,,,,,
1938,2013-14,Manu Ginobili,Key Rotation,1550.4,0.22834241522642693,0.7161817307390989,68.94968982650795,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,4.0,-0.14668895491182313,season+player,0.058823529411764705,-0.19789059696350372,season+player,0.8,1.2325874264182177,season+player,,,,,,,0.1,-0.38059947136440375,season+player,,,,,,
1938,2014-15,Manu Ginobili,Key Rotation,1589.0,-0.010503637377740908,0.40924089243310285,61.33063461600574,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,3.0,-0.21125673142654444,season+player,0.04285714285714286,-0.2717628325979654,season+player,0.6,0.5531875105241754,season+player,,,,,,,0.2,-0.31554021327640563,season+player,,,,,,
1938,2015-16,Manu Ginobili,Key Rotation,1136.8000000000002,0.38044494955931246,0.9116485550285272,72.06231780728704,0,,7.0,0.047014374632340795,season+player,0.1206896551724138,0.0883475574458896,season+player,0.875,1.4873623948784833,season+player,0.05,0.07046531223258003,season+player,0.0,0.035500283151893054,season+player,0.1,-0.38059947136440375,season+player,-0.12,0.47324654637775815,season+player,0.87,-0.1490561284963914,season+player
1938,2016-17,Manu Ginobili,Key Rotation,1290.3,-0.10542743623560336,0.28725440750296166,58.302618634987006,0,,2.0,-0.27582450794126573,season+player,0.028985507246376812,-0.33594321123080434,season+player,0.6666666666666666,0.7796541491555227,season+player,-0.27,-0.4886539240249268,season+player,0.0,0.035500283151893054,season+player,0.1,-0.38059947136440375,season+player,-0.94,-0.8360346863419642,season+player,0.87,-0.1490561284963914,season+player
1938,2017-18,Manu Ginobili,Rotation,1300.0,-0.3311047344880177,-0.0027632769300595457,48.64841001608784,0,,2.0,-0.27582450794126573,season+player,0.03076923076923077,-0.3276903956086712,season+player,0.3333333333333333,-0.35267904400121397,season+player,-0.22,-0.4012915433596913,season+player,0.0,0.035500283151893054,season+player,0.1,-0.38059947136440375,season+player,-0.75,-0.5326646446142237,season+player,0.87,-0.1490561284963914,season+player
