NBA_ID,Season,Player,Free Throw Rating
101135,2015-16,David Lee,78.3346848858633
101135,2016-17,David Lee,72.35238918217651
101138,2013-14,Brandon Bass,82.30704241646572
101138,2014-15,Brandon Bass,79.67342092565507
101138,2015-16,Brandon Bass,86.36852685471429
101138,2016-17,Brandon Bass,84.21794830528147
101139,2013-14,CJ Miles,81.45515448679811
101139,2014-15,CJ Miles,80.12226762434072
101139,2015-16,CJ Miles,77.0692661557787
101139,2016-17,CJ Miles,88.90137883698644
101139,2017-18,CJ Miles,85.25578399279759
101139,2018-19,CJ Miles,84.27641875806917
101139,2019-20,CJ Miles,70.19350686110919
101139,2021-22,CJ Miles,49.3924661135548
101141,2013-14,Ersan Ilyasova,80.70250047458111
101141,2014-15,Ersan Ilyasova,74.56847627514679
101141,2015-16,Ersan Ilyasova,73.71943093129472
101141,2016-17,Ersan Ilyasova,80.43066557023432
101141,2017-18,Ersan Ilyasova,80.11082015087153
101141,2018-19,Ersan Ilyasova,84.20451389874216
101141,2019-20,Ersan Ilyasova,84.62529324426251
101141,2020-21,Ersan Ilyasova,77.6750114895932
101142,2013-14,Ronny Turiaf,65.56425418554298
101142,2014-15,Ronny Turiaf,49.39104995725861
101145,2013-14,Monta Ellis,80.66261058195398
101145,2014-15,Monta Ellis,78.87845895319944
101145,2015-16,Monta Ellis,81.38809591256405
101145,2016-17,Monta Ellis,74.49955860558477
101150,2013-14,Lou Williams,81.9806614382055
101150,2014-15,Lou Williams,83.26429212950777
101150,2015-16,Lou Williams,86.80677452125245
101150,2016-17,Lou Williams,90.33348788974628
101150,2017-18,Lou Williams,90.78844712479963
101150,2018-19,Lou Williams,90.08396091376356
101150,2019-20,Lou Williams,88.25363091655836
101150,2020-21,Lou Williams,87.90966019007995
101150,2021-22,Lou Williams,86.76619715151374
101154,2013-14,Andray Blatche,78.23480378382425
101155,2013-14,Ryan Gomes,49.39104995725861
101161,2013-14,Amir Johnson,74.26676519824115
101161,2014-15,Amir Johnson,73.41054568613681
101161,2015-16,Amir Johnson,52.67313762614044
101161,2016-17,Amir Johnson,67.42711171821497
101161,2017-18,Amir Johnson,59.73822856541151
101161,2018-19,Amir Johnson,77.65442547171247
101162,2013-14,Marcin Gortat,76.30453433020847
101162,2014-15,Marcin Gortat,76.66780646960655
101162,2015-16,Marcin Gortat,71.97834887780694
101162,2016-17,Marcin Gortat,63.75077061434068
101162,2017-18,Marcin Gortat,67.69799998289551
101162,2018-19,Marcin Gortat,75.13524405688153
101179,2013-14,Ronnie Price,75.67916880245075
101179,2014-15,Ronnie Price,79.36278264348685
101179,2015-16,Ronnie Price,77.28727750730083
101179,2016-17,Ronnie Price,75.71771310947167
101181,2013-14,Jose Calderon,80.04858398656305
101181,2014-15,Jose Calderon,83.02625675465585
101181,2015-16,Jose Calderon,86.82305962030652
101181,2016-17,Jose Calderon,81.92779886444576
101181,2017-18,Jose Calderon,81.30503727905693
101181,2018-19,Jose Calderon,81.69437612100488
101183,2013-14,Shavlik Randolph,60.75569378222758
101183,2014-15,Shavlik Randolph,58.751973056084324
101187,2013-14,Alan Anderson,78.93433641112554
101187,2014-15,Alan Anderson,79.87750961482035
101187,2015-16,Alan Anderson,67.47685938290257
101187,2016-17,Alan Anderson,69.0218812422184
101198,2013-14,Will Bynum,79.85414518894838
101198,2014-15,Will Bynum,58.751973056084324
101236,2013-14,Chuck Hayes,79.124209280601
101236,2014-15,Chuck Hayes,60.6230124808746
101236,2015-16,Chuck Hayes,76.17179175390909
101249,2013-14,John Lucas III,73.38144081179719
101249,2014-15,John Lucas III,78.04945954559861
101249,2016-17,John Lucas III,49.398484777813636
200745,2013-14,Andrea Bargnani,80.79464545805176
200745,2014-15,Andrea Bargnani,80.95453967681773
200745,2015-16,Andrea Bargnani,83.9073942975902
200746,2013-14,LaMarcus Aldridge,82.00736624937608
200746,2014-15,LaMarcus Aldridge,82.84145097159664
200746,2015-16,LaMarcus Aldridge,87.80941156564701
200746,2016-17,LaMarcus Aldridge,84.53751695157095
200746,2017-18,LaMarcus Aldridge,87.07159702174907
200746,2018-19,LaMarcus Aldridge,87.5342967846241
200746,2019-20,LaMarcus Aldridge,85.6119306207631
200746,2020-21,LaMarcus Aldridge,87.23478919345447
200746,2021-22,LaMarcus Aldridge,87.77222936628318
200748,2014-15,Tyrus Thomas,75.97226964801895
200751,2013-14,Randy Foye,81.64537885622175
200751,2014-15,Randy Foye,79.96787174646701
200751,2015-16,Randy Foye,84.01106566305987
200751,2016-17,Randy Foye,86.27759760455467
200752,2013-14,Rudy Gay,82.0632466797067
200752,2014-15,Rudy Gay,83.4412683228534
200752,2015-16,Rudy Gay,81.0311246545787
200752,2016-17,Rudy Gay,87.54428534383561
200752,2017-18,Rudy Gay,79.7589080370088
200752,2018-19,Rudy Gay,84.22682460432301
200752,2019-20,Rudy Gay,88.35827643393456
200752,2020-21,Rudy Gay,83.14859911821308
200752,2021-22,Rudy Gay,80.61635869711782
200752,2022-23,Rudy Gay,86.19747972222532
200755,2013-14,JJ Redick,83.96630666829974
200755,2014-15,JJ Redick,83.47298469926248
200755,2015-16,JJ Redick,88.91701049777372
200755,2016-17,JJ Redick,89.31683796741474
200755,2017-18,JJ Redick,92.1766592568688
200755,2018-19,JJ Redick,90.795083839267
200755,2019-20,JJ Redick,89.71348446556013
200755,2020-21,JJ Redick,92.86646532109397
200756,2013-14,Hilton Armstrong,56.21537514234977
200757,2013-14,Thabo Sefolosha,78.41960943979203
200757,2014-15,Thabo Sefolosha,78.66733140886002
200757,2015-16,Thabo Sefolosha,61.10351001482969
