NBA_ID,Season,Player,RotationRole,MIN,Standing Dunk,Standing Dunk Aggregate Z,Standing Dunk Rating,MissingMetricCount,MissingMetrics,Standing_dunk_PG Raw,Standing_dunk_PG Z,Standing_dunk_PG MatchedBy,Standing_dunk_FGM Raw,Standing_dunk_FGM Z,Standing_dunk_FGM MatchedBy,dunkScore_total Raw,dunkScore_total Z,dunkScore_total MatchedBy,dunkScore_average Raw,dunkScore_average Z,dunkScore_average MatchedBy,dunkScore_max Raw,dunkScore_max Z,dunkScore_max MatchedBy,Putback Scoring Impact Per 75 Possessions Raw,Putback Scoring Impact Per 75 Possessions Z,Putback Scoring Impact Per 75 Possessions MatchedBy,Stable Putback Points Per 75 Raw,Stable Putback Points Per 75 Z,Stable Putback Points Per 75 MatchedBy,Offensive Rebound Raw,Offensive Rebound Z,Offensive Rebound MatchedBy,Offensive Rebounding Crashing Skill Raw,Offensive Rebounding Crashing Skill Z,Offensive Rebounding Crashing Skill MatchedBy,PLAYER_HEIGHT_INCHES Raw,PLAYER_HEIGHT_INCHES Z,PLAYER_HEIGHT_INCHES MatchedBy,Putback Frequency% Z,Putback per Offensive Rebound Z
1718,2015-16,Paul Pierce,Rotation,1230.8000000000002,-0.49696359221205433,-0.140624568167173,39.03613642198699,3,dunkScore_total | dunkScore_average | dunkScore_max,0.0,-0.5767176340173052,season+player,0.0,-0.504078638787827,season+player,,,,,,,,,,0.0,0.04089566359792068,season+player,0.06,-0.769206996345076,season+player,-0.819137458,-0.819137458,season+player,-0.78,-0.9269601809576449,season+player,79.0,0.1007110370996383,season+player,,
1718,2016-17,Paul Pierce,Garbage Time,277.5,-1.2638365307820147,-1.060458728803962,26.888333254042358,3,dunkScore_total | dunkScore_average | dunkScore_max,0.04,-1.4757209538530027,season+player,1.0,-1.46528049762409,season+player,,,,,,,,,,0.0,0.011348546648422986,season+player,0.22,-1.5865636687789546,season+player,-1.818543916,-1.818543916,season+player,-0.27,-1.396672454269751,season+player,79.0,0.1007110370996383,season+player,,
1733,2013-14,Al Harrington,Rotation,510.0,-0.2182563268448821,0.1936739193768623,56.4195558816143,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.08823529411764706,-0.3539308395372262,season+player,3.0,-0.387684215296616,season+player,,,,,,,,,,,,,,,,-0.366088082,-0.366088082,season+player,,,,81.0,0.6965596207757017,season+player,,
1737,2013-14,Nazr Mohammed,Garbage Time,560.0,-0.8029145138289655,-0.5076007581294032,29.14184959347877,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.05,-1.4504717838119272,season+player,4.0,-1.348886074132879,season+player,,,,,,,,,,,,,,,,0.420401979,0.420401979,season+player,,,,82.0,0.9944839126137334,season+player,,
1737,2014-15,Nazr Mohammed,Garbage Time,128.79999999999998,-1.0079558828102653,-0.7535398779586082,28.1393718244317,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.043478260869565216,-1.4669386338387156,season+player,1.0,-1.46528049762409,season+player,,,,,,,,,,,,,,,,-0.847917407,-0.847917407,season+player,,,,82.0,0.9944839126137334,season+player,,
1737,2015-16,Nazr Mohammed,Too Few Games,19.5,-1.1588197168382706,-0.9344951590282092,27.401776086958467,3,dunkScore_total | dunkScore_average | dunkScore_max,0.0,-1.5767176340173052,season+player,0.0,-1.5040786387878269,season+player,,,,,,,,,,0.0,0.0007974654401594532,season+player,0.75,0.0003596258987845405,season+player,-1.324164761,-1.324164761,season+player,-0.16,-1.282296670082166,season+player,82.0,0.9944839126137334,season+player,,
1740,2013-14,Rashard Lewis,Rotation,972.0,-0.16913015555500469,0.25259884456458437,59.253715757059425,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.06666666666666667,-0.4083898337434678,season+player,4.0,-0.348886074132879,season+player,,,,,,,,,,,,,,,,-0.227152615,-0.227152615,season+player,,,,82.0,0.9944839126137334,season+player,,
1882,2013-14,Elton Brand,Rotation,1416.1999999999998,-0.020816547586970324,0.43049522900434506,66.30133969666592,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.1095890410958904,-0.30001440069044916,season+player,8.0,-0.19369350947793093,season+player,,,,,,,,,,,,,,,,0.519290147,0.519290147,season+player,,,,81.0,0.6965596207757017,season+player,,
1882,2014-15,Elton Brand,Rotation,486.0,-0.24130797227092432,0.1660243703377472,55.089673116194334,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.027777777777777776,-0.5065810505698729,season+player,1.0,-0.46528049762409,season+player,,,,,,,,,,,,,,,,0.094188936,0.094188936,season+player,,,,81.0,0.6965596207757017,season+player,,
1882,2015-16,Elton Brand,Garbage Time,224.39999999999998,-1.2731439716178152,-1.0716226408398202,26.842827790579214,3,dunkScore_total | dunkScore_average | dunkScore_max,0.0,-1.5767176340173052,season+player,0.0,-1.5040786387878269,season+player,,,,,,,,,,0.0,0.009176986911373398,season+player,0.26,-1.5409028368874242,season+player,-1.291146091,-1.291146091,season+player,-0.63,-1.770993202520029,season+player,81.0,0.6965596207757017,season+player,,
1889,2013-14,Andre Miller,Rotation,980.1999999999999,-0.6025231189931113,-0.2672391008105258,31.722987443021225,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0,-0.5767176340173052,season+player,0.0,-0.504078638787827,season+player,,,,,,,,,,,,,,,,-0.405044966,-0.405044966,season+player,,,,74.0,-1.3889104220905202,season+player,,
1889,2014-15,Andre Miller,Rotation,1255.5,-0.5914920588681112,-0.254007774705924,32.48721771716197,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0,-0.5767176340173052,season+player,0.0,-0.504078638787827,season+player,,,,,,,,,,,,,,,,-0.316796485,-0.316796485,season+player,,,,74.0,-1.3889104220905202,season+player,,
1889,2015-16,Andre Miller,Garbage Time,460.20000000000005,-1.2640720139710315,-1.060741181698854,26.88718194168453,3,dunkScore_total | dunkScore_average | dunkScore_max,0.0,-1.5767176340173052,season+player,0.0,-1.5040786387878269,season+player,,,,,,,,,,0.0,0.018820184387763096,season+player,0.16,-1.65505491661625,season+player,-1.270248333,-1.270248333,season+player,0.7,0.28160282569626793,season+player,75.0,-1.0909861302524886,season+player,,
1890,2013-14,Shawn Marion,Starter,2409.2,0.75759459975445,1.364169020754391,82.38752015973334,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.5526315789473685,0.8186312366737158,season+player,42.0,1.1254432900891276,season+player,,,,,,,,,,,,,,,,0.516637086,0.516637086,season+player,,,,79.0,0.1007110370996383,season+player,,
1890,2014-15,Shawn Marion,Rotation,1100.1000000000001,0.3822453354903216,0.9139522272346478,77.06959937357573,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.42105263157894735,0.4864053150806154,season+player,24.0,0.4270767491418613,season+player,,,,,,,,,,,,,,,,0.399501867,0.399501867,season+player,,,,79.0,0.1007110370996383,season+player,,
1891,2013-14,Jason Terry,Rotation,570.5,-0.6586594313681112,-0.3345724166411665,29.847134160966455,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0,-0.5767176340173052,season+player,0.0,-0.504078638787827,season+player,,,,,,,,,,,,,,,,-0.854135465,-0.854135465,season+player,,,,74.0,-1.3889104220905202,season+player,,
1891,2014-15,Jason Terry,Rotation,1640.1000000000001,-0.6342532534875871,-0.3052981587869939,29.966459596970864,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.012987012987012988,-0.5439265040938304,season+player,1.0,-0.46528049762409,season+player,,,,,,,,,,,,,,,,-0.859336001,-0.859336001,season+player,,,,74.0,-1.3889104220905202,season+player,,
1891,2015-16,Jason Terry,Rotation,1260.0,-0.5434203647340452,-0.19634765371292967,35.817617839198014,3,dunkScore_total | dunkScore_average | dunkScore_max,0.0,-0.5767176340173052,season+player,0.0,-0.504078638787827,season+player,,,,,,,,,,0.0,0.04089566359792068,season+player,0.06,-0.769206996345076,season+player,-0.716154586,-0.716154586,season+player,-0.34,-0.4694570442073051,season+player,74.0,-1.3889104220905202,season+player,,
1891,2016-17,Jason Terry,Rotation,1361.6,-0.5511611722496752,-0.2056324502231157,35.281335797154426,3,dunkScore_total | dunkScore_average | dunkScore_max,0.0,-0.5767176340173052,season+player,0.0,-0.504078638787827,season+player,,,,,,,,,,0.0,0.04089566359792068,season+player,0.06,-0.769206996345076,season+player,-0.735799355,-0.735799355,season+player,-0.47,-0.6046284255199054,season+player,74.0,-1.3889104220905202,season+player,,
