NBA_ID,Season,Player,Ball Handle Rating,Speed with Ball Rating,Pass Accuracy Rating,Pass IQ Rating,Pass Vision Rating
1629647,2022-23,Darius Bazley,67.53509081138505,68.92199540916901,58.99960523264779,62.464813698298265,62.323357645996474
1629647,2023-24,Darius Bazley,43.02044293140266,43.617444583311965,39.05628041736615,47.972554683254195,49.45362988823375
1629648,2019-20,Jordan Bone,72.0498237983064,46.16802631131864,63.03929282952418,59.68235404218805,55.387523093928245
1629648,2020-21,Jordan Bone,73.00525166262321,40.99301626385175,56.10272514108374,53.24003158388689,52.74715817615345
1629649,2019-20,Ignas Brazdeikis,45.180932585048055,31.80878906367553,56.112193074669044,58.52638139164767,49.67843067118414
1629649,2020-21,Ignas Brazdeikis,72.65748535888018,76.2071132161538,68.57601395032493,72.32547727321459,67.8146644365724
1629649,2021-22,Ignas Brazdeikis,74.12961941709051,71.29259244623995,73.07401886391428,69.08970774912949,65.04971025427518
1629650,2019-20,Moses Brown,32.686777121598205,30.267610101879267,33.923810081486806,43.21853749003717,36.65680678051655
1629650,2020-21,Moses Brown,51.717037320753,42.01460801799915,45.12000669383526,52.418077851557285,53.79306491498192
1629650,2021-22,Moses Brown,32.375090673979464,28.72588433469009,30.982419451758524,36.42626785856062,26.685165304183016
1629650,2022-23,Moses Brown,32.14525259252585,29.360474358345243,30.793610790147483,36.2680482712777,27.957760509142723
1629650,2023-24,Moses Brown,32.710149984642534,29.70732701119175,36.15047745981776,42.0195893748061,37.25570665080758
1629650,2024-25,Moses Brown,35.30353186055493,30.54565927457986,29.84769319730649,37.28885191233175,33.52199248678165
1629651,2019-20,Nic Claxton,38.33248462660495,29.75213636776405,51.680603315565236,53.599167579338804,50.59314412899848
1629651,2020-21,Nic Claxton,56.893136318399044,67.52394008128367,59.169205433144725,60.61940554918121,63.46326477834787
1629651,2021-22,Nic Claxton,63.41886230180934,62.67521778090968,54.41416961902012,57.60778939440389,60.106255329872816
1629651,2022-23,Nic Claxton,63.3566279295822,68.06019680199218,57.2289219250833,61.66898272648095,67.31072731829194
1629651,2023-24,Nic Claxton,68.90468367832871,56.72989222597354,57.32372555955518,60.63163169656577,69.1418750295871
1629651,2024-25,Nic Claxton,66.13392088590246,54.06046591807121,63.142571114525886,67.81352319137596,71.20389642649702
1629651,2025-26,Nic Claxton,74.42174543942,55.270020629639106,74.57992724955963,72.94544831605592,78.6370298900546
1629652,2019-20,Luguentz Dort,69.83415479540507,68.86189191303241,64.97652494571595,62.90621187991103,60.34159361657552
1629652,2020-21,Luguentz Dort,72.24624227310143,79.31898586679557,71.09805041667445,73.40962713268532,70.35865346610109
1629652,2021-22,Luguentz Dort,78.1327149126324,83.19789400232878,68.40083781368901,72.73837048837194,71.4480710751954
1629652,2022-23,Luguentz Dort,73.71439068285972,78.61001076804415,75.84055552816021,75.9343148486303,73.2948956881675
1629652,2023-24,Luguentz Dort,70.73371954364241,69.49153327766105,70.59843082830056,68.05415817327557,63.78774183380646
1629652,2024-25,Luguentz Dort,72.01864529091283,67.71987681290402,71.65055060431246,68.95338826789833,65.53895092521644
1629652,2025-26,Luguentz Dort,69.10087189424635,54.10934634850141,64.37108641715956,67.41327603872466,63.65828799841952
1629653,2020-21,Devon Dotson,64.09378332021868,69.97740696843606,60.572118416378494,64.98027818665672,56.28945789857616
1629653,2021-22,Devon Dotson,67.33050645256928,59.43167483841091,65.63092432289328,63.50892892904228,59.78537934102522
1629653,2022-23,Devon Dotson,61.66746033104426,68.90593174358767,65.43212747649318,65.60534458615349,58.31902719737838
1629655,2019-20,Daniel Gafford,58.128726778139274,52.35084961490269,51.33390047257767,57.858917896530045,55.193537585873834
1629655,2020-21,Daniel Gafford,58.80511171560768,69.79079807280989,51.24642255208727,58.44655003715278,56.86575071861389
1629655,2021-22,Daniel Gafford,63.854103382955714,55.19987147089545,51.73007298234884,57.545660925748486,60.00085723221971
1629655,2022-23,Daniel Gafford,64.66338192466907,44.5933635062554,52.17765834850931,60.2630914020437,61.51200869916083
1629655,2023-24,Daniel Gafford,66.31152695962365,63.608064769403775,55.071603097192416,61.3202151320203,65.65393205717297
1629655,2024-25,Daniel Gafford,70.98153231480752,63.28289339441611,55.185490493106535,60.80260667725809,64.40287948154685
1629655,2025-26,Daniel Gafford,68.32166260963014,62.90657482052542,49.283592528221774,56.569672227261584,59.57187168623572
1629656,2021-22,Quentin Grimes,63.3788547730324,64.19889578887808,63.41865093692812,68.19994334932451,64.48863335294037
1629656,2022-23,Quentin Grimes,68.46352295616535,61.3319096662364,74.89359837993744,75.91880159398691,71.39060890409587
1629656,2023-24,Quentin Grimes,67.20568050472949,58.90053558900062,65.36190081545787,67.06024904003016,65.25839266778924
1629656,2024-25,Quentin Grimes,81.66871608748845,80.93813778419626,75.00886795782374,78.98379671361458,78.81604488954908
1629656,2025-26,Quentin Grimes,77.00499863438317,78.52191646671787,73.07262318820833,77.7524662444739,79.31593870993558
1629657,2019-20,Kyle Guy,48.78474257204579,45.82677062324552,58.94155893192927,60.605703735214895,50.54713744082148
1629657,2020-21,Kyle Guy,68.35859354671375,65.18405090261922,70.51165548951985,67.19987442924169,58.6530646792861
1629657,2021-22,Kyle Guy,67.86448289715214,45.02542483928466,53.515896908824494,62.502765748150686,54.3882997566797
1629658,2019-20,Jaylen Hoard,45.25099998907499,65.25489833516892,40.52416804766771,44.08712972218123,40.73015575667045
