NBA ID,Season,Player,3-Point Shot Rating,,Three-Point Shot,FG3A,3PT Shooting Talent,3PT Shot Making,C&S 3PT Shot Making,3PT Pull Up Talent,3PT Pull Up Shot Making,3PT Pull Up Shot Creation,3PT Shot Creation,3PT Shot Making Efficiency,C&S 3PT Shot Making Efficiency,Stable FG3%,Stable C&S 3PT%,Stable ATB 3PT%,Stable Pull Up 3PT%,FG3M,3PT Functional Versatility,Stable 3PTA Per 75,Off-Ball Gravity,Stable Corner 3PT%,3PT Attempt Rate,FG3_PCT
201155,2013-14,Rodney Stuckey,71.87185941175483,-0.16114650878813164,-0.4856532175013267,1.2,,,,,,,,,,,,,,-0.6944007034251531,,,,,,-0.09797931507136327
201155,2014-15,Rodney Stuckey,79.68704368869135,0.614920884317664,0.17605905536901809,2.0,,,,,,,,,,,,,,-0.09433998134901386,,,,,,0.6782286949882204
201155,2015-16,Rodney Stuckey,64.36901471001075,-0.7112309676470876,-0.9546816044375528,1.4,-0.6696681797665897,-1.135844079656192,-1.2724705713800473,-0.05409228576704343,-0.1992074185456354,-0.08828749588528075,-0.06924588259441691,-1.4498774655108377,-1.577642781662965,-2.167763548102741,-0.30974031505274047,-0.7445494597167092,-2.345683803810688,-0.6944007034251531,-0.8491731971149095,-0.8427768201679605,-0.7704669305798548,-2.5734581919917248,-0.8491975429770874,-0.3102755229509077
201155,2016-17,Rodney Stuckey,75.67169973956534,0.17112072688301158,-0.2023462396931171,1.5,-0.1475866337000143,-0.3288534818275735,-0.7696806513818806,0.5035804124926954,0.6451476974556668,-0.04064406113554447,0.03810001050856395,-0.3153428369752901,-0.9449322895865712,-0.39890088954197483,-0.30974031505274047,-0.4306895691430834,0.44024531075494583,-0.4543764145946975,-0.06841915088093702,-0.533590079682414,-0.47584374437264504,0.0025969795436146725,-0.5867855791429941,0.19392797076300994
201156,2013-14,Nick Young,88.15500778827773,1.793384586222712,1.1808737165829635,5.5,,,,,,,,,,,,,,1.4658178960489483,,,,,,0.6516916690032772
201156,2014-15,Nick Young,87.09630673057626,1.6556000294999569,1.0633919965604626,5.4,,,,,,,,,,,,,,1.3458057516337205,,,,,,0.5389093085672693
201156,2015-16,Nick Young,80.05441955382967,0.6580376715995679,0.21282249571534698,4.4,0.9743332844430516,-0.12710583237041878,-0.22316986877517775,1.2260200443291753,0.08965091061270483,0.3405034168623454,1.0638496557148251,0.13847101443892906,-0.051693947831662375,-1.2348702281768584,-0.30974031505274047,-1.5006664688258866,-1.6355450099017996,0.6257328851423531,1.369811986918486,1.4779863041994548,-0.32263968754489597,0.20505118001658085,1.1680103225988396,0.24700202273289606
201156,2016-17,Nick Young,91.63782726052719,2.2520247614391735,1.5719323224053134,7.0,2.9071458166895217,3.0,3.0,1.2767175623527878,0.7562470548242591,-0.31459381094652783,0.4674835829204873,2.3319046296076547,2.565990637033418,1.806119684828294,-0.30974031505274047,1.9375259688215214,0.1124889443354599,2.3059029069555432,2.260145548413367,1.9063775711372597,2.399678553009722,0.931093829988599,1.2936092112715682,0.7711082859355209
201156,2017-18,Nick Young,84.49414761144007,1.2869090225287547,0.7490283647714486,4.1,1.3520092964912125,0.8632917195101586,0.7386891086126192,1.0485787312465311,0.5562682115607929,-0.23121780013448945,0.3720650112733932,1.1847640607550454,0.9407930985626808,0.721782644135223,-0.30974031505274047,0.9174813244572492,0.1033846008238093,0.7457450295575812,1.8355249267773466,1.3923080508118937,0.5730147985250217,-0.02532773776300084,1.306617667598386,0.5919833605371554
201156,2018-19,Nick Young,70.4609010035012,-0.2605041467881734,-0.5703703039967696,2.0,0.006079992936634888,0.0007298539884067147,-1.1357281435581053,-1.2442079783555908,0.0008552762183256374,-1.7552955823815881,-1.713321241212302,0.01406100035322733,0.01007615353156977,0.0056675782506819565,-1.3097403150527405,0.009983066597768066,0.0018138176788448132,-1.0943399813490138,0.010193426236309748,0.03170044650009356,-1.687972438441836,-1.7094833117750983,0.08546711850931613,0.021528192328662238
201158,2013-14,Marco Belinelli,85.56081436486693,1.4557635096236434,0.8930017972755036,3.7,,,,,,,,,,,,,,0.865757173972809,,,,,,0.9435989548376504
201158,2014-15,Marco Belinelli,83.61492819524227,1.1202824771523692,0.6069545822094864,3.7,,,,,,,,,,,,,,0.6257328851423531,,,,,,0.5720805910484481
201158,2015-16,Marco Belinelli,74.33094627803774,0.024825090597954354,-0.3270849142685115,4.4,-0.06982980769009883,-1.117503384250996,-1.2068892774672428,0.2881159608923417,-0.28808690444050933,0.3762359929246476,0.1931551894350918,-0.7187329271212626,-0.8332774968672076,-1.9375690925366122,-0.30974031505274047,-2.1355194293043502,-2.8191096664166126,0.5057207407271255,0.8630067288367844,0.6174786288722108,0.3491011770075422,0.05146523483019306,0.408137046128833,0.12095114930441654
201158,2016-17,Marco Belinelli,83.98990288729213,1.1913463508439237,0.667547048530255,3.8,1.007657638447301,0.7899289378893751,1.3945020477406627,0.23741844286872912,-0.7324843339148789,0.5072554384864222,0.7060300120382225,0.983069015682059,1.5362853263992866,0.13418100755853118,-0.30974031505274047,-0.28802598251871264,-1.3624147045522301,0.6257328851423531,2.369725063674275,0.44984726354872173,2.2582594236302618,1.3499645895878416,0.3744944866629236,0.4792010001011474
201158,2017-18,Marco Belinelli,86.63707916268977,1.5958338977710602,1.0124325267794596,4.9,1.6408203645280413,1.578578840312798,0.9791538529595684,1.6569489475298826,1.6672617852467166,-0.1716635066973191,0.3959196541851667,1.613366031535141,0.9283870104827515,0.7702446347807224,-0.30974031505274047,1.110077166400151,1.1139667306172254,1.2257936072184925,2.712161048864614,0.9899927740355199,1.0797666788014224,0.05146523483019306,0.629280803684744,0.5919833605371554
