NBA_ID,Season,Player,RotationRole,MIN,Hands,Hands Aggregate Z,Hands Rating,MissingMetricCount,MissingMetrics,Playmaking Talent Raw,Playmaking Talent Z,Playmaking Talent MatchedBy,Touches Per 75 Raw,Touches Per 75 Z,Touches Per 75 MatchedBy,TOUCHES Raw,TOUCHES Z,TOUCHES MatchedBy
1630288,2023-24,Jeff Dowtin Jr,Garbage Time,141.60000000000002,-0.3887380670981044,-0.06146892766204161,79.34783693550264,0,,-0.07,0.03789928856624038,season+player,68.93,0.0910020877855422,season+player,27.0,-1.2951155776460956,season+player
1630288,2024-25,Jeff Dowtin Jr,Rotation,619.1,0.25856775610686367,0.5019294543883757,85.16260060675576,0,,-0.32,-0.0291441438651117,season+player,73.98,0.948391063098942,season+player,30.1,-0.14354365091323934,season+player
1630296,2021-22,Braxton Key,Garbage Time,196.89999999999998,-0.7256478351859912,-0.35470654647084443,75.93816256419052,0,,-0.43,-1.1597337180778071,season+player,63.17,0.05788202555371853,season+player,31.5,-1.075091813033885,season+player
1630296,2022-23,Braxton Key,Too Few Games,9.0,-2.124106768473139,-1.571889324893723,55.965401878242226,0,,-0.85,-1.6583484559808266,season+player,37.5,-2.2600644448348532,season+player,3.3,-2.453907404603738,season+player
1630296,2023-24,Braxton Key,Garbage Time,60.0,-1.2776778139298253,-0.8351792777799846,69.67944450645531,0,,-0.76,-1.5515024407158937,season+player,68.08,0.035472727771447374,season+player,6.1,-2.3170037288450294,season+player
1630296,2024-25,Braxton Key,Too Few Games,10.8,-1.1026437626187688,-0.6828341299731603,71.715213594942,1,Playmaking Talent,,,season+player,64.66,0.0041490297970775605,season+player,8.3,-2.2094365550346153,season+player
1630306,2021-22,Rob Edwards,Too Few Games,10.8,-1.0846023800768452,-0.6671313734557763,71.9194875444488,1,Playmaking Talent,,,season+player,67.5,0.006005875941248213,season+player,9.0,-2.1752106360949384,season+player
1630311,2023-24,Pat Spencer,Too Few Games,25.799999999999997,-1.6778755215132006,-1.1835010954895788,64.23141818160497,0,,-0.69,-1.4683999843987237,season+player,55.91,-1.1455450944768168,season+player,4.0,-2.419681485664061,season+player
1630311,2024-25,Pat Spencer,Garbage Time,249.60000000000002,-0.8611039261632261,-0.4726040529656733,74.45005369055802,0,,-0.52,-1.26657973334274,season+player,91.83,0.5064405675684628,season+player,16.2,-1.823172612715401,season+player
1630311,2025-26,Pat Spencer,Rotation,1227.6000000000001,0.5744203283185736,0.7768394301235889,89.04051644525433,0,,0.64,1.1105466856275035,season+player,58.53,0.013066567551323231,season+player,45.3,0.5996477317768942,season+player
1630314,2021-22,Brandon Williams,Key Rotation,640.8,1.1612000726612415,1.2875574659135058,95.21431866462144,0,,0.34,0.7543933014110613,season+player,81.78,1.4205937210453126,season+player,59.8,1.3086131955273508,season+player
1630314,2023-24,Brandon Williams,Garbage Time,112.19999999999999,-1.1315323244643147,-0.7079779930747754,71.38812221987426,0,,-0.58,-1.3378104101860284,season+player,70.71,0.08419815394834536,season+player,9.7,-2.140984717155261,season+player
1630314,2024-25,Brandon Williams,Rotation,488.40000000000003,0.1715506737677742,0.4261920183216725,84.52034323991528,0,,-0.35,-0.06475948228675589,season+player,70.66,0.7474022394602301,season+player,29.6,-0.16799073587015162,season+player
