NBA_ID,Season,Player,RotationRole,MIN,Driving Dunk,Driving Dunk Aggregate Z,Driving Dunk Rating,MissingMetricCount,MissingMetrics,Drving Dunk_PG Raw,Drving Dunk_PG Z,Drving Dunk_PG MatchedBy,Drving Dunk_FGM Raw,Drving Dunk_FGM Z,Drving Dunk_FGM MatchedBy,Rim Shot Creation Raw,Rim Shot Creation Z,Rim Shot Creation MatchedBy,dunkScore_max Raw,dunkScore_max Z,dunkScore_max MatchedBy,dunkScore_total Raw,dunkScore_total Z,dunkScore_total MatchedBy,dunkScore_average Raw,dunkScore_average Z,dunkScore_average MatchedBy,jumpSubscore_average Raw,jumpSubscore_average Z,jumpSubscore_average MatchedBy,powerSubscore_average Raw,powerSubscore_average Z,powerSubscore_average MatchedBy,styleSubscore_average Raw,styleSubscore_average Z,styleSubscore_average MatchedBy,hangTime_average Raw,hangTime_average Z,hangTime_average MatchedBy,takeoffDistance_average Raw,takeoffDistance_average Z,takeoffDistance_average MatchedBy,DRIVES Raw,DRIVES Z,DRIVES MatchedBy,DRIVE_FGM Raw,DRIVE_FGM Z,DRIVE_FGM MatchedBy
1718,2015-16,Paul Pierce,Rotation,1230.8000000000002,-0.5981875120775045,-0.3463075388485108,56.49351607257043,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.014705882352941176,-0.6847277637629093,season+player,1.0,-0.5973002709937776,season+player,-0.71,-0.5897204444985854,season+player,,,,,,,,,,,,,,,,,,,,,,,,,2.3,-0.29224685593383337,season+player,0.3,-0.47064308522028664,season+player
1718,2016-17,Paul Pierce,Garbage Time,277.5,-1.761710995676151,-1.6091942480620487,32.66310805890545,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.04,-1.58330176456008,season+player,1.0,-1.5973002709937776,season+player,-1.32,-2.343964763627973,season+player,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.6323925842460185,season+player,0.2,-1.589016176583649,season+player
1733,2013-14,Al Harrington,Rotation,510.0,-0.25047115366779926,0.031103294539724498,65.7286948739175,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.14705882352941177,-0.15401032607368598,season+player,5.0,-0.3494572403632765,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,-0.18758663183777632,season+player,0.5,-0.23389690249356204,season+player
1737,2013-14,Nazr Mohammed,Garbage Time,560.0,-1.7211690436563107,-1.5651900718738092,33.88031850039212,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0,-1.743696367950601,season+player,0.0,-1.659261028651403,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-1.8678780884621466,season+player,0.0,-1.8257623593103736,season+player
1737,2014-15,Nazr Mohammed,Garbage Time,128.79999999999998,-1.7211690436563107,-1.5651900718738092,33.88031850039212,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0,-1.743696367950601,season+player,0.0,-1.659261028651403,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-1.8678780884621466,season+player,0.0,-1.8257623593103736,season+player
1737,2015-16,Nazr Mohammed,Too Few Games,19.5,-1.7492155221952308,-1.595631679186707,33.03826564344536,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0,-1.743696367950601,season+player,0.0,-1.659261028651403,season+player,-0.86,-1.7751903590385987,season+player,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.8940431444861607,season+player,0.0,-1.8257623593103736,season+player
1740,2013-14,Rashard Lewis,Rotation,972.0,-0.6779021503283924,-0.4328296921147678,54.600224458032606,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0,-0.7436963679506009,season+player,0.0,-0.6592610286514028,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,-0.5277323601499615,season+player,0.2,-0.5890161765836489,season+player
1882,2013-14,Elton Brand,Rotation,1416.1999999999998,-0.693601183942801,-0.44986940053372754,54.33536588368548,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0,-0.7436963679506009,season+player,0.0,-0.6592610286514028,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.7370528083420753,season+player,0.2,-0.5890161765836489,season+player
1882,2014-15,Elton Brand,Rotation,486.0,-0.7172442852527086,-0.4755315885598104,53.936482853054905,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0,-0.7436963679506009,season+player,0.0,-0.6592610286514028,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.8155479764141181,season+player,0.0,-0.8257623593103735,season+player
1882,2015-16,Elton Brand,Garbage Time,224.39999999999998,-1.627589841764266,-1.463619341248969,36.68989169492512,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0,-1.743696367950601,season+player,0.0,-1.659261028651403,season+player,-0.49,-1.3176979031732325,season+player,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-1.7632178643660896,season+player,0.1,-1.7073892679470113,season+player
