NBA ID,Season,Player,Driving Dunk Rating,,Driving Dunk,Drving Dunk_PG,Drving Dunk_FGM,Rim Shot Creation,dunkScore_max,dunkScore_total,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,hangTime_average,takeoffDistance_average,DRIVES,DRIVE_FGM
1897,2016-17,Metta World Peace,37.308887282194156,-1.4412416241726507,-1.6069727910520628,-1.743696367950601,-1.659261028651403,-1.2435099373572274,,,,,,,,,-1.7108877523180612,-1.7073892679470113
1905,2013-14,Andrei Kirilenko,61.19519592812192,-0.15489741063098017,-0.4218374265512918,-0.38726391597166565,-0.4114179980209018,,,,,,,,,,-0.5015673041259472,-0.5890161765836489
1905,2014-15,Andrei Kirilenko,33.998153401554234,-1.5609301447690695,-1.7172442852527088,-1.743696367950601,-1.659261028651403,,,,,,,,,,-1.815547976414118,-1.8257623593103736
1938,2013-14,Manu Ginobili,62.28001365456172,-0.11073338702879543,-0.38114820382335024,-0.6257591595752179,-0.5353395133361523,,,,,,,,,,0.7543553850267362,0.7130878284133363
1938,2014-15,Manu Ginobili,60.16336520509218,-0.19690427989084883,-0.46053921864375336,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,1.0683360573149072,0.7130878284133363
1938,2015-16,Manu Ginobili,65.11400230568249,0.004866024750232705,-0.27464408962703357,-0.6745607630408936,-0.5973002709937776,0.28817048432414416,,,,,,,,,0.623530104906665,0.2395954629598871
1938,2016-17,Manu Ginobili,62.64980722343875,-0.09567871793021891,-0.3672780277369228,-0.627468394479209,-0.5353395133361523,-0.03331070087854556,,,,,,,,,0.15255909647440874,0.0028492802331624603
1938,2017-18,Manu Ginobili,72.37110243855972,0.31462492523991714,0.010743152430403483,-0.4969354396574919,-0.4114179980209018,0.7703922621281787,,,,,,,,,0.8851806651468074,0.8314609197766983
2030,2013-14,Kenyon Martin,55.977080806683844,-0.36733213930970293,-0.6175579086391328,-0.6183880840517565,-0.5973002709937776,,,,,,,,,,-0.7632178643660896,-0.5890161765836489
2030,2014-15,Kenyon Martin,42.86009830066101,-1.1881321285812252,-1.3737778101453189,-1.0146299889027788,-1.5353395133361523,,,,,,,,,,-1.8678780884621466,-1.8257623593103736
2034,2013-14,Mike Miller,55.07580782015013,-0.4040238714589517,-0.6513627556599306,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.29224685593383337,-0.47064308522028664
2034,2014-15,Mike Miller,53.96959017484829,-0.47340162500744043,-0.7152819060509075,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.7893829203901039,-0.8257623593103735
2034,2015-16,Mike Miller,32.0307325202098,-1.6320556725729236,-1.7827736959903269,-1.743696367950601,-1.659261028651403,-1.9853895955172804,,,,,,,,,-1.7108877523180612,-1.8257623593103736
2034,2016-17,Mike Miller,29.65873154869898,-1.7178074416273799,-1.8617785634317792,-1.743696367950601,-1.659261028651403,-2.39342340750531,,,,,,,,,-1.6585576402700326,-1.7073892679470113
2037,2013-14,Jamal Crawford,57.88370286775727,-0.2897116325154071,-0.546044540254542,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,0.28338437659447996,0.35796855432324937
2037,2014-15,Jamal Crawford,57.38541095039991,-0.30999759896174345,-0.5647344181157995,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,0.15255909647440874,0.2395954629598871
2037,2015-16,Jamal Crawford,66.35057182458809,0.057647219379193995,-0.22601569010778327,-0.6929385820675246,-0.5973002709937776,0.448911076925489,,,,,,,,,0.4142096567145511,0.7130878284133363
2037,2016-17,Jamal Crawford,66.9457508061356,0.08305157973568242,-0.20261013072947265,-0.6947955742339786,-0.5973002709937776,0.6962042963121735,,,,,,,,,0.23105426454645142,0.47634164568661175
