NBA_ID,Season,Player,FT_PCT,MatchedBy,SourcePlayerID,SourcePlayer,SourceTeam,SourceFile
2546,2016-17,Carmelo Anthony,0.833,season+player,2546,Carmelo Anthony,NYK,general_traditional.csv
2546,2017-18,Carmelo Anthony,0.767,season+player,2546,Carmelo Anthony,OKC,general_traditional.csv
2546,2018-19,Carmelo Anthony,0.682,season+player,2546,Carmelo Anthony,HOU,general_traditional.csv
2546,2019-20,Carmelo Anthony,0.845,season+player,2546,Carmelo Anthony,POR,general_traditional.csv
2546,2020-21,Carmelo Anthony,0.89,season+player,2546,Carmelo Anthony,POR,general_traditional.csv
2546,2021-22,Carmelo Anthony,0.83,season+player,2546,Carmelo Anthony,LAL,general_traditional.csv
2547,2013-14,Chris Bosh,0.82,season+player,2547,Chris Bosh,MIA,general_traditional.csv
2547,2014-15,Chris Bosh,0.772,season+player,2547,Chris Bosh,MIA,general_traditional.csv
2547,2015-16,Chris Bosh,0.795,season+player,2547,Chris Bosh,MIA,general_traditional.csv
2548,2013-14,Dwyane Wade,0.733,season+player,2548,Dwyane Wade,MIA,general_traditional.csv
2548,2014-15,Dwyane Wade,0.768,season+player,2548,Dwyane Wade,MIA,general_traditional.csv
2548,2015-16,Dwyane Wade,0.793,season+player,2548,Dwyane Wade,MIA,general_traditional.csv
2548,2016-17,Dwyane Wade,0.794,season+player,2548,Dwyane Wade,CHI,general_traditional.csv
2548,2017-18,Dwyane Wade,0.714,season+player,2548,Dwyane Wade,MIA,general_traditional.csv
2548,2018-19,Dwyane Wade,0.708,season+player,2548,Dwyane Wade,MIA,general_traditional.csv
2549,2013-14,Chris Kaman,0.765,season+player,2549,Chris Kaman,LAL,general_traditional.csv
2549,2014-15,Chris Kaman,0.706,season+player,2549,Chris Kaman,POR,general_traditional.csv
2549,2015-16,Chris Kaman,1.0,season+player,2549,Chris Kaman,POR,general_traditional.csv
2550,2013-14,Kirk Hinrich,0.76,season+player,2550,Kirk Hinrich,CHI,general_traditional.csv
2550,2014-15,Kirk Hinrich,0.7,season+player,2550,Kirk Hinrich,CHI,general_traditional.csv
2550,2015-16,Kirk Hinrich,0.938,season+player,2550,Kirk Hinrich,ATL,general_traditional.csv
2555,2013-14,Nick Collison,0.71,season+player,2555,Nick Collison,OKC,general_traditional.csv
2555,2014-15,Nick Collison,0.692,season+player,2555,Nick Collison,OKC,general_traditional.csv
2555,2015-16,Nick Collison,0.697,season+player,2555,Nick Collison,OKC,general_traditional.csv
2555,2016-17,Nick Collison,0.625,season+player,2555,Nick Collison,OKC,general_traditional.csv
2555,2017-18,Nick Collison,0.385,season+player,2555,Nick Collison,OKC,general_traditional.csv
2557,2013-14,Luke Ridnour,0.654,season+player,2557,Luke Ridnour,CHA,general_traditional.csv
2557,2014-15,Luke Ridnour,0.857,season+player,2557,Luke Ridnour,ORL,general_traditional.csv
2561,2013-14,David West,0.789,season+player,2561,David West,IND,general_traditional.csv
2561,2014-15,David West,0.739,season+player,2561,David West,IND,general_traditional.csv
2561,2015-16,David West,0.788,season+player,2561,David West,SAS,general_traditional.csv
2561,2016-17,David West,0.768,season+player,2561,David West,GSW,general_traditional.csv
2561,2017-18,David West,0.759,season+player,2561,David West,GSW,general_traditional.csv
2563,2014-15,Dahntay Jones,0.818,season+player,2563,Dahntay Jones,LAC,general_traditional.csv
2563,2015-16,Dahntay Jones,0.0,season+player,2563,Dahntay Jones,CLE,general_traditional.csv
2563,2016-17,Dahntay Jones,0.75,season+player,2563,Dahntay Jones,CLE,general_traditional.csv
2564,2013-14,Boris Diaw,0.739,season+player,2564,Boris Diaw,SAS,general_traditional.csv
2564,2014-15,Boris Diaw,0.774,season+player,2564,Boris Diaw,SAS,general_traditional.csv
2564,2015-16,Boris Diaw,0.737,season+player,2564,Boris Diaw,SAS,general_traditional.csv
2564,2016-17,Boris Diaw,0.743,season+player,2564,Boris Diaw,UTA,general_traditional.csv
2566,2013-14,Travis Outlaw,0.808,season+player,2566,Travis Outlaw,SAC,general_traditional.csv
2570,2013-14,Kendrick Perkins,0.552,season+player,2570,Kendrick Perkins,OKC,general_traditional.csv
2570,2014-15,Kendrick Perkins,0.506,season+player,2570,Kendrick Perkins,CLE,general_traditional.csv
2570,2015-16,Kendrick Perkins,0.44,season+player,2570,Kendrick Perkins,NOP,general_traditional.csv
2570,2017-18,Kendrick Perkins,0.5,season+player,2570,Kendrick Perkins,CLE,general_traditional.csv
2571,2013-14,Leandro Barbosa,0.795,season+player,2571,Leandro Barbosa,PHX,general_traditional.csv
2571,2014-15,Leandro Barbosa,0.784,season+player,2571,Leandro Barbosa,GSW,general_traditional.csv
2571,2015-16,Leandro Barbosa,0.839,season+player,2571,Leandro Barbosa,GSW,general_traditional.csv
2571,2016-17,Leandro Barbosa,0.889,season+player,2571,Leandro Barbosa,PHX,general_traditional.csv
2581,2013-14,Steve Blake,0.767,season+player,2581,Steve Blake,GSW,general_traditional.csv
2581,2014-15,Steve Blake,0.707,season+player,2581,Steve Blake,POR,general_traditional.csv
2581,2015-16,Steve Blake,0.8,season+player,2581,Steve Blake,DET,general_traditional.csv
2584,2013-14,Willie Green,0.824,season+player,2584,Willie Green,LAC,general_traditional.csv
2584,2014-15,Willie Green,0.824,season+player,2584,Willie Green,ORL,general_traditional.csv
2585,2013-14,Zaza Pachulia,0.846,season+player,2585,Zaza Pachulia,MIL,general_traditional.csv
2585,2014-15,Zaza Pachulia,0.788,season+player,2585,Zaza Pachulia,MIL,general_traditional.csv
2585,2015-16,Zaza Pachulia,0.768,season+player,2585,Zaza Pachulia,DAL,general_traditional.csv
2585,2016-17,Zaza Pachulia,0.778,season+player,2585,Zaza Pachulia,GSW,general_traditional.csv
2585,2017-18,Zaza Pachulia,0.806,season+player,2585,Zaza Pachulia,GSW,general_traditional.csv
2585,2018-19,Zaza Pachulia,0.782,season+player,2585,Zaza Pachulia,DET,general_traditional.csv
2586,2013-14,Keith Bogans,1.0,season+player,2586,Keith Bogans,BOS,general_traditional.csv
2588,2013-14,Matt Bonner,0.75,season+player,2588,Matt Bonner,SAS,general_traditional.csv
2588,2014-15,Matt Bonner,0.811,season+player,2588,Matt Bonner,SAS,general_traditional.csv
2588,2015-16,Matt Bonner,0.75,season+player,2588,Matt Bonner,SAS,general_traditional.csv
2590,2013-14,Mo Williams,0.876,season+player,2590,Mo Williams,POR,general_traditional.csv
2590,2014-15,Mo Williams,0.872,season+player,2590,Mo Williams,CHA,general_traditional.csv
2590,2015-16,Mo Williams,0.905,season+player,2590,Mo Williams,CLE,general_traditional.csv
2592,2013-14,James Jones,0.636,season+player,2592,James Jones,MIA,general_traditional.csv
2592,2014-15,James Jones,0.848,season+player,2592,James Jones,CLE,general_traditional.csv
2592,2015-16,James Jones,0.808,season+player,2592,James Jones,CLE,general_traditional.csv
2592,2016-17,James Jones,0.65,season+player,2592,James Jones,CLE,general_traditional.csv
2594,2013-14,Kyle Korver,0.926,season+player,2594,Kyle Korver,ATL,general_traditional.csv
2594,2014-15,Kyle Korver,0.898,season+player,2594,Kyle Korver,ATL,general_traditional.csv
2594,2015-16,Kyle Korver,0.833,season+player,2594,Kyle Korver,ATL,general_traditional.csv
2594,2016-17,Kyle Korver,0.905,season+player,2594,Kyle Korver,CLE,general_traditional.csv
2594,2017-18,Kyle Korver,0.889,season+player,2594,Kyle Korver,CLE,general_traditional.csv
2594,2018-19,Kyle Korver,0.822,season+player,2594,Kyle Korver,UTA,general_traditional.csv
2594,2019-20,Kyle Korver,0.854,season+player,2594,Kyle Korver,MIL,general_traditional.csv
2617,2013-14,Udonis Haslem,0.568,season+player,2617,Udonis Haslem,MIA,general_traditional.csv
2617,2014-15,Udonis Haslem,0.703,season+player,2617,Udonis Haslem,MIA,general_traditional.csv
2617,2015-16,Udonis Haslem,0.75,season+player,2617,Udonis Haslem,MIA,general_traditional.csv
2617,2016-17,Udonis Haslem,0.6,season+player,2617,Udonis Haslem,MIA,general_traditional.csv
2617,2017-18,Udonis Haslem,0.5,season+player,2617,Udonis Haslem,MIA,general_traditional.csv
2617,2018-19,Udonis Haslem,0.75,season+player,2617,Udonis Haslem,MIA,general_traditional.csv
2617,2019-20,Udonis Haslem,0.75,season+player,2617,Udonis Haslem,MIA,general_traditional.csv
2617,2020-21,Udonis Haslem,0.0,season+player,2617,Udonis Haslem,MIA,general_traditional.csv
2617,2021-22,Udonis Haslem,1.0,season+player,2617,Udonis Haslem,MIA,general_traditional.csv
2617,2022-23,Udonis Haslem,0.8,season+player,2617,Udonis Haslem,MIA,general_traditional.csv
2694,2013-14,Josh Powell,0.0,season+player,2694,Josh Powell,HOU,general_traditional.csv
2730,2013-14,Dwight Howard,0.547,season+player,2730,Dwight Howard,HOU,general_traditional.csv
2730,2014-15,Dwight Howard,0.528,season+player,2730,Dwight Howard,HOU,general_traditional.csv
2730,2015-16,Dwight Howard,0.489,season+player,2730,Dwight Howard,HOU,general_traditional.csv
2730,2016-17,Dwight Howard,0.533,season+player,2730,Dwight Howard,ATL,general_traditional.csv
2730,2017-18,Dwight Howard,0.574,season+player,2730,Dwight Howard,CHA,general_traditional.csv
2730,2018-19,Dwight Howard,0.604,season+player,2730,Dwight Howard,WAS,general_traditional.csv
2730,2019-20,Dwight Howard,0.514,season+player,2730,Dwight Howard,LAL,general_traditional.csv
2730,2020-21,Dwight Howard,0.576,season+player,2730,Dwight Howard,PHI,general_traditional.csv
2730,2021-22,Dwight Howard,0.658,season+player,2730,Dwight Howard,LAL,general_traditional.csv
2731,2017-18,Emeka Okafor,0.818,season+player,2731,Emeka Okafor,NOP,general_traditional.csv
2732,2013-14,Ben Gordon,0.81,season+player,2732,Ben Gordon,CHA,general_traditional.csv
2732,2014-15,Ben Gordon,0.836,season+player,2732,Ben Gordon,ORL,general_traditional.csv
